Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,25.63,26.06,25.53,25.92,3015600.0,0.0,1.0,25.63,26.06,25.53,25.92,3015600.0
2010-01-05,25.97,26.73,25.77,26.69,5421900.0,0.0,1.0,25.97,26.73,25.77,26.69,5421900.0
2010-01-06,26.7,26.86,26.4,26.47,2863900.0,0.0,1.0,26.7,26.86,26.4,26.47,2863900.0
2010-01-07,26.65,26.7,26.12,26.48,2919400.0,0.0,1.0,26.65,26.7,26.12,26.48,2919400.0
2010-01-08,26.44,26.73,26.26,26.48,2106600.0,0.0,1.0,26.44,26.73,26.26,26.48,2106600.0
2010-01-11,26.53,26.72,25.98,26.39,2898800.0,0.0,1.0,26.53,26.72,25.98,26.39,2898800.0
2010-01-12,26.13,26.32,25.78,26.16,3250300.0,0.0,1.0,26.13,26.32,25.78,26.16,3250300.0
2010-01-13,26.2,26.4,25.63,26.04,3142800.0,0.0,1.0,26.2,26.4,25.63,26.04,3142800.0
2010-01-14,26.04,27.0,26.04,26.88,4208000.0,0.0,1.0,26.04,27.0,26.04,26.88,4208000.0
2010-01-15,26.91,26.91,26.44,26.61,3455500.0,0.0,1.0,26.91,26.91,26.44,26.61,3455500.0
2010-01-19,26.51,27.27,26.43,27.22,6514100.0,0.0,1.0,26.51,27.27,26.43,27.22,6514100.0
2010-01-20,27.02,27.28,26.7,26.95,4774800.0,0.0,1.0,27.02,27.28,26.7,26.95,4774800.0
2010-01-21,27.15,27.28,26.5,26.72,3524400.0,0.0,1.0,27.15,27.28,26.5,26.72,3524400.0
2010-01-22,26.58,26.68,25.74,25.82,4257200.0,0.0,1.0,26.58,26.68,25.74,25.82,4257200.0
2010-01-25,26.02,26.15,25.17,25.67,3758900.0,0.0,1.0,26.02,26.15,25.17,25.67,3758900.0
2010-01-26,25.56,25.81,25.45,25.67,3573700.0,0.0,1.0,25.56,25.81,25.45,25.67,3573700.0
2010-01-27,25.55,26.0,25.45,25.83,2722500.0,0.0,1.0,25.55,26.0,25.45,25.83,2722500.0
2010-01-28,25.93,25.94,25.08,25.31,4001200.0,0.0,1.0,25.93,25.94,25.08,25.31,4001200.0
2010-01-29,25.59,25.85,24.5,24.7,5119000.0,0.0,1.0,25.59,25.85,24.5,24.7,5119000.0
2010-02-01,25.93,26.24,25.6,26.18,4985600.0,0.0,1.0,25.93,26.24,25.6,26.18,4985600.0
2010-02-02,26.41,26.5,25.96,26.37,3229600.0,0.0,1.0,26.41,26.5,25.96,26.37,3229600.0
2010-02-03,26.54,26.825,26.13,26.5,5038600.0,0.0,1.0,26.54,26.825,26.13,26.5,5038600.0
2010-02-04,25.58,26.17,25.35,25.51,7362900.0,0.0,1.0,25.58,26.17,25.35,25.51,7362900.0
2010-02-05,25.51,25.57,24.62,25.32,5719400.0,0.0,1.0,25.51,25.57,24.62,25.32,5719400.0
