Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,36.74,36.97,36.42,36.85,1301200.0,0.0,1.0,29.693544679702,29.879432411774,29.434918269862,29.782447508084,1301200.0
2010-01-05,38.46,38.47,36.325,37.09,2708800.0,0.0,1.0,31.083661632589,31.091743707897,29.358138554441,29.976417315464,2708800.0
2010-01-06,36.89,37.28,36.77,37.01,1234100.0,0.0,1.0,29.814775809314,30.129976746306,29.717790905624,29.911760713004,1234100.0
2010-01-07,36.8,37.39,36.71,37.36,995400.0,0.0,1.0,29.742037131547,30.218879574688,29.669298453779,30.194633348766,995400.0
2010-01-08,37.11,38.119,37.02,38.07,1432700.0,0.0,1.0,29.992581466079,30.808062864604,29.919842788311,30.768460695597,1432700.0
2010-01-11,38.39,39.08,37.79,38.71,1132500.0,0.0,1.0,31.027087105437,31.584750301654,30.542162586988,31.285713515277,1132500.0
2010-01-12,38.52,38.66,37.96,38.31,877800.0,0.0,1.0,31.132154084434,31.245303138739,30.679557867215,30.962430502977,877800.0
2010-01-13,38.38,39.84,38.15,39.75,1493500.0,0.0,1.0,31.01900503013,32.198988025022,30.833117298057,32.126249347255,1493500.0
2010-01-14,39.79,40.0,39.38,39.79,695000.0,0.0,1.0,32.158577648485,32.328301229942,31.827212560878,32.158577648485,695000.0
2010-01-15,39.59,40.23,39.17,39.48,1279600.0,0.0,1.0,31.996936142335,32.514188962014,31.657488979421,31.908033313953,1279600.0
2010-01-19,39.55,40.07,39.46,40.07,1009100.0,0.0,1.0,31.964607841105,32.384875757095,31.891869163338,32.384875757095,1009100.0
2010-01-20,39.71,39.71,39.35,39.61,951300.0,0.0,1.0,32.093921046025,32.093921046025,31.802966334956,32.01310029295,951300.0
2010-01-21,39.57,39.83,38.65,38.66,1480500.0,0.0,1.0,31.98077199172,32.190905949715,31.237221063432,31.245303138739,1480500.0
2010-01-22,38.47,39.13,38.35,38.62,1599700.0,0.0,1.0,31.091743707897,31.625160678191,30.994758804207,31.212974837509,1599700.0
2010-01-25,38.91,39.12,38.55,38.58,901800.0,0.0,1.0,31.447355021426,31.617078602883,31.156400310357,31.180646536279,901800.0
2010-01-26,38.39,38.9,38.28,38.38,669400.0,0.0,1.0,31.027087105437,31.439272946119,30.938184277055,31.01900503013,669400.0
2010-01-27,38.27,38.51,37.87,38.44,959300.0,0.0,1.0,30.930102201747,31.124072009127,30.606819189448,31.067497481974,959300.0
2010-01-28,38.69,39.05,37.97,38.1,1709700.0,0.0,1.0,31.269549364662,31.560504075731,30.687639942523,30.79270692152,1709700.0
2010-01-29,35.68,36.42,32.48,32.51,5724300.0,0.0,1.0,28.836844697108,29.434918269862,26.250580598713,26.274826824636,5724300.0
2010-02-01,32.82,34.19,32.57,33.34,3506100.0,0.0,1.0,26.525371159168,27.632615476293,26.32331927648,26.945639075157,3506100.0
2010-02-02,33.37,33.84,33.18,33.54,1957200.0,0.0,1.0,26.969885301079,27.349742840531,26.816325870237,27.107280581307,1957200.0
2010-02-03,33.29,33.56,32.7,33.14,1399800.0,0.0,1.0,26.905228698619,27.123444731921,26.428386255478,26.783997569007,1399800.0
2010-02-04,32.83,33.11,32.65,32.71,1800500.0,0.0,1.0,26.533453234475,26.759751343085,26.38797587894,26.436468330785,1800500.0
2010-02-05,32.62,32.94,32.11,32.77,2272900.0,0.0,1.0,26.363729653018,26.622356062857,25.951543812336,26.48496078263,2272900.0
2010-02-08,32.82,33.25,32.4,32.51,1499200.0,0.0,1.0,26.525371159168,26.872900397389,26.185923996253,26.274826824636,1499200.0
2010-02-09,33.03,33.06,31.91,32.54,1982000.0,0.0,1.0,26.695094740625,26.719340966547,25.789902306186,26.299073050558,1982000.0
2010-02-10,32.48,32.48,31.87,32.17,1648500.0,0.0,1.0,26.250580598713,26.250580598713,25.757574004956,26.000036264181,1648500.0
2010-02-11,32.02,32.58,31.8,32.34,1456700.0,0.0,1.0,25.878805134569,26.331401351788,25.700999477804,26.137431544408,1456700.0
2010-02-12,31.9,32.29,31.55,32.09,1372800.0,0.0,1.0,25.781820230879,26.097021167871,25.498947595117,25.935379661721,1372800.0
2010-02-16,32.29,32.61,32.1,32.6,1698700.0,0.0,1.0,26.097021167871,26.35564757771,25.943461737029,26.347565502403,1698700.0
2010-02-17,32.57,32.85,31.73,32.1,2447600.0,0.0,1.0,26.32331927648,26.54961738509,25.644424950652,25.943461737029,2447600.0
2010-02-18,32.1,32.425,31.8,32.05,2322300.0,0.0,1.0,25.943461737029,26.206129184522,25.700999477804,25.903051360491,2322300.0
2010-02-19,31.72,31.96,31.34,31.8,2941300.0,0.0,1.0,25.636342875344,25.830312682724,25.32922401366,25.700999477804,2941300.0
2010-02-22,32.0,32.44,31.69,32.04,2049100.0,0.0,1.0,25.862640983954,26.218252297483,25.612096649422,25.894969285184,2049100.0
2010-02-23,31.94,32.22,31.48,31.52,1391700.0,0.0,1.0,25.814148532109,26.040446640718,25.442373067964,25.474701369194,1391700.0
2010-02-24,31.58,31.92,31.42,31.73,1273800.0,0.0,1.0,25.523193821039,25.797984381494,25.39388061612,25.644424950652,1273800.0
2010-02-25,31.27,31.66,30.82,31.51,1190200.0,0.0,1.0,25.272649486507,25.587850423499,24.90895609767,25.466619293887,1190200.0
2010-02-26,31.51,32.0,31.33,31.6,1020100.0,0.0,1.0,25.466619293887,25.862640983954,25.321141938352,25.539357971654,1020100.0
2010-03-01,31.64,32.16,31.23,31.84,1059600.0,0.2,1.0,25.73231244294,26.155220232773,25.398865916341,25.894969285184,1059600.0
2010-03-02,32.04,32.04,31.5399,31.67,1414700.0,0.0,1.0,26.057626127427,26.057626127427,25.650902693397,25.756710969277,1414700.0
2010-03-03,31.83,31.93,31.38,31.43,1488600.0,0.0,1.0,25.886836443072,25.968164864193,25.520858548023,25.561522758584,1488600.0
2010-03-04,30.53,30.86,30.22,30.79,2413400.0,0.0,1.0,24.829566968488,25.09795075819,24.57744886301,25.041020863405,2413400.0
2010-03-05,30.89,31.26,30.8,31.15,1541000.0,0.0,1.0,25.122349284527,25.423264442677,25.049153705517,25.333803179443,1541000.0
2010-03-08,31.11,31.46,30.73,31.38,1472700.0,0.0,1.0,25.301271810994,25.585921284921,24.992223810732,25.520858548023,1472700.0
2010-03-09,31.31,32.3,31.14,32.07,1943000.0,0.0,1.0,25.463928653238,26.269080022344,25.325670337331,26.082024653764,1943000.0
2010-03-10,32.04,32.5,31.89,32.36,1565200.0,0.0,1.0,26.057626127427,26.431736864588,25.935633495745,26.317877075017,1565200.0
2010-03-11,32.25,33.06,32.03,33.04,2322200.0,0.0,1.0,26.228415811783,26.88717602287,26.049493285315,26.870910338645,2322200.0
2010-03-12,33.23,33.66,32.79,33.31,2518900.0,0.0,1.0,27.025434338777,27.375146549601,26.667589285841,27.090497075674,2518900.0
2010-03-15,33.32,33.785,33.12,33.61,1525500.0,0.0,1.0,27.098629917786,27.476807076003,26.935973075543,27.33448233904,1525500.0
2010-03-16,33.57,34.15,33.44,34.05,1393100.0,0.0,1.0,27.301950970591,27.773655813097,27.196224023133,27.692327391976,1393100.0
2010-03-17,34.15,34.72,34.14,34.63,1653000.0,0.0,1.0,27.773655813097,28.237227813492,27.765522970985,28.164032234482,1653000.0
2010-03-18,34.63,34.84,34.5,34.79,1246200.0,0.0,1.0,28.164032234482,28.334821918838,28.058305287024,28.294157708277,1246200.0
2010-03-19,34.95,35.24,34.62,35.03,2458300.0,0.0,1.0,28.424283182072,28.660135603325,28.15589939237,28.489345918969,2458300.0
2010-03-22,34.91,35.46,34.91,35.39,2005600.0,0.0,1.0,28.391751813623,28.839058129793,28.391751813623,28.782128235008,2005600.0
2010-03-23,35.4,35.75,34.99,35.74,1544100.0,0.0,1.0,28.79026107712,29.074910551046,28.456814550521,29.066777708934,1544100.0
2010-03-24,35.64,35.64,35.01,35.06,1380400.0,0.0,1.0,28.985449287812,28.985449287812,28.473080234745,28.513744445306,1380400.0
2010-03-25,35.27,35.46,34.97,34.98,1166500.0,0.0,1.0,28.684534129662,28.839058129793,28.440548866296,28.448681708408,1166500.0
2010-03-26,35.04,35.52,34.911,35.45,1479200.0,0.0,1.0,28.497478761082,28.887855182466,28.392565097834,28.830925287681,1479200.0
2010-03-29,35.61,36.08,35.58,36.08,1609000.0,0.0,1.0,28.961050761476,29.343294340748,28.936652235139,29.343294340748,1609000.0
2010-03-30,36.12,36.25,35.61,36.17,1071400.0,0.0,1.0,29.375825709197,29.481552656655,28.961050761476,29.416489919758,1071400.0
