Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,58.99,58.99,57.64,58.29,6229000.0,0.0,1.0,26.843266160672,26.843266160672,26.228951712174,26.524732742932,6229000.0
2010-01-05,58.31,58.31,57.71,57.89,3255700.0,0.0,1.0,26.533833697725,26.533833697725,26.260805053948,26.342713647081,3255700.0
2010-01-06,58.0,58.3905,57.73,58.09,2840500.0,0.0,1.0,26.39276889844,26.570465040765,26.26990600874,26.433723195007,2840500.0
2010-01-07,58.01,59.2,57.92,59.03,3410900.0,0.0,1.0,26.397319375836,26.938826185994,26.35636507927,26.861468070257,3410900.0
2010-01-08,59.1,59.4,58.84,59.17,2809000.0,0.0,1.0,26.893321412031,27.02983573392,26.775008999728,26.925174753805,2809000.0
2010-01-11,59.23,59.23,58.73,58.83,2954600.0,0.0,1.0,26.952477618183,26.952477618183,26.724953748369,26.770458522332,2954600.0
2010-01-12,58.73,60.16,58.59,59.76,5124400.0,0.0,1.0,26.724953748369,27.375672016037,26.661247064821,27.193652920186,5124400.0
2010-01-13,59.9,60.56,59.755,60.37,4308800.0,0.0,1.0,27.257359603734,27.557691111889,27.191377681488,27.471232041359,4308800.0
2010-01-14,60.79,61.88,60.5,61.71,6181400.0,0.0,1.0,27.662352092003,28.158354128198,27.530388247511,28.080996012461,6181400.0
2010-01-15,61.54,61.84,60.72,61.57,4473700.0,0.0,1.0,28.003637896724,28.140152218613,27.630498750229,28.017289328913,4473700.0
2010-01-19,60.16,61.63,60.12,61.44,5793900.0,0.0,1.0,27.375672016037,28.044592193291,27.357470106452,27.958133122761,5793900.0
2010-01-20,61.34,61.84,60.08,60.8,4745400.0,0.0,1.0,27.912628348799,28.140152218613,27.339268196867,27.666902569399,4745400.0
2010-01-21,60.91,60.91,59.35,59.6,4298300.0,0.0,1.0,27.716957820758,27.716957820758,27.007083346938,27.120845281845,4298300.0
2010-01-22,59.38,59.8,58.66,58.74,4047600.0,0.0,1.0,27.020734779127,27.211854829771,26.693100406595,26.729504225765,4047600.0
2010-01-25,58.97,59.9325,58.77,58.96,3475100.0,0.0,1.0,26.83416520588,27.272148655272,26.743155657954,26.829614728483,3475100.0
2010-01-26,58.75,59.32,58.6,59.06,3004700.0,0.0,1.0,26.734054703161,26.993431914749,26.665797542217,26.875119502446,3004700.0
2010-01-27,59.13,59.36,57.98,58.91,4471800.0,0.0,1.0,26.90697284422,27.011633824335,26.383667943648,26.806862341502,4471800.0
2010-01-28,57.68,58.72,56.52,58.2,6495900.0,0.0,1.0,26.247153621759,26.720403270972,25.71929824379,26.483778446366,6495900.0
2010-01-29,58.23,58.51,57.52,57.59,3316600.0,0.0,1.0,26.497429878555,26.624843245651,26.174345983419,26.206199325193,3316600.0
2010-02-01,57.56,57.87,56.98,57.86,3592100.0,0.0,1.0,26.192547893004,26.333612692288,25.928620204019,26.329062214892,3592100.0
2010-02-02,57.81,58.53,57.61,58.47,2939100.0,0.0,1.0,26.306309827911,26.633944200443,26.215300279985,26.606641336065,2939100.0
2010-02-03,58.25,58.38,57.39,57.49,3661300.0,0.0,1.0,26.506530833347,26.565687039499,26.115189777267,26.16069455123,3661300.0
2010-02-04,57.21,57.34,56.34,56.34,5934100.0,0.0,1.0,26.033281184134,26.092437390285,25.637389650657,25.637389650657,5934100.0
2010-02-05,56.27,56.88,56.05,56.59,4556800.0,0.0,1.0,25.605536308883,25.883115430056,25.505425806165,25.751151585564,4556800.0
2010-02-08,56.62,56.85,56.32,56.36,2855600.0,0.0,1.0,25.764803017753,25.869463997868,25.628288695865,25.64649060545,2855600.0
2010-02-09,56.71,57.17,56.09,56.38,3199800.0,0.0,1.0,25.80575731432,26.015079274549,25.52362771575,25.655591560242,3199800.0
2010-02-10,56.45,56.7,55.9,56.13,3416100.0,0.0,1.0,25.687444902016,25.801206836923,25.437168645221,25.541829625335,3416100.0
2010-02-11,56.18,56.26,55.78,56.01,4701100.0,0.0,1.0,25.564582012317,25.600985831487,25.382562916465,25.48722389658,4701100.0
2010-02-12,55.89,56.0,55.29,55.92,3902600.0,0.0,1.0,25.432618167824,25.482673419184,25.159589524047,25.446269600013,3902600.0
2010-02-16,56.14,56.99,56.01,56.94,3408400.0,0.0,1.0,25.546380102732,25.933170681416,25.48722389658,25.910418294434,3408400.0
2010-02-17,57.14,57.91,57.08,57.65,4499300.0,0.0,1.0,26.00142784236,26.351814601874,25.974124977982,26.23350218957,4499300.0
2010-02-18,57.46,57.82,57.175,57.38,2919600.0,0.0,1.0,26.147043119041,26.310860305307,26.017354513247,26.110639299871,2919600.0
2010-02-19,57.38,57.65,56.9,57.54,3906800.0,0.0,1.0,26.110639299871,26.23350218957,25.892216384849,26.183446938211,3906800.0
2010-02-22,57.7,57.89,57.08,57.74,4219600.0,0.0,1.0,26.256254576552,26.342713647081,25.974124977982,26.274456486137,4219600.0
2010-02-23,57.66,57.73,56.91,56.96,3866100.0,0.0,1.0,26.238052666967,26.26990600874,25.896766862245,25.919519249227,3866100.0
2010-02-24,57.25,57.7,56.95,57.6,2691100.0,0.0,1.0,26.051483093719,26.256254576552,25.91496877183,26.210749802589,2691100.0
2010-02-25,57.33,57.42,56.67,57.09,4424000.0,0.0,1.0,26.087886912889,26.128841209456,25.787555404735,25.978675455378,4424000.0
2010-02-26,57.12,57.35,56.61,56.93,4344800.0,0.0,1.0,25.992326887567,26.096987867682,25.760252540357,25.905867817038,4344800.0
2010-03-01,57.11,57.56,56.92,57.27,5059900.0,0.0,1.0,25.987776410171,26.192547893004,25.901317339642,26.060584048511,5059900.0
2010-03-02,57.38,58.68,57.38,58.45,3968200.0,0.0,1.0,26.110639299871,26.702201361387,26.110639299871,26.597540381273,3968200.0
2010-03-03,59.25,59.37,58.4,59.0,4016800.0,0.0,1.0,26.961578572975,27.016184301731,26.574787994291,26.847816638068,4016800.0
2010-03-04,59.0,59.35,58.66,59.04,3746800.0,0.0,1.0,26.847816638068,27.007083346938,26.693100406595,26.866018547654,3746800.0
2010-03-05,59.15,59.61,58.9,59.48,3726200.0,0.0,1.0,26.916073799013,27.125395759242,26.802311864106,27.06623955309,3726200.0
2010-03-08,59.33,59.39,58.91,59.13,2235000.0,0.29,1.0,27.130392588217,27.157829358069,26.938335199257,27.038936688712,2235000.0
2010-03-09,59.06,59.23,58.86,58.98,2256800.0,0.0,1.0,27.006927123885,27.084664638465,26.91547122438,26.970344764083,2256800.0
2010-03-10,59.15,59.18,58.38,58.48,3292500.0,0.0,1.0,27.048082278663,27.061800663589,26.695977065568,26.74170501532,3292500.0
2010-03-11,58.29,58.4,57.41,58.16,3643000.0,0.0,1.0,26.65482191079,26.705122655518,26.252415952968,26.595375576112,3643000.0
2010-03-12,58.42,58.59,57.61,57.81,3717500.0,0.0,1.0,26.714268245469,26.792005760048,26.343871852473,26.435327751978,3717500.0
2010-03-15,57.77,58.43,57.76,58.37,3116700.0,0.0,1.0,26.417036572077,26.718841040444,26.412463777102,26.691404270593,3116700.0
2010-03-16,58.33,58.33,57.83,58.05,2571100.0,0.0,1.0,26.673113090691,26.673113090691,26.444473341928,26.545074831384,2571100.0
2010-03-17,58.05,58.6,57.9,58.34,2468600.0,0.0,1.0,26.545074831384,26.796578555024,26.476482906755,26.677685885667,2468600.0
2010-03-18,58.4,59.05,58.3,58.97,2390400.0,0.0,1.0,26.705122655518,27.00235432891,26.659394705766,26.965771969108,2390400.0
2010-03-19,58.95,59.32,58.75,59.25,4322300.0,0.0,1.0,26.956626379158,27.125819793242,26.865170479652,27.093810228415,4322300.0
2010-03-22,59.21,60.24,58.98,59.67,4401900.0,0.0,1.0,27.075519048514,27.546516930966,26.970344764083,27.285867617376,4401900.0
2010-03-23,59.67,59.8,58.98,59.37,3545000.0,0.0,1.0,27.285867617376,27.345313952055,26.970344764083,27.148683768119,3545000.0
2010-03-24,59.36,59.39,58.8,58.9,2569900.0,0.0,1.0,27.144110973143,27.157829358069,26.888034454529,26.933762404281,2569900.0
2010-03-25,59.11,59.2375,58.5,58.72,3270300.0,0.0,1.0,27.029791098762,27.088094234696,26.750850605271,26.851452094727,3270300.0
2010-03-26,58.73,58.78,58.045,58.43,3151600.0,0.0,1.0,26.856024889702,26.878888864578,26.542788433897,26.718841040444,3151600.0
2010-03-29,58.61,58.88,58.49,58.71,2407200.0,0.0,1.0,26.801151349999,26.924616814331,26.746277810296,26.846879299751,2407200.0
2010-03-30,58.85,59.0,58.53,58.67,2179800.0,0.0,1.0,26.910898429405,26.979490354034,26.764568990197,26.82858811985,2179800.0
2010-03-31,58.4,58.54,58.12,58.2,2961800.0,0.0,1.0,26.705122655518,26.769141785172,26.577084396211,26.613666756013,2961800.0
2010-04-01,58.32,58.78,57.9125,58.23,3271600.0,0.0,1.0,26.668540295716,26.878888864578,26.482198900474,26.627385140939,3271600.0
2010-04-05,58.22,58.6,57.89,58.26,2919400.0,0.0,1.0,26.622812345964,26.796578555024,26.47191011178,26.641103525865,2919400.0
2010-04-06,58.06,58.48,58.0,58.2,2199500.0,0.0,1.0,26.549647626359,26.74170501532,26.522210856508,26.613666756013,2199500.0
2010-04-07,57.99,58.08,57.73,57.97,4295200.0,0.0,1.0,26.517638061533,26.55879321631,26.398745392176,26.508492471582,4295200.0
