Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,25.69,25.87,25.4,25.81,4550800.0,0.0,1.0,20.644476800927,20.789124750486,20.411432882193,20.740908767299,4550800.0
2010-01-05,25.71,26.22,25.59,26.18,7023400.0,0.0,1.0,20.660548795322,21.070384652406,20.56411682895,21.038240663615,7023400.0
2010-01-06,25.95,26.91,25.95,26.58,7824000.0,0.15,1.0,20.97109564414,21.746904962767,20.97109564414,21.480220509489,7824000.0
2010-01-07,26.53,27.96,26.42,27.65,9981500.0,0.0,1.0,21.439813774144,22.595446405016,21.350918956385,22.344924645876,9981500.0
2010-01-08,27.52,27.8,26.98,27.34,5948300.0,0.0,1.0,22.239867133978,22.466144851911,21.80347439225,22.094402886736,5948300.0
2010-01-11,27.54,27.54,27.0,27.34,4074200.0,0.0,1.0,22.256029828116,22.256029828116,21.819637086389,22.094402886736,4074200.0
2010-01-12,27.14,27.8,27.14,27.43,8415800.0,0.0,1.0,21.932775945355,22.466144851911,21.932775945355,22.167135010357,8415800.0
2010-01-13,27.41,28.0,27.34,27.9,5030400.0,0.0,1.0,22.150972316219,22.627771793292,22.094402886736,22.546958322601,5030400.0
2010-01-14,27.75,28.64,27.75,28.52,5784200.0,0.0,1.0,22.425738116566,23.14497800571,22.425738116566,23.048001840882,5784200.0
2010-01-15,28.29,28.38,27.63,27.76,7970000.0,0.0,1.0,22.862130858294,22.934862981915,22.328761951738,22.433819463635,7970000.0
2010-01-19,27.59,28.19,27.5,28.17,6210700.0,0.0,1.0,22.296436563461,22.781317387603,22.22370443984,22.765154693465,6210700.0
2010-01-20,27.98,28.63,27.75,28.5,6385100.0,0.0,1.0,22.611609099154,23.136896658641,22.425738116566,23.031839146743,6385100.0
2010-01-21,28.5,29.85,28.5,29.08,18024900.0,0.0,1.0,23.031839146743,24.122821001063,23.031839146743,23.500557276747,18024900.0
2010-01-22,28.99,29.28,27.29,28.15,16433600.0,0.0,1.0,23.427825153126,23.662184218128,22.05399615139,22.748991999327,16433600.0
2010-01-25,28.39,28.67,27.34,27.57,11303800.0,0.0,1.0,22.942944328984,23.169222046917,22.094402886736,22.280273869323,11303800.0
2010-01-26,27.39,27.76,26.72,26.8,10534100.0,0.0,1.0,22.134809622081,22.433819463635,21.593359368456,21.658010145008,10534100.0
2010-01-27,27.08,28.45,27.0,28.28,12624400.0,0.0,1.0,21.884287862941,22.991432411398,21.819637086389,22.854049511225,12624400.0
2010-01-28,28.28,28.79,28.05,28.32,11803700.0,0.0,1.0,22.854049511225,23.266198211745,22.668178528637,22.886374899501,11803700.0
2010-01-29,28.36,28.5,27.8,27.87,7489100.0,0.0,1.0,22.918700287777,23.031839146743,22.466144851911,22.522714281394,7489100.0
2010-02-01,28.0,28.32,27.85,28.22,6697800.0,0.0,1.0,22.627771793292,22.886374899501,22.506551587256,22.805561428811,6697800.0
2010-02-02,28.25,28.5,27.94,28.42,8551200.0,0.0,1.0,22.829805470018,23.031839146743,22.579283710878,22.967188370191,8551200.0
2010-02-03,28.25,28.34,27.61,27.8,7098300.0,0.0,1.0,22.829805470018,22.902537593639,22.3125992576,22.466144851911,7098300.0
2010-02-04,27.59,27.84,26.82,26.93,9222500.0,0.0,1.0,22.296436563461,22.498470240187,21.674172839146,21.763067656905,9222500.0
2010-02-05,27.03,27.77,26.76,27.51,8191000.0,0.0,1.0,21.843881127596,22.441900810704,21.625684756732,22.231785786909,8191000.0
2010-02-08,27.5,27.8,27.11,27.13,5785400.0,0.0,1.0,22.22370443984,22.466144851911,21.908531904148,21.924694598286,5785400.0
2010-02-09,27.37,27.61,26.94,27.2,6255300.0,0.0,1.0,22.118646927943,22.3125992576,21.771149003974,21.981264027769,6255300.0
2010-02-10,27.18,27.7385,27.09,27.37,4674400.0,0.0,1.0,21.965101333631,22.416444567437,21.89236921001,22.118646927943,4674400.0
2010-02-11,27.48,27.48,27.07,27.19,4456000.0,0.0,1.0,22.207541745702,22.207541745702,21.876206515872,21.9731826807,4456000.0
2010-02-12,27.0,27.22,26.61,26.92,6218400.0,0.0,1.0,21.819637086389,21.997426721907,21.504464550696,21.754986309836,6218400.0
2010-02-16,26.92,27.43,26.88,27.41,5202500.0,0.0,1.0,21.754986309836,22.167135010357,21.72266092156,22.150972316219,5202500.0
2010-02-17,27.35,27.47,27.05,27.22,4871200.0,0.0,1.0,22.102484233805,22.199460398633,21.860043821734,21.997426721907,4871200.0
2010-02-18,27.06,27.39,27.05,27.25,3649800.0,0.0,1.0,21.868125168803,22.134809622081,21.860043821734,22.021670763114,3649800.0
2010-02-19,27.11,27.45,27.1,27.31,4684500.0,0.0,1.0,21.908531904148,22.183297704495,21.900450557079,22.070158845529,4684500.0
2010-02-22,27.34,28.41,27.2,28.21,7221700.0,0.0,1.0,22.094402886736,22.959107023122,21.981264027769,22.797480081742,7221700.0
2010-02-23,28.07,28.34,27.62,27.75,6083700.0,0.0,1.0,22.684341222775,22.902537593639,22.320680604669,22.425738116566,6083700.0
2010-02-24,27.83,28.69,27.76,28.48,6612000.0,0.0,1.0,22.490388893118,23.185384741055,22.433819463635,23.015676452605,6612000.0
2010-02-25,28.15,28.27,27.8548,28.23,5600100.0,0.0,1.0,22.748991999327,22.845968164156,22.510430633849,22.81364277588,5600100.0
2010-02-26,28.22,28.63,27.99,28.53,5643900.0,0.0,1.0,22.805561428811,23.136896658641,22.619690446223,23.056083187951,5643900.0
2010-03-01,28.55,28.59,27.59,27.8,7718200.0,0.0,1.0,23.072245882089,23.104571270365,22.296436563461,22.466144851911,7718200.0
2010-03-02,27.9,28.08,27.75,27.81,4871400.0,0.0,1.0,22.546958322601,22.692422569844,22.425738116566,22.47422619898,4871400.0
2010-03-03,27.72,27.98,27.35,27.38,6655800.0,0.0,1.0,22.401494075359,22.611609099154,22.102484233805,22.126728275012,6655800.0
2010-03-04,27.88,28.12,27.61,27.81,6131300.0,0.0,1.0,22.530795628463,22.72474795812,22.3125992576,22.47422619898,6131300.0
2010-03-05,28.03,28.64,27.97,28.53,6500900.0,0.0,1.0,22.652015834499,23.14497800571,22.603527752085,23.056083187951,6500900.0
2010-03-08,28.51,28.82,28.4,28.71,4245200.0,0.0,1.0,23.039920493812,23.290442252953,22.951025676053,23.201547435193,4245200.0
2010-03-09,28.54,29.01,28.3,28.82,4891000.0,0.0,1.0,23.06416453502,23.443987847264,22.870212205363,23.290442252953,4891000.0
2010-03-10,28.85,29.75,28.81,29.63,8718200.0,0.0,1.0,23.31468629416,24.042007530373,23.282360905883,23.945031365544,8718200.0
2010-03-11,29.52,30.46,29.52,30.42,10564100.0,0.0,1.0,23.856136547785,24.615783172274,23.856136547785,24.583457783998,10564100.0
2010-03-12,30.42,30.95,30.39,30.7,8331800.0,0.0,1.0,24.583457783998,25.011769178657,24.559213742791,24.809735501931,8331800.0
2010-03-15,30.61,30.87,30.51,30.78,6248600.0,0.0,1.0,24.737003378309,24.947118402104,24.656189907619,24.874386278483,6248600.0
2010-03-16,30.84,31.69,30.76,31.59,8346500.0,0.0,1.0,24.922874360897,25.609788861765,24.858223584345,25.528975391075,8346500.0
2010-03-17,31.65,32.18,31.59,32.16,8175400.0,0.0,1.0,25.577463473489,26.005774868148,25.528975391075,25.989612174009,8175400.0
2010-03-18,32.0,32.39,31.72,31.91,8593100.0,0.0,1.0,25.860310620905,26.175483156597,25.634032902972,25.787578497284,8593100.0
2010-03-19,32.02,32.31,31.6,31.85,7386400.0,0.0,1.0,25.876473315043,26.110832380045,25.537056738144,25.739090414869,7386400.0
2010-03-22,31.57,32.09,31.44,32.0,4084400.0,0.0,1.0,25.512812696937,25.933042744526,25.407755185039,25.860310620905,4084400.0
2010-03-23,32.0,32.14,31.54,32.1,4567900.0,0.0,1.0,25.860310620905,25.973449479871,25.488568655729,25.941124091595,4567900.0
2010-03-24,31.95,32.42,31.92,32.12,5057300.0,0.0,1.0,25.81990388556,26.199727197804,25.795659844353,25.957286785733,5057300.0
2010-03-25,32.37,32.93,32.26,32.29,5651100.0,0.0,1.0,26.159320462459,26.611875898325,26.0704256447,26.094669685907,5651100.0
2010-03-26,32.32,32.84,31.94,32.25,6044900.0,0.0,1.0,26.118913727114,26.539143774704,25.811822538491,26.062344297631,6044900.0
2010-03-29,32.4,32.57,32.01,32.2,4444000.0,0.0,1.0,26.183564503666,26.32094740384,25.868391967974,26.021937562286,4444000.0
2010-03-30,32.23,32.36,31.82,31.97,4840200.0,0.0,1.0,26.046181603493,26.15123911539,25.714846373662,25.836066579698,4840200.0
2010-03-31,31.88,32.68,31.835,32.39,5135800.0,0.0,1.0,25.763334456077,26.409842221599,25.726968394266,26.175483156597,5135800.0
2010-04-01,32.62,32.73,32.17,32.47,4347800.0,0.0,1.0,26.361354139185,26.450248956944,25.997693521079,26.240133933149,4347800.0
