Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,21.4,21.75,21.28,21.7,330000.0,0.0,1.0,10.7,10.875,10.64,10.85,660000.0
2010-01-05,21.74,21.8,20.99,21.01,424400.0,0.0,1.0,10.87,10.9,10.495,10.505,848800.0
2010-01-06,20.95,21.28,20.92,21.26,271600.0,0.0,1.0,10.475,10.64,10.46,10.63,543200.0
2010-01-07,21.26,21.85,21.16,21.79,380100.0,0.0,1.0,10.63,10.925,10.58,10.895,760200.0
2010-01-08,21.63,21.63,21.29,21.57,299100.0,0.0,1.0,10.815,10.815,10.645,10.785,598200.0
2010-01-11,21.58,21.62,21.28,21.4,209400.0,0.0,1.0,10.79,10.81,10.64,10.7,418800.0
2010-01-12,21.23,21.36,21.09,21.32,221900.0,0.0,1.0,10.615,10.68,10.545,10.66,443800.0
2010-01-13,21.39,22.09,21.34,21.7,1670300.0,0.0,1.0,10.695,11.045,10.67,10.85,3340600.0
2010-01-14,21.78,22.15,21.65,22.0,227200.0,0.0,1.0,10.89,11.075,10.825,11.0,454400.0
2010-01-15,22.07,22.22,21.82,22.04,385600.0,0.0,1.0,11.035,11.11,10.91,11.02,771200.0
2010-01-19,21.53,21.61,20.76,21.0,788800.0,0.0,1.0,10.765,10.805,10.38,10.5,1577600.0
2010-01-20,20.91,21.0,19.43,19.56,1448600.0,0.0,1.0,10.455,10.5,9.715,9.78,2897200.0
2010-01-21,19.48,20.07,19.12,19.41,885400.0,0.0,1.0,9.74,10.035,9.56,9.705,1770800.0
2010-01-22,19.55,20.24,19.35,19.94,4979800.0,0.0,1.0,9.775,10.12,9.675,9.97,9959600.0
2010-01-25,19.89,20.1,19.53,19.79,765700.0,0.0,1.0,9.945,10.05,9.765,9.895,1531400.0
2010-01-26,19.69,19.8,19.37,19.45,912100.0,0.0,1.0,9.845,9.9,9.685,9.725,1824200.0
2010-01-27,19.46,19.96,19.35,19.69,522700.0,0.0,1.0,9.73,9.98,9.675,9.845,1045400.0
2010-01-28,19.77,19.94,19.34,19.52,488500.0,0.0,1.0,9.885,9.97,9.67,9.76,977000.0
2010-01-29,19.51,19.69,19.24,19.25,877100.0,0.0,1.0,9.755,9.845,9.62,9.625,1754200.0
2010-02-01,19.35,19.47,19.25,19.28,648300.0,0.0,1.0,9.675,9.735,9.625,9.64,1296600.0
2010-02-02,19.25,19.34,18.91,19.23,587100.0,0.0,1.0,9.625,9.67,9.455,9.615,1174200.0
2010-02-03,19.24,19.33,19.02,19.11,323300.0,0.0,1.0,9.62,9.665,9.51,9.555,646600.0
2010-02-04,18.98,19.13,18.53,18.54,403700.0,0.0,1.0,9.49,9.565,9.265,9.27,807400.0
2010-02-05,18.54,18.63,17.93,18.4,417000.0,0.0,1.0,9.27,9.315,8.965,9.2,834000.0
2010-02-08,18.44,18.56,17.89,18.08,355200.0,0.0,1.0,9.22,9.28,8.945,9.04,710400.0
2010-02-09,18.19,18.47,17.6,18.3,699500.0,0.0,1.0,9.095,9.235,8.8,9.15,1399000.0
2010-02-10,18.16,18.3,17.77,18.02,800600.0,0.0,1.0,9.08,9.15,8.885,9.01,1601200.0
2010-02-11,17.93,18.02,17.65,17.98,547500.0,0.0,1.0,8.965,9.01,8.825,8.99,1095000.0
2010-02-12,17.9,18.19,17.7,18.15,498800.0,0.0,1.0,8.95,9.095,8.85,9.075,997600.0
2010-02-16,18.19,18.33,17.75,18.03,398900.0,0.0,1.0,9.095,9.165,8.875,9.015,797800.0
2010-02-17,18.12,18.29,18.005,18.05,342300.0,0.0,1.0,9.06,9.145,9.0025,9.025,684600.0
2010-02-18,17.98,18.32,17.81,18.09,423300.0,0.0,1.0,8.99,9.16,8.905,9.045,846600.0
2010-02-19,18.11,18.37,17.95,18.19,525500.0,0.0,1.0,9.055,9.185,8.975,9.095,1051000.0
2010-02-22,18.15,18.36,17.93,18.03,264000.0,0.0,1.0,9.075,9.18,8.965,9.015,528000.0
2010-02-23,18.06,18.06,17.85,17.97,334500.0,0.0,1.0,9.03,9.03,8.925,8.985,669000.0
2010-02-24,17.95,18.01,17.72,17.88,245300.0,0.0,1.0,8.975,9.005,8.86,8.94,490600.0
2010-02-25,17.7,18.03,17.7,17.92,286100.0,0.0,1.0,8.85,9.015,8.85,8.96,572200.0
2010-02-26,17.96,18.0,17.77,17.87,283000.0,0.0,1.0,8.98,9.0,8.885,8.935,566000.0
2010-03-01,17.93,18.26,17.71,18.21,387700.0,0.0,1.0,8.965,9.13,8.855,9.105,775400.0
2010-03-02,18.21,18.67,18.21,18.55,868600.0,0.0,1.0,9.105,9.335,9.105,9.275,1737200.0
2010-03-03,18.63,18.67,18.43,18.56,289800.0,0.0,1.0,9.315,9.335,9.215,9.28,579600.0
2010-03-04,18.55,18.86,18.36,18.59,205100.0,0.0,1.0,9.275,9.43,9.18,9.295,410200.0
2010-03-05,18.62,18.71,18.43,18.63,447300.0,0.0,1.0,9.31,9.355,9.215,9.315,894600.0
2010-03-08,18.68,18.74,18.47,18.5,321300.0,0.0,1.0,9.34,9.37,9.235,9.25,642600.0
2010-03-09,18.4,18.5,17.84,17.91,673900.0,0.0,1.0,9.2,9.25,8.92,8.955,1347800.0
2010-03-10,17.96,17.995,17.71,17.95,516300.0,0.0,1.0,8.98,8.9975,8.855,8.975,1032600.0
2010-03-11,17.93,18.33,17.84,18.3,602900.0,0.0,1.0,8.965,9.165,8.92,9.15,1205800.0
