Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,59.12,60.05,59.09,59.92,955200.0,0.0,1.0,29.56,30.025,29.545,29.96,1910400.0
2010-01-05,60.09,60.29,59.23,59.41,770500.0,0.0,1.0,30.045,30.145,29.615,29.705,1541000.0
2010-01-06,59.49,59.52,58.81,59.06,649800.0,0.0,1.0,29.745,29.76,29.405,29.53,1299600.0
2010-01-07,58.82,59.6,58.51,59.57,763200.0,0.0,1.0,29.41,29.8,29.255,29.785,1526400.0
2010-01-08,59.79,61.21,59.59,61.0,1221300.0,0.0,1.0,29.895,30.605,29.795,30.5,2442600.0
2010-01-11,61.0,62.1,60.56,61.79,1186900.0,0.0,1.0,30.5,31.05,30.28,30.895,2373800.0
2010-01-12,61.63,62.16,60.81,61.26,765500.0,0.0,1.0,30.815,31.08,30.405,30.63,1531000.0
2010-01-13,61.3,62.31,61.24,62.17,391000.0,0.0,1.0,30.65,31.155,30.62,31.085,782000.0
2010-01-14,61.97,62.48,61.83,62.15,420100.0,0.0,1.0,30.985,31.24,30.915,31.075,840200.0
2010-01-15,61.91,62.02,61.33,61.66,462100.0,0.0,1.0,30.955,31.01,30.665,30.83,924200.0
2010-01-19,61.68,62.74,61.56,62.7,529800.0,0.0,1.0,30.84,31.37,30.78,31.35,1059600.0
2010-01-20,62.7,63.41,62.0,62.45,716600.0,0.0,1.0,31.35,31.705,31.0,31.225,1433200.0
2010-01-21,62.31,62.61,61.371,62.19,965900.0,0.0,1.0,31.155,31.305,30.6855,31.095,1931800.0
2010-01-22,61.81,62.52,60.55,60.73,1071100.0,0.0,1.0,30.905,31.26,30.275,30.365,2142200.0
2010-01-25,60.93,61.32,60.22,60.6,755100.0,0.0,1.0,30.465,30.66,30.11,30.3,1510200.0
2010-01-26,60.5,60.87,60.45,60.6,609300.0,0.0,1.0,30.25,30.435,30.225,30.3,1218600.0
2010-01-27,60.44,60.91,60.19,60.67,668000.0,0.0,1.0,30.22,30.455,30.095,30.335,1336000.0
2010-01-28,60.97,61.21,59.77,60.1,914300.0,0.0,1.0,30.485,30.605,29.885,30.05,1828600.0
2010-01-29,60.08,60.4,59.64,59.76,666800.0,0.0,1.0,30.04,30.2,29.82,29.88,1333600.0
2010-02-01,60.08,60.52,59.37,60.43,633800.0,0.0,1.0,30.04,30.26,29.685,30.215,1267600.0
2010-02-02,60.53,61.73,60.01,61.5,775000.0,0.0,1.0,30.265,30.865,30.005,30.75,1550000.0
2010-02-03,61.01,61.26,60.63,61.04,652700.0,0.0,1.0,30.505,30.63,30.315,30.52,1305400.0
2010-02-04,60.22,60.75,59.64,59.76,839900.0,0.0,1.0,30.11,30.375,29.82,29.88,1679800.0
2010-02-05,59.63,60.56,59.48,60.43,1123600.0,0.0,1.0,29.815,30.28,29.74,30.215,2247200.0
2010-02-08,60.33,60.57,59.96,60.06,708400.0,0.0,1.0,30.165,30.285,29.98,30.03,1416800.0
2010-02-09,60.47,61.5,60.36,61.2,1021700.0,0.0,1.0,30.235,30.75,30.18,30.6,2043400.0
2010-02-10,61.02,61.36,60.2301,60.82,748100.0,0.0,1.0,30.51,30.68,30.11505,30.41,1496200.0
2010-02-11,60.29,61.13,58.79,59.99,1530800.0,0.0,1.0,30.145,30.565,29.395,29.995,3061600.0
2010-02-12,59.75,60.0,58.56,58.98,1151100.0,0.0,1.0,29.875,30.0,29.28,29.49,2302200.0
2010-02-16,59.29,59.77,58.73,59.5,811500.0,0.0,1.0,29.645,29.885,29.365,29.75,1623000.0
2010-02-17,59.87,60.92,59.7,60.35,1307900.0,0.0,1.0,29.935,30.46,29.85,30.175,2615800.0
2010-02-18,60.38,61.22,60.23,61.19,785400.0,0.0,1.0,30.19,30.61,30.115,30.595,1570800.0
2010-02-19,60.95,61.88,60.7,61.61,830500.0,0.0,1.0,30.475,30.94,30.35,30.805,1661000.0
2010-02-22,61.57,61.98,61.12,61.6,339700.0,0.0,1.0,30.785,30.99,30.56,30.8,679400.0
2010-02-23,61.38,61.59,60.99,61.12,779600.0,0.0,1.0,30.69,30.795,30.495,30.56,1559200.0
2010-02-24,61.35,61.75,60.95,61.67,1216100.0,0.0,1.0,30.675,30.875,30.475,30.835,2432200.0
2010-02-25,61.23,61.67,60.73,61.49,992500.0,0.0,1.0,30.615,30.835,30.365,30.745,1985000.0
2010-02-26,61.66,62.04,61.33,61.61,628500.0,0.0,1.0,30.83,31.02,30.665,30.805,1257000.0
2010-03-01,61.85,64.47,61.82,63.1,1629100.0,0.0,1.0,30.925,32.235,30.91,31.55,3258200.0
2010-03-02,62.95,63.81,62.7,63.54,957100.0,0.0,1.0,31.475,31.905,31.35,31.77,1914200.0
2010-03-03,62.07,63.5,61.66,63.02,870600.0,0.0,1.0,31.035,31.75,30.83,31.51,1741200.0
2010-03-04,63.02,63.56,62.95,63.52,764100.0,0.0,1.0,31.51,31.78,31.475,31.76,1528200.0
2010-03-05,63.55,64.16,63.23,64.15,783700.0,0.0,1.0,31.775,32.08,31.615,32.075,1567400.0
2010-03-08,64.15,64.55,62.53,62.56,1716100.0,0.0,1.0,32.075,32.275,31.265,31.28,3432200.0
2010-03-09,62.41,62.95,62.09,62.49,1178200.0,0.0,1.0,31.205,31.475,31.045,31.245,2356400.0
2010-03-10,62.4,62.65,60.76,60.9,2330900.0,0.0,1.0,31.2,31.325,30.38,30.45,4661800.0
2010-03-11,60.93,62.78,60.93,62.74,1217700.0,0.0,1.0,30.465,31.39,30.465,31.37,2435400.0
2010-03-12,62.76,62.76,62.2,62.37,619100.0,0.0,1.0,31.38,31.38,31.1,31.185,1238200.0
2010-03-15,62.36,62.64,61.93,62.58,565100.0,0.0,1.0,31.18,31.32,30.965,31.29,1130200.0
2010-03-16,62.56,62.76,62.02,62.67,438000.0,0.0,1.0,31.28,31.38,31.01,31.335,876000.0
2010-03-17,62.67,63.46,62.4,63.39,984100.0,0.0,1.0,31.335,31.73,31.2,31.695,1968200.0
2010-03-18,63.5,63.76,63.04,63.68,575900.0,0.0,1.0,31.75,31.88,31.52,31.84,1151800.0
2010-03-19,63.73,63.85,63.23,63.37,723300.0,0.0,1.0,31.865,31.925,31.615,31.685,1446600.0
2010-03-22,63.35,64.54,63.23,64.19,601200.0,0.0,1.0,31.675,32.27,31.615,32.095,1202400.0
2010-03-23,64.36,64.36,63.3,63.82,653800.0,0.0,1.0,32.18,32.18,31.65,31.91,1307600.0
2010-03-24,63.83,63.9,63.0,63.21,449300.0,0.0,1.0,31.915,31.95,31.5,31.605,898600.0
2010-03-25,63.48,63.65,62.91,62.95,481200.0,0.0,1.0,31.74,31.825,31.455,31.475,962400.0
