Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,61.5,61.93,60.86,61.75,723200.0,0.0,1.0,25.855589661981,26.036368581569,25.58652336306,25.960693684997,1446400.0
2010-01-05,61.86,62.1,60.37,60.96,1134900.0,0.0,1.0,26.006939455124,26.10783931722,25.380519477948,25.628564972266,2269800.0
2010-01-06,60.91,61.98,59.97,60.55,1549500.0,0.0,1.0,25.607544167663,26.057389386172,25.212353041122,25.45619437452,3099000.0
2010-01-07,60.32,61.2,60.13,60.7,538100.0,0.0,1.0,25.359498673345,25.729464834362,25.279619615852,25.519256788329,1076200.0
2010-01-08,60.45,60.95,60.17,60.86,426700.0,0.0,1.0,25.414152765313,25.624360811346,25.296436259535,25.58652336306,853400.0
2010-01-11,61.33,61.48,60.56,60.89,427800.0,0.0,1.0,25.78411892633,25.84718134014,25.46039853544,25.599135845822,855600.0
2010-01-12,60.05,60.385,59.43,60.25,1036800.0,0.0,1.0,25.245986328487,25.386825719329,24.985328351407,25.3300695469,2073600.0
2010-01-13,60.33,61.88,59.99,61.58,743000.0,0.0,1.0,25.363702834265,26.015347776966,25.220761362963,25.889222949346,1486000.0
2010-01-14,61.36,61.84,60.5,60.7,618600.0,0.0,1.0,25.796731409092,25.998531133283,25.435173569916,25.519256788329,1237200.0
2010-01-15,60.63,60.9,59.85,60.42,650100.0,0.0,1.0,25.489827661885,25.603340006742,25.161903110074,25.401540282551,1300200.0
2010-01-19,60.45,61.82,60.09,61.81,474400.0,0.0,1.0,25.414152765313,25.990122811442,25.26280297217,25.985918650521,948800.0
2010-01-20,61.02,61.02,59.86,60.93,566300.0,0.0,1.0,25.65378993779,25.65378993779,25.166107270995,25.615952489504,1132600.0
2010-01-21,61.13,61.39,58.74,58.75,809900.0,0.0,1.0,25.700035707917,25.809343891854,24.695241247882,24.699445408803,1619800.0
2010-01-22,58.58,59.158,57.35,57.41,752000.0,0.0,1.0,24.627974673152,24.870975174366,24.110862879912,24.136087845436,1504000.0
2010-01-25,58.35,58.71,58.06,58.11,418600.0,0.0,1.0,24.531278971977,24.682628765121,24.409358305278,24.430379109882,837200.0
2010-01-26,57.81,58.8,57.5,57.7,542900.0,0.0,1.0,24.304254282262,24.720466213406,24.173925293722,24.258008512135,1085800.0
2010-01-27,57.68,58.21,56.68,58.06,660700.0,0.0,1.0,24.249600190294,24.472420719088,23.829184098229,24.409358305278,1321400.0
2010-01-28,58.0,58.37,56.31,56.98,847400.0,0.0,1.0,24.384133339755,24.539687293819,23.673630144165,23.955308925849,1694800.0
2010-01-29,59.03,59.9,56.43,56.53,1992700.0,0.0,1.0,24.817161914581,25.182923914678,23.724080075213,23.766121684419,3985400.0
2010-02-01,58.1,60.0,58.1,59.97,1234000.0,0.0,1.0,24.426174948961,25.224965523884,24.426174948961,25.212353041122,2468000.0
2010-02-02,59.89,60.35,58.98,59.61,1685200.0,0.0,1.0,25.178719753757,25.372111156107,24.796141109978,25.061003247979,3370400.0
2010-02-03,59.13,59.94,58.63,59.29,799200.0,0.0,1.0,24.859203523788,25.19974055836,24.648995477755,24.926470098518,1598400.0
2010-02-04,58.56,58.56,57.0,57.48,1003700.0,0.0,1.0,24.619566351311,24.619566351311,23.96371724769,24.165516971881,2007400.0
2010-02-05,57.63,58.08,55.87,57.64,1560900.0,0.0,1.0,24.228579385691,24.41776662712,23.488647063657,24.232783546611,3121800.0
2010-02-08,57.55,58.07,56.45,56.59,965000.0,0.0,1.0,24.194946098325,24.413562466199,23.732488397054,23.791346649943,1930000.0
2010-02-09,57.42,58.27,56.68,57.86,837500.0,0.0,1.0,24.140292006357,24.497645684612,23.829184098229,24.325275086866,1675000.0
