Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,87.67,88.4,87.14,87.47,257700.0,0.0,1.0,21.9175,22.1,21.785,21.8675,1030800.0
2010-01-05,87.2,88.1,87.15,88.1,232300.0,0.0,1.0,21.8,22.025,21.7875,22.025,929200.0
2010-01-06,88.29,89.47,87.71,89.07,250800.0,0.0,1.0,22.0725,22.3675,21.9275,22.2675,1003200.0
2010-01-07,89.54,90.1,88.61,89.88,225200.0,0.0,1.0,22.385,22.525,22.1525,22.47,900800.0
2010-01-08,90.64,90.83,89.32,89.48,297900.0,0.0,1.0,22.66,22.7075,22.33,22.37,1191600.0
2010-01-11,90.0,91.46,89.85,91.43,369800.0,0.0,1.0,22.5,22.865,22.4625,22.8575,1479200.0
2010-01-12,91.0,91.8,90.5,91.75,433800.0,0.0,1.0,22.75,22.95,22.625,22.9375,1735200.0
2010-01-13,92.0,92.68,91.42,92.11,233500.0,0.0,1.0,23.0,23.17,22.855,23.0275,934000.0
2010-01-14,92.33,92.57,92.03,92.42,261900.0,0.0,1.0,23.0825,23.1425,23.0075,23.105,1047600.0
2010-01-15,92.6,92.6,90.68,91.59,405200.0,0.0,1.0,23.15,23.15,22.67,22.8975,1620800.0
2010-01-19,91.72,93.06,91.7,93.05,288300.0,0.0,1.0,22.93,23.265,22.925,23.2625,1153200.0
2010-01-20,92.9,94.08,92.3,93.95,392100.0,0.0,1.0,23.225,23.52,23.075,23.4875,1568400.0
2010-01-21,94.41,94.55,93.26,94.07,419100.0,0.0,1.0,23.6025,23.6375,23.315,23.5175,1676400.0
2010-01-22,93.84,93.84,90.7,90.92,579700.0,0.0,1.0,23.46,23.46,22.675,22.73,2318800.0
2010-01-25,90.91,92.42,89.99,91.82,422000.0,0.0,1.0,22.7275,23.105,22.4975,22.955,1688000.0
2010-01-26,91.19,92.24,91.17,91.68,180500.0,0.0,1.0,22.7975,23.06,22.7925,22.92,722000.0
2010-01-27,91.37,91.97,91.0,91.56,192900.0,0.0,1.0,22.8425,22.9925,22.75,22.89,771600.0
2010-01-28,91.43,92.74,90.39,90.54,347200.0,0.0,1.0,22.8575,23.185,22.5975,22.635,1388800.0
2010-01-29,91.17,91.2,89.62,89.62,361900.0,0.0,1.0,22.7925,22.8,22.405,22.405,1447600.0
2010-02-01,89.6,90.53,89.0,90.23,217600.0,0.0,1.0,22.4,22.6325,22.25,22.5575,870400.0
2010-02-02,90.57,93.16,90.08,93.03,286400.0,0.0,1.0,22.6425,23.29,22.52,23.2575,1145600.0
2010-02-03,93.02,93.9,92.25,92.44,397500.0,0.0,1.0,23.255,23.475,23.0625,23.11,1590000.0
2010-02-04,92.21,92.49,89.38,89.66,626200.0,0.0,1.0,23.0525,23.1225,22.345,22.415,2504800.0
2010-02-05,88.44,89.88,85.25,89.72,1416100.0,0.0,1.0,22.11,22.47,21.3125,22.43,5664400.0
2010-02-08,89.605,89.605,86.96,87.05,808800.0,0.0,1.0,22.40125,22.40125,21.74,21.7625,3235200.0
2010-02-09,88.0,88.25,85.61,86.65,725100.0,0.0,1.0,22.0,22.0625,21.4025,21.6625,2900400.0
2010-02-10,86.11,86.45,84.61,85.81,509100.0,0.0,1.0,21.5275,21.6125,21.1525,21.4525,2036400.0
