Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,84.21,85.0,83.11,83.45,3215100.0,0.0,1.0,80.134837635286,80.886607279412,79.088069776376,79.411616205493,3215100.0
2010-01-05,83.44,84.59,82.64,84.54,2493300.0,0.0,1.0,79.402100134049,80.496448350182,78.640814418478,80.448867992959,2493300.0
2010-01-06,84.33,85.12,83.61,83.84,2491000.0,0.0,1.0,80.249030492621,81.000800136748,79.563873348607,79.782742991834,2491000.0
2010-01-07,83.85,83.85,82.4,82.93,3093200.0,0.0,1.0,79.792259063279,79.792259063279,78.412428703806,78.916780490372,3093200.0
2010-01-08,84.08,85.26,82.95,84.99,4351200.0,0.0,1.0,80.011128706505,81.134025136972,78.935812633261,80.877091207967,4351200.0
2010-01-11,85.59,88.29,85.4,87.25,6131900.0,0.0,1.0,81.448055494645,84.017394784697,81.267250137197,83.027723354455,6131900.0
2010-01-12,86.44,88.68,85.6,86.58,3345100.0,0.0,1.0,82.25692156744,84.388521571038,81.45757156609,82.390146567664,3345100.0
2010-01-13,86.95,87.33,85.15,85.82,2855700.0,0.0,1.0,82.742241211116,83.103851926012,81.029348351081,81.666925137872,2855700.0
2010-01-14,85.58,86.45,85.09,86.29,2104300.0,0.0,1.0,81.438539423201,82.266437638884,80.972251922414,82.11418049577,2104300.0
2010-01-15,86.34,86.8,84.93,85.11,4369700.0,0.0,1.0,82.161760852993,82.599500139446,80.819994779299,80.991284065303,4369700.0
2010-01-19,84.97,86.26,84.97,85.9,2289200.0,0.0,1.0,80.858059065078,82.085632281436,80.858059065078,81.743053709429,2289200.0
2010-01-20,84.75,84.8,83.08,84.06,2793100.0,0.0,1.0,80.648705493296,80.696285850519,79.059521562042,79.992096563616,2793100.0
2010-01-21,84.35,84.48,81.3,81.6,2865500.0,0.0,1.0,80.268062635511,80.391771564291,77.365660844896,77.651142988235,2865500.0
2010-01-22,81.32,81.86,80.19,80.29,2551800.0,0.0,1.0,77.384692987786,77.898560845796,76.309376914542,76.404537628988,2551800.0
2010-01-25,81.22,81.22,79.15,80.69,1878500.0,0.0,1.0,77.289532273339,77.289532273339,75.319705484299,76.785180486773,1878500.0
2010-01-26,80.46,81.2315,79.51,80.76,2272300.0,0.0,1.0,76.566310843547,77.300475755501,75.662284056306,76.851792986886,2272300.0
2010-01-27,80.75,80.77,78.61,80.42,3523900.0,0.0,1.0,76.842276915441,76.861309058331,74.805837626289,76.528246557768,3523900.0
2010-01-28,80.98,80.98,78.39,79.07,1974200.0,0.0,1.0,77.061146558668,77.061146558668,74.596484054507,75.243576912742,1974200.0
2010-01-29,79.68,80.7,78.3,78.35,3139500.0,0.0,1.0,75.824057270865,76.794696558218,74.510839411505,74.558419768728,3139500.0
2010-02-01,78.81,80.73,78.76,80.67,3056600.0,0.0,1.0,74.996159055182,76.823244772552,74.948578697959,76.766148343884,3056600.0
2010-02-02,81.07,82.55,80.36,82.33,3217400.0,0.0,1.0,77.14679120167,78.555169775476,76.4711501291,78.345816203694,3217400.0
2010-02-03,81.66,82.85,80.91,82.12,2593700.0,0.0,1.0,77.708239416903,78.840651918815,76.994534058555,78.145978703357,2593700.0
2010-02-04,81.36,81.74,78.75,78.85,3830100.0,0.0,1.0,77.422757273564,77.78436798846,74.939062626514,75.03422334096,3830100.0
