Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,53.35,54.47,53.35,53.98,674900.0,0.0,1.0,53.35,54.47,53.35,53.98,674900.0
2010-01-05,53.28,53.49,51.57,52.52,2143400.0,0.0,1.0,53.28,53.49,51.57,52.52,2143400.0
2010-01-06,52.195,53.32,52.195,52.76,1405000.0,0.0,1.0,52.195,53.32,52.195,52.76,1405000.0
2010-01-07,52.75,53.05,51.6,52.23,954700.0,0.0,1.0,52.75,53.05,51.6,52.23,954700.0
2010-01-08,52.17,52.96,51.88,52.96,457600.0,0.0,1.0,52.17,52.96,51.88,52.96,457600.0
2010-01-11,53.57,53.6,52.19,52.45,514500.0,0.0,1.0,53.57,53.6,52.19,52.45,514500.0
2010-01-12,52.14,52.49,50.4,51.02,956200.0,0.0,1.0,52.14,52.49,50.4,51.02,956200.0
2010-01-13,51.02,52.71,51.02,52.39,803900.0,0.0,1.0,51.02,52.71,51.02,52.39,803900.0
2010-01-14,52.3,53.0,51.66,52.14,586000.0,0.0,1.0,52.3,53.0,51.66,52.14,586000.0
2010-01-15,51.93,52.8,51.13,51.39,684900.0,0.0,1.0,51.93,52.8,51.13,51.39,684900.0
2010-01-19,51.48,52.73,51.25,52.33,943900.0,0.0,1.0,51.48,52.73,51.25,52.33,943900.0
2010-01-20,52.21,53.11,51.5,53.01,1578200.0,0.0,1.0,52.21,53.11,51.5,53.01,1578200.0
2010-01-21,55.38,56.19,53.07,54.61,3792600.0,0.0,1.0,55.38,56.19,53.07,54.61,3792600.0
2010-01-22,54.72,54.94,51.9,52.28,1734600.0,0.0,1.0,54.72,54.94,51.9,52.28,1734600.0
2010-01-25,52.63,53.7,51.86,53.48,1368900.0,0.0,1.0,52.63,53.7,51.86,53.48,1368900.0
2010-01-26,53.26,53.59,52.27,52.39,1462200.0,0.0,1.0,53.26,53.59,52.27,52.39,1462200.0
2010-01-27,52.26,52.65,51.1,51.63,1406700.0,0.0,1.0,52.26,52.65,51.1,51.63,1406700.0
2010-01-28,51.52,51.73,49.64,50.72,2151800.0,0.0,1.0,51.52,51.73,49.64,50.72,2151800.0
2010-01-29,51.0,51.49,49.27,49.43,1532500.0,0.0,1.0,51.0,51.49,49.27,49.43,1532500.0
2010-02-01,49.53,50.41,49.33,50.39,1063000.0,0.0,1.0,49.53,50.41,49.33,50.39,1063000.0
2010-02-02,48.41,50.82,47.84,50.48,1752100.0,0.0,1.0,48.41,50.82,47.84,50.48,1752100.0
2010-02-03,50.25,51.47,49.77,50.46,1419700.0,0.0,1.0,50.25,51.47,49.77,50.46,1419700.0
2010-02-04,49.93,50.22,48.31,48.36,1235800.0,0.0,1.0,49.93,50.22,48.31,48.36,1235800.0
2010-02-05,48.94,48.94,47.11,48.43,1661500.0,0.0,1.0,48.94,48.94,47.11,48.43,1661500.0
2010-02-08,48.51,49.69,48.49,48.52,1021800.0,0.0,1.0,48.51,49.69,48.49,48.52,1021800.0
2010-02-09,49.11,50.46,49.11,50.25,1492000.0,0.0,1.0,49.11,50.46,49.11,50.25,1492000.0
2010-02-10,49.98,50.43,49.635,49.96,941000.0,0.0,1.0,49.98,50.43,49.635,49.96,941000.0
2010-02-11,49.85,53.8,49.76,53.71,2496200.0,0.0,1.0,49.85,53.8,49.76,53.71,2496200.0
