Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,53.7,54.35,53.43,54.08,162600.0,0.0,1.0,26.85,27.175,26.715,27.04,325200.0
2010-01-05,53.76,54.17,53.55,54.17,111800.0,0.0,1.0,26.88,27.085,26.775,27.085,223600.0
2010-01-06,54.03,54.74,54.03,54.3,131200.0,0.0,1.0,27.015,27.37,27.015,27.15,262400.0
2010-01-07,54.07,56.65,53.94,56.36,374100.0,0.0,1.0,27.035,28.325,26.97,28.18,748200.0
2010-01-08,56.42,56.9,55.81,55.91,321400.0,0.0,1.0,28.21,28.45,27.905,27.955,642800.0
2010-01-11,56.03,57.91,56.03,57.77,348600.0,0.0,1.0,28.015,28.955,28.015,28.885,697200.0
2010-01-12,57.7,57.77,57.18,57.68,246400.0,0.0,1.0,28.85,28.885,28.59,28.84,492800.0
2010-01-13,57.64,59.31,57.64,59.15,520000.0,0.0,1.0,28.82,29.655,28.82,29.575,1040000.0
2010-01-14,59.2,59.95,59.2,59.63,253000.0,0.0,1.0,29.6,29.975,29.6,29.815,506000.0
2010-01-15,59.5,59.63,58.53,59.1,211300.0,0.0,1.0,29.75,29.815,29.265,29.55,422600.0
2010-01-19,59.01,59.75,58.6,59.35,291400.0,0.0,1.0,29.505,29.875,29.3,29.675,582800.0
2010-01-20,59.12,59.51,58.47,59.07,176700.0,0.0,1.0,29.56,29.755,29.235,29.535,353400.0
2010-01-21,58.97,59.09,58.25,58.36,174900.0,0.0,1.0,29.485,29.545,29.125,29.18,349800.0
2010-01-22,58.46,58.55,57.06,57.19,250500.0,0.0,1.0,29.23,29.275,28.53,28.595,501000.0
2010-01-25,57.68,57.68,56.46,56.75,292100.0,0.0,1.0,28.84,28.84,28.23,28.375,584200.0
2010-01-26,56.75,57.1,56.6,56.92,124100.0,0.0,1.0,28.375,28.55,28.3,28.46,248200.0
2010-01-27,56.63,57.06,56.18,56.7,234700.0,0.0,1.0,28.315,28.53,28.09,28.35,469400.0
2010-01-28,56.59,58.02,56.04,57.97,345700.0,0.0,1.0,28.295,29.01,28.02,28.985,691400.0
2010-01-29,56.82,58.1,52.49,52.49,1831800.0,0.0,1.0,28.41,29.05,26.245,26.245,3663600.0
2010-02-01,52.75,53.3,49.03,49.93,1842500.0,0.0,1.0,26.375,26.65,24.515,24.965,3685000.0
2010-02-02,50.11,51.18,49.52,50.92,1039800.0,0.0,1.0,25.055,25.59,24.76,25.46,2079600.0
2010-02-03,50.75,50.96,50.3401,50.88,360400.0,0.0,1.0,25.375,25.48,25.17005,25.44,720800.0
2010-02-04,50.46,51.11,50.0975,50.49,714000.0,0.0,1.0,25.23,25.555,25.04875,25.245,1428000.0
2010-02-05,50.36,50.83,49.26,50.05,580600.0,0.0,1.0,25.18,25.415,24.63,25.025,1161200.0
2010-02-08,49.6,50.26,49.25,49.99,365400.0,0.0,1.0,24.8,25.13,24.625,24.995,730800.0
2010-02-09,49.91,50.63,49.75,50.56,287300.0,0.0,1.0,24.955,25.315,24.875,25.28,574600.0
2010-02-10,50.7,51.0,49.93,50.41,300400.0,0.0,1.0,25.35,25.5,24.965,25.205,600800.0
2010-02-11,50.55,52.14,50.26,52.0,422400.0,0.0,1.0,25.275,26.07,25.13,26.0,844800.0
2010-02-12,51.32,53.43,51.32,53.31,428000.0,0.0,1.0,25.66,26.715,25.66,26.655,856000.0
2010-02-16,53.04,53.58,52.56,53.58,383100.0,0.0,1.0,26.52,26.79,26.28,26.79,766200.0
2010-02-17,53.54,54.37,53.16,53.63,240700.0,0.0,1.0,26.77,27.185,26.58,26.815,481400.0
2010-02-18,53.78,54.19,53.29,53.89,203000.0,0.0,1.0,26.89,27.095,26.645,26.945,406000.0
2010-02-19,53.7,54.15,52.9,52.95,366500.0,0.0,1.0,26.85,27.075,26.45,26.475,733000.0
