Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,24.48,24.48,23.87,23.98,2122800.0,0.0,1.0,24.48,24.48,23.87,23.98,2122800.0
2010-01-05,24.03,24.12,23.6,24.12,1689300.0,0.0,1.0,24.03,24.12,23.6,24.12,1689300.0
2010-01-06,24.18,24.5,24.01,24.43,1566900.0,0.0,1.0,24.18,24.5,24.01,24.43,1566900.0
2010-01-07,24.36,24.68,24.11,24.2,1550800.0,0.0,1.0,24.36,24.68,24.11,24.2,1550800.0
2010-01-08,24.1,24.33,23.85,24.31,895000.0,0.0,1.0,24.1,24.33,23.85,24.31,895000.0
2010-01-11,24.34,24.35,23.8,23.95,900800.0,0.0,1.0,24.34,24.35,23.8,23.95,900800.0
2010-01-12,23.75,23.75,23.18,23.37,2092100.0,0.0,1.0,23.75,23.75,23.18,23.37,2092100.0
2010-01-13,23.41,23.54,23.03,23.49,1280300.0,0.0,1.0,23.41,23.54,23.03,23.49,1280300.0
2010-01-14,23.4,23.43,22.7,22.91,1164700.0,0.0,1.0,23.4,23.43,22.7,22.91,1164700.0
2010-01-15,22.74,23.09,22.41,22.56,1091900.0,0.0,1.0,22.74,23.09,22.41,22.56,1091900.0
2010-01-19,22.56,22.94,22.41,22.85,1792000.0,0.0,1.0,22.56,22.94,22.41,22.85,1792000.0
2010-01-20,22.59,22.66,22.32,22.4,1695000.0,0.0,1.0,22.59,22.66,22.32,22.4,1695000.0
2010-01-21,21.65,22.1,21.14,21.65,3750400.0,0.0,1.0,21.65,22.1,21.14,21.65,3750400.0
2010-01-22,21.59,21.94,21.2,21.29,1954500.0,0.0,1.0,21.59,21.94,21.2,21.29,1954500.0
2010-01-25,21.47,21.73,21.37,21.58,1066000.0,0.0,1.0,21.47,21.73,21.37,21.58,1066000.0
2010-01-26,21.51,21.82,21.36,21.41,677300.0,0.0,1.0,21.51,21.82,21.36,21.41,677300.0
2010-01-27,21.32,21.51,20.8504,21.34,1990200.0,0.0,1.0,21.32,21.51,20.8504,21.34,1990200.0
2010-01-28,21.35,21.4,20.98,21.1,1583000.0,0.0,1.0,21.35,21.4,20.98,21.1,1583000.0
2010-01-29,21.19,21.43,20.61,20.63,2025700.0,0.0,1.0,21.19,21.43,20.61,20.63,2025700.0
2010-02-01,20.7,21.16,20.7,21.1,1043300.0,0.0,1.0,20.7,21.16,20.7,21.1,1043300.0
2010-02-02,21.18,21.69,20.99,21.64,984900.0,0.0,1.0,21.18,21.69,20.99,21.64,984900.0
2010-02-03,21.44,21.67,21.24,21.49,1210500.0,0.0,1.0,21.44,21.67,21.24,21.49,1210500.0
2010-02-04,21.22,21.39,20.67,20.73,2022400.0,0.0,1.0,21.22,21.39,20.67,20.73,2022400.0
2010-02-05,20.74,20.82,19.73,20.24,2623300.0,0.0,1.0,20.74,20.82,19.73,20.24,2623300.0
2010-02-08,20.7,20.76,20.25,20.33,1292800.0,0.0,1.0,20.7,20.76,20.25,20.33,1292800.0
2010-02-09,20.89,20.95,20.4,20.75,2045100.0,0.0,1.0,20.89,20.95,20.4,20.75,2045100.0
2010-02-10,20.73,21.05,20.52,20.8,1259200.0,0.0,1.0,20.73,21.05,20.52,20.8,1259200.0
2010-02-11,20.85,21.23,20.56,21.21,1662100.0,0.0,1.0,20.85,21.23,20.56,21.21,1662100.0
2010-02-12,20.97,21.05,20.76,21.0,1716300.0,0.0,1.0,20.97,21.05,20.76,21.0,1716300.0
2010-02-16,21.15,21.29,20.99,21.18,990800.0,0.0,1.0,21.15,21.29,20.99,21.18,990800.0
2010-02-17,21.29,21.42,21.01,21.19,1117000.0,0.0,1.0,21.29,21.42,21.01,21.19,1117000.0
2010-02-18,21.22,21.29,21.03,21.1,797600.0,0.0,1.0,21.22,21.29,21.03,21.1,797600.0
2010-02-19,21.09,21.16,20.63,20.78,1741600.0,0.0,1.0,21.09,21.16,20.63,20.78,1741600.0
2010-02-22,20.91,20.91,20.49,20.56,1287000.0,0.0,1.0,20.91,20.91,20.49,20.56,1287000.0
2010-02-23,20.56,20.56,19.98,20.17,2383700.0,0.0,1.0,20.56,20.56,19.98,20.17,2383700.0
2010-02-24,20.38,20.5,20.2,20.42,2014800.0,0.0,1.0,20.38,20.5,20.2,20.42,2014800.0
2010-02-25,20.11,20.405,19.94,20.33,1358400.0,0.0,1.0,20.11,20.405,19.94,20.33,1358400.0
2010-02-26,20.37,20.37,20.01,20.19,1465100.0,0.0,1.0,20.37,20.37,20.01,20.19,1465100.0
2010-03-01,20.33,21.48,20.3,21.47,2768000.0,0.0,1.0,20.33,21.48,20.3,21.47,2768000.0
2010-03-02,21.5,22.0,21.5,21.7,2225500.0,0.0,1.0,21.5,22.0,21.5,21.7,2225500.0
2010-03-03,21.69,22.62,21.69,22.2,2153900.0,0.0,1.0,21.69,22.62,21.69,22.2,2153900.0
2010-03-04,22.19,22.55,22.18,22.52,1541200.0,0.0,1.0,22.19,22.55,22.18,22.52,1541200.0
2010-03-05,22.71,23.33,22.56,23.3,1951300.0,0.0,1.0,22.71,23.33,22.56,23.3,1951300.0
2010-03-08,23.33,23.73,23.19,23.23,1579200.0,0.0,1.0,23.33,23.73,23.19,23.23,1579200.0
2010-03-09,23.11,23.35,22.9,22.98,1146100.0,0.0,1.0,23.11,23.35,22.9,22.98,1146100.0
2010-03-10,22.92,23.35,22.9045,23.29,1105100.0,0.0,1.0,22.92,23.35,22.9045,23.29,1105100.0
2010-03-11,23.09,23.3,22.85,23.29,821100.0,0.0,1.0,23.09,23.3,22.85,23.29,821100.0
2010-03-12,23.37,23.4,23.0,23.4,874200.0,0.0,1.0,23.37,23.4,23.0,23.4,874200.0
2010-03-15,23.34,23.47,22.95,23.27,602300.0,0.0,1.0,23.34,23.47,22.95,23.27,602300.0
2010-03-16,23.26,23.51,23.12,23.37,592000.0,0.0,1.0,23.26,23.51,23.12,23.37,592000.0
2010-03-17,23.5,24.37,23.39,24.21,2105500.0,0.0,1.0,23.5,24.37,23.39,24.21,2105500.0
2010-03-18,24.09,24.24,23.67,23.88,1117900.0,0.0,1.0,24.09,24.24,23.67,23.88,1117900.0
2010-03-19,23.9,24.08,23.405,23.64,1355800.0,0.0,1.0,23.9,24.08,23.405,23.64,1355800.0
2010-03-22,23.4,24.2,23.27,24.01,1425400.0,0.0,1.0,23.4,24.2,23.27,24.01,1425400.0
2010-03-23,24.02,24.74,23.88,24.73,1572400.0,0.0,1.0,24.02,24.74,23.88,24.73,1572400.0
2010-03-24,24.61,24.905,24.36,24.45,1572000.0,0.0,1.0,24.61,24.905,24.36,24.45,1572000.0
2010-03-25,24.59,24.95,24.45,24.51,1288000.0,0.0,1.0,24.59,24.95,24.45,24.51,1288000.0
2010-03-26,24.69,25.15,24.62,25.01,1667900.0,0.0,1.0,24.69,25.15,24.62,25.01,1667900.0
