Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,19.37,19.76,19.27,19.31,3959400.0,0.0,1.0,11.321440904034,11.549389378612,11.262992577219,11.286371907945,3959400.0
2010-01-05,19.24,19.43,18.53,18.68,9097500.0,0.0,1.0,11.245458079175,11.356509900123,10.830474958789,10.918147449012,9097500.0
2010-01-06,18.56,19.12,18.34,19.07,6889000.0,0.0,1.0,10.848009456834,11.175320086997,10.719423137841,11.146095923589,6889000.0
2010-01-07,19.42,19.59,18.45,18.76,7511700.0,0.0,1.0,11.350665067441,11.450027223027,10.783716297337,10.964906110463,7511700.0
2010-01-08,18.86,19.62,18.78,19.59,5684200.0,0.0,1.0,11.023354437278,11.467561721071,10.976595775826,11.450027223027,5684200.0
2010-01-11,20.1,20.61,19.93,20.46,6663400.0,0.0,1.0,11.748113689782,12.046200156538,11.648751534197,11.958527666316,6663400.0
2010-01-12,20.23,20.9,20.15,20.43,4553600.0,0.0,1.0,11.824096514642,12.215700304301,11.77733785319,11.940993168271,4553600.0
2010-01-13,20.47,20.54,19.96,20.23,3190400.0,0.0,1.0,11.964372498997,12.005286327768,11.666286032242,11.824096514642,3190400.0
2010-01-14,20.2,20.32,19.73,19.92,3322000.0,0.0,1.0,11.806562016597,11.876700008775,11.531854880567,11.642906701516,3322000.0
2010-01-15,19.82,20.02,19.36,19.39,3155400.0,0.0,1.0,11.584458374701,11.70135502833,11.315596071353,11.333130569397,3155400.0
2010-01-19,19.39,19.54,19.17,19.34,4890700.0,0.0,1.0,11.333130569397,11.420803059619,11.204544250404,11.30390640599,4890700.0
2010-01-20,19.11,19.24,18.89,18.9,5126600.0,0.0,1.0,11.169475254315,11.245458079175,11.040888935323,11.046733768004,5126600.0
2010-01-21,18.95,19.09,18.52,18.68,6916600.0,0.0,1.0,11.075957931412,11.157785588952,10.824630126108,10.918147449012,6916600.0
2010-01-22,18.81,18.92,18.36,18.38,5490400.0,0.0,1.0,10.994130273871,11.058423433367,10.731112803204,10.742802468567,5490400.0
2010-01-25,18.6,18.75,18.39,18.6,3461100.0,0.0,1.0,10.87138878756,10.959061277782,10.748647301249,10.87138878756,3461100.0
2010-01-26,18.96,19.82,18.65,19.4,8012900.0,0.0,1.0,11.081802764093,11.584458374701,10.900612950967,11.338975402078,8012900.0
2010-01-27,19.35,19.81,19.21,19.71,5122100.0,0.0,1.0,11.309751238671,11.578613542019,11.22792358113,11.520165215204,5122100.0
2010-01-28,19.75,19.75,19.14,19.21,4520700.0,0.0,1.0,11.54354454593,11.54354454593,11.18700975236,11.22792358113,4520700.0
2010-01-29,19.37,19.46,18.94,19.02,3554700.0,0.0,1.0,11.321440904034,11.374044398167,11.07011309873,11.116871760182,3554700.0
2010-02-01,19.23,19.67,19.12,19.65,3070800.0,0.0,1.0,11.239613246493,11.496785884479,11.175320086997,11.485096219116,3070800.0
2010-02-02,19.68,20.33,19.66,20.32,5572500.0,0.0,1.0,11.50263071716,11.882544841456,11.490941051797,11.876700008775,5572500.0
2010-02-03,20.23,20.32,20.0,20.26,6301000.0,0.0,1.0,11.824096514642,11.876700008775,11.689665362967,11.841631012686,6301000.0
2010-02-04,20.17,20.3,19.96,20.03,8675400.0,0.0,1.0,11.789027518553,11.865010343412,11.666286032242,11.707199861012,8675400.0
2010-02-05,19.98,20.51,19.84,20.47,7955500.0,0.0,1.0,11.677975697605,11.987751829723,11.596148040064,11.964372498997,7955500.0
2010-02-08,20.49,20.49,20.01,20.01,6362800.0,0.0,1.0,11.97606216436,11.97606216436,11.695510195649,11.695510195649,6362800.0
2010-02-09,20.23,20.45,19.98,20.34,5263600.0,0.0,1.0,11.824096514642,11.952682833634,11.677975697605,11.888389674138,5263600.0
2010-02-10,20.25,20.36,19.9,20.09,3786800.0,0.0,1.0,11.835786180005,11.900079339501,11.631217036153,11.742268857101,3786800.0
2010-02-11,20.0,20.37,19.88,20.34,2641500.0,0.0,1.0,11.689665362967,11.905924172182,11.61952737079,11.888389674138,2641500.0
