Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,31.14,31.15,30.73,30.82,3731300.0,0.0,1.0,23.387512993621,23.395023434531,23.079584916313,23.147178884502,3731300.0
2010-01-05,30.85,30.88,30.54,30.8,3237700.0,0.0,1.0,23.169710207232,23.192241529962,22.936886539024,23.132158002683,3237700.0
2010-01-06,30.81,31.09,30.67,31.05,3507700.0,0.0,1.0,23.139668443593,23.349960789071,23.034522270853,23.319919025432,3507700.0
2010-01-07,30.95,31.55,30.75,31.54,3674700.0,0.0,1.0,23.244814616332,23.69544107093,23.094605798133,23.68793063002,3674700.0
2010-01-08,30.87,31.6,30.64,31.56,5082700.0,0.0,1.0,23.184731089052,23.73299327548,23.011990948123,23.70295151184,5082700.0
2010-01-11,31.56,31.9,31.23,31.75,3256600.0,0.0,1.0,23.70295151184,23.958306502778,23.455106961811,23.845649889129,3256600.0
2010-01-12,31.77,31.79,31.41,31.64,2806200.0,0.0,1.0,23.860670770949,23.875691652769,23.59029489819,23.763035039119,2806200.0
2010-01-13,31.54,31.72,31.24,31.66,3927000.0,0.0,1.0,23.68793063002,23.823118566399,23.462617402721,23.778055920939,3927000.0
2010-01-14,31.53,31.66,31.1,31.35,2300000.0,0.0,1.0,23.68042018911,23.778055920939,23.357471229981,23.54523225273,2300000.0
2010-01-15,30.77,31.08,30.51,30.67,4405000.0,0.0,1.0,23.109626679953,23.342450348161,22.914355216294,23.034522270853,4405000.0
2010-01-19,30.7,30.79,30.25,30.43,4649700.0,0.0,1.0,23.057053593583,23.124647561773,22.719083752635,22.854271689014,4649700.0
2010-01-20,30.17,30.5,29.83,30.45,4836000.0,0.0,1.0,22.659000225355,22.906844775384,22.403645234416,22.869292570834,4836000.0
2010-01-21,30.44,30.85,30.11,30.23,3833700.0,0.0,1.0,22.861782129924,23.169710207232,22.613937579895,22.704062870815,3833700.0
2010-01-22,30.24,30.34,29.62,29.64,3658700.0,0.0,1.0,22.711573311725,22.786677720824,22.245925975307,22.260946857127,3658700.0
2010-01-25,29.75,29.76,29.36,29.5,2919400.0,0.0,1.0,22.343561707137,22.351072148047,22.050654511648,22.155800684388,2919400.0
2010-01-26,29.39,29.658,29.33,29.37,3873500.0,0.0,1.0,22.073185834378,22.274465650765,22.028123188918,22.058164952558,3873500.0
2010-01-27,29.25,29.53,29.12,29.38,4804800.0,0.0,1.0,21.968039661638,22.178332007117,21.870403929809,22.065675393468,4804800.0
2010-01-28,29.23,29.3,28.62,28.87,4935300.0,0.31,1.0,22.188745687395,22.241883292531,21.72568941407,21.915466575269,4935300.0
2010-01-29,29.0,29.31,28.96,28.99,6691300.0,0.0,1.0,22.014150699092,22.249474378979,21.9837863533,22.006559612644,6691300.0
2010-02-01,29.26,29.35,29.0,29.32,5189400.0,0.0,1.0,22.211518946739,22.279838724771,22.014150699092,22.257065465427,5189400.0
2010-02-02,29.36,29.62,28.97,29.51,3507200.0,0.0,1.0,22.287429811219,22.484798058866,21.991377439748,22.401296107938,3507200.0
2010-02-03,29.51,29.63,29.3,29.48,2423100.0,0.0,1.0,22.401296107938,22.492389145314,22.241883292531,22.378522848594,2423100.0
2010-02-04,29.25,29.3301,28.85,28.98,4839000.0,0.0,1.0,22.203927860291,22.26473246274,21.900284402373,21.998968526196,4839000.0
2010-02-05,28.95,29.08,28.5,28.94,4116700.0,0.0,1.0,21.976195266852,22.074879390676,21.634596376694,21.968604180404,4116700.0
2010-02-08,28.71,29.09,28.71,28.86,2798700.0,0.0,1.0,21.794009192101,22.082470477124,21.794009192101,21.907875488821,2798700.0
2010-02-09,29.13,29.35,28.89,29.11,2877200.0,0.0,1.0,22.112834822916,22.279838724771,21.930648748165,22.09765265002,2877200.0
2010-02-10,29.07,29.24,28.82,29.08,1812000.0,0.0,1.0,22.067288304228,22.196336773843,21.877511143029,22.074879390676,1812000.0
2010-02-11,29.0,29.51,28.82,29.43,2460500.0,0.0,1.0,22.014150699092,22.401296107938,21.877511143029,22.340567416355,2460500.0
2010-02-12,28.97,29.63,28.97,29.53,3620700.0,0.0,1.0,21.991377439748,22.492389145314,21.991377439748,22.416478280834,3620700.0
2010-02-16,29.87,29.91,29.5,29.87,1797900.0,0.0,1.0,22.674575220065,22.704939565857,22.39370502149,22.674575220065,1797900.0
2010-02-17,30.0,30.12,29.92,30.08,1870800.0,0.0,1.0,22.773259343889,22.864352381264,22.712530652305,22.833988035472,1870800.0
2010-02-18,30.17,30.32,30.05,30.16,2416200.0,0.0,1.0,22.902307813504,23.016174110223,22.811214776128,22.894716727056,2416200.0
2010-02-19,30.13,30.28,29.93,30.23,2641600.0,0.0,1.0,22.871943467712,22.985809764432,22.720121738753,22.947854332192,2641600.0
2010-02-22,30.23,30.43,30.15,30.29,1501300.0,0.0,1.0,22.947854332192,23.099676061151,22.887125640608,22.993400850879,1501300.0
2010-02-23,30.03,30.46,29.85,30.09,2559200.0,0.0,1.0,22.796032603232,23.122449320495,22.659393047169,22.84157912192,2559200.0
2010-02-24,30.31,30.57,30.18,30.31,3428300.0,0.0,1.0,23.008583023775,23.205951271422,22.909898899952,23.008583023775,3428300.0
2010-02-25,29.91,30.03,29.5734,29.8,3686100.0,0.0,1.0,22.704939565857,22.796032603232,22.449423596018,22.621437614929,3686100.0
2010-02-26,29.92,30.0,29.7,29.94,2317000.0,0.0,1.0,22.712530652305,22.773259343889,22.54552675045,22.727712825201,2317000.0
2010-03-01,30.24,30.39,29.86,30.29,2315000.0,0.0,1.0,22.95544541864,23.069311715359,22.666984133617,22.993400850879,2315000.0
2010-03-02,30.27,30.33,29.93,29.99,2477900.0,0.0,1.0,22.978218677984,23.023765196671,22.720121738753,22.765668257441,2477900.0
