Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,44.95,45.12,44.45,44.5,2041800.0,0.0,1.0,33.40039584559,33.526715473927,33.028867526952,33.066020358816,2041800.0
2010-01-05,44.61,44.82,43.9,44.0,2599300.0,0.0,1.0,33.147756588916,33.303798482744,32.62018637645,32.694492040177,2599300.0
2010-01-06,43.89,44.83,43.78,44.51,2541200.0,0.0,1.0,32.612755810077,33.311229049117,32.531019579976,33.073450925188,2541200.0
2010-01-07,44.53,44.64,43.69,43.75,2377700.0,0.0,1.0,33.088312057934,33.170048288034,32.464144482622,32.508727880858,2377700.0
2010-01-08,43.49,43.88,43.34,43.79,1521400.0,0.0,1.0,32.315533155166,32.605325243704,32.204074659575,32.538450146349,1521400.0
2010-01-11,43.9,44.52,43.81,44.45,2154700.0,0.0,1.0,32.62018637645,33.080881491561,32.553311279095,33.028867526952,2154700.0
2010-01-12,44.26,44.89,44.24,44.5,2476100.0,0.0,1.0,32.887686765869,33.355812447354,32.872825633124,33.066020358816,2476100.0
2010-01-13,44.64,45.11,44.43,44.77,1653100.0,0.0,1.0,33.170048288034,33.519284907555,33.014006394206,33.26664565088,1653100.0
2010-01-14,44.72,44.74,44.43,44.49,1249600.0,0.0,1.0,33.229492819017,33.244353951762,33.014006394206,33.058589792443,1249600.0
2010-01-15,44.3,45.02,44.05,45.01,3917900.0,0.0,1.0,32.91740903136,33.4524098102,32.731644872041,33.444979243827,3917900.0
2010-01-19,44.91,45.63,44.91,45.59,2618500.0,0.0,1.0,33.370673580099,33.905674358938,33.370673580099,33.875952093447,2618500.0
2010-01-20,45.16,45.39,44.51,45.03,2662700.0,0.0,1.0,33.556437739418,33.727340765992,33.073450925188,33.459840376572,2662700.0
2010-01-21,45.12,45.48,44.3,44.57,1793600.0,0.0,1.0,33.526715473927,33.794215863347,32.91740903136,33.118034323425,1793600.0
2010-01-22,44.48,44.78,43.6,43.61,2942600.0,0.0,1.0,33.05115922607,33.274076217253,32.397269385267,32.404699951639,2942600.0
2010-01-25,43.92,44.41,43.51,44.37,3052500.0,0.0,1.0,32.635047509195,32.999145261461,32.330394287912,32.96942299597,3052500.0
2010-01-26,44.34,44.34,43.83,44.07,1805700.0,0.0,1.0,32.947131296851,32.947131296851,32.56817241184,32.746506004787,1805700.0
2010-01-27,44.07,44.08,42.9,43.37,3879400.0,0.0,1.0,32.746506004787,32.753936571159,31.877129739173,32.226366358693,3879400.0
2010-01-28,43.37,43.5,42.65,42.74,3289100.0,0.0,1.0,32.226366358693,32.322963721539,31.691365579854,31.758240677209,3289100.0
2010-01-29,42.76,42.87,42.18,42.24,5139700.0,0.0,1.0,31.773101809954,31.854838040055,31.342128960334,31.38671235857,5139700.0
2010-02-01,42.4,42.5,42.0,42.22,2508400.0,0.0,1.0,31.505601420534,31.579907084262,31.208378765624,31.371851225825,2508400.0
