Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,18.27,18.94,18.235,18.93,52086000.0,0.0,1.0,13.573035594906,14.070787858102,13.547033611008,14.063358719845,52086000.0
2010-01-05,18.92,18.93,18.55,18.66,43372800.0,0.0,1.0,14.055929581589,14.063358719845,13.781051466093,13.862771986916,43372800.0
2010-01-06,18.66,18.81,18.51,18.6,41405100.0,0.0,1.0,13.862771986916,13.974209060766,13.751334913066,13.818197157376,41405100.0
2010-01-07,18.64,18.67,18.46,18.53,39428000.0,0.0,1.0,13.847913710402,13.870201125172,13.714189221783,13.766193189579,39428000.0
2010-01-08,18.62,18.71,18.52,18.68,30407700.0,0.0,1.0,13.833055433889,13.899917678199,13.758764051323,13.877630263429,30407700.0
2010-01-11,18.83,18.95,18.67,18.83,32447500.0,0.0,1.0,13.989067337279,14.078216996359,13.870201125172,13.989067337279,32447500.0
2010-01-12,18.8,18.99,18.64,18.77,41273100.0,0.0,1.0,13.966779922509,14.107933549385,13.847913710402,13.944492507739,41273100.0
2010-01-13,18.87,19.3,18.87,19.21,59514300.0,0.0,1.0,14.018783890305,14.338236835342,14.018783890305,14.271374591032,59514300.0
2010-01-14,19.2,19.5,19.13,19.38,47267900.0,0.0,1.0,14.263945452775,14.486819600475,14.211941484978,14.397669941395,47267900.0
2010-01-15,19.43,19.68,19.26,19.49,76622900.0,0.0,1.0,14.434815632678,14.620544089094,14.308520282315,14.479390462218,76622900.0
2010-01-19,19.53,20.07,19.5,20.0,78332300.0,0.0,1.0,14.509107015245,14.910280481104,14.486819600475,14.858276513307,78332300.0
2010-01-20,20.05,20.36,19.87,19.94,79243800.0,0.0,1.0,14.895422204591,15.125725490547,14.761697715971,14.813701683767,79243800.0
2010-01-21,20.04,20.15,19.17,19.24,77175700.0,0.0,1.0,14.887993066334,14.969713587157,14.241658038005,14.293662005802,77175700.0
2010-01-22,19.26,19.9167,18.9,18.96,61703000.0,0.0,1.0,14.308520282315,14.796391791629,14.041071305075,14.085646134615,61703000.0
2010-01-25,19.24,19.25,18.84,18.85,49272400.0,0.0,1.0,14.293662005802,14.301091144058,13.996496475536,14.003925613792,49272400.0
2010-01-26,18.72,18.9,18.63,18.78,43600600.0,0.0,1.0,13.907346816456,14.041071305075,13.840484572146,13.951921645996,43600600.0
2010-01-27,18.78,19.09,18.66,19.0,54609400.0,0.0,1.0,13.951921645996,14.182224931952,13.862771986916,14.115362687642,54609400.0
2010-01-28,19.07,19.1,18.61,18.63,50939800.0,0.0,1.0,14.167366655439,14.189654070209,13.825626295632,13.840484572146,50939800.0
2010-01-29,18.7,18.97,18.52,18.66,56044700.0,0.0,1.0,13.892488539942,14.093075272872,13.758764051323,13.862771986916,56044700.0
2010-02-01,18.79,18.99,18.7,18.79,39455700.0,0.0,1.0,13.959350784252,14.107933549385,13.892488539942,13.959350784252,39455700.0
2010-02-02,18.87,19.33,18.77,19.06,67611300.0,0.0,1.0,14.018783890305,14.360524250112,13.944492507739,14.159937517182,67611300.0
2010-02-03,18.69,18.85,18.42,18.62,113996100.0,0.18,1.0,14.019286613947,14.139301908662,13.816760804115,13.966779922509,113996100.0
2010-02-04,18.35,18.44,18.01,18.03,94261900.0,0.0,1.0,13.764254112677,13.831762715954,13.509221611406,13.524223523246,94261900.0
2010-02-05,17.91,18.185,17.6,17.96,90398000.0,0.0,1.0,13.434212052209,13.640488340001,13.201682418698,13.471716831808,90398000.0
2010-02-08,17.91,18.0,17.72,17.84,55626200.0,0.0,1.0,13.434212052209,13.501720655487,13.291693889735,13.381705360771,55626200.0
2010-02-09,17.87,18.15,17.65,17.88,70972000.0,0.0,1.0,13.40420822853,13.614234994282,13.239187198297,13.41170918445,70972000.0
2010-02-10,17.92,17.98,17.6333,17.74,59957500.0,0.0,1.0,13.441713008129,13.486718743647,13.226660601911,13.306695801574,59957500.0
2010-02-11,17.75,18.03,17.62,17.87,54692600.0,0.0,1.0,13.314196757494,13.524223523246,13.216684330537,13.40420822853,54692600.0
2010-02-12,17.85,17.89,17.62,17.8,50341800.0,0.0,1.0,13.389206316691,13.41921014037,13.216684330537,13.351701537092,50341800.0
2010-02-16,17.96,18.08,17.61,17.72,63281800.0,0.0,1.0,13.471716831808,13.561728302844,13.209183374618,13.291693889735,63281800.0
2010-02-17,17.85,17.86,17.53,17.67,58254100.0,0.0,1.0,13.389206316691,13.396707272611,13.14917572726,13.254189110136,58254100.0
2010-02-18,17.68,17.75,17.55,17.73,57118500.0,0.0,1.0,13.261690066056,13.314196757494,13.164177639099,13.299194845654,57118500.0
2010-02-19,17.82,18.1,17.73,17.99,50657800.0,0.0,1.0,13.366703448932,13.576730214684,13.299194845654,13.494219699567,50657800.0
2010-02-22,17.98,18.15,17.78,17.95,58001900.0,0.0,1.0,13.486718743647,13.614234994282,13.336699625253,13.464215875888,58001900.0
2010-02-23,17.84,17.94,17.61,17.67,47873200.0,0.0,1.0,13.381705360771,13.456714919968,13.209183374618,13.254189110136,47873200.0
2010-02-24,17.74,18.02,17.6,17.81,67722500.0,0.0,1.0,13.306695801574,13.516722567326,13.201682418698,13.359202493012,67722500.0
2010-02-25,17.57,17.73,17.43,17.69,53458000.0,0.0,1.0,13.179179550939,13.299194845654,13.074166168063,13.269191021975,53458000.0
2010-02-26,17.69,17.81,17.5,17.55,59237700.0,0.0,1.0,13.269191021975,13.359202493012,13.126672859501,13.164177639099,59237700.0
2010-03-01,17.61,17.86,17.58,17.75,45623500.0,0.0,1.0,13.209183374618,13.396707272611,13.186680506859,13.314196757494,45623500.0
2010-03-02,17.87,17.88,17.55,17.6,64656300.0,0.0,1.0,13.40420822853,13.41170918445,13.164177639099,13.201682418698,64656300.0
2010-03-03,17.45,17.595,17.21,17.32,109064000.0,0.0,1.0,13.089168079902,13.197931940738,12.909145137829,12.991655652946,109064000.0
2010-03-04,17.32,17.4,17.22,17.33,56917200.0,0.0,1.0,12.991655652946,13.051663300304,12.916646093749,12.999156608866,56917200.0
2010-03-05,17.38,17.5,17.23,17.48,64708400.0,0.0,1.0,13.036661388464,13.126672859501,12.924147049669,13.111670947661,64708400.0
2010-03-08,17.59,17.6,17.27,17.35,48738800.0,0.0,1.0,13.194181462778,13.201682418698,12.954150873347,13.014158520705,48738800.0
2010-03-09,17.27,17.32,17.15,17.23,54543900.0,0.0,1.0,12.954150873347,12.991655652946,12.864139402311,12.924147049669,54543900.0
2010-03-10,17.21,17.35,17.11,17.15,56301200.0,0.0,1.0,12.909145137829,13.014158520705,12.834135578632,12.864139402311,56301200.0
2010-03-11,17.12,17.32,17.1,17.29,48812400.0,0.0,1.0,12.841636534552,12.991655652946,12.826634622712,12.969152785187,48812400.0
2010-03-12,17.19,17.23,16.99,17.08,85448500.0,0.0,1.0,12.89414322599,12.924147049669,12.744124107595,12.811632710873,85448500.0
2010-03-15,17.03,17.28,16.99,17.26,43937900.0,0.0,1.0,12.774127931274,12.961651829267,12.744124107595,12.946649917428,43937900.0
2010-03-16,17.32,17.38,17.11,17.26,53166200.0,0.0,1.0,12.991655652946,13.036661388464,12.834135578632,12.946649917428,53166200.0
