Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,5.36,5.47,5.33,5.42,11754800.0,0.0,1.0,4.7874781639305,4.885728648638,4.760682577192,4.8410693374073,11754800.0
2010-01-05,5.36,5.61,5.36,5.6,23691300.0,0.0,1.0,4.7874781639305,5.0107747200839,4.7874781639305,5.0018428578378,23691300.0
2010-01-06,5.61,5.69,5.55,5.67,22415300.0,0.0,1.0,5.0107747200839,5.082229618053,4.9571835466071,5.0643658935608,22415300.0
2010-01-07,5.66,6.22,5.62,6.17,41430700.0,0.0,1.0,5.0554340313146,5.5556183170984,5.0197065823301,5.5109590058677,41430700.0
2010-01-08,6.15,6.2899,6.07,6.18,25980300.0,0.0,1.0,5.4930952813754,5.6180520341989,5.4216403834063,5.5198908681138,25980300.0
2010-01-11,6.27,6.37,6.07,6.32,27433000.0,0.0,1.0,5.6002776283291,5.6895962507905,5.4216403834063,5.6449369395598,27433000.0
2010-01-12,6.26,6.35,6.2,6.25,32974200.0,0.0,1.0,5.591345766083,5.6717325262982,5.5377545926061,5.5824139038368,32974200.0
2010-01-13,6.22,6.48,6.08,6.36,41055600.0,0.0,1.0,5.5556183170984,5.787846735498,5.4305722456525,5.6806643885443,41055600.0
2010-01-14,6.34,6.57,6.3,6.55,31881500.0,0.0,1.0,5.6628006640521,5.8682334957133,5.6270732150675,5.850369771221,31881500.0
2010-01-15,6.5,6.55,6.27,6.52,28504300.0,0.0,1.0,5.8057104599903,5.850369771221,5.6002776283291,5.8235741844826,28504300.0
2010-01-19,6.41,6.56,6.36,6.51,22996900.0,0.0,1.0,5.725323699775,5.8593016334671,5.6806643885443,5.8146423222364,22996900.0
2010-01-20,6.46,6.74,6.41,6.73,32758200.0,0.0,1.0,5.7699830110057,6.0200751538976,5.725323699775,6.0111432916515,32758200.0
2010-01-21,6.78,7.27,6.76,6.86,81428500.0,0.0,1.0,6.0558026028822,6.493463852943,6.0379388783899,6.1272575008513,81428500.0
2010-01-22,6.8,6.85,6.49,6.6,48623600.0,0.0,1.0,6.0736663273745,6.1183256386052,5.7967785977442,5.8950290824517,48623600.0
2010-01-25,6.6,6.69,6.3,6.55,34139700.0,0.0,1.0,5.8950290824517,5.9754158426669,5.6270732150675,5.850369771221,34139700.0
2010-01-26,6.25,6.47,6.06,6.08,67534400.0,0.0,1.0,5.5824139038368,5.7789148732519,5.4127085211602,5.4305722456525,67534400.0
2010-01-27,6.05,6.34,6.05,6.17,38492200.0,0.0,1.0,5.403776658914,5.6628006640521,5.403776658914,5.5109590058677,38492200.0
2010-01-28,6.35,6.55,6.19,6.43,38907900.0,0.0,1.0,5.6717325262982,5.850369771221,5.52882273036,5.7431874242673,38907900.0
2010-01-29,6.49,6.57,6.32,6.35,29037400.0,0.0,1.0,5.7967785977442,5.8682334957133,5.6449369395598,5.6717325262982,29037400.0
2010-02-01,6.41,6.66,6.39,6.64,30603000.0,0.0,1.0,5.725323699775,5.9486202559285,5.7074599752828,5.9307565314362,30603000.0
2010-02-02,6.69,6.78,6.5,6.58,35671900.0,0.0,1.0,5.9754158426669,6.0558026028822,5.8057104599903,5.8771653579594,35671900.0
