Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,37.96,38.16,37.39,37.59,866800.0,0.0,1.0,27.468392009088,27.613114833161,27.05593196048,27.200654784553,866800.0
2010-01-05,37.67,37.78,36.71,36.97,953800.0,0.0,1.0,27.258543914182,27.338141467422,26.563874358631,26.752014029926,953800.0
2010-01-06,36.94,37.11,36.73,36.86,689800.0,0.0,1.0,26.730305606315,26.853320006777,26.578346641038,26.672416476686,689800.0
2010-01-07,36.83,36.96,36.62,36.77,483100.0,0.0,1.0,26.650708053075,26.744777888722,26.498749087798,26.607291205853,483100.0
2010-01-08,36.67,36.73,36.5,36.65,453900.0,0.0,1.0,26.534929793816,26.578346641038,26.411915393354,26.520457511409,453900.0
2010-01-11,36.72,37.29,36.72,37.15,553000.0,0.0,1.0,26.571110499835,26.983570548443,26.571110499835,26.882264571592,553000.0
2010-01-12,37.06,37.4,36.9481,37.12,505200.0,0.0,1.0,26.817139300759,27.063168101683,26.73616688069,26.860556147981,505200.0
2010-01-13,37.28,37.45,37.06,37.42,445800.0,0.0,1.0,26.97633440724,27.099348807702,26.817139300759,27.077640384091,445800.0
2010-01-14,37.22,37.59,37.21,37.55,473300.0,0.0,1.0,26.932917560018,27.200654784553,26.925681418814,27.171710219738,473300.0
2010-01-15,37.44,37.48,36.92,37.32,670100.0,0.0,1.0,27.092112666498,27.121057231313,26.715833323908,27.005278972054,670100.0
2010-01-19,37.4,37.81,37.3,37.77,281400.0,0.0,1.0,27.063168101683,27.359849891033,26.990806689647,27.330905326219,281400.0
2010-01-20,37.56,37.71,37.06,37.35,488800.0,0.0,1.0,27.178946360942,27.287488478997,26.817139300759,27.026987395665,488800.0
2010-01-21,37.31,37.7,36.62,36.77,545300.0,0.0,1.0,26.99804283085,27.280252337793,26.498749087798,26.607291205853,545300.0
2010-01-22,36.79,36.79,35.9,35.92,834000.0,0.0,1.0,26.62176348826,26.62176348826,25.977746921135,25.992219203542,834000.0
2010-01-25,36.28,36.41,35.948,36.18,644900.0,0.0,1.0,26.252720286874,26.346790122521,26.012480398912,26.180358874837,644900.0
2010-01-26,36.12,36.25,35.87,36.05,732800.0,0.0,1.0,26.136942027615,26.231011863263,25.956038497524,26.086289039189,732800.0
2010-01-27,35.9,36.09,35.64,36.07,602300.0,0.0,1.0,25.977746921135,26.115233604004,25.789607249839,26.100761321597,602300.0
2010-01-28,36.12,36.12,35.67,35.78,513500.0,0.0,1.0,26.136942027615,26.136942027615,25.81131567345,25.890913226691,513500.0
2010-01-29,35.97,36.03,35.61,35.61,696200.0,0.0,1.0,26.02839990956,26.071816756782,25.767898826229,25.767898826229,696200.0
2010-02-01,35.73,35.87,35.311,35.87,449500.0,0.0,1.0,25.854732520672,25.956038497524,25.551538204239,25.956038497524,449500.0
2010-02-02,35.85,36.31,35.57,36.3,647200.0,0.0,1.0,25.941566215116,26.274428710485,25.738954261414,26.267192569281,647200.0
2010-02-03,36.16,36.29,35.87,36.02,330500.0,0.0,1.0,26.16588659243,26.259956428077,25.956038497524,26.064580615579,330500.0
2010-02-04,35.85,35.94,35.21,35.21,448900.0,0.0,1.0,25.941566215116,26.006691485949,25.478453178082,25.478453178082,448900.0
2010-02-05,35.2,35.29,34.64,35.12,544700.0,0.0,1.0,25.471217036879,25.536342307711,25.065993129474,25.413327907249,544700.0
2010-02-08,35.17,35.17,34.73,34.73,512800.0,0.0,1.0,25.449508613268,25.449508613268,25.131118400307,25.131118400307,512800.0
2010-02-09,34.92,35.4,34.84,35.01,521600.0,0.0,1.0,25.268605083176,25.615939860952,25.210715953547,25.333730354009,521600.0
2010-02-10,35.01,35.01,34.5,34.63,832500.0,0.0,1.0,25.333730354009,25.333730354009,24.964687152622,25.05875698827,832500.0
2010-02-11,34.5,35.47,34.23,34.96,1084300.0,0.0,1.0,24.964687152622,25.666592849377,24.769311340124,25.297549647991,1084300.0
2010-02-12,34.63,34.88,34.29,34.55,922000.0,0.0,1.0,25.05875698827,25.239660518361,24.812728187346,25.000867858641,922000.0
2010-02-16,34.98,35.25,34.81,35.25,507200.0,0.0,1.0,25.312021930398,25.507397742897,25.189007529936,25.507397742897,507200.0
2010-02-17,35.38,35.385,34.8,35.03,730600.0,0.0,1.0,25.601467578544,25.605085649146,25.181771388732,25.348202636416,730600.0
2010-02-18,35.02,35.41,34.88,35.4,609600.0,0.0,1.0,25.340966495213,25.623176002155,25.239660518361,25.615939860952,609600.0
2010-02-19,35.32,36.33,35.22,36.25,894800.0,0.0,1.0,25.558050731322,26.288900992892,25.485689319286,26.231011863263,894800.0
2010-02-22,36.42,36.44,36.14,36.25,578800.0,0.0,1.0,26.354026263725,26.368498546132,26.151414310022,26.231011863263,578800.0
2010-02-23,36.22,36.33,35.89,36.22,637800.0,0.0,1.0,26.209303439652,26.288900992892,25.970510779931,26.209303439652,637800.0
2010-02-24,36.36,36.47,35.9,36.43,521300.0,0.0,1.0,26.310609416503,26.390206969743,25.977746921135,26.361262404929,521300.0
2010-02-25,35.94,36.34,35.77,36.3,932800.0,0.0,1.0,26.006691485949,26.296137134096,25.883677085487,26.267192569281,932800.0
2010-02-26,36.41,36.44,36.0,36.05,700600.0,0.0,1.0,26.346790122521,26.368498546132,26.050108333171,26.086289039189,700600.0
2010-03-01,36.28,36.88,36.28,36.77,579900.0,0.0,1.0,26.252720286874,26.686888759093,26.252720286874,26.607291205853,579900.0
2010-03-02,36.83,37.41,36.83,37.27,689400.0,0.0,1.0,26.650708053075,27.070404242887,26.650708053075,26.969098266036,689400.0
2010-03-03,37.42,37.77,37.34,37.53,701100.0,0.0,1.0,27.077640384091,27.330905326219,27.019751254461,27.157237937331,701100.0
2010-03-04,37.53,37.6,37.25,37.5,734300.0,0.0,1.0,27.157237937331,27.207890925757,26.954625983629,27.13552951372,734300.0
2010-03-05,37.55,37.64,37.26,37.62,859100.0,0.0,1.0,27.171710219738,27.236835490571,26.961862124832,27.222363208164,859100.0
2010-03-08,37.15,37.2,36.86,36.9,797900.0,0.475,1.0,27.228309982744,27.264956429558,27.015760591223,27.045077748674,797900.0
2010-03-09,36.86,36.96,36.58,36.87,398300.0,0.0,1.0,27.015760591223,27.089053484851,26.810540489065,27.023089880586,398300.0
2010-03-10,36.86,36.9,36.55,36.88,832500.0,0.0,1.0,27.015760591223,27.045077748674,26.788552620977,27.030419169949,832500.0
2010-03-11,36.8,37.05,36.55,37.05,464600.0,0.0,1.0,26.971784855046,27.155017089116,26.788552620977,27.155017089116,464600.0
2010-03-12,37.23,37.23,36.82,36.93,386700.0,0.0,1.0,27.286944297646,27.286944297646,26.986443433772,27.067065616763,386700.0
2010-03-15,36.95,37.13,36.83,37.1,546300.0,0.0,1.0,27.081724195488,27.213651404018,26.993772723135,27.19166353593,546300.0
2010-03-16,37.1,37.4,36.9,37.4,483000.0,0.0,1.0,27.19166353593,27.411542216813,27.045077748674,27.411542216813,483000.0
2010-03-17,37.34,37.65,37.24,37.63,560400.0,0.0,1.0,27.367566480637,27.594774450883,27.294273587009,27.580115872158,560400.0
2010-03-18,37.59,37.75,37.48,37.74,507300.0,0.0,1.0,27.550798714706,27.668067344511,27.470176531716,27.660738055148,507300.0
2010-03-19,37.79,37.99,37.6,37.91,1021400.0,0.0,1.0,27.697384501962,27.843970289218,27.558128004069,27.785335974315,1021400.0
2010-03-22,37.73,37.89,37.59,37.74,624700.0,0.0,1.0,27.653408765785,27.77067739559,27.550798714706,27.660738055148,624700.0
2010-03-23,37.77,38.0,37.69,37.99,598500.0,0.0,1.0,27.682725923237,27.851299578581,27.624091608334,27.843970289218,598500.0
2010-03-24,38.0,38.0,37.47,37.59,514400.0,0.0,1.0,27.851299578581,27.851299578581,27.462847242353,27.550798714706,514400.0
2010-03-25,37.73,37.83,37.46,37.63,638400.0,0.0,1.0,27.653408765785,27.726701659413,27.45551795299,27.580115872158,638400.0
2010-03-26,37.79,37.8,37.47,37.67,436000.0,0.0,1.0,27.697384501962,27.704713791325,27.462847242353,27.609433029609,436000.0
2010-03-29,37.73,38.02,37.7,38.02,700900.0,0.0,1.0,27.653408765785,27.865958157306,27.631420897697,27.865958157306,700900.0
2010-03-30,38.0,38.17,37.83,37.91,486300.0,0.0,1.0,27.851299578581,27.975897497748,27.726701659413,27.785335974315,486300.0
2010-03-31,37.74,37.8081,37.49,37.59,579500.0,0.0,1.0,27.660738055148,27.710650515709,27.477505821079,27.550798714706,579500.0
2010-04-01,37.86,38.31,37.77,38.27,570400.0,0.0,1.0,27.748689527502,28.078507548827,27.682725923237,28.049190391376,570400.0
2010-04-05,38.43,38.49,38.31,38.45,473400.0,0.0,1.0,28.16645902118,28.210434757357,28.078507548827,28.181117599906,473400.0
2010-04-06,38.34,38.56,38.29,38.48,624800.0,0.0,1.0,28.100495416915,28.261739782896,28.063848970101,28.203105467994,624800.0
2010-04-07,38.49,38.5325,38.12,38.28,459800.0,0.0,1.0,28.210434757357,28.241584237149,27.939251050934,28.056519680739,459800.0
2010-04-08,38.17,38.17,37.88,38.0,374600.0,0.0,1.0,27.975897497748,27.975897497748,27.763348106227,27.851299578581,374600.0
2010-04-09,38.04,38.17,37.732,38.13,477100.0,0.0,1.0,27.880616736032,27.975897497748,27.654874623658,27.946580340297,477100.0
2010-04-12,38.21,38.35,38.13,38.3,291900.0,0.0,1.0,28.005214655199,28.107824706278,27.946580340297,28.071178259464,291900.0
2010-04-13,38.35,38.48,38.05,38.21,501800.0,0.0,1.0,28.107824706278,28.203105467994,27.887946025394,28.005214655199,501800.0
2010-04-14,38.26,38.83,38.1,38.83,767000.0,0.0,1.0,28.041861102013,28.459630595692,27.924592472208,28.459630595692,767000.0
2010-04-15,38.71,38.98,38.52,38.93,594000.0,0.0,1.0,28.371679123338,28.569569936133,28.232422625445,28.532923489319,594000.0
2010-04-16,38.96,38.96,38.52,38.66,833100.0,0.0,1.0,28.554911357408,28.554911357408,28.232422625445,28.335032676524,833100.0
2010-04-19,38.62,38.72,38.36,38.54,452600.0,0.0,1.0,28.305715519073,28.379008412701,28.115153995641,28.247081204171,452600.0
2010-04-20,38.69,38.95,38.64,38.95,348500.0,0.0,1.0,28.357020544613,28.547582068045,28.320374097799,28.547582068045,348500.0
