Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,22.21,22.57,22.21,22.44,1883600.0,0.0,1.0,22.21,22.57,22.21,22.44,1883600.0
2010-01-05,22.37,22.5,22.09,22.25,1723700.0,0.0,1.0,22.37,22.5,22.09,22.25,1723700.0
2010-01-06,22.19,22.29,22.07,22.21,1214800.0,0.0,1.0,22.19,22.29,22.07,22.21,1214800.0
2010-01-07,22.21,22.22,22.02,22.15,1024100.0,0.0,1.0,22.21,22.22,22.02,22.15,1024100.0
2010-01-08,22.1,22.32,22.06,22.31,736000.0,0.0,1.0,22.1,22.32,22.06,22.31,736000.0
2010-01-11,22.33,22.35,22.02,22.12,1097800.0,0.0,1.0,22.33,22.35,22.02,22.12,1097800.0
2010-01-12,21.97,22.08,21.78,21.8,1981200.0,0.0,1.0,21.97,22.08,21.78,21.8,1981200.0
2010-01-13,21.79,22.05,21.74,22.01,999700.0,0.0,1.0,21.79,22.05,21.74,22.01,999700.0
2010-01-14,21.97,22.22,21.95,22.19,1026900.0,0.0,1.0,21.97,22.22,21.95,22.19,1026900.0
2010-01-15,22.12,22.2,21.92,21.97,1210800.0,0.0,1.0,22.12,22.2,21.92,21.97,1210800.0
2010-01-19,21.93,22.04,21.85,21.98,1850700.0,0.0,1.0,21.93,22.04,21.85,21.98,1850700.0
2010-01-20,21.89,22.04,21.7,21.98,1636400.0,0.0,1.0,21.89,22.04,21.7,21.98,1636400.0
2010-01-21,22.05,22.35,21.95,22.22,1906600.0,0.0,1.0,22.05,22.35,21.95,22.22,1906600.0
2010-01-22,22.22,22.27,21.88,21.89,2363200.0,0.0,1.0,22.22,22.27,21.88,21.89,2363200.0
2010-01-25,21.98,22.03,21.65,21.74,1416100.0,0.0,1.0,21.98,22.03,21.65,21.74,1416100.0
2010-01-26,21.68,21.72,21.39,21.46,1016300.0,0.0,1.0,21.68,21.72,21.39,21.46,1016300.0
2010-01-27,21.38,21.59,21.2,21.53,1301500.0,0.0,1.0,21.38,21.59,21.2,21.53,1301500.0
2010-01-28,21.49,21.52,20.92,21.14,1464800.0,0.0,1.0,21.49,21.52,20.92,21.14,1464800.0
2010-01-29,21.23,21.5,21.1,21.27,1974700.0,0.0,1.0,21.23,21.5,21.1,21.27,1974700.0
2010-02-01,21.37,21.46,21.22,21.36,993800.0,0.0,1.0,21.37,21.46,21.22,21.36,993800.0
2010-02-02,21.33,21.72,21.24,21.34,1374800.0,0.0,1.0,21.33,21.72,21.24,21.34,1374800.0
2010-02-03,21.26,21.45,21.13,21.4,1293500.0,0.0,1.0,21.26,21.45,21.13,21.4,1293500.0
2010-02-04,21.25,21.256,21.02,21.05,1207000.0,0.0,1.0,21.25,21.256,21.02,21.05,1207000.0
2010-02-05,21.07,21.2,20.81,21.17,1299900.0,0.0,1.0,21.07,21.2,20.81,21.17,1299900.0
2010-02-08,21.14,21.24,20.89,20.95,739000.0,0.0,1.0,21.14,21.24,20.89,20.95,739000.0
2010-02-09,21.07,21.21,20.87,21.06,953400.0,0.0,1.0,21.07,21.21,20.87,21.06,953400.0
2010-02-10,21.02,21.24,20.99,21.14,680100.0,0.0,1.0,21.02,21.24,20.99,21.14,680100.0
2010-02-11,21.04,21.14,20.9,21.07,1219600.0,0.0,1.0,21.04,21.14,20.9,21.07,1219600.0
2010-02-12,20.96,21.53,20.71,21.51,1527000.0,0.0,1.0,20.96,21.53,20.71,21.51,1527000.0
2010-02-16,21.5,21.62,21.12,21.21,1799700.0,0.0,1.0,21.5,21.62,21.12,21.21,1799700.0
2010-02-17,21.15,22.17,21.15,22.1,2296500.0,0.0,1.0,21.15,22.17,21.15,22.1,2296500.0
