Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,28.2,28.4,28.0,28.1,2459700.0,0.0,1.0,22.028695492899,22.184927375828,21.872463609971,21.950579551435,2459700.0
2010-01-05,28.01,28.13,27.82,27.98,3789000.0,0.0,1.0,21.880275204117,21.974014333874,21.731854915335,21.856840421678,3789000.0
2010-01-06,27.89,28.15,27.76,28.06,2833300.0,0.0,1.0,21.78653607436,21.989637522167,21.684985350457,21.91933317485,2833300.0
2010-01-07,28.01,28.1,27.75,28.09,3108200.0,0.0,1.0,21.880275204117,21.950579551435,21.677173756311,21.942767957289,3108200.0
2010-01-08,28.08,28.08,27.78,27.91,2018500.0,0.0,1.0,21.934956363142,21.934956363142,21.70060853875,21.802159262653,2018500.0
2010-01-11,28.07,28.07,27.76,27.85,2830600.0,0.0,1.0,21.927144768996,21.927144768996,21.684985350457,21.755289697775,2830600.0
2010-01-12,27.78,27.865,27.58,27.7,3348500.0,0.0,1.0,21.70060853875,21.767007088994,21.544376655821,21.638115785578,3348500.0
2010-01-13,27.7,28.03,27.7,28.0,2877100.0,0.0,1.0,21.638115785578,21.89589839241,21.638115785578,21.872463609971,2877100.0
2010-01-14,28.04,28.22,27.83,28.18,2024600.0,0.0,1.0,21.903709986557,22.044318681192,21.739666509482,22.013072304607,2024600.0
2010-01-15,28.22,28.32,27.95,28.13,2962200.0,0.0,1.0,22.044318681192,22.122434622656,21.833405639239,21.974014333874,2962200.0
2010-01-19,28.14,28.5,28.07,28.39,2373000.0,0.0,1.0,21.981825928021,22.263043317292,21.927144768996,22.177115781681,2373000.0
2010-01-20,28.21,28.48,28.07,28.43,3231200.0,0.0,1.0,22.036507087046,22.247420128999,21.927144768996,22.208362158267,3231200.0
2010-01-21,28.5,28.79,27.75,27.8,5674300.0,0.0,1.0,22.263043317292,22.489579547538,21.677173756311,21.716231727043,5674300.0
2010-01-22,27.8,27.95,27.45,27.47,3961400.0,0.0,1.0,21.716231727043,21.833405639239,21.442825931918,21.458449120211,3961400.0
2010-01-25,27.74,27.95,27.55,27.76,3723400.0,0.0,1.0,21.669362162164,21.833405639239,21.520941873382,21.684985350457,3723400.0
2010-01-26,27.59,27.7678,27.54,27.6,2755800.0,0.0,1.0,21.552188249968,21.691078393891,21.513130279236,21.559999844114,2755800.0
2010-01-27,27.52,27.64,27.36,27.61,3042000.0,0.0,1.0,21.497507090943,21.5912462207,21.3725215846,21.567811438261,3042000.0
2010-01-28,27.63,27.74,27.3115,27.54,2713300.0,0.0,1.0,21.583434626554,21.669362162164,21.33463535299,21.513130279236,2713300.0
2010-01-29,27.62,28.24,27.41,27.99,5262400.0,0.0,1.0,21.575623032407,22.059941869485,21.411579555332,21.864652015825,5262400.0
2010-02-01,29.13,29.58,28.12,28.37,4867300.0,0.0,1.0,22.755173748516,23.106695485105,21.966202739728,22.161492593388,4867300.0
2010-02-02,28.37,28.41,27.96,28.16,3858200.0,0.0,1.0,22.161492593388,22.192738969974,21.841217233385,21.997449116314,3858200.0
2010-02-03,28.08,28.08,27.72,27.8,4014600.0,0.0,1.0,21.934956363142,21.934956363142,21.653738973871,21.716231727043,4014600.0
2010-02-04,27.6,27.69,27.29,27.29,4725600.0,0.0,1.0,21.559999844114,21.630304191432,21.317840425575,21.317840425575,4725600.0
2010-02-05,27.2,27.4,26.99,27.21,5184200.0,0.0,1.0,21.247536078258,21.403767961186,21.083492601183,21.255347672404,5184200.0
2010-02-08,27.21,27.36,27.0,27.0,3636000.0,0.0,1.0,21.255347672404,21.3725215846,21.091304195329,21.091304195329,3636000.0
2010-02-09,27.26,27.56,27.2,27.33,3986000.0,0.0,1.0,21.294405643136,21.528753467529,21.247536078258,21.349086802161,3986000.0
2010-02-10,27.28,27.58,27.1,27.42,2603300.0,0.0,1.0,21.310028831429,21.544376655821,21.169420136793,21.419391149479,2603300.0
2010-02-11,27.43,27.63,27.16,27.59,2168700.0,0.0,1.0,21.427202743625,21.583434626554,21.216289701672,21.552188249968,2168700.0
2010-02-12,27.4,27.62,27.21,27.54,3504300.0,0.0,1.0,21.403767961186,21.575623032407,21.255347672404,21.513130279236,3504300.0
2010-02-16,27.74,28.18,27.57,28.18,3251500.0,0.0,1.0,21.669362162164,22.013072304607,21.536565061675,22.013072304607,3251500.0
2010-02-17,28.44,28.72,28.12,28.47,3499300.0,0.0,1.0,22.216173752413,22.434898388513,21.966202739728,22.239608534853,3499300.0
2010-02-18,28.35,28.51,28.29,28.51,1697700.0,0.0,1.0,22.145869405096,22.270854911438,22.098999840217,22.270854911438,1697700.0
2010-02-19,28.41,29.19,28.35,29.14,4561300.0,0.0,1.0,22.192738969974,22.802043313395,22.145869405096,22.762985342663,4561300.0
2010-02-22,29.24,29.24,28.78,29.0,3335400.0,0.0,1.0,22.841101284127,22.841101284127,22.481767953392,22.653623024613,3335400.0
2010-02-23,29.0,29.14,28.57,28.92,3700100.0,0.0,1.0,22.653623024613,22.762985342663,22.317724476317,22.591130271441,3700100.0
2010-02-24,28.94,29.02,28.72,28.97,2479000.0,0.0,1.0,22.606753459734,22.669246212906,22.434898388513,22.630188242174,2479000.0
2010-02-25,28.79,29.21,28.36,29.21,4292900.0,0.0,1.0,22.489579547538,22.817666501688,22.153680999242,22.817666501688,4292900.0
2010-02-26,29.24,29.24,28.82,28.9,3585800.0,0.0,1.0,22.841101284127,22.841101284127,22.513014329977,22.575507083149,3585800.0
2010-03-01,28.92,29.065,28.77,28.97,2863500.0,0.0,1.0,22.591130271441,22.704398386565,22.473956359245,22.630188242174,2863500.0
2010-03-02,28.99,29.09,28.9,29.07,3402500.0,0.0,1.0,22.645811430466,22.723927371931,22.575507083149,22.708304183638,3402500.0
2010-03-03,29.06,29.19,28.62,28.75,3785800.0,0.0,1.0,22.700492589491,22.802043313395,22.356782447049,22.458333170952,3785800.0
2010-03-04,28.87,29.02,28.82,28.98,4064900.0,0.0,1.0,22.552072300709,22.669246212906,22.513014329977,22.63799983632,4064900.0
2010-03-05,29.09,29.14,28.9,29.04,4157300.0,0.0,1.0,22.723927371931,22.762985342663,22.575507083149,22.684869401198,4157300.0
2010-03-08,29.08,29.14,28.86,28.95,2702000.0,0.0,1.0,22.716115777784,22.762985342663,22.544260706563,22.614565053881,2702000.0
2010-03-09,28.86,29.08,28.66,28.7,3574600.0,0.0,1.0,22.544260706563,22.716115777784,22.388028823635,22.41927520022,3574600.0
2010-03-10,28.74,28.8,28.34,28.41,4636400.0,0.0,1.0,22.450521576806,22.497391141684,22.138057810949,22.192738969974,4636400.0
2010-03-11,28.3,28.65,28.3,28.65,4648100.0,0.0,1.0,22.106811434364,22.380217229488,22.106811434364,22.380217229488,4648100.0
2010-03-12,28.64,28.81,28.53,28.64,3725500.0,0.0,1.0,22.372405635342,22.505202735831,22.286478099731,22.372405635342,3725500.0
2010-03-15,28.59,28.75,28.52,28.68,2858900.0,0.0,1.0,22.33334766461,22.458333170952,22.278666505585,22.403652011927,2858900.0
2010-03-16,28.7,28.88,28.56,28.63,3459800.0,0.0,1.0,22.41927520022,22.559883894856,22.30991288217,22.364594041195,3459800.0
2010-03-17,28.73,29.23,28.64,29.06,4132700.0,0.0,1.0,22.44270998266,22.83328968998,22.372405635342,22.700492589491,4132700.0
2010-03-18,29.06,29.16,28.83,28.91,3137900.0,0.0,1.0,22.700492589491,22.778608530956,22.520825924124,22.583318677295,3137900.0
2010-03-19,28.5618,29.1,28.5618,28.77,4429100.0,0.0,1.0,22.311318969117,22.731738966077,22.311318969117,22.473956359245,4429100.0
