Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,10.18,10.6,10.08,10.4,3666400.0,0.0,1.0,10.18,10.6,10.08,10.4,3666400.0
2010-01-05,10.38,10.49,10.11,10.47,4442300.0,0.0,1.0,10.38,10.49,10.11,10.47,4442300.0
2010-01-06,10.46,10.66,10.33,10.44,2829400.0,0.0,1.0,10.46,10.66,10.33,10.44,2829400.0
2010-01-07,10.39,10.43,9.99,10.39,2655500.0,0.0,1.0,10.39,10.43,9.99,10.39,2655500.0
2010-01-08,10.33,10.49,10.27,10.42,2143400.0,0.0,1.0,10.33,10.49,10.27,10.42,2143400.0
2010-01-11,10.5,10.82,10.4101,10.68,3858200.0,0.0,1.0,10.5,10.82,10.4101,10.68,3858200.0
2010-01-12,10.56,10.56,10.14,10.19,2808300.0,0.0,1.0,10.56,10.56,10.14,10.19,2808300.0
2010-01-13,10.25,10.37,10.05,10.36,1691100.0,0.0,1.0,10.25,10.37,10.05,10.36,1691100.0
2010-01-14,10.3,10.38,10.12,10.15,1403500.0,0.0,1.0,10.3,10.38,10.12,10.15,1403500.0
2010-01-15,10.2,10.29,9.9199,10.08,2084500.0,0.0,1.0,10.2,10.29,9.9199,10.08,2084500.0
2010-01-19,10.06,10.25,9.83,9.95,3223100.0,0.0,1.0,10.06,10.25,9.83,9.95,3223100.0
2010-01-20,9.9,9.98,9.53,9.73,3587600.0,0.0,1.0,9.9,9.98,9.53,9.73,3587600.0
2010-01-21,9.81,9.89,9.36,9.37,2600600.0,0.0,1.0,9.81,9.89,9.36,9.37,2600600.0
2010-01-22,9.875,9.875,9.25,9.29,2730300.0,0.0,1.0,9.875,9.875,9.25,9.29,2730300.0
2010-01-25,9.3,9.35,8.97,9.12,3342700.0,0.0,1.0,9.3,9.35,8.97,9.12,3342700.0
2010-01-26,9.06,9.29,9.06,9.2,2461700.0,0.0,1.0,9.06,9.29,9.06,9.2,2461700.0
2010-01-27,9.15,9.37,9.13,9.33,1938400.0,0.0,1.0,9.15,9.37,9.13,9.33,1938400.0
2010-01-28,9.34,9.42,9.08,9.28,1946700.0,0.0,1.0,9.34,9.42,9.08,9.28,1946700.0
2010-01-29,9.75,9.75,9.25,9.28,4289600.0,0.0,1.0,9.75,9.75,9.25,9.28,4289600.0
2010-02-01,9.29,9.41,9.28,9.34,1705400.0,0.0,1.0,9.29,9.41,9.28,9.34,1705400.0
2010-02-02,9.32,9.4,9.2,9.34,1847300.0,0.0,1.0,9.32,9.4,9.2,9.34,1847300.0
2010-02-03,9.33,9.82,9.33,9.6,4273300.0,0.0,1.0,9.33,9.82,9.33,9.6,4273300.0
2010-02-04,9.55,9.76,9.15,9.2525,2636800.0,0.0,1.0,9.55,9.76,9.15,9.2525,2636800.0
