Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,47.19,47.425,47.0,47.17,780600.0,0.0,1.0,47.19,47.425,47.0,47.17,780600.0
2010-01-05,47.67,47.85,47.41,47.84,846100.0,0.0,1.0,47.67,47.85,47.41,47.84,846100.0
2010-01-06,47.95,48.49,47.75,48.13,810100.0,0.0,1.0,47.95,48.49,47.75,48.13,810100.0
2010-01-07,48.07,48.07,47.11,47.34,975800.0,0.0,1.0,48.07,48.07,47.11,47.34,975800.0
2010-01-08,47.33,47.47,47.0,47.39,675400.0,0.0,1.0,47.33,47.47,47.0,47.39,675400.0
2010-01-11,47.54,48.25,47.52,47.64,1192500.0,0.0,1.0,47.54,48.25,47.52,47.64,1192500.0
2010-01-12,47.52,48.15,47.49,48.1,1159800.0,0.0,1.0,47.52,48.15,47.49,48.1,1159800.0
2010-01-13,48.21,49.01,48.11,48.96,926800.0,0.0,1.0,48.21,49.01,48.11,48.96,926800.0
2010-01-14,49.01,49.49,48.7,48.99,781300.0,0.0,1.0,49.01,49.49,48.7,48.99,781300.0
2010-01-15,49.03,49.03,48.0,48.35,785000.0,0.0,1.0,49.03,49.03,48.0,48.35,785000.0
2010-01-19,48.42,49.38,48.25,49.31,753200.0,0.0,1.0,48.42,49.38,48.25,49.31,753200.0
2010-01-20,49.35,49.89,48.75,48.86,855000.0,0.0,1.0,49.35,49.89,48.75,48.86,855000.0
2010-01-21,48.99,49.2,47.93,47.99,1180200.0,0.0,1.0,48.99,49.2,47.93,47.99,1180200.0
2010-01-22,47.95,49.48,47.78,48.5,2023200.0,0.0,1.0,47.95,49.48,47.78,48.5,2023200.0
2010-01-25,48.77,48.83,48.12,48.51,1881000.0,0.0,1.0,48.77,48.83,48.12,48.51,1881000.0
2010-01-26,48.54,50.05,48.28,49.78,1725000.0,0.0,1.0,48.54,50.05,48.28,49.78,1725000.0
2010-01-27,49.81,49.81,48.45,48.97,1708700.0,0.0,1.0,49.81,49.81,48.45,48.97,1708700.0
2010-01-28,50.44,50.44,49.11,49.77,1560800.0,0.0,1.0,50.44,50.44,49.11,49.77,1560800.0
2010-01-29,49.79,50.74,49.57,50.29,1596500.0,0.0,1.0,49.79,50.74,49.57,50.29,1596500.0
2010-02-01,50.86,50.86,49.44,50.12,1403400.0,0.0,1.0,50.86,50.86,49.44,50.12,1403400.0
2010-02-02,50.28,50.7,49.56,50.6,901500.0,0.0,1.0,50.28,50.7,49.56,50.6,901500.0
2010-02-03,50.5,50.55,49.8,49.88,859300.0,0.0,1.0,50.5,50.55,49.8,49.88,859300.0
2010-02-04,49.4,49.44,48.33,48.41,1286400.0,0.0,1.0,49.4,49.44,48.33,48.41,1286400.0
2010-02-05,48.3,48.31,46.96,47.77,1713500.0,0.0,1.0,48.3,48.31,46.96,47.77,1713500.0
2010-02-08,47.77,47.89,47.12,47.5,1288700.0,0.0,1.0,47.77,47.89,47.12,47.5,1288700.0
2010-02-09,47.78,48.4299,47.55,47.88,969900.0,0.0,1.0,47.78,48.4299,47.55,47.88,969900.0
2010-02-10,47.8,47.83,47.05,47.33,715300.0,0.0,1.0,47.8,47.83,47.05,47.33,715300.0
2010-02-11,47.28,47.86,47.0,47.65,616400.0,0.0,1.0,47.28,47.86,47.0,47.65,616400.0
2010-02-12,47.52,47.77,47.01,47.58,552400.0,0.0,1.0,47.52,47.77,47.01,47.58,552400.0
2010-02-16,47.6,48.12,47.55,48.01,1030800.0,0.0,1.0,47.6,48.12,47.55,48.01,1030800.0
2010-02-17,48.03,48.74,48.02,48.67,574000.0,0.0,1.0,48.03,48.74,48.02,48.67,574000.0
2010-02-18,48.69,49.0,48.5,48.68,731700.0,0.0,1.0,48.69,49.0,48.5,48.68,731700.0
2010-02-19,48.58,48.69,48.1,48.36,1001600.0,0.0,1.0,48.58,48.69,48.1,48.36,1001600.0
2010-02-22,48.54,49.0,48.36,48.73,952000.0,0.0,1.0,48.54,49.0,48.36,48.73,952000.0
2010-02-23,48.6,48.96,48.3,48.34,1011200.0,0.0,1.0,48.6,48.96,48.3,48.34,1011200.0
2010-02-24,48.6,48.94,48.41,48.84,690000.0,0.0,1.0,48.6,48.94,48.41,48.84,690000.0
2010-02-25,48.46,48.8,48.2,48.63,1167400.0,0.0,1.0,48.46,48.8,48.2,48.63,1167400.0
2010-02-26,48.76,49.47,48.7075,48.97,1609100.0,0.0,1.0,48.76,49.47,48.7075,48.97,1609100.0
2010-03-01,49.06,50.47,49.0,50.28,1072700.0,0.0,1.0,49.06,50.47,49.0,50.28,1072700.0
2010-03-02,50.26,50.85,50.26,50.61,799400.0,0.0,1.0,50.26,50.85,50.26,50.61,799400.0
2010-03-03,50.63,50.79,50.32,50.38,958100.0,0.0,1.0,50.63,50.79,50.32,50.38,958100.0
2010-03-04,50.38,50.68,50.28,50.48,1035100.0,0.0,1.0,50.38,50.68,50.28,50.48,1035100.0
2010-03-05,50.7,52.38,50.64,52.38,1541900.0,0.0,1.0,50.7,52.38,50.64,52.38,1541900.0
2010-03-08,52.53,52.6,52.3,52.47,889300.0,0.0,1.0,52.53,52.6,52.3,52.47,889300.0
2010-03-09,52.36,53.27,52.33,52.97,1329000.0,0.0,1.0,52.36,53.27,52.33,52.97,1329000.0
2010-03-10,52.9,53.55,52.83,53.35,913800.0,0.0,1.0,52.9,53.55,52.83,53.35,913800.0
2010-03-11,53.32,53.32,52.53,52.79,859000.0,0.0,1.0,53.32,53.32,52.53,52.79,859000.0
2010-03-12,52.96,52.96,52.46,52.84,958500.0,0.0,1.0,52.96,52.96,52.46,52.84,958500.0
2010-03-15,52.84,53.32,52.75,53.25,451600.0,0.0,1.0,52.84,53.32,52.75,53.25,451600.0
2010-03-16,53.22,53.31,52.7,52.79,876900.0,0.0,1.0,53.22,53.31,52.7,52.79,876900.0
2010-03-17,52.98,53.37,52.74,53.32,600900.0,0.0,1.0,52.98,53.37,52.74,53.32,600900.0
2010-03-18,53.34,53.86,53.25,53.8,589300.0,0.0,1.0,53.34,53.86,53.25,53.8,589300.0
2010-03-19,53.94,54.0,53.12,53.3,714300.0,0.0,1.0,53.94,54.0,53.12,53.3,714300.0
2010-03-22,53.08,54.39,53.08,53.93,861000.0,0.0,1.0,53.08,54.39,53.08,53.93,861000.0
2010-03-23,54.08,54.89,53.99,54.8,1237100.0,0.0,1.0,54.08,54.89,53.99,54.8,1237100.0
2010-03-24,54.77,54.88,54.49,54.75,839100.0,0.0,1.0,54.77,54.88,54.49,54.75,839100.0
2010-03-25,54.9,56.32,54.9,55.81,1861900.0,0.0,1.0,54.9,56.32,54.9,55.81,1861900.0
2010-03-26,56.04,56.04,55.17,55.65,1224700.0,0.0,1.0,56.04,56.04,55.17,55.65,1224700.0
2010-03-29,55.65,56.25,55.55,56.15,659900.0,0.0,1.0,55.65,56.25,55.55,56.15,659900.0
2010-03-30,56.26,56.26,55.48,55.66,1022500.0,0.0,1.0,56.26,56.26,55.48,55.66,1022500.0
2010-03-31,55.6,55.63,55.15,55.33,797700.0,0.0,1.0,55.6,55.63,55.15,55.33,797700.0
2010-04-01,55.47,56.38,55.45,56.38,1014800.0,0.0,1.0,55.47,56.38,55.45,56.38,1014800.0
2010-04-05,56.55,56.77,55.78,56.0,1309400.0,0.0,1.0,56.55,56.77,55.78,56.0,1309400.0
2010-04-06,55.83,55.91,55.45,55.81,603400.0,0.0,1.0,55.83,55.91,55.45,55.81,603400.0
2010-04-07,55.6,55.61,54.91,55.28,616800.0,0.0,1.0,55.6,55.61,54.91,55.28,616800.0
2010-04-08,55.28,55.37,54.67,54.87,662500.0,0.0,1.0,55.28,55.37,54.67,54.87,662500.0
2010-04-09,54.99,55.661,54.83,55.37,1053800.0,0.0,1.0,54.99,55.661,54.83,55.37,1053800.0
2010-04-12,55.46,55.48,55.17,55.26,661800.0,0.0,1.0,55.46,55.48,55.17,55.26,661800.0
2010-04-13,55.5,55.63,55.08,55.56,1050000.0,0.0,1.0,55.5,55.63,55.08,55.56,1050000.0
2010-04-14,55.7,55.7,54.98,55.36,1298000.0,0.0,1.0,55.7,55.7,54.98,55.36,1298000.0
2010-04-15,55.28,57.47,55.18,57.46,1499500.0,0.0,1.0,55.28,57.47,55.18,57.46,1499500.0
2010-04-16,57.41,57.7,56.31,56.41,1032900.0,0.0,1.0,57.41,57.7,56.31,56.41,1032900.0
2010-04-19,56.34,56.6,55.92,56.16,933900.0,0.0,1.0,56.34,56.6,55.92,56.16,933900.0
2010-04-20,56.45,56.93,56.33,56.74,583300.0,0.0,1.0,56.45,56.93,56.33,56.74,583300.0
2010-04-21,56.8,56.87,55.47,55.66,1070100.0,0.0,1.0,56.8,56.87,55.47,55.66,1070100.0
2010-04-22,55.17,55.43,54.701,55.33,1063100.0,0.0,1.0,55.17,55.43,54.701,55.33,1063100.0
2010-04-23,55.05,55.5,54.79,55.44,720100.0,0.0,1.0,55.05,55.5,54.79,55.44,720100.0
2010-04-26,55.6,55.72,54.73,54.96,839900.0,0.0,1.0,55.6,55.72,54.73,54.96,839900.0
2010-04-27,54.59,55.21,54.4,54.72,1200600.0,0.0,1.0,54.59,55.21,54.4,54.72,1200600.0
2010-04-28,54.99,56.03,54.88,55.82,1231800.0,0.0,1.0,54.99,56.03,54.88,55.82,1231800.0
2010-04-29,55.65,56.45,55.0,55.95,1483900.0,0.0,1.0,55.65,56.45,55.0,55.95,1483900.0
2010-04-30,56.13,56.75,55.91,56.38,1252000.0,0.0,1.0,56.13,56.75,55.91,56.38,1252000.0
2010-05-03,56.69,57.33,56.065,57.27,1157600.0,0.0,1.0,56.69,57.33,56.065,57.27,1157600.0
2010-05-04,56.91,56.91,56.0,56.24,1222100.0,0.0,1.0,56.91,56.91,56.0,56.24,1222100.0
2010-05-05,55.66,56.3,55.52,55.87,967800.0,0.0,1.0,55.66,56.3,55.52,55.87,967800.0
2010-05-06,55.83,55.87,35.5,52.9,3288000.0,0.0,1.0,55.83,55.87,35.5,52.9,3288000.0
2010-05-07,53.22,53.22,50.05,50.93,3596900.0,0.0,1.0,53.22,53.22,50.05,50.93,3596900.0
2010-05-10,53.11,53.49,52.46,53.2,1748700.0,0.0,1.0,53.11,53.49,52.46,53.2,1748700.0
2010-05-11,53.04,53.78,52.55,53.49,1259100.0,0.0,1.0,53.04,53.78,52.55,53.49,1259100.0
2010-05-12,53.7,54.5,53.68,54.39,813600.0,0.0,1.0,53.7,54.5,53.68,54.39,813600.0
2010-05-13,54.44,54.55,53.98,54.03,716000.0,0.0,1.0,54.44,54.55,53.98,54.03,716000.0
2010-05-14,53.63,53.77,52.28,52.83,1292700.0,0.0,1.0,53.63,53.77,52.28,52.83,1292700.0
2010-05-17,52.83,53.42,52.33,53.32,981200.0,0.0,1.0,52.83,53.42,52.33,53.32,981200.0
2010-05-18,53.7,54.065,52.91,53.01,1307300.0,0.0,1.0,53.7,54.065,52.91,53.01,1307300.0
2010-05-19,52.69,52.72,51.51,52.36,1627800.0,0.0,1.0,52.69,52.72,51.51,52.36,1627800.0
2010-05-20,51.51,51.51,49.35,49.35,2729200.0,0.0,1.0,51.51,51.51,49.35,49.35,2729200.0
2010-05-21,48.18,49.3,47.84,48.52,3573600.0,0.0,1.0,48.18,49.3,47.84,48.52,3573600.0
2010-05-24,48.3,49.59,48.13,48.93,1614700.0,0.0,1.0,48.3,49.59,48.13,48.93,1614700.0
2010-05-25,47.92,49.09,47.25,49.07,2189100.0,0.0,1.0,47.92,49.09,47.25,49.07,2189100.0
2010-05-26,49.41,50.26,48.75,48.81,1780400.0,0.0,1.0,49.41,50.26,48.75,48.81,1780400.0
2010-05-27,49.59,50.48,49.56,50.47,987200.0,0.0,1.0,49.59,50.48,49.56,50.47,987200.0
2010-05-28,50.45,50.75,49.94,50.09,920300.0,0.0,1.0,50.45,50.75,49.94,50.09,920300.0
2010-06-01,49.56,50.88,49.56,49.76,1659800.0,0.0,1.0,49.56,50.88,49.56,49.76,1659800.0
2010-06-02,50.18,51.12,49.27,51.11,1430100.0,0.0,1.0,50.18,51.12,49.27,51.11,1430100.0
2010-06-03,51.26,52.19,51.22,51.85,1203100.0,0.0,1.0,51.26,52.19,51.22,51.85,1203100.0
2010-06-04,50.99,51.09,49.3,49.5,1675700.0,0.0,1.0,50.99,51.09,49.3,49.5,1675700.0
2010-06-07,49.62,49.76,48.73,48.8,1487100.0,0.0,1.0,49.62,49.76,48.73,48.8,1487100.0
2010-06-08,48.95,49.05,48.1,48.68,1906400.0,0.0,1.0,48.95,49.05,48.1,48.68,1906400.0
2010-06-09,48.96,50.08,48.74,48.87,1616200.0,0.0,1.0,48.96,50.08,48.74,48.87,1616200.0
2010-06-10,49.54,50.59,49.43,50.54,1314500.0,0.0,1.0,49.54,50.59,49.43,50.54,1314500.0
2010-06-11,49.85,50.92,49.85,50.47,1233800.0,0.0,1.0,49.85,50.92,49.85,50.47,1233800.0
2010-06-14,50.69,51.25,50.28,50.31,1765900.0,0.0,1.0,50.69,51.25,50.28,50.31,1765900.0
2010-06-15,50.72,51.84,50.72,51.81,1084900.0,0.0,1.0,50.72,51.84,50.72,51.81,1084900.0
2010-06-16,51.34,52.62,51.25,52.49,1212600.0,0.0,1.0,51.34,52.62,51.25,52.49,1212600.0
2010-06-17,52.39,52.79,51.66,52.63,1380200.0,0.0,1.0,52.39,52.79,51.66,52.63,1380200.0
2010-06-18,52.45,53.8,52.45,53.38,1860100.0,0.0,1.0,52.45,53.8,52.45,53.38,1860100.0
2010-06-21,53.64,54.76,53.64,54.13,2035400.0,0.0,1.0,53.64,54.76,53.64,54.13,2035400.0
2010-06-22,54.27,54.96,53.1,53.22,1557900.0,0.0,1.0,54.27,54.96,53.1,53.22,1557900.0
2010-06-23,53.33,53.38,52.04,52.91,1415600.0,0.0,1.0,53.33,53.38,52.04,52.91,1415600.0
2010-06-24,52.61,52.94,51.75,51.94,1115700.0,0.0,1.0,52.61,52.94,51.75,51.94,1115700.0
2010-06-25,52.08,52.99,51.84,52.67,1119300.0,0.0,1.0,52.08,52.99,51.84,52.67,1119300.0
2010-06-28,53.3,53.59,52.42,53.28,951200.0,0.0,1.0,53.3,53.59,52.42,53.28,951200.0
2010-06-29,52.78,53.07,51.44,52.25,1862000.0,0.0,1.0,52.78,53.07,51.44,52.25,1862000.0
2010-06-30,52.24,53.27,51.78,52.28,1228200.0,0.0,1.0,52.24,53.27,51.78,52.28,1228200.0
2010-07-01,52.34,52.34,50.2,51.77,1712000.0,0.0,1.0,52.34,52.34,50.2,51.77,1712000.0
2010-07-02,51.85,52.24,51.23,51.53,907900.0,0.0,1.0,51.85,52.24,51.23,51.53,907900.0
2010-07-06,51.9,52.61,50.83,52.38,1549100.0,0.0,1.0,51.9,52.61,50.83,52.38,1549100.0
2010-07-07,52.34,53.59,51.92,53.54,1049500.0,0.0,1.0,52.34,53.59,51.92,53.54,1049500.0
2010-07-08,53.99,53.99,52.78,53.36,1214900.0,0.0,1.0,53.99,53.99,52.78,53.36,1214900.0
2010-07-09,53.24,53.76,53.14,53.38,678800.0,0.0,1.0,53.24,53.76,53.14,53.38,678800.0
2010-07-12,53.19,53.58,53.0,53.38,451600.0,0.0,1.0,53.19,53.58,53.0,53.38,451600.0
2010-07-13,53.79,54.84,53.79,54.68,924700.0,0.0,1.0,53.79,54.84,53.79,54.68,924700.0
2010-07-14,54.54,55.11,54.19,54.71,969800.0,0.0,1.0,54.54,55.11,54.19,54.71,969800.0
2010-07-15,54.62,54.6699,54.12,54.54,904400.0,0.0,1.0,54.62,54.6699,54.12,54.54,904400.0
2010-07-16,54.28,54.38,53.48,53.51,966000.0,0.0,1.0,54.28,54.38,53.48,53.51,966000.0
2010-07-19,53.75,54.12,53.46,53.9,598400.0,0.0,1.0,53.75,54.12,53.46,53.9,598400.0
2010-07-20,53.23,54.54,52.83,54.53,897800.0,0.0,1.0,53.23,54.54,52.83,54.53,897800.0
2010-07-21,54.67,54.67,53.0,53.16,704400.0,0.0,1.0,54.67,54.67,53.0,53.16,704400.0
2010-07-22,53.92,55.11,53.91,54.87,1101800.0,0.0,1.0,53.92,55.11,53.91,54.87,1101800.0
2010-07-23,54.67,55.9,54.57,55.8,958900.0,0.0,1.0,54.67,55.9,54.57,55.8,958900.0
2010-07-26,55.9,56.96,55.77,56.25,963400.0,0.0,1.0,55.9,56.96,55.77,56.25,963400.0
2010-07-27,56.37,56.93,55.49,55.53,1215200.0,0.0,1.0,56.37,56.93,55.49,55.53,1215200.0
2010-07-28,55.36,55.65,54.41,54.63,1691600.0,0.0,1.0,55.36,55.65,54.41,54.63,1691600.0
2010-07-29,56.04,57.42,54.14,54.79,2348200.0,0.0,1.0,56.04,57.42,54.14,54.79,2348200.0
2010-07-30,54.3,55.59,53.7,55.2,716300.0,0.0,1.0,54.3,55.59,53.7,55.2,716300.0
2010-08-02,55.89,56.15,54.72,55.09,1479800.0,0.0,1.0,55.89,56.15,54.72,55.09,1479800.0
2010-08-03,55.0,56.07,55.0,55.98,1763700.0,0.0,1.0,55.0,56.07,55.0,55.98,1763700.0
2010-08-04,56.15,57.0,55.7216,56.97,1507700.0,0.0,1.0,56.15,57.0,55.7216,56.97,1507700.0
