Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,21.38,21.38,21.04,21.08,2670400.0,0.0,1.0,15.902214930824,15.902214930824,15.649326573645,15.679078145078,2670400.0
2010-01-05,20.95,21.0,20.41,20.83,4321400.0,0.0,1.0,15.582385537921,15.619575002212,15.180739323579,15.493130823623,4321400.0
2010-01-06,20.87,20.96,20.74,20.87,2164500.0,0.0,1.0,15.522882395056,15.589823430779,15.426189787899,15.522882395056,2164500.0
2010-01-07,20.8,20.84,20.64,20.78,3041700.0,0.0,1.0,15.470817145048,15.500568716481,15.351810859317,15.455941359332,3041700.0
2010-01-08,20.76,20.81,20.59,20.79,1599100.0,0.0,1.0,15.441065573615,15.478255037906,15.314621395026,15.46337925219,1599100.0
2010-01-11,20.91,21.09,20.79,20.99,2266600.0,0.0,1.0,15.552633966488,15.686516037936,15.46337925219,15.612137109354,2266600.0
2010-01-12,20.94,21.26,20.86,21.24,3481400.0,0.0,1.0,15.574947645063,15.812960216525,15.515444502197,15.798084430809,3481400.0
2010-01-13,21.28,21.62,21.275,21.57,3438400.0,0.0,1.0,15.827836002242,16.08072435942,15.824117055813,16.043534895129,3438400.0
2010-01-14,21.65,21.66,21.46,21.61,2278400.0,0.0,1.0,16.103038037995,16.110475930853,15.961718073689,16.073286466562,2278400.0
2010-01-15,21.54,21.54,21.29,21.41,3249700.0,0.0,1.0,16.021221216555,16.021221216555,15.8352738951,15.924528609398,3249700.0
2010-01-19,21.44,21.6,21.31,21.6,1647700.0,0.0,1.0,15.946842287973,16.065848573704,15.850149680816,16.065848573704,1647700.0
2010-01-20,21.56,21.61,21.23,21.54,2731100.0,0.0,1.0,16.036097002271,16.073286466562,15.790646537951,16.021221216555,2731100.0
2010-01-21,21.59,21.76,21.24,21.37,4444100.0,0.0,1.0,16.058410680846,16.184854859435,15.798084430809,15.894777037965,4444100.0
2010-01-22,21.33,21.43,20.84,20.84,3347900.0,0.0,1.0,15.865025466533,15.939404395115,15.500568716481,15.500568716481,3347900.0
2010-01-25,20.92,21.0,20.67,20.79,2106500.0,0.0,1.0,15.560071859347,15.619575002212,15.374124537892,15.46337925219,2106500.0
2010-01-26,20.69,20.92,20.63,20.8,2730900.0,0.0,1.0,15.389000323608,15.560071859347,15.344372966459,15.470817145048,2730900.0
2010-01-27,20.73,20.99,20.5719,20.94,3885800.0,0.0,1.0,15.418751895041,15.612137109354,15.301158808953,15.574947645063,3885800.0
2010-01-28,21.1,21.1,20.72,20.86,2859000.0,0.0,1.0,15.693953930794,15.693953930794,15.411314002183,15.515444502197,2859000.0
2010-01-29,20.87,20.955,20.68,20.78,3960200.0,0.0,1.0,15.522882395056,15.58610448435,15.38156243075,15.455941359332,3960200.0
2010-02-01,20.83,20.91,20.625,20.85,2335200.0,0.0,1.0,15.493130823623,15.552633966488,15.34065402003,15.508006609339,2335200.0
2010-02-02,20.8,21.17,20.67,21.17,2501800.0,0.0,1.0,15.470817145048,15.746019180802,15.374124537892,15.746019180802,2501800.0
2010-02-03,21.07,21.16,20.875,20.92,2209300.0,0.0,1.0,15.67164025222,15.738581287943,15.526601341485,15.560071859347,2209300.0
2010-02-04,20.84,20.86,20.23,20.23,4037200.0,0.0,1.0,15.500568716481,15.515444502197,15.046857252131,15.046857252131,4037200.0
2010-02-05,20.19,20.23,19.86,20.13,4800900.0,0.0,1.0,15.017105680698,15.046857252131,14.771655216378,14.972478323549,4800900.0
2010-02-08,20.15,20.26,20.02,20.04,3274300.0,0.0,1.0,14.987354109265,15.069170930706,14.890661502109,14.905537287825,3274300.0
2010-02-09,20.12,20.41,20.085,20.2,3303600.0,0.0,1.0,14.965040430691,15.180739323579,14.939007805687,15.024543573556,3303600.0
2010-02-10,20.19,20.24,19.865,20.06,3504600.0,0.0,1.0,15.017105680698,15.054295144989,14.775374162807,14.920413073542,3504600.0
2010-02-11,20.08,20.32,19.82,20.29,3170700.0,0.0,1.0,14.935288859258,15.113798287855,14.741903644945,15.09148460928,3170700.0
