Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2010-01-04,68.72,69.26,68.19,69.15,27809100.0,0.0,1.0,54.21955080564,54.645606647244,53.801384887028,54.558817494325,27809100.0
2010-01-05,69.19,69.45,68.8,69.42,30174700.0,0.0,1.0,54.590377186296,54.795515184105,54.282670189581,54.771845415127,30174700.0
2010-01-06,69.45,70.6,69.34,70.02,35044700.0,0.0,1.0,54.795515184105,55.702856328262,54.708726031186,55.245240794687,35044700.0
2010-01-07,69.9,70.06,69.415,69.8,27192100.0,0.0,1.0,55.150561718775,55.276800486658,54.767900453631,55.071662488849,27192100.0
2010-01-08,69.69,69.75,69.22,69.52,24891800.0,0.0,1.0,54.984873335929,55.032212873885,54.614046955274,54.850744645054,24891800.0
2010-01-11,69.94,70.52,69.65,70.3,30685000.0,0.0,1.0,55.182121410746,55.639736944321,54.953313643959,55.466158638482,30685000.0
2010-01-12,69.72,69.99,69.52,69.95,31496700.0,0.0,1.0,55.008543104907,55.221571025709,54.850744645054,55.190011333739,31496700.0
2010-01-13,69.96,70.04,69.26,69.67,24884400.0,0.0,1.0,55.197901256731,55.261020640673,54.645606647244,54.969093489944,24884400.0
2010-01-14,69.54,69.74,69.35,69.68,18630800.0,0.0,1.0,54.866524491039,55.024322950893,54.716615954178,54.976983412937,18630800.0
2010-01-15,69.65,69.69,68.65,69.11,29411900.0,0.0,1.0,54.953313643959,54.984873335929,54.164321344691,54.527257802354,29411900.0
2010-01-19,68.74,69.35,68.42,69.27,26081900.0,0.0,1.0,54.235330651625,54.716615954178,53.98285311586,54.653496570237,26081900.0
2010-01-20,68.56,68.66,67.9325,68.03,34629500.0,0.0,1.0,54.093312037757,54.172211267684,53.598219369967,53.675146119146,34629500.0
2010-01-21,68.12,68.15,66.5,66.7,39114000.0,0.0,1.0,53.74615542608,53.769825195058,52.467987901267,52.62578636112,39114000.0
2010-01-22,66.52,67.14,66.0,66.1,39085500.0,0.0,1.0,52.483767747252,52.972942972798,52.073491751633,52.15239098156,39085500.0
2010-01-25,66.55,66.76,65.69,65.85,29305100.0,0.0,1.0,52.50743751623,52.673125899076,51.828904138861,51.955142906743,29305100.0
2010-01-26,65.64,66.74,65.5,65.92,34083300.0,0.0,1.0,51.789454523897,52.657346053091,51.678995602,52.010372367692,34083300.0
2010-01-27,65.66,66.06,65.0,65.54,35723500.0,0.0,1.0,51.805234369882,52.120831289589,51.284499452366,51.71055529397,35723500.0
2010-01-28,65.85,65.85,64.57,64.96,37349800.0,0.0,1.0,51.955142906743,51.955142906743,50.945232763681,51.252939760395,37349800.0
2010-01-29,65.15,65.82,64.02,64.43,40880500.0,0.0,1.0,51.402848297256,51.931473137765,50.511286999084,50.834773841784,40880500.0
2010-02-01,65.77,66.41,65.35,66.18,37703000.0,0.0,1.0,51.892023522802,52.396978594333,51.56064675711,52.215510365501,37703000.0
2010-02-02,66.73,67.12,66.47,66.96,34057900.0,0.0,1.0,52.649456130098,52.957163126813,52.444318132289,52.83092435893,34057900.0
2010-02-03,66.88,67.23,66.56,66.6,24024700.0,0.0,1.0,52.767804974988,53.043952279732,52.515327439223,52.546887131194,24024700.0
2010-02-04,66.27,66.35,64.68,64.72,33858200.0,0.0,1.0,52.286519672435,52.349639056377,51.032021916601,51.063581608571,33858200.0
2010-02-05,64.7,64.9,63.56,64.38,42297500.0,0.0,1.0,51.047801762586,51.205600222439,50.148350541421,50.795324226821,42297500.0
2010-02-08,64.91,65.49,64.34,64.35,30519400.0,0.42,1.0,51.547750687174,52.0083529888,51.095089804541,51.103031223535,30519400.0
2010-02-09,65.11,65.71,64.56,65.2,36243300.0,0.0,1.0,51.706579067045,52.183064206658,51.269801022399,51.778051837987,36243300.0
2010-02-10,65.08,65.22,64.16,64.85,21699100.0,0.0,1.0,51.682754810064,51.793934675974,50.952144262657,51.500102173213,21699100.0
2010-02-11,64.69,65.48,64.41,65.24,23555200.0,0.0,1.0,51.373039469316,52.000411569807,51.150679737496,51.809817513961,23555200.0
2010-02-12,64.62,65.14,64.28,64.8,30636200.0,0.0,1.0,51.317449536361,51.730403324026,51.04744129058,51.460395078245,30636200.0
2010-02-16,65.44,66.38,65.08,66.28,30514900.0,0.0,1.0,51.968645893832,52.715139279227,51.682754810064,52.635725089291,30514900.0
2010-02-17,66.34,66.45,65.57,65.76,21821800.0,0.0,1.0,52.683373603252,52.770729212182,52.071884340749,52.222771301626,21821800.0
2010-02-18,65.8,66.09,65.35,65.96,22536700.0,0.0,1.0,52.2545369776,52.484838128414,51.89717312289,52.381599681497,22536700.0
2010-02-19,65.59,66.24,65.43,65.87,24264600.0,0.0,1.0,52.087767178736,52.603959413317,51.960704474839,52.310126910555,24264600.0
2010-02-22,66.1,66.12,65.25,65.4,20469700.0,0.0,1.0,52.492779547407,52.508662385394,51.817758932955,51.936880217858,20469700.0
2010-02-23,65.26,65.56,64.15,64.94,33372900.0,0.0,1.0,51.825700351948,52.063942921755,50.944202843664,51.571574944155,33372900.0
2010-02-24,65.01,65.8667,64.77,65.55,21469600.0,0.0,1.0,51.627164877109,52.307506242287,51.436570821264,52.056001502761,21469600.0
2010-02-25,64.61,65.17,64.37,65.14,25668800.0,0.0,1.0,51.309508117367,51.754227581006,51.118914061522,51.730403324026,25668800.0
2010-02-26,65.26,65.4,64.92,65.0,20129700.0,0.0,1.0,51.825700351948,51.936880217858,51.555692106167,51.619223458116,20129700.0
2010-03-01,65.36,65.54,65.09,65.4,18798600.0,0.0,1.0,51.905114541884,52.048060083768,51.690696229058,51.936880217858,18798600.0
2010-03-02,65.66,65.79,65.15,65.49,24823900.0,0.0,1.0,52.143357111691,52.246595558607,51.738344743019,52.0083529888,24823900.0
2010-03-03,65.77,65.97,65.38,65.43,22279800.0,0.0,1.0,52.23071272062,52.389541100491,51.920997379871,51.960704474839,22279800.0
2010-03-04,65.43,65.63,65.08,65.4,21961100.0,0.0,1.0,51.960704474839,52.11953285471,51.682754810064,51.936880217858,21961100.0
2010-03-05,65.96,66.52,65.78,66.47,26837900.0,0.0,1.0,52.381599681497,52.826319145136,52.238654139613,52.786612050169,26837900.0
2010-03-08,66.77,66.79,66.23,66.48,20297200.0,0.0,1.0,53.024854619975,53.040737457962,52.596017994323,52.794553469162,20297200.0
2010-03-09,66.32,67.19,66.22,66.78,29003100.0,0.0,1.0,52.667490765265,53.358394217705,52.58807657533,53.032796038969,29003100.0
2010-03-10,67.16,67.415,66.78,67.22,24810300.0,0.0,1.0,53.334569960724,53.53707614506,53.032796038969,53.382218474685,24810300.0
