Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,160.95,161.26,159.36,160.5,5061941.0,0.0,1.0,159.07114034529363,159.37752154136098,157.4997013073998,158.6263934477765,5061941.0
2019-08-01,160.4,162.17,160.21,160.91,5706757.0,0.0,1.0,158.5275608038838,160.2768986007845,158.33977878048768,159.03160728773653,5706757.0
2019-08-02,160.8,161.51,160.53,161.02,3907028.0,0.0,1.0,158.9228913794546,159.6246031510927,158.6560432409443,159.14032319601853,3907028.0
2019-08-05,159.89,161.07,159.6,160.63,3226334.0,0.0,1.0,158.02351432003104,159.18973951796485,157.73689965274224,158.754875884837,3226334.0
2019-08-06,161.0,161.42,159.19,159.49,7319779.0,0.0,1.0,159.12055666723998,159.5356537715893,157.33168581278218,157.62818374446027,7319779.0
2019-08-07,160.0,160.0,158.13,158.84,6978332.0,0.0,1.0,158.132230228313,158.132230228313,156.2840597875196,156.98577155915774,6978332.0
2019-08-08,159.05,160.34,158.98,159.85,3412807.0,0.0,1.0,157.1933201113324,158.4682612175482,157.1241372606075,157.98398126247397,3412807.0
2019-08-09,159.85,161.28,158.45,159.84,2930195.0,0.0,1.0,157.98398126247397,159.39728807013952,156.60032424797623,157.97409799808472,2930195.0
2019-08-12,159.0,159.2,158.14,158.65,3518874.0,0.0,1.0,157.14390378938606,157.34156907717144,156.29394305190885,156.79798953576164,3518874.0
2019-08-13,158.65,160.46,158.56,159.94,4887642.0,0.0,1.0,156.79798953576164,158.5868603902194,156.7090401562582,158.0729306419774,4887642.0
2019-08-14,158.97,159.23,157.28,157.4,5181742.0,0.0,1.0,157.11425399621825,157.37121887033925,155.4439823144317,155.56258148710293,5181742.0
2019-08-15,158.06,158.49,156.0601,156.34,3469357.0,0.0,1.0,156.21487693679472,156.63985730553333,154.23832289158472,154.51495546184037,3469357.0
2019-08-16,157.03,158.64,156.75,158.25,3024148.0,0.0,1.0,155.19690070469997,156.78810627137236,154.9201693018004,156.40265896019085,3024148.0
2019-08-19,158.81,159.85,158.45,159.25,1903125.0,0.0,1.0,156.95612176598993,157.98398126247397,156.60032424797623,157.3909853991178,1903125.0
2019-08-20,160.0,161.19,159.04,159.11,2807029.0,0.0,1.0,158.132230228313,159.3083386906361,157.18343684694312,157.25261969766805,2807029.0
2019-08-21,160.0,161.64,159.3,161.25,3123087.0,0.0,1.0,158.132230228313,159.75308558815323,157.44040172106415,159.36763827697172,3123087.0
2019-08-22,161.22,161.5,160.2,160.93,1488460.0,0.0,1.0,159.3379884838039,159.61471988670345,158.3298955160984,159.0513738165151,1488460.0
2019-08-23,160.6,161.15,158.31,158.96,3128607.0,0.0,1.0,158.72522609166919,159.268805633079,156.46195854652646,157.104370731829,3128607.0
2019-08-26,159.52,160.49,159.36,160.22,2021439.0,0.0,1.0,157.65783353762808,158.61651018338725,157.4997013073998,158.34966204487694,2021439.0
2019-08-27,160.57,162.19,160.4,160.77,4131402.0,0.0,1.0,158.69557629850138,160.29666512956305,158.5275608038838,158.8932415862868,4131402.0
2019-08-28,160.6,161.61,159.92,159.98,2429460.0,0.0,1.0,158.72522609166919,159.72343579498542,158.05316411319885,158.11246369953446,2429460.0
2019-08-29,160.68,161.08,159.35,159.66,2268986.0,0.0,1.0,158.80429220678334,159.19962278235414,157.4898180430105,157.79619923907785,2268986.0
2019-08-30,159.67,160.135,159.17,159.72,1948234.0,0.0,1.0,157.8060825034671,158.26565429756815,157.31191928400364,157.85549882541346,1948234.0
2019-09-03,159.3,160.19,158.67,159.8,4043247.0,0.0,1.0,157.44040172106415,158.32001225170913,156.81775606454016,157.93456494052765,4043247.0
2019-09-04,160.0,161.86,159.46,161.69,7561000.0,0.0,1.0,158.132230228313,159.97051740471719,157.59853395129247,159.80250191009958,7561000.0
2019-09-05,161.72,162.8,161.57,162.41,1713906.0,0.0,1.0,159.83215170326739,160.89954425730852,159.68390273742833,160.51409694612698,1713906.0
2019-09-06,162.45,163.4,161.9,163.26,2499700.0,0.0,1.0,160.55363000368405,161.49254012066467,160.01005046227425,161.3541744192149,2499700.0
2019-09-09,163.27,163.34,161.86,162.37,2123216.0,0.0,1.0,161.3640576836042,161.43324053432906,159.97051740471719,160.47456388856992,2123216.0
2019-09-10,161.97,164.07,161.61,164.0,4659251.0,0.0,1.0,160.07923331299912,162.15471883474572,159.72343579498542,162.08553598402085,4659251.0
2019-09-11,163.79,165.88,163.45,165.84,2758063.0,0.0,1.0,161.87798743184618,163.94358968920352,161.541956442611,163.90405663164645,2758063.0
2019-09-12,166.5,167.19,166.06,166.35,4010974.0,0.0,1.0,164.55635208133825,165.23829732419784,164.12148844821039,164.4081031154992,4010974.0
2019-09-13,166.38,167.05,165.68,166.14,4119770.0,0.0,1.0,164.437752908667,165.09993162274807,163.74592440141814,164.20055456332452,4119770.0
2019-09-16,165.29,166.31,165.29,165.56,2226700.0,0.0,1.0,163.3604770902366,164.36857005794212,163.3604770902366,163.6273252287469,2226700.0
2019-09-17,165.65,166.621,165.41,166.1,3924534.0,0.0,1.0,163.71627460825033,164.67593958044841,163.47907626290785,164.16102150576745,3924534.0
2019-09-18,166.31,166.37,165.43,166.0,1701212.0,0.0,1.0,164.36857005794212,164.42786964427773,163.4988427916864,164.06218886187474,1701212.0
2019-09-19,166.05,166.16,165.61,165.73,3049013.0,0.0,1.0,164.11160518382113,164.22032109210306,163.67674155069327,163.79534072336446,3049013.0
