Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,1142.42,1142.43,1108.33,1123.04,275052.0,0.0,1.0,1142.42,1142.43,1108.33,1123.04,275052.0
2019-08-01,1124.17,1124.43,1094.54,1102.82,328125.0,0.0,1.0,1124.17,1124.43,1094.54,1102.82,328125.0
2019-08-02,1097.34,1101.81,1086.83,1096.12,250665.0,0.0,1.0,1097.34,1101.81,1086.83,1096.12,250665.0
2019-08-05,1082.35,1084.61,1054.62,1062.92,391455.0,0.0,1.0,1082.35,1084.61,1054.62,1062.92,391455.0
2019-08-06,1062.59,1084.87,1054.46,1082.26,232672.0,0.0,1.0,1062.59,1084.87,1054.46,1082.26,232672.0
2019-08-07,1076.8,1078.5,1057.06,1074.77,196616.0,0.0,1.0,1076.8,1078.5,1057.06,1074.77,196616.0
2019-08-08,1077.66,1094.56,1077.66,1088.17,198874.0,0.0,1.0,1077.66,1094.56,1077.66,1088.17,198874.0
2019-08-09,1087.13,1107.99,1084.37,1088.66,204140.0,0.0,1.0,1087.13,1107.99,1084.37,1088.66,204140.0
2019-08-12,1085.46,1085.76,1065.35,1072.66,262890.0,0.0,1.0,1085.46,1085.76,1065.35,1072.66,262890.0
2019-08-13,1050.0,1085.64,1032.6,1081.28,433830.0,0.0,1.0,1050.0,1085.64,1032.6,1081.28,433830.0
2019-08-14,1070.06,1075.32,1058.91,1059.68,386348.0,0.0,1.0,1070.06,1075.32,1058.91,1059.68,386348.0
2019-08-15,1062.48,1087.62,1053.45,1083.54,375875.0,0.0,1.0,1062.48,1087.62,1053.45,1083.54,375875.0
2019-08-16,1086.22,1097.31,1080.0,1091.74,262081.0,0.0,1.0,1086.22,1097.31,1080.0,1091.74,262081.0
2019-08-19,1099.71,1105.94,1088.34,1095.5,218331.0,0.0,1.0,1099.71,1105.94,1088.34,1095.5,218331.0
2019-08-20,1099.35,1109.65,1090.78,1091.11,213139.0,0.0,1.0,1099.35,1109.65,1090.78,1091.11,213139.0
2019-08-21,1099.28,1102.31,1084.76,1087.97,249885.0,0.0,1.0,1099.28,1102.31,1084.76,1087.97,249885.0
2019-08-22,1086.04,1092.92,1074.32,1081.55,205308.0,0.0,1.0,1086.04,1092.92,1074.32,1081.55,205308.0
2019-08-23,1079.44,1088.25,1062.19,1065.28,301807.0,0.0,1.0,1079.44,1088.25,1062.19,1065.28,301807.0
2019-08-26,1072.1,1073.31,1059.92,1066.96,164524.0,0.0,1.0,1072.1,1073.31,1059.92,1066.96,164524.0
2019-08-27,1071.48,1078.84,1061.47,1064.79,317783.0,0.0,1.0,1071.48,1078.84,1061.47,1064.79,317783.0
2019-08-28,1064.0,1105.46,1060.5,1097.69,339683.0,0.0,1.0,1064.0,1105.46,1060.5,1097.69,339683.0
2019-08-29,1102.81,1122.29,1101.67,1113.71,240008.0,0.0,1.0,1102.81,1122.29,1101.67,1113.71,240008.0
2019-08-30,1123.84,1124.49,1095.57,1101.69,298345.0,0.0,1.0,1123.84,1124.49,1095.57,1101.69,298345.0
2019-09-03,1097.97,1107.33,1087.57,1102.83,175792.0,0.0,1.0,1097.97,1107.33,1087.57,1102.83,175792.0
2019-09-04,1112.23,1125.09,1100.83,1122.72,204393.0,0.0,1.0,1112.23,1125.09,1100.83,1122.72,204393.0
2019-09-05,1128.01,1144.52,1128.01,1134.54,203680.0,0.0,1.0,1128.01,1144.52,1128.01,1134.54,203680.0
2019-09-06,1141.65,1154.33,1137.7,1143.34,206214.0,0.0,1.0,1141.65,1154.33,1137.7,1143.34,206214.0
2019-09-09,1148.92,1156.92,1122.84,1127.19,407806.0,0.0,1.0,1148.92,1156.92,1122.84,1127.19,407806.0
2019-09-10,1126.68,1154.89,1116.91,1152.55,284690.0,0.0,1.0,1126.68,1154.89,1116.91,1152.55,284690.0
2019-09-11,1155.22,1163.89,1135.15,1156.92,294218.0,0.0,1.0,1155.22,1163.89,1135.15,1156.92,294218.0
2019-09-12,1157.7,1164.42,1126.17,1129.07,372323.0,0.0,1.0,1157.7,1164.42,1126.17,1129.07,372323.0
2019-09-13,1131.75,1150.8,1129.45,1149.26,207086.0,0.0,1.0,1131.75,1150.8,1129.45,1149.26,207086.0
2019-09-16,1147.07,1150.62,1126.92,1130.66,180977.0,0.0,1.0,1147.07,1150.62,1126.92,1130.66,180977.0
2019-09-17,1136.17,1162.09,1130.67,1156.0,209655.0,0.0,1.0,1136.17,1162.09,1130.67,1156.0,209655.0
2019-09-18,1157.6,1168.68,1156.0,1162.53,208422.0,0.0,1.0,1157.6,1168.68,1156.0,1162.53,208422.0
2019-09-19,1168.06,1180.49,1155.78,1157.79,261585.0,0.0,1.0,1168.06,1180.49,1155.78,1157.79,261585.0
2019-09-20,1172.5,1174.95,1157.01,1159.37,282329.0,0.0,1.0,1172.5,1174.95,1157.01,1159.37,282329.0
2019-09-23,1160.94,1167.3,1147.26,1147.26,310628.0,0.0,1.0,1160.94,1167.3,1147.26,1147.26,310628.0
2019-09-24,1160.0,1164.85,1082.11,1096.63,675880.0,0.0,1.0,1160.0,1164.85,1082.11,1096.63,675880.0
2019-09-25,1096.82,1100.12,1082.04,1093.06,317631.0,0.0,1.0,1096.82,1100.12,1082.04,1093.06,317631.0
2019-09-26,1091.45,1094.76,1070.31,1085.69,254283.0,0.0,1.0,1091.45,1094.76,1070.31,1085.69,254283.0
2019-09-27,1089.17,1093.44,1078.13,1085.65,259017.0,0.0,1.0,1089.17,1093.44,1078.13,1085.65,259017.0
2019-09-30,1084.39,1093.42,1078.5,1084.62,240106.0,0.0,1.0,1084.39,1093.42,1078.5,1084.62,240106.0
2019-10-01,1081.8,1090.25,1075.49,1083.67,236762.0,0.0,1.0,1081.8,1090.25,1075.49,1083.67,236762.0
2019-10-02,1078.89,1078.89,1049.15,1052.86,238689.0,0.0,1.0,1078.89,1078.89,1049.15,1052.86,238689.0
2019-10-03,1054.06,1055.75,1039.74,1052.33,218597.0,0.0,1.0,1054.06,1055.75,1039.74,1052.33,218597.0
2019-10-04,1052.6,1060.86,1044.15,1060.33,190793.0,0.0,1.0,1052.6,1060.86,1044.15,1060.33,190793.0
2019-10-07,1057.4,1069.0,1054.53,1060.81,186437.0,0.0,1.0,1057.4,1069.0,1054.53,1060.81,186437.0
2019-10-08,1053.38,1060.1,1049.28,1049.5,146464.0,0.0,1.0,1053.38,1060.1,1049.28,1049.5,146464.0
2019-10-09,1060.14,1063.24,1049.53,1058.55,135440.0,0.0,1.0,1060.14,1063.24,1049.53,1058.55,135440.0
2019-10-10,1060.9,1079.23,1060.9,1077.23,182966.0,0.0,1.0,1060.9,1079.23,1060.9,1077.23,182966.0
