Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,239.76,241.42,235.235,237.82,1074866.0,0.0,1.0,239.76,241.42,235.235,237.82,1074866.0
2019-08-01,238.76,245.3,236.42,243.06,1871126.0,0.0,1.0,238.76,245.3,236.42,243.06,1871126.0
2019-08-02,242.12,242.9799,239.33,242.27,1111064.0,0.0,1.0,242.12,242.9799,239.33,242.27,1111064.0
2019-08-05,240.35,240.99,234.15,235.21,1326957.0,0.0,1.0,240.35,240.99,234.15,235.21,1326957.0
2019-08-06,236.45,240.99,232.3,240.17,1389923.0,0.0,1.0,236.45,240.99,232.3,240.17,1389923.0
2019-08-07,237.81,239.1457,233.07,237.58,1169436.0,0.0,1.0,237.81,239.1457,233.07,237.58,1169436.0
2019-08-08,238.16,239.92,235.78,238.23,1651359.0,0.0,1.0,238.16,239.92,235.78,238.23,1651359.0
2019-08-09,237.84,238.0,234.4,235.8,1036042.0,0.0,1.0,237.84,238.0,234.4,235.8,1036042.0
2019-08-12,234.09,235.53,229.445,230.96,1233705.0,0.0,1.0,234.09,235.53,229.445,230.96,1233705.0
2019-08-13,230.83,234.76,230.2,233.23,1077642.0,0.0,1.0,230.83,234.76,230.2,233.23,1077642.0
2019-08-14,230.0,230.565,226.0,226.72,1390996.0,0.0,1.0,230.0,230.565,226.0,226.72,1390996.0
2019-08-15,227.08,228.66,226.53,227.63,1040751.0,0.0,1.0,227.08,228.66,226.53,227.63,1040751.0
2019-08-16,229.39,232.87,227.44,231.68,1113945.0,0.0,1.0,229.39,232.87,227.44,231.68,1113945.0
2019-08-19,233.37,236.64,233.18,235.72,1021750.0,0.0,1.0,233.37,236.64,233.18,235.72,1021750.0
2019-08-20,235.09,235.55,230.75,231.28,844030.0,0.0,1.0,235.09,235.55,230.75,231.28,844030.0
2019-08-21,232.8,233.78,231.5,233.18,807490.0,0.0,1.0,232.8,233.78,231.5,233.18,807490.0
2019-08-22,233.42,233.6,229.531,232.06,732929.0,0.0,1.0,233.42,233.6,229.531,232.06,732929.0
2019-08-23,231.26,231.87,225.1,225.85,1288061.0,0.0,1.0,231.26,231.87,225.1,225.85,1288061.0
2019-08-26,227.32,227.99,222.95,223.76,983620.0,0.0,1.0,227.32,227.99,222.95,223.76,983620.0
2019-08-27,225.0,225.64,219.71,220.79,1564106.0,0.0,1.0,225.0,225.64,219.71,220.79,1564106.0
2019-08-28,220.55,223.48,219.0,221.07,1408160.0,0.0,1.0,220.55,223.48,219.0,221.07,1408160.0
2019-08-29,223.1,223.75,219.8,220.16,1175279.0,0.0,1.0,223.1,223.75,219.8,220.16,1175279.0
2019-08-30,220.73,221.68,217.9,219.75,1226294.0,0.0,1.0,220.73,221.68,217.9,219.75,1226294.0
2019-09-03,218.15,219.89,216.09,217.44,1384975.0,0.0,1.0,218.15,219.89,216.09,217.44,1384975.0
2019-09-04,218.75,219.39,215.775,219.29,1167237.0,0.0,1.0,218.75,219.39,215.775,219.29,1167237.0
2019-09-05,220.44,225.43,220.44,223.96,1491894.0,0.0,1.0,220.44,225.43,220.44,223.96,1491894.0
2019-09-06,224.46,227.27,222.7,224.57,1118920.0,0.0,1.0,224.46,227.27,222.7,224.57,1118920.0
2019-09-09,225.58,231.06,224.39,230.0,1651887.0,0.0,1.0,225.58,231.06,224.39,230.0,1651887.0
2019-09-10,230.25,234.8,230.18,233.0,1718851.0,0.0,1.0,230.25,234.8,230.18,233.0,1718851.0
2019-09-11,230.23,238.74,229.78,235.96,1823641.0,0.0,1.0,230.23,238.74,229.78,235.96,1823641.0
2019-09-12,236.31,236.31,226.06,232.31,1953486.0,0.0,1.0,236.31,236.31,226.06,232.31,1953486.0
2019-09-13,232.0,237.98,232.0,236.63,1688983.0,0.0,1.0,232.0,237.98,232.0,236.63,1688983.0
2019-09-16,236.17,240.5,234.82,236.12,1598424.0,0.0,1.0,236.17,240.5,234.82,236.12,1598424.0
2019-09-17,234.86,239.5,234.36,238.7,1220071.0,0.0,1.0,234.86,239.5,234.36,238.7,1220071.0
2019-09-18,239.36,239.52,233.32,235.17,1578160.0,0.0,1.0,239.36,239.52,233.32,235.17,1578160.0
2019-09-19,235.11,238.4234,234.23,235.62,1260814.0,0.0,1.0,235.11,238.4234,234.23,235.62,1260814.0
2019-09-20,235.43,242.21,234.3,238.79,3811408.0,0.0,1.0,235.43,242.21,234.3,238.79,3811408.0
2019-09-23,238.58,242.712,237.37,239.96,1559273.0,0.0,1.0,238.58,242.712,237.37,239.96,1559273.0
2019-09-24,240.0,241.47,235.15,236.2,1573648.0,0.0,1.0,240.0,241.47,235.15,236.2,1573648.0
2019-09-25,236.2,239.19,235.67,235.9,1168704.0,0.0,1.0,236.2,239.19,235.67,235.9,1168704.0
2019-09-26,236.61,236.86,228.795,230.22,1664417.0,0.0,1.0,236.61,236.86,228.795,230.22,1664417.0
2019-09-27,231.28,233.24,228.13,230.22,1340235.0,0.0,1.0,231.28,233.24,228.13,230.22,1340235.0
2019-09-30,230.28,235.25,229.42,232.82,1201792.0,0.0,1.0,230.28,235.25,229.42,232.82,1201792.0
2019-10-01,232.76,234.035,224.67,227.2,1812239.0,0.0,1.0,232.76,234.035,224.67,227.2,1812239.0
2019-10-02,226.56,228.35,220.61,221.26,2144245.0,0.0,1.0,226.56,228.35,220.61,221.26,2144245.0
2019-10-03,221.7,223.48,219.7,222.5,1865690.0,0.0,1.0,221.7,223.48,219.7,222.5,1865690.0
2019-10-04,223.1,225.5,222.2,224.0,1219308.0,0.0,1.0,223.1,225.5,222.2,224.0,1219308.0
2019-10-07,225.64,229.755,224.0,226.99,1587364.0,0.0,1.0,225.64,229.755,224.0,226.99,1587364.0
2019-10-08,225.16,226.1,221.56,221.94,1982440.0,0.0,1.0,225.16,226.1,221.56,221.94,1982440.0
2019-10-09,223.15,224.15,221.9,222.13,1455600.0,0.0,1.0,223.15,224.15,221.9,222.13,1455600.0
2019-10-10,222.14,224.21,221.96,223.0,2099890.0,0.0,1.0,222.14,224.21,221.96,223.0,2099890.0
2019-10-11,225.44,227.5,220.51,223.21,2393221.0,0.0,1.0,225.44,227.5,220.51,223.21,2393221.0
2019-10-14,222.5,226.38,221.84,225.76,3037795.0,0.0,1.0,222.5,226.38,221.84,225.76,3037795.0
2019-10-15,225.41,228.33,225.16,226.06,1978789.0,0.0,1.0,225.41,228.33,225.16,226.06,1978789.0
2019-10-16,226.23,229.75,225.96,227.72,1380284.0,0.0,1.0,226.23,229.75,225.96,227.72,1380284.0
2019-10-17,227.85,228.97,223.48,225.6,1778767.0,0.0,1.0,227.85,228.97,223.48,225.6,1778767.0
2019-10-18,225.49,225.49,220.01,220.06,2773851.0,0.0,1.0,225.49,225.49,220.01,220.06,2773851.0
2019-10-21,222.0,225.78,221.56,223.51,2358062.0,0.0,1.0,222.0,225.78,221.56,223.51,2358062.0
2019-10-22,310.0,318.0,279.16,281.87,21911566.0,0.0,1.0,310.0,318.0,279.16,281.87,21911566.0
2019-10-23,285.24,286.67,275.66,278.82,5538504.0,0.0,1.0,285.24,286.67,275.66,278.82,5538504.0
2019-10-24,278.21,287.04,278.01,285.68,2810089.0,0.0,1.0,278.21,287.04,278.01,285.68,2810089.0
2019-10-25,285.34,290.18,284.1047,288.04,2163869.0,0.0,1.0,285.34,290.18,284.1047,288.04,2163869.0
2019-10-28,283.76,295.97,283.3872,295.54,2395059.0,0.0,1.0,283.76,295.97,283.3872,295.54,2395059.0
2019-10-29,294.76,299.89,294.74,297.5,2391278.0,0.0,1.0,294.76,299.89,294.74,297.5,2391278.0
2019-10-30,302.51,306.92,299.02,299.89,2146499.0,0.0,1.0,302.51,306.92,299.02,299.89,2146499.0
2019-10-31,300.02,301.58,295.57,298.71,1959914.0,0.0,1.0,300.02,301.58,295.57,298.71,1959914.0
2019-11-01,299.79,303.79,298.57,299.2,1463263.0,0.0,1.0,299.79,303.79,298.57,299.2,1463263.0
2019-11-04,301.14,302.56,293.13,293.43,1576182.0,0.0,1.0,301.14,302.56,293.13,293.43,1576182.0
2019-11-05,293.75,295.09,288.82,292.18,1374633.0,0.0,1.0,293.75,295.09,288.82,292.18,1374633.0
2019-11-06,292.34,293.0,286.85,289.0,1306383.0,0.0,1.0,292.34,293.0,286.85,289.0,1306383.0
2019-11-07,289.52,290.5599,285.6,286.87,1430711.0,0.0,1.0,289.52,290.5599,285.6,286.87,1430711.0
2019-11-08,286.53,293.39,285.25,293.25,1477169.0,0.0,1.0,286.53,293.39,285.25,293.25,1477169.0
2019-11-11,292.48,294.92,290.5179,294.14,1007716.0,0.0,1.0,292.48,294.92,290.5179,294.14,1007716.0
2019-11-12,295.0,296.25,289.12,291.4,1861952.0,0.0,1.0,295.0,296.25,289.12,291.4,1861952.0
2019-11-13,290.25,290.25,280.95,281.89,1925647.0,0.0,1.0,290.25,290.25,280.95,281.89,1925647.0
2019-11-14,282.84,282.84,271.4775,275.15,2355257.0,0.0,1.0,282.84,282.84,271.4775,275.15,2355257.0
2019-11-15,278.25,283.95,277.11,282.27,1922192.0,0.0,1.0,278.25,283.95,277.11,282.27,1922192.0
2019-11-18,280.43,283.5,280.05,282.62,1627150.0,0.0,1.0,280.43,283.5,280.05,282.62,1627150.0
2019-11-19,282.11,290.6942,280.51,285.43,2001877.0,0.0,1.0,282.11,290.6942,280.51,285.43,2001877.0
2019-11-20,285.09,289.1,283.88,285.4,1409625.0,0.0,1.0,285.09,289.1,283.88,285.4,1409625.0
2019-11-21,285.35,289.18,283.76,288.46,1292420.0,0.0,1.0,285.35,289.18,283.76,288.46,1292420.0
2019-11-22,288.4,301.86,288.32,299.08,3288326.0,0.0,1.0,288.4,301.86,288.32,299.08,3288326.0
2019-11-25,301.63,307.01,300.56,302.61,2226309.0,0.0,1.0,301.63,307.01,300.56,302.61,2226309.0
2019-11-26,301.6,307.35,301.6,302.99,2417891.0,0.0,1.0,301.6,307.35,301.6,302.99,2417891.0
2019-11-27,303.61,304.0,298.68,303.35,1369912.0,0.0,1.0,303.61,304.0,298.68,303.35,1369912.0
2019-11-29,301.1,305.1842,299.4,299.81,944558.0,0.0,1.0,301.1,305.1842,299.4,299.81,944558.0
2019-12-02,292.35,296.5999,290.1601,292.39,1823286.0,0.0,1.0,292.35,296.5999,290.1601,292.39,1823286.0
2019-12-03,291.78,294.65,289.8,290.7,1671952.0,0.0,1.0,291.78,294.65,289.8,290.7,1671952.0
2019-12-04,290.15,293.14,284.03,289.52,1737587.0,0.0,1.0,290.15,293.14,284.03,289.52,1737587.0
2019-12-05,291.0,309.06,275.04,299.39,5989468.0,0.0,1.0,291.0,309.06,275.04,299.39,5989468.0
2019-12-06,299.68,304.56,299.68,300.26,2261355.0,0.0,1.0,299.68,304.56,299.68,300.26,2261355.0
2019-12-09,300.27,304.32,295.46,295.55,2067950.0,0.0,1.0,300.27,304.32,295.46,295.55,2067950.0
2019-12-10,294.38,300.26,294.37,297.2,1227234.0,0.0,1.0,294.38,300.26,294.37,297.2,1227234.0
2019-12-11,296.82,299.29,292.0,292.23,1314040.0,0.0,1.0,296.82,299.29,292.0,292.23,1314040.0
2019-12-12,291.94,296.17,290.93,293.85,1953815.0,0.0,1.0,291.94,296.17,290.93,293.85,1953815.0
2019-12-13,298.0,304.0,294.89,296.83,1946172.0,0.0,1.0,298.0,304.0,294.89,296.83,1946172.0
2019-12-16,297.81,301.74,296.75,301.4,1398703.0,0.0,1.0,297.81,301.74,296.75,301.4,1398703.0
2019-12-17,301.86,301.93,296.3,297.11,1360279.0,0.0,1.0,301.86,301.93,296.3,297.11,1360279.0
2019-12-18,297.63,300.825,295.55,296.61,1790844.0,0.0,1.0,297.63,300.825,295.55,296.61,1790844.0
2019-12-19,297.27,298.769,295.01,297.58,1473543.0,0.0,1.0,297.27,298.769,295.01,297.58,1473543.0
2019-12-20,301.0,301.85,299.5,301.05,3949698.0,0.0,1.0,301.0,301.85,299.5,301.05,3949698.0
2019-12-23,302.9,305.72,300.86,301.56,1542163.0,0.0,1.0,302.9,305.72,300.86,301.56,1542163.0
2019-12-24,301.64,304.65,301.07,304.07,433745.0,0.0,1.0,301.64,304.65,301.07,304.07,433745.0
2019-12-26,304.47,306.94,301.28,301.79,738175.0,0.0,1.0,304.47,306.94,301.28,301.79,738175.0
2019-12-27,302.85,303.05,299.49,300.09,677636.0,0.0,1.0,302.85,303.05,299.49,300.09,677636.0
2019-12-30,300.37,301.57,295.0148,296.01,873232.0,0.0,1.0,300.37,301.57,295.0148,296.01,873232.0
2019-12-31,295.28,297.36,292.84,296.73,810137.0,0.0,1.0,295.28,297.36,292.84,296.73,810137.0
2020-01-02,299.06,299.08,292.28,294.24,1117205.0,0.0,1.0,299.06,299.08,292.28,294.24,1117205.0
2020-01-03,290.77,292.68,290.22,290.85,700601.0,0.0,1.0,290.77,292.68,290.22,290.85,700601.0
2020-01-06,290.24,291.19,288.2009,290.82,1256174.0,0.0,1.0,290.24,291.19,288.2009,290.82,1256174.0
2020-01-07,290.57,291.84,287.99,290.09,1035257.0,0.0,1.0,290.57,291.84,287.99,290.09,1035257.0
2020-01-08,288.88,294.19,287.81,292.66,1059043.0,0.0,1.0,288.88,294.19,287.81,292.66,1059043.0
2020-01-09,293.99,296.57,292.36,294.3,949638.0,0.0,1.0,293.99,296.57,292.36,294.3,949638.0
2020-01-10,294.64,298.74,294.36,296.51,1164465.0,0.0,1.0,294.64,298.74,294.36,296.51,1164465.0
2020-01-13,294.81,295.5,290.83,293.9,1208792.0,0.0,1.0,294.81,295.5,290.83,293.9,1208792.0
2020-01-14,294.1,306.35,291.27,298.97,2112700.0,0.0,1.0,294.1,306.35,291.27,298.97,2112700.0
2020-01-15,298.94,300.37,292.41,293.09,1976036.0,0.0,1.0,298.94,300.37,292.41,293.09,1976036.0
2020-01-16,294.49,294.8,284.24,286.14,2800044.0,0.0,1.0,294.49,294.8,284.24,286.14,2800044.0
2020-01-17,287.32,288.0,284.9,285.5,1765147.0,0.0,1.0,287.32,288.0,284.9,285.5,1765147.0
2020-01-21,286.54,287.84,282.756,287.19,2224986.0,0.0,1.0,286.54,287.84,282.756,287.19,2224986.0
2020-01-22,288.17,290.845,287.6,288.1,1571001.0,0.0,1.0,288.17,290.845,287.6,288.1,1571001.0
2020-01-23,287.23,288.08,281.21,284.21,1936176.0,0.0,1.0,287.23,288.08,281.21,284.21,1936176.0
2020-01-24,284.21,284.99,277.32,278.14,1260633.0,0.0,1.0,284.21,284.99,277.32,278.14,1260633.0
2020-01-27,278.14,282.335,276.235,281.14,1405659.0,0.0,1.0,278.14,282.335,276.235,281.14,1405659.0
2020-01-28,283.96,284.285,280.72,281.95,1080246.0,0.0,1.0,283.96,284.285,280.72,281.95,1080246.0
2020-01-29,282.05,283.38,279.66,282.52,1167396.0,0.0,1.0,282.05,283.38,279.66,282.52,1167396.0
2020-01-30,288.12,288.12,276.14,277.53,1601196.0,0.0,1.0,288.12,288.12,276.14,277.53,1601196.0
2020-01-31,276.08,276.28,267.59,268.85,1701673.0,0.0,1.0,276.08,276.28,267.59,268.85,1701673.0
2020-02-03,270.61,275.3,269.76,272.73,1257840.0,0.0,1.0,270.61,275.3,269.76,272.73,1257840.0
2020-02-04,276.4,285.6,275.94,283.29,1616258.0,0.0,1.0,276.4,285.6,275.94,283.29,1616258.0
2020-02-05,285.63,374.99,279.175,332.87,10159156.0,0.0,1.0,285.63,374.99,279.175,332.87,10159156.0
2020-02-06,338.39,348.66,333.5,337.24,3595125.0,0.0,1.0,338.39,348.66,333.5,337.24,3595125.0
2020-02-07,335.39,340.32,331.66,338.7,2192199.0,0.0,1.0,335.39,340.32,331.66,338.7,2192199.0
2020-02-10,332.0,339.56,330.24,338.93,1867026.0,0.0,1.0,332.0,339.56,330.24,338.93,1867026.0
2020-02-11,338.06,340.05,329.72,332.29,1806294.0,0.0,1.0,338.06,340.05,329.72,332.29,1806294.0
2020-02-12,331.66,334.71,329.04,331.76,1603271.0,0.0,1.0,331.66,334.71,329.04,331.76,1603271.0
2020-02-13,329.2,338.875,329.0,334.25,1307289.0,0.0,1.0,329.2,338.875,329.0,334.25,1307289.0
2020-02-14,334.0,335.4,331.83,333.0,1023247.0,0.0,1.0,334.0,335.4,331.83,333.0,1023247.0
2020-02-18,343.66,344.0,334.09,337.1,1515642.0,0.0,1.0,343.66,344.0,334.09,337.1,1515642.0
2020-02-19,338.0,341.77,335.42,341.04,1488496.0,0.0,1.0,338.0,341.77,335.42,341.04,1488496.0
2020-02-20,342.18,343.0,332.5,336.64,1497864.0,0.0,1.0,342.18,343.0,332.5,336.64,1497864.0
2020-02-21,336.97,337.82,334.6,336.71,923304.0,0.0,1.0,336.97,337.82,334.6,336.71,923304.0
2020-02-24,331.5,336.0,325.42,325.98,1732708.0,0.0,1.0,331.5,336.0,325.42,325.98,1732708.0
2020-02-25,327.2,330.61,322.7,324.11,1831162.0,0.0,1.0,327.2,330.61,322.7,324.11,1831162.0
2020-02-26,326.98,330.93,323.61,327.45,1411869.0,0.0,1.0,326.98,330.93,323.61,327.45,1411869.0
2020-02-27,324.72,325.55,309.63,310.08,2221502.0,0.0,1.0,324.72,325.55,309.63,310.08,2221502.0
2020-02-28,300.23,310.54,299.001,308.39,2396721.0,0.0,1.0,300.23,310.54,299.001,308.39,2396721.0
2020-03-02,308.64,328.23,307.83,327.89,2364903.0,0.0,1.0,308.64,328.23,307.83,327.89,2364903.0
2020-03-03,320.28,333.0,311.87,315.78,2036116.0,0.0,1.0,320.28,333.0,311.87,315.78,2036116.0
2020-03-04,319.29,328.45,316.41,328.45,1752361.0,0.0,1.0,319.29,328.45,316.41,328.45,1752361.0
2020-03-05,319.73,326.45,315.0,317.7,1470424.0,0.0,1.0,319.73,326.45,315.0,317.7,1470424.0
2020-03-06,308.27,319.18,306.17,317.95,1513179.0,0.0,1.0,308.27,319.18,306.17,317.95,1513179.0
2020-03-09,301.0,306.97,293.7604,297.19,2140684.0,0.0,1.0,301.0,306.97,293.7604,297.19,2140684.0
2020-03-10,304.49,308.775,289.585,305.63,2378951.0,0.0,1.0,304.49,308.775,289.585,305.63,2378951.0
2020-03-11,295.99,303.36,291.96,294.25,1846389.0,0.0,1.0,295.99,303.36,291.96,294.25,1846389.0
2020-03-12,280.0,285.42,266.01,268.88,2901039.0,0.0,1.0,280.0,285.42,266.01,268.88,2901039.0
2020-03-13,279.14,306.0,276.24,305.21,3641090.0,0.0,1.0,279.14,306.0,276.24,305.21,3641090.0
2020-03-16,281.86,309.35,273.59,281.72,3834238.0,0.0,1.0,281.86,309.35,273.59,281.72,3834238.0
2020-03-17,285.33,314.65,284.135,305.32,2605905.0,0.0,1.0,285.33,314.65,284.135,305.32,2605905.0
2020-03-18,293.71,306.74,277.51,298.68,2766496.0,0.0,1.0,293.71,306.74,277.51,298.68,2766496.0
2020-03-19,293.15,297.48,283.28,288.02,2470019.0,0.0,1.0,293.15,297.48,283.28,288.02,2470019.0
2020-03-20,288.02,301.88,277.81,278.77,2730104.0,0.0,1.0,288.02,301.88,277.81,278.77,2730104.0
2020-03-23,283.35,288.055,262.25,269.19,2695449.0,0.0,1.0,283.35,288.055,262.25,269.19,2695449.0
2020-03-24,278.89,283.26,269.98,276.19,3464065.0,0.0,1.0,278.89,283.26,269.98,276.19,3464065.0
2020-03-25,274.73,300.84,268.13,284.98,2670416.0,0.0,1.0,274.73,300.84,268.13,284.98,2670416.0
2020-03-26,284.74,306.77,284.505,304.94,2270494.0,0.0,1.0,284.74,306.77,284.505,304.94,2270494.0
2020-03-27,297.0,307.14,294.25,296.75,1653113.0,0.0,1.0,297.0,307.14,294.25,296.75,1653113.0
2020-03-30,300.0,321.41,298.08,316.13,1747331.0,0.0,1.0,300.0,321.41,298.08,316.13,1747331.0
2020-03-31,313.48,319.94,309.2,316.38,2865377.0,0.0,1.0,313.48,319.94,309.2,316.38,2865377.0
2020-04-01,308.81,313.462,290.35,293.27,2173758.0,0.0,1.0,308.81,313.462,290.35,293.27,2173758.0
2020-04-02,290.1,307.15,290.0,304.47,3217348.0,0.0,1.0,290.1,307.15,290.0,304.47,3217348.0
2020-04-03,303.7,311.525,296.805,300.51,1422849.0,0.0,1.0,303.7,311.525,296.805,300.51,1422849.0
2020-04-06,308.49,314.14,300.6,311.39,3174397.0,0.0,1.0,308.49,314.14,300.6,311.39,3174397.0
2020-04-07,314.94,319.6,299.61,301.21,2444869.0,0.0,1.0,314.94,319.6,299.61,301.21,2444869.0
2020-04-08,305.25,319.39,301.01,316.95,1930878.0,0.0,1.0,305.25,319.39,301.01,316.95,1930878.0
2020-04-09,315.1,322.45,314.01,321.05,1477925.0,0.0,1.0,315.1,322.45,314.01,321.05,1477925.0
2020-04-13,318.01,325.11,316.79,322.94,2083845.0,0.0,1.0,318.01,325.11,316.79,322.94,2083845.0
2020-04-14,329.0,336.5,328.34,333.76,1675523.0,0.0,1.0,329.0,336.5,328.34,333.76,1675523.0
2020-04-15,329.45,333.2,322.86,326.94,1426443.0,0.0,1.0,329.45,333.2,322.86,326.94,1426443.0
2020-04-16,331.15,340.38,328.17,338.34,1602933.0,0.0,1.0,331.15,340.38,328.17,338.34,1602933.0
2020-04-17,345.97,346.05,335.285,342.55,1701841.0,0.0,1.0,345.97,346.05,335.285,342.55,1701841.0
2020-04-20,338.64,350.24,337.28,339.41,1618189.0,0.0,1.0,338.64,350.24,337.28,339.41,1618189.0
2020-04-21,332.51,336.19,328.37,329.01,1521845.0,0.0,1.0,332.51,336.19,328.37,329.01,1521845.0
2020-04-22,302.75,306.99,289.02,298.01,6470510.0,0.0,1.0,302.75,306.99,289.02,298.01,6470510.0
2020-04-23,293.61,297.4401,291.57,292.25,2905314.0,0.0,1.0,293.61,297.4401,291.57,292.25,2905314.0
2020-04-24,293.06,297.94,290.1,297.8,1778825.0,0.0,1.0,293.06,297.94,290.1,297.8,1778825.0
2020-04-27,300.58,305.0,299.74,303.24,1609318.0,0.0,1.0,300.58,305.0,299.74,303.24,1609318.0
2020-04-28,305.02,312.8299,303.003,305.22,1797732.0,0.0,1.0,305.02,312.8299,303.003,305.22,1797732.0
2020-04-29,308.84,313.34,304.625,304.71,2100135.0,0.0,1.0,308.84,313.34,304.625,304.71,2100135.0
2020-04-30,299.0,305.05,296.14,296.83,2291096.0,0.0,1.0,299.0,305.05,296.14,296.83,2291096.0
2020-05-01,295.07,297.915,291.8803,293.09,1538658.0,0.0,1.0,295.07,297.915,291.8803,293.09,1538658.0
2020-05-04,294.06,297.9,293.02,296.52,1253109.0,0.0,1.0,294.06,297.9,293.02,296.52,1253109.0
2020-05-05,297.14,306.5,297.08,304.44,1348474.0,0.0,1.0,297.14,306.5,297.08,304.44,1348474.0
2020-05-06,305.05,312.6564,304.975,306.78,1255552.0,0.0,1.0,305.05,312.6564,304.975,306.78,1255552.0
2020-05-07,308.71,317.55,308.51,314.01,1764508.0,0.0,1.0,308.71,317.55,308.51,314.01,1764508.0
2020-05-08,315.49,317.7,311.37,314.02,1126321.0,0.0,1.0,315.49,317.7,311.37,314.02,1126321.0
2020-05-11,313.41,330.13,313.0,328.01,1511553.0,0.0,1.0,313.41,330.13,313.0,328.01,1511553.0
2020-05-12,329.91,335.0,318.89,319.77,1882440.0,0.0,1.0,329.91,335.0,318.89,319.77,1882440.0
2020-05-13,320.9,327.2,312.66,314.96,1795946.0,0.0,1.0,320.9,327.2,312.66,314.96,1795946.0
