Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,72.58,72.73,71.0,71.48,2916341.0,0.0,1.0,72.12718408749203,72.27624825962104,70.55704147439975,71.0340468252126,2916341.0
2019-08-01,71.42,76.28,71.0,74.74,3521443.0,0.0,1.0,70.97442115636099,75.80410033334103,70.55704147439975,74.27370816614982,3521443.0
2019-08-02,74.24,75.12,73.59,74.73,2848177.0,0.0,1.0,73.77682759238644,74.65133740220999,73.13088284649406,74.26377055467455,2848177.0
2019-08-05,73.25,73.96,72.95,73.25,2466158.0,0.0,1.0,72.79300405633495,73.49857447107894,72.49487571207693,72.79300405633495,2466158.0
2019-08-06,73.96,74.92,73.5,73.95,2384370.0,0.0,1.0,73.49857447107894,74.45258517270464,73.04144434321664,73.48863685960369,2384370.0
2019-08-07,73.42,75.36,72.93,75.29,1810013.0,0.0,1.0,72.9619434514145,74.88984007761641,72.4750004891264,74.82027679728954,1810013.0
2019-08-08,75.29,76.64,75.29,76.08,2102163.0,0.0,1.0,74.82027679728954,76.16185434645065,74.82027679728954,75.60534810383568,2102163.0
2019-08-09,76.12,77.88,76.08,77.46,1643857.0,0.0,1.0,75.64509854973674,77.39411816938383,75.60534810383568,76.9767384874226,1643857.0
2019-08-12,77.34,77.355,76.245,76.86,1137208.0,0.0,1.0,76.85748714971939,76.87239356693229,75.7693186931776,76.38048179890654,1137208.0
2019-08-13,76.9,79.46,76.69,79.29,2372920.0,0.0,1.0,76.42023224480762,78.9642607824761,76.211542403827,78.79532138739657,2372920.0
2019-08-14,78.31,78.85,76.53,76.85,2739913.0,0.0,1.0,77.82143546282035,78.35806648248479,76.05254062022271,76.37054418743128,2739913.0
2019-08-15,76.99,78.5954,76.79,78.0,1738286.0,0.0,1.0,76.50967074808501,78.10505489432448,76.31091851857968,77.51336950708705,1738286.0
2019-08-16,78.42,79.7658,78.24,79.63,1701552.0,0.0,1.0,77.93074918904829,79.2681529413898,77.75187218249347,79.13320017755566,1701552.0
2019-08-19,80.04,80.66,79.67,79.74,1604586.0,0.0,1.0,79.54064224804164,80.15677415950822,79.17295062345673,79.2425139037836,1604586.0
2019-08-20,79.51,80.285,79.05,79.19,1932287.0,0.0,1.0,79.01394883985246,79.78411372918569,78.55681871199015,78.69594527264388,1932287.0
2019-08-21,79.55,80.49,79.21,79.73,1719226.0,0.0,1.0,79.05369928575352,79.98783476442867,78.71582049559441,79.23257629230834,1719226.0
2019-08-22,79.78,80.26,79.21,79.76,1433230.0,0.0,1.0,79.28226434968468,79.75926970049753,78.71582049559441,79.26238912673415,1433230.0
2019-08-23,79.62,80.0,77.875,78.2,1932362.0,0.0,1.0,79.1232625660804,79.50089180214056,77.3891493636462,77.71212173659241,1932362.0
2019-08-26,78.41,79.15,78.21,78.76,1556500.0,0.0,1.0,77.92081157757302,78.65619482674282,77.72205934806766,78.2686279792074,1556500.0
2019-08-27,79.18,80.0,78.99,79.02,1984643.0,0.0,1.0,78.68600766116863,79.50089180214056,78.49719304313854,78.52700587756433,1984643.0
2019-08-28,78.79,79.29,77.8,79.27,1982205.0,0.0,1.0,78.29844081363319,78.79532138739657,77.31461727758169,78.77544616444602,1982205.0
2019-08-29,79.82,80.68,79.47,80.43,923697.0,0.0,1.0,79.32201479558574,80.17664938245876,78.97419839395138,79.92820909557707,923697.0
2019-08-30,80.75,80.97,79.95,80.41,1911088.0,0.15,1.0,80.39590712739722,80.61494241616536,79.59941516824034,80.05739804475554,1911088.0
2019-09-03,80.0,80.3,79.465,79.93,1241835.0,0.0,1.0,79.64919591568764,79.94788040037147,79.11654191800149,79.57950286926143,1241835.0
2019-09-04,80.55,80.85,80.03,80.78,1321113.0,0.0,1.0,80.19678413760799,80.49546862229182,79.67906436415603,80.4257755758656,1321113.0
2019-09-05,81.25,81.88,78.68,78.71,2103414.0,0.0,1.0,80.89371460187027,81.5209520197063,78.3349841830788,78.36485263154718,2103414.0
2019-09-06,78.71,79.22,78.12,78.3,2212575.0,0.0,1.0,78.36485263154718,78.8726162555097,77.777439811669,77.95665050247928,2212575.0
2019-09-09,78.28,78.36,74.6,75.07,3735352.0,0.0,1.0,77.93673820350037,78.01638739941605,74.27287519137873,74.74081421738339,3735352.0
2019-09-10,73.92,74.0904,71.3,71.89,6394234.0,0.0,1.0,73.59585702609539,73.76550981339581,70.98734585985662,71.57475867973481,6394234.0
2019-09-11,71.44,72.26,70.76,71.88,4788734.0,0.0,1.0,71.12673195270906,71.94313621084487,70.44971378742572,71.56480253024534,4788734.0
2019-09-12,72.46,74.67,72.33,73.36,3284683.0,0.0,1.0,72.14225920063409,74.34256823780495,72.0128292572711,73.03831265468557,3284683.0
2019-09-13,73.11,73.3544,71.93,72.73,2414650.0,0.0,1.0,72.78940891744905,73.03273721097148,71.61458327769266,72.41107523684954,2414650.0
2019-09-16,72.76,73.23,72.19,72.2,1824846.0,0.0,1.0,72.44094368531792,72.90888271132259,71.87344316441863,71.8833993139081,1824846.0
2019-09-17,72.49,75.195,72.2,75.0,2820041.0,0.0,1.0,72.17212764910246,74.86526608600165,71.8833993139081,74.67112117095716,2820041.0
2019-09-18,75.0,75.23,73.56,74.51,2183890.0,0.0,1.0,74.67112117095716,74.90011260921477,73.2374356444748,74.18326984597358,2183890.0
2019-09-19,74.26,74.73,73.65,74.28,1792504.0,0.0,1.0,73.93436610873707,74.40230513474172,73.32704098987995,73.95427840771598,1792504.0
2019-09-20,74.51,75.06,73.81,73.84,3766000.0,0.0,1.0,74.18326984597358,74.73085806789393,73.48633938171132,73.5162078301797,3766000.0
2019-09-23,74.0,74.845,73.62,74.48,1986621.0,0.0,1.0,73.67550622201108,74.51680085387052,73.29717254141156,74.1534013975052,1986621.0
2019-09-24,75.01,75.82,74.5,74.72,2479363.0,0.0,1.0,74.68107732044663,75.48752542909295,74.17331369648412,74.39234898525226,2479363.0
2019-09-25,74.6,74.82,72.83,73.5,2929989.0,0.0,1.0,74.27287519137873,74.49191048014687,72.51063673174414,73.17769874753803,2929989.0
2019-09-26,74.3,75.16,73.75,74.47,2065246.0,0.0,1.0,73.9741907066949,74.83041956278853,73.42660248477455,74.14344524801574,2065246.0
2019-09-27,74.44,74.88,72.66,72.79,2346911.0,0.0,1.0,74.11357679954736,74.55164737708364,72.3413821904233,72.47081213378631,2346911.0
2019-09-30,73.0,73.12,72.48,72.81,2936991.0,0.0,1.0,72.67989127306498,72.79936506693852,72.16217149961301,72.49072443276522,2936991.0
2019-10-01,72.97,73.16,71.88,72.11,2101379.0,0.0,1.0,72.65002282459659,72.83918966489635,71.56480253024534,71.79379396850295,2101379.0
2019-10-02,71.5,71.79,69.62,70.82,3338537.0,0.0,1.0,71.18646884964583,71.47519718484021,69.31471274562718,70.50945068436248,3338537.0
2019-10-03,70.88,72.26,70.43,71.64,1694240.0,0.0,1.0,70.56918758129925,71.94313621084487,70.12116085427353,71.32585494249828,1694240.0
2019-10-04,71.92,73.38,71.86,72.73,2224777.0,0.0,1.0,71.60462712820319,73.05822495366449,71.54489023126642,72.41107523684954,2224777.0
2019-10-07,72.41,73.16,71.88,72.45,1600215.0,0.0,1.0,72.09247845318677,72.83918966489635,71.56480253024534,72.13230305114463,1600215.0
2019-10-08,71.79,72.27,70.73,71.41,1648179.0,0.0,1.0,71.47519718484021,71.95309236033432,70.41984533895734,71.09686350424069,1648179.0
2019-10-09,71.99,72.98,71.83,72.27,1710977.0,0.0,1.0,71.67432017462941,72.65997897408606,71.51502178279804,71.95309236033432,1710977.0
2019-10-10,72.03,73.11,71.367,72.84,1595266.0,0.0,1.0,71.71414477258726,72.78940891744905,71.05405206143601,72.52059288123361,1595266.0
2019-10-11,73.31,73.86,72.53,72.61,2187991.0,0.0,1.0,72.98853190723827,73.53612012915862,72.21195224706031,72.291601442976,2187991.0
2019-10-14,73.36,73.46,72.53,72.92,1278003.0,0.0,1.0,73.03831265468557,73.13787414958017,72.21195224706031,72.60024207714929,1278003.0
2019-10-15,73.28,73.58,72.11,72.16,1924379.0,0.0,1.0,72.95866345876989,73.25734794345371,71.79379396850295,71.84357471595025,1924379.0
2019-10-16,72.31,72.58,71.16,72.58,1855762.0,0.0,1.0,71.99291695829217,72.26173299450761,70.84795976700416,72.26173299450761,1855762.0
2019-10-17,72.36,74.91,72.18,73.87,2395800.0,0.0,1.0,72.04269770573947,74.58151582555202,71.86348701492919,73.54607627864809,2395800.0
2019-10-18,74.04,74.83,72.86,74.11,2081725.0,0.0,1.0,73.71533081996893,74.50186662963633,72.54050518021252,73.78502386639515,2081725.0
2019-10-21,74.36,74.36,71.75,72.29,1965680.0,0.0,1.0,74.03392760363167,74.03392760363167,71.43537258688235,71.97300465931326,1965680.0
2019-10-22,72.13,73.14,70.83,70.85,1584689.0,0.0,1.0,71.81370626748188,72.81927736591743,70.51940683385195,70.53931913283087,1584689.0
2019-10-23,71.03,72.03,70.68,71.08,1772111.0,0.0,1.0,70.71852982364118,71.71414477258726,70.37006459151004,70.76831057108848,1772111.0
2019-10-24,71.27,72.57,71.27,71.8,1382581.0,0.0,1.0,70.95747741138823,72.25177684501816,70.95747741138823,71.48515333432967,1382581.0
2019-10-25,71.73,72.31,71.18,71.91,1346136.0,0.0,1.0,71.41546028790344,71.99291695829217,70.8678720659831,71.59467097871374,1346136.0
2019-10-28,72.4,72.4,71.28,71.34,2202026.0,0.0,1.0,72.08252230369733,72.08252230369733,70.9674335608777,71.02717045781446,2202026.0
2019-10-29,71.25,73.19,71.18,72.74,1698641.0,0.0,1.0,70.93756511240932,72.86905811336473,70.8678720659831,72.42103138633898,1698641.0
2019-10-30,72.63,74.39,72.41,73.96,2473300.0,0.0,1.0,72.31151374195491,74.06379605210005,72.09247845318677,73.63568162405322,2473300.0
