Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,804.85,805.0,786.65,795.53,534938.0,0.0,1.0,804.85,805.0,786.65,795.53,534938.0
2019-08-01,794.73,802.63,784.84,790.43,510896.0,0.0,1.0,794.73,802.63,784.84,790.43,510896.0
2019-08-02,790.55,801.12,777.5,792.21,402447.0,0.0,1.0,790.55,801.12,777.5,792.21,402447.0
2019-08-05,784.24,786.1,770.53,780.21,557286.0,0.0,1.0,784.24,786.1,770.53,780.21,557286.0
2019-08-06,785.92,793.95,775.0,790.61,482871.0,0.0,1.0,785.92,793.95,775.0,790.61,482871.0
2019-08-07,783.75,796.4,780.1058,795.05,328316.0,0.0,1.0,783.75,796.4,780.1058,795.05,328316.0
2019-08-08,799.97,814.05,799.71,814.05,578345.0,0.0,1.0,799.97,814.05,799.71,814.05,578345.0
2019-08-09,812.82,822.88,806.0,817.9,472581.0,0.0,1.0,812.82,822.88,806.0,817.9,472581.0
2019-08-12,817.71,822.2695,806.32,811.96,351247.0,0.0,1.0,817.71,822.2695,806.32,811.96,351247.0
2019-08-13,807.8,821.28,806.81,816.96,358072.0,0.0,1.0,807.8,821.28,806.81,816.96,358072.0
2019-08-14,807.81,811.89,794.33,796.57,438462.0,0.0,1.0,807.81,811.89,794.33,796.57,438462.0
2019-08-15,800.0,811.28,797.0,809.89,466469.0,0.0,1.0,800.0,811.28,797.0,809.89,466469.0
2019-08-16,813.1,818.65,805.3528,817.2,331024.0,0.0,1.0,813.1,818.65,805.3528,817.2,331024.0
2019-08-19,824.44,825.0,813.015,820.31,317067.0,0.0,1.0,824.44,825.0,813.015,820.31,317067.0
2019-08-20,823.0,823.63,816.89,820.14,201604.0,0.0,1.0,823.0,823.63,816.89,820.14,201604.0
2019-08-21,822.35,828.795,820.2722,827.51,251899.0,0.0,1.0,822.35,828.795,820.2722,827.51,251899.0
2019-08-22,830.0,831.59,817.7,819.15,275323.0,0.0,1.0,830.0,831.59,817.7,819.15,275323.0
2019-08-23,815.12,824.18,802.21,805.44,421633.0,0.0,1.0,815.12,824.18,802.21,805.44,421633.0
2019-08-26,812.77,827.43,812.77,826.8,391606.0,0.0,1.0,812.77,827.43,812.77,826.8,391606.0
2019-08-27,833.68,847.49,833.18,842.11,492744.0,0.0,1.0,833.68,847.49,833.18,842.11,492744.0
2019-08-28,839.89,841.0,833.0,839.34,235903.0,0.0,1.0,839.89,841.0,833.0,839.34,235903.0
2019-08-29,845.0,847.95,836.8,843.64,248891.0,0.0,1.0,845.0,847.95,836.8,843.64,248891.0
2019-08-30,847.36,848.84,833.78,838.42,289387.0,0.0,1.0,847.36,848.84,833.78,838.42,289387.0
2019-09-03,833.0,836.1,823.43,827.87,391677.0,0.0,1.0,833.0,836.1,823.43,827.87,391677.0
2019-09-04,832.0,840.32,828.0,838.28,327598.0,0.0,1.0,832.0,840.32,828.0,838.28,327598.0
2019-09-05,842.0,843.8296,831.83,838.11,328941.0,0.0,1.0,842.0,843.8296,831.83,838.11,328941.0
2019-09-06,837.89,842.14,833.36,836.32,274744.0,0.0,1.0,837.89,842.14,833.36,836.32,274744.0
