Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,91.3,93.405,90.94,92.42,5102844.0,0.0,1.0,89.5925973714461,91.65823173581515,89.23932973668465,90.69165223514841,5102844.0
2019-08-01,92.42,93.65,91.0725,91.3,3516948.0,0.0,1.0,90.69165223514841,91.89864998725004,89.36935185225659,89.5925973714461,3516948.0
2019-08-02,90.7,90.7,88.2817,89.85,2802145.0,0.4,1.0,89.40005089272094,89.40005089272094,87.01641094703332,88.56223343672521,2802145.0
2019-08-05,88.18,88.575,85.854,86.62,3189009.0,0.0,1.0,86.91616855259242,87.30550725273162,84.62350572594998,85.37852710394144,3189009.0
2019-08-06,87.15,88.415,85.89,88.3,2810027.0,0.0,1.0,85.90093092944466,87.14780043748537,84.65898975938039,87.03444866402711,2810027.0
2019-08-07,86.53,88.195,85.36,87.95,2824540.0,0.0,1.0,85.28981702036542,86.93095356652175,84.13658593387717,86.68946500567594,2824540.0
2019-08-08,88.4,89.47,87.94,88.76,2597737.0,0.0,1.0,87.13301542355603,88.18767975051536,86.67960832972304,87.4878557578601,2597737.0
2019-08-09,88.37,88.595,87.22,87.71,2000798.0,0.0,1.0,87.10344539569736,87.3252206046374,85.9699276611149,86.45290478280654,2000798.0
2019-08-12,86.65,87.09,85.31,85.57,2019246.0,0.0,1.0,85.40809713180012,85.84179087372732,84.08730255411272,84.34357612888788,2019246.0
2019-08-13,85.51,87.95,85.33,87.21,3076963.0,0.0,1.0,84.28443607317054,86.68946500567594,84.1070159060185,85.96007098516199,3076963.0
2019-08-14,85.21,85.77,83.4,83.45,3022562.0,0.0,1.0,83.9887357945838,84.5407096479457,82.20467744711056,82.253960826875,3022562.0
2019-08-15,83.94,85.08,83.265,83.67,2118139.0,0.0,1.0,82.73693794856666,83.86059900719623,82.07161232174653,82.47080769783861,2118139.0
2019-08-16,84.51,85.77,84.29,85.5,1819164.0,0.0,1.0,83.29876847788145,84.5407096479457,83.08192160691785,84.27457939721765,1819164.0
2019-08-19,86.85,87.45,86.25,86.97,2066445.0,0.0,1.0,85.60523065085792,86.19663120803139,85.01383009368448,85.72351076229262,2066445.0
2019-08-20,86.53,86.65,85.11,85.22,1838049.0,0.0,1.0,85.28981702036542,85.40809713180012,83.8901690350549,83.9985924705367,1838049.0
2019-08-21,86.36,86.58,85.78,86.02,1073487.0,0.0,1.0,85.12225352916627,85.33910040012987,84.5505663238986,84.78712654676798,1073487.0
2019-08-22,86.24,86.8,85.24,85.73,2074664.0,0.0,1.0,85.00397341773157,85.55594727109347,84.01830582244249,84.50128294413415,2074664.0
2019-08-23,85.12,85.89,82.68,83.11,2172429.0,0.0,1.0,83.9000257110078,84.65898975938039,81.49499677850241,81.91883384447671,2172429.0
2019-08-26,83.55,84.32,83.15,84.28,1428913.0,0.0,1.0,82.35252758640391,83.11149163477651,81.95826054828828,83.07206493096496,1428913.0
2019-08-27,84.82,85.03,82.63,83.11,1927796.0,0.0,1.0,83.60432543242106,83.81131562743178,81.44571339873794,81.91883384447671,1927796.0
2019-08-28,82.76,84.855,82.67,84.59,1818471.0,0.0,1.0,81.57385018612554,83.63882379825618,81.48514010254951,83.37762188550458,1818471.0
2019-08-29,85.63,86.62,85.55,86.22,1861634.0,0.0,1.0,84.40271618460523,85.37852710394144,84.3238627769821,84.9842600658258,1861634.0
2019-08-30,86.89,87.27,86.21,86.62,1879072.0,0.0,1.0,85.64465735466949,86.01921104087934,84.9744033898729,85.37852710394144,1879072.0
2019-09-03,85.75,86.0,84.47,85.35,2647459.0,0.0,1.0,84.52099629603993,84.7674131948622,83.25934177406988,84.12672925792428,2647459.0
2019-09-04,86.25,86.47,85.35,85.96,2334343.0,0.0,1.0,85.01383009368448,85.23067696464807,84.12672925792428,84.72798649105063,2334343.0
2019-09-05,86.98,88.9,86.82,88.32,1872566.0,0.0,1.0,85.73336743824551,87.62584922120058,85.57566062299925,87.05416201593289,1872566.0
2019-09-06,88.42,88.68,87.79,88.19,1594230.0,0.0,1.0,87.15272877546181,87.40900235023697,86.53175819042968,86.92602522854531,1594230.0
2019-09-09,88.98,91.35,88.77,90.96,2504908.0,0.0,1.0,87.70470262882371,90.04073482965885,87.49771243381299,89.6563244674961,2504908.0
2019-09-10,91.35,92.46,90.8,91.83,2184466.0,0.0,1.0,90.04073482965885,91.13482586042974,89.49861765224985,90.51385527539762,2184466.0
2019-09-11,91.83,92.1,90.12,92.09,1921461.0,0.0,1.0,90.51385527539762,90.77998552612567,88.82836368745328,90.7701288501728,1921461.0
2019-09-12,91.85,93.21,91.01,92.91,3211806.0,0.0,1.0,90.5335686273034,91.87407655689657,89.70560784726057,91.57837627830985,3211806.0
2019-09-13,93.92,94.656,93.12,93.62,1787687.0,0.0,1.0,92.57390054955184,93.29935189968461,91.78536647332056,92.2782002709651,1787687.0
2019-09-16,92.89,94.39,92.65,94.34,2371022.0,0.0,1.0,91.55866292640407,93.0371643193377,91.32210270353468,92.98788093957326,2371022.0
2019-09-17,94.12,94.19,92.77,93.83,1891177.0,0.0,1.0,92.77103406860965,92.84003080027989,91.44038281496937,92.4851904659758,1891177.0
