Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,133.93,135.14,132.57,134.02,1547856.0,0.0,1.0,133.10404417256603,134.3065820165801,131.75243138921135,133.1934891361704,1547856.0
2019-08-01,133.86,136.02,131.55,132.15,2137084.0,0.0,1.0,133.03447586754044,135.1811549940449,130.7387218016954,131.33502155905774,2137084.0
2019-08-02,132.3,134.6,132.03,133.69,2004810.0,0.0,1.0,131.48409649839832,133.76991223495398,131.21576160758525,132.8655242696211,2004810.0
2019-08-05,132.61,133.54,131.03,132.65,1800323.0,0.0,1.0,131.7921847063689,132.7164493302805,130.221928678648,131.83193802352636,1800323.0
2019-08-06,132.56,134.745,131.51,134.46,1647655.0,0.0,1.0,131.742493059922,133.9140180096499,130.6989684845379,133.63077562490278,1647655.0
2019-08-07,133.41,134.84,132.25,134.59,1148660.0,0.0,1.0,132.58725104951867,134.00843213789895,131.43440485195146,133.75997390566462,1148660.0
2019-08-08,136.37,137.96,135.74,137.39,1582929.0,0.0,1.0,135.52899651917292,137.10919087618316,134.90288177394245,136.5427061066889,1582929.0
2019-08-09,137.65,138.12,135.49,135.58,1068669.0,0.0,1.0,136.80110266821262,137.26820414481313,134.65442354170816,134.74386850531252,1068669.0
2019-08-12,135.01,136.84,134.18,134.97,1322834.0,0.0,1.0,134.17738373581827,135.99609799577343,133.35250240480036,134.13763041866076,1322834.0
2019-08-13,134.14,137.49,133.0,135.38,1501973.0,0.0,1.0,133.31274908764286,136.64208939958266,132.17977954865438,134.54510191952505,1501973.0
2019-08-14,134.31,135.92,133.39,133.85,1763314.0,0.0,1.0,133.4817006855622,135.08177170115115,132.5673743909399,133.02453753825105,1763314.0
2019-08-15,134.95,135.82,132.8,133.81,1474745.0,0.0,1.0,134.11775376008202,134.98238840825744,131.98101296286694,132.98478422109358,1474745.0
2019-08-16,134.47,136.427,134.22,135.91,1374453.0,0.0,1.0,133.64071395419214,135.58564499612234,133.39225572195784,135.0718333718618,1374453.0
2019-08-19,137.89,138.89,135.66,138.1,2011217.0,0.0,1.0,137.03962257115754,138.0334555000948,134.82337513962747,137.24832748623436,2011217.0
2019-08-20,137.88,138.69,136.555,137.21,1254446.0,0.0,1.0,137.02968424186818,137.83468891430735,135.71285561102633,136.36381617948024,1254446.0
2019-08-21,139.96,140.37,137.935,138.79,1975559.0,0.0,1.0,139.09685673405767,139.50432823492193,137.08434505295972,137.93407220720107,1975559.0
2019-08-22,138.61,140.19,138.29,139.74,1683615.0,0.0,1.0,137.7551822799924,139.32543830771323,137.43715574273244,138.87821348969146,1683615.0
2019-08-23,139.1,139.64,136.27,136.99,1500337.0,0.0,1.0,138.2421604151716,138.7788301967977,135.4296132262792,136.14517293511403,1500337.0
2019-08-26,138.28,139.3,137.7,139.22,1478507.0,0.0,1.0,137.4272174134431,138.44092700095908,136.85079431465945,138.3614203666441,1478507.0
2019-08-27,140.0,140.38,138.68,138.75,1969056.0,0.0,1.0,139.13661005121514,139.5142665642113,137.824750585018,137.8943188900436,1969056.0
2019-08-28,138.51,141.76,138.0,141.03,2451398.0,0.0,1.0,137.65579898709865,140.8857560061447,137.14894419334064,140.16025796802052,2451398.0
2019-08-29,151.62,157.4392,151.1,156.09,6857249.0,0.0,1.0,150.684948685466,156.46826126553765,150.16815556241863,155.1273818778155,6857249.0
2019-08-30,156.62,158.91,154.61,156.09,2689005.0,0.0,1.0,155.65411333015226,157.92999073741856,153.6565091429884,155.1273818778155,2689005.0
2019-09-03,155.41,157.88,155.21,155.63,2384633.0,0.0,1.0,154.45157548613818,156.9063428206132,154.25280890035074,154.6702187305044,2384633.0
2019-09-04,157.41,158.18,156.47,157.8,1737089.0,0.0,1.0,156.4392413440127,157.20449269929438,155.50503839081168,156.82683618629824,1737089.0
2019-09-05,159.84,161.09,158.97,159.82,1536635.0,0.0,1.0,158.85425536133022,160.09654652250177,157.9896207131548,158.83437870275145,1536635.0
2019-09-06,159.92,162.19,159.69,161.54,1584746.0,0.0,1.0,158.93376199564517,161.18976274433274,158.7051804219896,160.54377134052353,1584746.0
2019-09-09,162.04,162.34,159.79,160.76,1936088.0,0.0,1.0,161.04068780499216,161.33883768367335,158.80456371488333,159.76858165595246,1936088.0
2019-09-10,158.23,158.28,155.31,157.09,3187978.0,0.0,1.0,157.25418434574124,157.3038759921881,154.35219219324446,156.12121480675276,3187978.0
2019-09-11,156.17,158.67,155.24,156.01,2529896.0,0.0,1.0,155.2068885121305,157.69147083447362,154.28262388821886,155.04787524350053,2529896.0
2019-09-12,158.11,158.8,155.975,157.1,1740726.0,0.0,1.0,157.13492439426878,157.8206691152355,155.01309109098773,156.13115313604214,1740726.0
2019-09-13,156.46,158.23,156.265,157.78,1579451.0,0.0,1.0,155.49510006152232,157.25418434574124,155.30130264037953,156.80695952771947,1579451.0
2019-09-16,156.63,156.9899,152.36,153.17,1884660.0,0.0,1.0,155.66405165944164,156.02173213056616,151.4203850528796,152.22538972531873,1884660.0
2019-09-17,153.9,156.84,153.335,156.82,2138170.0,0.0,1.0,152.95088776344295,155.87275657451846,152.3893721585934,155.8528799159397,2138170.0
2019-09-18,156.96,157.36,154.69,156.7,1572308.0,0.0,1.0,155.99201652599095,156.38954969756583,153.73601577730335,155.73361996446724,1572308.0
2019-09-19,157.44,157.55,155.87,156.81,1281839.0,0.0,1.0,156.4690563318808,156.5783779540639,154.90873863344933,155.84294158665034,1281839.0
2019-09-20,157.39,158.6,156.22,156.23,1926382.0,0.0,1.0,156.41936468543392,157.62190252944802,155.25658015857735,155.26651848786673,1926382.0
2019-09-23,157.73,160.67,157.56,158.71,1392707.0,0.0,1.0,156.7572678812726,159.67913669234812,156.58831628335327,157.73122415163112,1392707.0
2019-09-24,159.68,160.86,156.96,158.81,1416226.0,0.0,1.0,158.69524209270025,159.8679649488462,155.99201652599095,157.83060744452484,1416226.0
2019-09-25,158.77,160.06,157.52,159.15,1466472.0,0.0,1.0,157.79085412736737,159.0728986056964,156.5485629661958,158.1685106403635,1466472.0
2019-09-26,159.57,160.44,158.22,159.5,1330587.0,0.0,1.0,158.58592047051715,159.45055511869256,157.24424601645185,158.51635216549155,1330587.0
2019-09-27,160.5,160.57,158.78,160.02,1364823.0,0.0,1.0,159.5101850944288,159.5797533994544,157.80079245665672,159.03314528853892,1364823.0
2019-09-30,159.68,160.78,158.688,158.94,2040494.0,0.0,1.0,158.69524209270025,159.78845831453123,157.70935982719448,157.95980572528669,2040494.0
2019-10-01,159.73,160.78,157.0,159.04,1756538.0,0.0,1.0,158.74493373914711,159.78845831453123,156.03176984314842,158.0591890181804,1756538.0
2019-10-02,157.71,158.59,156.11,157.62,1657739.0,0.0,1.0,156.73739122269387,157.61196420015864,155.14725853639428,156.6479462590895,1657739.0
2019-10-03,157.61,158.14,155.29,157.41,1541167.0,0.0,1.0,156.63800792980015,157.16473938213687,154.3323155346657,156.4392413440127,1541167.0
2019-10-04,157.01,161.35,157.01,160.97,1948543.0,0.0,1.0,156.04170817243778,160.35494308402545,156.04170817243778,159.9772865710293,1948543.0
2019-10-07,159.98,161.0829,158.33,160.01,1686014.0,0.32,1.0,159.31135888239223,160.40964927938805,157.66825510594552,159.34123349650943,1686014.0
2019-10-08,158.94,161.55,157.98,159.84,1464419.0,0.0,1.0,158.2757055929955,160.87479702119307,157.31971794124468,159.1719440165119,1464419.0
2019-10-09,160.1,161.66,160.0,160.85,1228626.0,0.0,1.0,159.43085733886107,160.98433727295617,159.3312752918037,160.17772269179142,1228626.0
2019-10-10,160.43,160.76,158.86,160.52,1727700.0,0.0,1.0,159.75947809415044,160.08809884943977,158.19603995534962,159.84910193650208,1727700.0
2019-10-11,161.9,164.29,161.1,162.25,1486582.0,0.0,1.0,161.2233341858939,163.6033451105652,160.42667780943486,161.5718713505947,1486582.0
2019-10-14,162.8,163.059,161.045,161.21,1828095.0,0.0,1.0,162.11957260941028,162.3774901112889,160.3719076835533,160.53621806119799,1828095.0
2019-10-15,162.79,163.26,161.55,162.07,1171068.0,0.0,1.0,162.10961440470453,162.5776500258742,160.87479702119307,161.39262366589142,1171068.0
2019-10-16,161.74,162.5,160.74,162.24,1091193.0,0.0,1.0,161.06400291060208,161.82082646823815,160.06818244002832,161.56191314588898,1091193.0
2019-10-17,162.55,163.42,162.03,162.87,1633291.0,0.0,1.0,161.87061749176684,162.736981301166,161.35279084706846,162.18928004235045,1633291.0
2019-10-18,163.12,164.97,162.34,164.41,1760023.0,0.0,1.0,162.4382351599939,164.28050303055537,161.66149519294635,163.72284356703406,1760023.0
