Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,34.88,35.0,33.45,33.86,5526128.0,0.0,1.0,34.88,35.0,33.45,33.86,5526128.0
2019-08-01,34.0,34.37,32.615,32.95,4973807.0,0.0,1.0,34.0,34.37,32.615,32.95,4973807.0
2019-08-02,32.57,32.8999,31.925,32.18,3250906.0,0.0,1.0,32.57,32.8999,31.925,32.18,3250906.0
2019-08-05,31.7,32.04,31.21,31.72,3123699.0,0.0,1.0,31.7,32.04,31.21,31.72,3123699.0
2019-08-06,31.89,32.14,30.8,31.74,3582679.0,0.0,1.0,31.89,32.14,30.8,31.74,3582679.0
2019-08-07,31.17,31.57,30.58,31.51,4002343.0,0.0,1.0,31.17,31.57,30.58,31.51,4002343.0
2019-08-08,32.75,33.42,32.09,32.86,3619966.0,0.0,1.0,32.75,33.42,32.09,32.86,3619966.0
2019-08-09,32.62,32.805,32.015,32.39,1695080.0,0.0,1.0,32.62,32.805,32.015,32.39,1695080.0
2019-08-12,32.04,32.285,31.56,32.11,1591187.0,0.0,1.0,32.04,32.285,31.56,32.11,1591187.0
2019-08-13,32.16,32.72,32.0,32.26,2190923.0,0.0,1.0,32.16,32.72,32.0,32.26,2190923.0
2019-08-14,31.88,31.91,31.24,31.71,2215014.0,0.0,1.0,31.88,31.91,31.24,31.71,2215014.0
2019-08-15,31.78,32.09,31.45,31.87,1799790.0,0.0,1.0,31.78,32.09,31.45,31.87,1799790.0
2019-08-16,32.13,32.28,31.77,31.96,1554475.0,0.0,1.0,32.13,32.28,31.77,31.96,1554475.0
2019-08-19,32.47,32.95,32.145,32.59,2173082.0,0.0,1.0,32.47,32.95,32.145,32.59,2173082.0
2019-08-20,32.5,32.77,31.98,32.14,2221867.0,0.0,1.0,32.5,32.77,31.98,32.14,2221867.0
2019-08-21,32.4,32.8899,31.84,31.87,1449045.0,0.0,1.0,32.4,32.8899,31.84,31.87,1449045.0
2019-08-22,31.91,32.2,31.69,31.72,1649264.0,0.0,1.0,31.91,32.2,31.69,31.72,1649264.0
2019-08-23,31.43,31.68,30.825,31.04,2843094.0,0.0,1.0,31.43,31.68,30.825,31.04,2843094.0
2019-08-26,32.44,32.73,31.83,32.26,2355546.0,0.0,1.0,32.44,32.73,31.83,32.26,2355546.0
2019-08-27,32.46,32.955,32.2,32.37,2494462.0,0.0,1.0,32.46,32.955,32.2,32.37,2494462.0
2019-08-28,32.48,33.51,32.36,33.44,2192201.0,0.0,1.0,32.48,33.51,32.36,33.44,2192201.0
2019-08-29,33.74,34.39,33.66,33.73,2424163.0,0.0,1.0,33.74,34.39,33.66,33.73,2424163.0
2019-08-30,34.03,34.15,33.41,33.56,1489524.0,0.0,1.0,34.03,34.15,33.41,33.56,1489524.0
2019-09-03,33.19,33.325,32.495,32.85,1677081.0,0.0,1.0,33.19,33.325,32.495,32.85,1677081.0
2019-09-04,33.08,34.275,32.97,34.17,2021304.0,0.0,1.0,33.08,34.275,32.97,34.17,2021304.0
2019-09-05,34.6,35.36,34.465,34.85,2121607.0,0.0,1.0,34.6,35.36,34.465,34.85,2121607.0
2019-09-06,34.93,35.89,34.7101,35.7,2537146.0,0.0,1.0,34.93,35.89,34.7101,35.7,2537146.0
2019-09-09,35.83,36.35,35.59,36.3,2202739.0,0.0,1.0,35.83,36.35,35.59,36.3,2202739.0
2019-09-10,36.25,37.28,36.25,37.15,3048900.0,0.0,1.0,36.25,37.28,36.25,37.15,3048900.0
2019-09-11,36.93,37.15,36.41,36.63,4271127.0,0.0,1.0,36.93,37.15,36.41,36.63,4271127.0
2019-09-12,36.59,36.84,35.82,35.89,2577583.0,0.0,1.0,36.59,36.84,35.82,35.89,2577583.0
2019-09-13,35.94,36.525,35.19,35.26,3123074.0,0.0,1.0,35.94,36.525,35.19,35.26,3123074.0
2019-09-16,34.95,36.16,34.9,36.08,5370007.0,0.0,1.0,34.95,36.16,34.9,36.08,5370007.0
2019-09-17,36.25,36.8,34.755,35.3,4684514.0,0.0,1.0,36.25,36.8,34.755,35.3,4684514.0
2019-09-18,35.63,35.77,35.04,35.57,2025326.0,0.0,1.0,35.63,35.77,35.04,35.57,2025326.0
2019-09-19,35.55,36.22,35.43,35.44,2862607.0,0.0,1.0,35.55,36.22,35.43,35.44,2862607.0
2019-09-20,35.6,35.61,34.37,34.54,4105023.0,0.0,1.0,35.6,35.61,34.37,34.54,4105023.0
2019-09-23,34.49,34.83,34.29,34.465,1808208.0,0.0,1.0,34.49,34.83,34.29,34.465,1808208.0
