Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,60.26,60.44,59.52,59.85,2704491.0,0.0,1.0,60.26,60.44,59.52,59.85,2704491.0
2019-08-01,59.85,60.6,59.065,59.34,4593219.0,0.0,1.0,59.85,60.6,59.065,59.34,4593219.0
2019-08-02,60.43,61.2009,59.86,60.1,5380045.0,0.0,1.0,60.43,61.2009,59.86,60.1,5380045.0
2019-08-05,59.1,59.9,57.9,58.63,3715689.0,0.0,1.0,59.1,59.9,57.9,58.63,3715689.0
2019-08-06,59.1,59.5,57.835,58.96,2979869.0,0.0,1.0,59.1,59.5,57.835,58.96,2979869.0
2019-08-07,58.15,59.79,58.03,59.75,4517235.0,0.0,1.0,58.15,59.79,58.03,59.75,4517235.0
2019-08-08,60.0,60.3,59.49,59.79,2923996.0,0.0,1.0,60.0,60.3,59.49,59.79,2923996.0
2019-08-09,59.8,60.14,59.41,59.69,2308031.0,0.0,1.0,59.8,60.14,59.41,59.69,2308031.0
2019-08-12,59.47,59.93,58.77,59.02,7431314.0,0.0,1.0,59.47,59.93,58.77,59.02,7431314.0
2019-08-13,58.8,60.0,58.7,59.39,5004311.0,0.0,1.0,58.8,60.0,58.7,59.39,5004311.0
2019-08-14,58.8,59.26,58.0,58.17,7590429.0,0.0,1.0,58.8,59.26,58.0,58.17,7590429.0
2019-08-15,58.28,58.83,57.85,58.36,6606975.0,0.0,1.0,58.28,58.83,57.85,58.36,6606975.0
2019-08-16,58.0,58.36,57.51,57.82,8253741.0,0.0,1.0,58.0,58.36,57.51,57.82,8253741.0
2019-08-19,57.1,57.64,56.51,56.97,8259908.0,0.0,1.0,57.1,57.64,56.51,56.97,8259908.0
2019-08-20,57.16,57.16,55.77,55.91,3900145.0,0.0,1.0,57.16,57.16,55.77,55.91,3900145.0
2019-08-21,56.46,57.01,56.02,56.58,3069459.0,0.0,1.0,56.46,57.01,56.02,56.58,3069459.0
2019-08-22,56.76,56.99,55.76,55.96,4685546.0,0.0,1.0,56.76,56.99,55.76,55.96,4685546.0
2019-08-23,55.52,56.12,54.45,54.7,3886492.0,0.0,1.0,55.52,56.12,54.45,54.7,3886492.0
2019-08-26,55.02,55.245,54.21,55.05,2799208.0,0.0,1.0,55.02,55.245,54.21,55.05,2799208.0
