Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,206.01,207.85,199.1,201.73,1590509.0,0.0,1.0,204.42146371672388,206.24727553769748,197.56474649774148,200.17446665489396,1590509.0
2019-08-01,202.41,204.715,199.45,200.93,1150096.0,0.0,1.0,200.8492231974277,203.1364494188104,197.91204765933972,199.38063542838373,1150096.0
2019-08-02,200.66,201.22,198.27,199.99,1178772.0,0.0,1.0,199.1127173894365,199.66839924799368,196.7411466002371,198.44788373723418,1178772.0
2019-08-05,197.67,198.49,192.18,194.35,1325210.0,0.0,1.0,196.14577318035438,196.95945018752744,190.69810638842773,192.8513735903368,1325210.0
2019-08-06,195.81,197.03,192.53,196.73,1364294.0,0.0,1.0,194.30011557871805,195.5107081991462,191.04540755002597,195.21302148920483,1364294.0
2019-08-07,196.02,201.07,195.0,200.19,1196276.0,0.0,1.0,194.508496275677,199.519555893023,193.4963614618764,198.64634154386172,1196276.0
2019-08-08,202.02,205.17,201.23,205.04,806530.0,0.0,1.0,200.46223047450397,203.5879409288881,199.67832213832506,203.45894335458019,806530.0
2019-08-09,204.67,206.92,203.4,205.97,704235.0,0.0,1.0,203.09179641231918,205.32444673687928,201.83158934023416,204.38177215539838,704235.0
2019-08-12,205.72,206.85,204.34,204.87,1170958.0,0.0,1.0,204.1336998971139,205.25498650455964,202.7643410313837,203.29025421894676,1170958.0
2019-08-13,205.22,208.3,203.76,207.46,834458.0,0.0,1.0,203.637555380545,206.69380560260953,202.18881339216375,205.86028281477374,834458.0
2019-08-14,205.0,206.23,201.22,201.64,1091609.0,0.0,1.0,203.4192517932547,204.63976730401419,199.66839924799368,200.08516064191156,1091609.0
2019-08-15,202.94,204.125,201.82,203.67,945903.0,0.0,1.0,201.37513638499075,202.55099888925906,200.26377266787637,202.09950737918135,945903.0
2019-08-16,204.24,207.63,203.867,206.81,1177079.0,0.0,1.0,202.66511212806992,206.02897195040717,202.2949883187095,205.21529494323414,1177079.0
2019-08-19,209.22,209.87,206.01,208.57,963733.0,0.0,1.0,207.60671151309631,208.2516993846359,204.42146371672388,206.96172364155672,963733.0
2019-08-20,208.3,208.57,206.26,206.6,734073.0,0.0,1.0,206.69380560260953,206.96172364155672,204.66953597500833,205.0069142462752,734073.0
2019-08-21,207.76,208.26,206.43,207.1,677452.0,0.0,1.0,206.15796952471507,206.65411404128398,204.8382251106418,205.50305876284412,677452.0
2019-08-22,208.11,209.09,204.86,206.88,794406.0,0.0,1.0,206.50527068631334,207.47771393878838,203.2803313286154,205.28475517555378,794406.0
2019-08-23,206.65,207.84,200.67,201.82,1167111.0,0.0,1.0,205.0565286979321,206.2373526473661,199.12264027976786,200.26377266787637,1167111.0
2019-08-26,203.16,203.77,202.23,202.9,1109455.0,0.0,1.0,201.59343997228106,202.19873628249516,200.6706111714629,201.33544482366526,1109455.0
2019-08-27,204.76,206.93,203.96,204.72,1763046.0,0.0,1.0,203.1811024253016,205.3343696272107,202.38727119879135,203.1414108639761,1763046.0
2019-08-28,203.56,205.2,202.79,204.78,1157762.0,0.0,1.0,201.9903555855362,203.61770959988223,201.22629303002006,203.20094820596435,1157762.0
2019-08-29,206.0,207.96,205.81,207.0,1084523.0,0.0,1.0,204.4115408263925,206.35642733134264,204.2230059100963,205.40382985953033,1084523.0
2019-08-30,208.0,208.385,205.7,206.31,1079818.0,0.0,1.0,206.39611889266817,206.77815017042622,204.11385411645114,204.71915042666524,1079818.0
2019-09-03,204.97,205.82,203.1,204.49,1110298.0,0.0,1.0,203.38948312226054,204.2329288004277,201.5339026302928,202.9131843863544,1110298.0
2019-09-04,206.86,207.23,205.54,206.83,856144.0,0.0,1.0,205.26490939489105,205.63205633715202,203.9550878711491,205.2351407238969,856144.0
2019-09-05,208.17,208.75,205.24,205.33,900883.0,0.0,1.0,206.56480802830157,207.14033566752153,203.65740116120776,203.74670717419016,900883.0
2019-09-06,206.46,207.7,205.05,206.69,988904.0,0.0,1.0,204.8679937816359,206.0984321827268,203.46886624491157,205.0962202592576,988904.0
2019-09-09,208.0,208.0,198.94,200.78,1381481.0,0.0,1.0,206.39611889266817,206.39611889266817,197.40598025243943,199.23179207341303,1381481.0
2019-09-10,199.92,200.225,195.86,197.26,1978504.0,0.0,1.0,198.3784235049145,198.68107166002153,194.34973003037496,195.73893467676788,1978504.0
2019-09-11,197.3,198.4,195.37,197.19,1334987.0,0.0,1.0,195.7786262380934,196.870144174545,193.8635084041374,195.66947444444824,1334987.0
2019-09-12,199.42,202.0,196.94,197.77,1036431.0,0.0,1.0,197.88227898834558,200.4423846938412,195.4214021861638,196.2450020836682,1036431.0
2019-09-13,198.43,199.08,196.67,198.89,948818.0,0.0,1.0,196.89991284553915,197.54490071707875,195.15348414721655,197.35636580078253,948818.0
2019-09-16,197.28,197.95,191.56,192.11,1396653.0,0.46,1.0,196.2275173217814,196.89394289257208,190.5380333442845,191.0850991113515,1396653.0
2019-09-17,192.91,196.53,192.33,194.82,1098623.0,0.0,1.0,191.88083113617623,195.48151854850818,191.3039254181783,193.7806413454453,1098623.0
2019-09-18,195.5,196.3673,194.25,196.06,820992.0,0.0,1.0,194.45701356654632,195.31968654795946,193.21368227775767,195.01402598392366,820992.0
2019-09-19,195.16,197.33,195.16,196.5,765291.0,0.0,1.0,194.1188274559958,196.27725057333294,194.1188274559958,195.45167859757726,765291.0
2019-09-20,196.79,197.72,195.6,196.06,1592809.0,0.0,1.0,195.74013145657622,196.665169935435,194.5564800696494,195.01402598392366,1592809.0
2019-09-23,195.25,196.65,195.22,195.83,541485.0,0.0,1.0,194.2083473087886,195.6008783522319,194.17850735785765,194.78525302678653,541485.0
2019-09-24,197.31,198.85,194.655,194.86,1076328.0,0.0,1.0,196.2573572727123,197.78914142049993,193.61652161532518,193.82042794668655,1076328.0
2019-09-25,195.62,197.38,194.42,197.3,753921.0,0.0,1.0,194.57637337027003,196.32698382488448,193.38277533303292,196.24741062240201,753921.0
2019-09-26,197.02,199.36,196.1,198.43,975236.0,0.0,1.0,195.96890441371335,198.29642058632572,195.05381258516488,197.37138210746696,975236.0
2019-09-27,199.78,200.0,196.42,197.79,984991.0,0.0,1.0,198.7141798993587,198.9330062061855,195.37210539509476,196.73479648760716,984991.0
2019-09-30,197.99,199.1,197.55,198.04,787538.0,0.0,1.0,196.93372949381336,198.03780767825765,196.49607688015973,196.98346274536487,787538.0
2019-10-01,198.97,199.43,195.39,195.86,966837.0,0.0,1.0,197.90850122422364,198.3660471384979,194.3476004131329,194.81509297771748,966837.0
2019-10-02,194.46,195.7,190.62,191.83,950745.0,0.0,1.0,193.42256193427417,194.6559465727525,189.60304821511542,190.80659290266283,950745.0
2019-10-03,191.65,192.94,189.01,192.83,791090.0,0.0,1.0,190.62755319707728,191.91067108710715,188.0016375151556,191.80125793369376,791090.0
2019-10-04,193.23,196.38,193.15,194.62,799613.0,0.0,1.0,192.1991239461061,195.33231879385355,192.11955074362365,193.58170833923913,799613.0
2019-10-07,193.54,194.46,191.06,191.11,1331155.0,0.0,1.0,192.5074701057257,193.42256193427417,190.04070082876902,190.09043408032056,1331155.0
2019-10-08,190.87,191.39,189.29,189.65,1104113.0,0.0,1.0,189.85171447287314,190.3689402890092,188.28014372384425,188.6382231350154,1104113.0
2019-10-09,191.49,192.59,190.575,191.31,834337.0,0.0,1.0,190.46840679211232,191.56253832624634,189.558288288719,190.28936708652674,834337.0
2019-10-10,190.93,193.39,190.48,193.19,706568.0,0.0,1.0,189.911394374735,192.35827035107107,189.46379511077106,192.1593373448649,706568.0
2019-10-11,195.08,197.44,194.5,194.74,794530.0,0.0,1.0,194.03925425351335,196.38666372674632,193.4623485355154,193.70106814296284,794530.0
2019-10-14,194.39,195.705,193.94,194.01,691366.0,0.0,1.0,193.35293538210198,194.6609198979077,192.90533611813808,192.97496267031025,691366.0
2019-10-15,195.37,195.74,194.38,194.65,646098.0,0.0,1.0,194.32770711251231,194.69573317399377,193.34298873179168,193.61154829017005,646098.0
2019-10-16,194.56,195.905,193.29,195.23,824497.0,0.0,1.0,193.52202843737726,194.85985290411386,192.25880384796798,194.18845400816798,824497.0
2019-10-17,196.11,196.44,193.07,194.04,741374.0,0.0,1.0,195.0637592354752,195.3919986957154,192.03997754114116,193.00480262124117,741374.0
2019-10-18,194.2,194.86,192.31,193.82,673277.0,0.0,1.0,193.16394902620613,193.82042794668655,191.28403211755767,192.78597631441437,673277.0
2019-10-21,194.06,194.5,190.79,191.61,1131343.0,0.0,1.0,193.0246959218618,193.4623485355154,189.77214127039065,190.58776659583603,1131343.0
2019-10-22,191.61,191.85,188.34,188.4,1158484.0,0.0,1.0,190.58776659583603,190.82648620328345,187.3352119443649,187.39489184622676,1158484.0
2019-10-23,189.24,190.51,187.54,188.35,1599626.0,0.0,1.0,188.23041047229273,189.49363506170198,186.53947991954013,187.34515859467518,1599626.0
2019-10-24,188.92,192.26,188.52,190.83,1553221.0,0.0,1.0,187.91211766236282,191.23429886600613,187.51425164995047,189.81192787163192,1553221.0
2019-10-25,190.75,192.04,189.805,191.94,573199.0,0.0,1.0,189.73235466914943,191.0154725591793,188.7923962148252,190.9160060560762,573199.0
2019-10-28,192.8,193.35,190.59,191.59,923764.0,0.0,1.0,191.77141798276284,192.31848374982982,189.57320826418447,190.5678732952154,923764.0
2019-10-29,186.48,194.95,185.06,194.52,2174262.0,0.0,1.0,185.48513498664735,193.9099477994793,184.07271064258344,193.48224183613604,2174262.0
2019-10-30,194.65,195.23,192.34,193.71,1341603.0,0.0,1.0,193.61154829017005,194.18845400816798,191.3138720684886,192.67656316100098,1341603.0
2019-10-31,193.92,195.155,190.9607,192.07,796924.0,0.0,1.0,192.88544281751746,194.11385413084065,189.94193059118766,191.04531251011025,796924.0
2019-11-01,193.4,193.73,190.405,190.98,927170.0,0.0,1.0,192.3682170013814,192.69645646162158,189.38919523344376,189.96112762628653,927170.0
2019-11-04,191.96,192.6999,189.4825,189.84,893967.0,0.0,1.0,190.93589935669686,191.67185201315664,188.4716167423177,188.8272094909113,893967.0
2019-11-05,189.0,193.21,188.95,192.97,1324717.0,0.0,1.0,187.9916908648453,192.17923064548552,187.94195761329374,191.94051103803807,1324717.0
2019-11-06,193.49,193.89,192.25,192.96,739392.0,0.0,1.0,192.4577368541742,192.8556028665865,191.2243522156958,191.93056438772777,739392.0
2019-11-07,193.05,193.25,189.63,190.8,775776.0,0.0,1.0,192.02008424052056,192.21901724672674,188.61832983439479,189.78208792070097,775776.0
2019-11-08,191.24,192.63,189.73,190.39,587816.0,0.0,1.0,190.2197405343546,191.60232492748756,188.71779633749787,189.37427525797827,587816.0
2019-11-11,189.24,190.695,188.4769,188.84,502704.0,0.0,1.0,188.23041047229273,189.67764809244272,187.47138158711303,187.83254445988035,502704.0
2019-11-12,189.33,190.55,187.59,188.32,684999.0,0.0,1.0,188.31993032508552,189.53342166294325,186.5892131710917,187.31531864374426,684999.0
2019-11-13,187.82,190.79,187.025,190.4,766438.0,0.0,1.0,186.8179861282288,189.77214127039065,186.02722742855923,189.3842219082886,766438.0
2019-11-14,190.33,191.99,190.05,191.76,584949.0,0.0,1.0,189.31459535611646,190.96573930762779,189.0360891474278,190.73696635049066,584949.0
2019-11-15,192.95,193.23,190.99,191.74,750522.0,0.0,1.0,191.92061773741744,192.1991239461061,189.97107427659685,190.71707304987004,750522.0
2019-11-18,191.89,192.31,190.36,191.26,757315.0,0.0,1.0,190.86627280452467,191.28403211755767,189.34443530704738,190.2396338349752,757315.0
2019-11-19,191.5,192.06,189.29,189.43,1850871.0,0.0,1.0,190.47835344242262,191.03536585979995,188.28014372384425,188.4193968281886,1850871.0
2019-11-20,190.02,190.49,186.16,186.22,2228698.0,0.0,1.0,189.00624919649687,189.47374176108138,185.16684217671747,185.2265220785793,2228698.0
2019-11-21,185.0,186.14,182.85,183.02,2366811.0,0.0,1.0,184.0130307407216,185.14694887609684,181.8745009240051,182.04359397928036,2366811.0
2019-11-22,183.24,184.03,182.1,182.51,1627154.0,0.0,1.0,182.26242028610716,183.0482056606216,181.1285021507319,181.53631481345457,1627154.0
2019-11-25,182.81,183.39,181.43,182.06,1418586.0,0.0,1.0,181.83471432276386,182.4116200407618,180.4620765799412,181.08871554949067,1418586.0
2019-11-26,182.45,186.66,181.815,186.23,2214686.0,0.0,1.0,181.47663491159273,185.66417469223293,180.8450226168881,185.23646872888963,2214686.0
2019-11-27,186.54,187.85,185.37,186.95,745414.0,0.0,1.0,185.54481488850922,186.84782607915972,184.38105680220303,185.9526275512319,745414.0
2019-11-29,186.16,187.545,185.75,186.67,458182.0,0.0,1.0,185.16684217671747,186.5444532446953,184.7590295139948,185.67412134254323,458182.0
2019-12-02,187.31,187.31,185.07,185.16,996828.0,0.0,1.0,186.31070696240303,186.31070696240303,184.08265729289374,184.17217714568653,996828.0
2019-12-03,184.11,185.73,183.05,185.34,1235314.0,0.0,1.0,183.12777886310408,184.73913621337417,182.07343393021128,184.3512168512721,1235314.0
2019-12-04,185.97,187.35,183.79,183.88,1128775.0,0.0,1.0,184.9778558208216,186.35049356364428,182.80948605317417,182.89900590596696,1128775.0
2019-12-05,184.79,186.05,184.13,185.05,1432453.0,0.0,1.0,183.80415108420507,185.05742902330408,183.14767216372468,184.06276399227315,1432453.0
2019-12-06,187.13,187.91,186.05,186.41,690557.0,0.0,1.0,186.13166725681745,186.9075059810216,185.05742902330408,185.41550843447519,690557.0
2019-12-09,186.0,186.59,184.77,185.2,645367.0,0.0,1.0,185.0076957717525,185.59454814006077,183.78425778358448,184.21196374692775,645367.0
2019-12-10,185.82,186.94,185.02,185.15,789965.0,0.0,1.0,184.82865606616696,185.9426809009216,184.03292404134223,184.16223049537624,789965.0
2019-12-11,185.88,186.405,184.15,185.11,949229.0,0.0,1.0,184.8883359680288,185.41053510932005,183.1675654643453,184.12244389413502,949229.0
2019-12-12,185.53,186.52,184.75,185.18,895264.0,0.0,1.0,184.540203207168,185.5249215878886,183.76436448296386,184.19207044630716,895264.0
2019-12-13,184.67,186.58,184.58,185.5,653273.0,0.0,1.0,183.68479128048136,185.58460148975047,183.5952714276886,184.51036325623704,653273.0
2019-12-16,186.11,187.385,185.68,185.98,1274786.0,0.47,1.0,185.58492826700285,186.85633111231166,185.15614142505552,185.45529503571643,1274786.0
2019-12-17,185.87,187.36,185.165,186.9,909926.0,0.0,1.0,185.34560537847412,186.8314016447566,184.64259439342098,186.3726994417432,909926.0
2019-12-18,187.52,187.81,185.43,185.69,1717805.0,0.0,1.0,186.99095023710908,187.28013206074795,184.90684674950478,185.16611321207756,1717805.0
2019-12-19,189.59,192.97,188.3,191.78,1790283.0,0.0,1.0,189.05511015066932,192.4255741641155,187.76874962482745,191.23893150849392,1790283.0
2019-12-20,192.85,193.38,189.03,191.22,2500806.0,0.0,1.0,192.30591271985114,192.83441743201874,188.49669007743563,190.68051143526023,2500806.0
2019-12-23,191.84,193.17,190.68,192.2,948659.0,0.0,1.0,191.2987622306261,192.6250099045561,190.14203493607062,191.65774656341915,948659.0
2019-12-24,191.98,192.65,191.12,191.45,249542.0,0.0,1.0,191.4383672489345,192.10647697941053,190.58079356503993,190.9098625367669,249542.0
2019-12-26,191.25,191.78,190.73,191.64,454285.0,0.0,1.0,190.71042679632632,191.23893150849392,190.19189387118072,191.0993264901855,454285.0
2019-12-27,192.46,192.95,191.31,191.68,646117.0,0.0,1.0,191.91701302599196,192.40563059007144,190.7702575184585,191.13921363827362,646117.0
2019-12-30,191.75,192.22,190.45,191.62,522975.0,0.0,1.0,191.20901614742783,191.67769013746323,189.9126838345639,191.07938291614144,522975.0
2019-12-31,191.78,193.12,191.0,192.99,775127.0,0.0,1.0,191.23893150849392,192.57515096944596,190.46113212077557,192.44551773815957,775127.0
2020-01-02,193.66,193.89,189.85,190.23,1590514.0,0.0,1.0,193.11362746863557,193.34297857014226,189.3143766132421,189.69330452007924,1590514.0
2020-01-03,188.6,191.54,187.36,189.32,1251083.0,0.0,1.0,188.06790323548833,190.9996086199652,186.8314016447566,188.7858719010745,1251083.0
2020-01-06,188.33,189.29,187.68,187.71,1294280.0,0.0,1.0,187.79866498589354,188.7559565400084,187.15049882946155,187.18041419052764,1294280.0
2020-01-07,187.11,189.9,186.33,187.47,1556670.0,0.0,1.0,186.58210696920585,189.36423554835224,185.8043075814875,186.9410913019989,1556670.0
2020-01-08,187.5,188.83,186.19,187.54,1185906.0,0.0,1.0,186.97100666306503,188.29725433699502,185.66470256317908,187.01089381115312,1185906.0
2020-01-09,187.91,190.29,187.91,190.04,1115646.0,0.0,1.0,187.37984993096825,189.7531352422114,187.37984993096825,189.50384056666067,1115646.0
2020-01-10,190.45,190.53,188.72,188.93,828574.0,0.0,1.0,189.9126838345639,189.99245813074015,188.18756467975268,188.39697220721533,828574.0
2020-01-13,189.27,191.47,189.27,191.41,645432.0,0.0,1.0,188.73601296596436,190.92980611081097,188.73601296596436,190.8699753886788,645432.0
2020-01-14,190.95,191.81,189.46,189.96,1212629.0,0.0,1.0,190.4112731856654,191.26884686956,188.92547691938293,189.42406627048445,1212629.0
2020-01-15,189.86,192.4,189.82,191.45,656951.0,0.0,1.0,189.32434840026414,191.8571823038598,189.284461252176,190.9098625367669,656951.0
2020-01-16,192.32,193.49,191.87,193.0,1393671.0,0.0,1.0,191.77740800768353,192.94410708926108,191.32867759169218,192.45548952518158,1393671.0
2020-01-17,193.48,195.6,192.25,195.58,1157275.0,0.0,1.0,192.934135302239,195.04815415090943,191.70760549852932,195.02821057686538,1157275.0
2020-01-21,195.4,197.01,194.71,195.54,1273063.0,0.0,1.0,194.84871841046882,196.45417612101565,194.16066510594874,194.98832342877722,1273063.0
2020-01-22,196.47,197.49,195.67,196.4,1408186.0,0.0,1.0,195.91569962182604,196.93282189807312,195.1179566600636,195.84589711267185,1408186.0
2020-01-23,197.06,198.46,195.74,198.3,1253251.0,0.0,1.0,196.50403505612582,197.90008523921006,195.18775916921786,197.74053664685758,1253251.0
2020-01-24,198.55,199.29,197.0,198.01,891073.0,0.0,1.0,197.98983132240832,198.72774356203854,196.44420433399364,197.45135482321868,891073.0
2020-01-27,196.19,197.409,195.46,196.75,1156651.0,0.0,1.0,195.6364895852092,196.85205042319467,194.908549132601,196.1949096584429,1156651.0
2020-01-28,196.89,198.87,196.16,198.18,894886.0,0.0,1.0,196.3345146767513,198.30892850711328,195.60657422414312,197.6208752025932,894886.0
2020-01-29,199.0,199.67,197.71,197.81,587705.0,0.0,1.0,198.43856173839967,199.10667146887567,197.1522012125578,197.25191908277807,587705.0
2020-01-30,197.6,199.68,196.27,199.48,654079.0,0.0,1.0,197.04251155531546,199.1166432558977,195.71626388138546,198.9172075154571,654079.0
2020-01-31,198.27,199.25,195.57,196.11,1094982.0,0.0,1.0,197.7106212857915,198.6878564139504,195.01823878984334,195.55671528903298,1094982.0
2020-02-03,197.06,201.82,196.2,201.53,1612716.0,0.0,1.0,196.50403505612582,201.25060567861215,195.64646137223122,200.9614238549733,1612716.0
2020-02-04,202.32,204.58,201.735,203.45,1388800.0,0.0,1.0,201.74919502971366,204.0028188966925,201.16584548892493,202.87600696320305,1388800.0
2020-02-05,204.82,206.5,202.49,206.3,1443939.0,0.0,1.0,204.2421417852212,205.91740200492228,201.9187154090882,205.71796626448167,1443939.0
2020-02-06,206.5,207.17,205.3,207.11,1235608.0,0.0,1.0,205.91740200492228,206.58551173539828,204.72078756227867,206.5256810132661,1235608.0
2020-02-07,206.98,207.5,205.11,205.64,832194.0,0.0,1.0,206.39604778197972,206.91458070712528,204.5313236088601,205.05982832102765,832194.0
2020-02-10,204.99,205.72,204.33,204.94,877468.0,0.0,1.0,204.41166216459573,205.1396026172039,203.75352422114173,204.36180322948556,877468.0
2020-02-11,204.8,205.88,204.52,204.62,901061.0,0.0,1.0,204.22219821117716,205.29915120955638,203.94298817456033,204.0427060447806,901061.0
2020-02-12,205.64,207.5,204.81,206.82,1100004.0,0.0,1.0,205.05982832102765,206.91458070712528,204.23216999819917,206.23649918962724,1100004.0
2020-02-13,206.36,208.65,205.305,207.06,1088348.0,0.0,1.0,205.77779698661385,208.06133621465875,204.72577345578966,206.47582207815597,1088348.0
2020-02-14,207.52,208.13,206.49,207.31,1377322.0,0.0,1.0,206.93452428116936,207.5428032895132,205.90743021790024,206.72511675370671,1377322.0
2020-02-18,207.18,209.67,204.71,207.68,1355825.0,0.0,1.0,206.59548352242032,209.0784584909058,204.1324521279789,207.09407287352184,1355825.0
2020-02-19,208.62,210.71,208.22,210.31,1189099.0,0.0,1.0,208.03142085359266,210.11552434119696,207.63254937271145,209.71665286031575,1189099.0
2020-02-20,210.0,211.235,205.0214,206.31,1200155.0,0.0,1.0,209.40752746263283,210.63904315985354,204.4429735758449,205.7279380515037,1200155.0
2020-02-21,205.81,208.83,205.59,207.5,1053766.0,0.0,1.0,205.2293487004022,208.2408283810553,205.00996938591754,206.91458070712528,1053766.0
2020-02-24,203.84,205.51,202.26,202.52,1306992.0,0.0,1.0,203.26490665706226,204.9301950897413,201.68936430758149,201.9486307701543,1306992.0
