Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,67.3,67.3,63.93,64.88,6588315.0,0.0,1.0,65.20420581090085,65.20420581090085,61.93915122571904,62.859567206705,6588315.0
2019-08-01,64.93,65.3,62.53,62.76,4532391.0,0.0,1.0,62.908010153072695,63.26648795619354,60.58274872742392,60.80558628071526,4532391.0
2019-08-02,62.5,62.5,61.31,61.66,4570430.0,0.0,1.0,60.553682959603314,60.553682959603314,59.400740836052464,59.73984146062624,4570430.0
2019-08-05,60.34,60.6,59.04,59.45,5653485.0,0.0,1.0,58.460947676519424,58.71285099763137,57.20143107095967,57.59866323117467,5653485.0
2019-08-06,59.86,61.26,59.27,60.82,4068192.0,0.0,1.0,57.995895391389666,59.35229788968478,57.42426862425101,58.925999961649175,4068192.0
2019-08-07,59.65,59.88,58.38,59.58,3930578.0,0.0,1.0,57.7924350166454,58.01527256993674,56.561984178906265,57.724614891730646,3930578.0
2019-08-08,60.27,60.84,59.77,60.77,3217556.0,0.0,1.0,58.39312755160467,58.94537714019625,57.90869808792784,58.877557015281496,3217556.0
2019-08-09,60.37,60.46,59.24,59.48,2948442.0,0.0,1.0,58.49001344434003,58.57721074780186,57.3952028564304,57.62772899899527,2948442.0
2019-08-12,59.21,59.35,58.2,58.3096,3492030.0,0.0,1.0,57.3661370886098,57.501777338439304,56.38758957198261,56.49377651042057,3492030.0
2019-08-13,57.73,60.53,57.65,59.19,3427787.0,0.0,1.0,55.93222587612638,58.64503087271662,55.85471716193809,57.346759910062715,3427787.0
2019-08-14,58.02,58.51,57.005,57.14,3880350.0,0.0,1.0,56.213194965058946,56.687935839462234,55.22980315379499,55.360599108987735,3880350.0
2019-08-15,56.77,57.1,55.98,56.41,4393435.0,0.49,1.0,55.47989190398557,55.80239259675138,54.70784479100073,55.128072966422856,4393435.0
2019-08-16,56.87,58.09,56.77,57.92,3332630.0,0.0,1.0,55.57761938664187,56.769894675048825,55.47989190398557,56.603757954533094,3332630.0
2019-08-19,59.0,59.04,58.35,58.55,4095117.0,0.0,1.0,57.659214767221215,57.69830576028374,57.02398612995522,57.219441095267825,4095117.0
