Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,55.93,55.99,54.61,54.94,1314098.0,0.0,1.0,55.2866166402681,55.34592643820152,53.9818010857329,54.308004974366696,1314098.0
2019-08-01,54.89,55.92,52.765,52.93,2202769.0,0.0,1.0,54.25858014275552,55.27673167394587,52.158024799280284,52.32112674359718,2202769.0
2019-08-02,52.03,52.19,50.76,51.66,2725345.0,0.0,1.0,51.431479774595914,51.58963923575169,50.17608905167189,51.065736020673164,2725345.0
2019-08-05,50.57,50.99,49.81,50.49,2587357.0,0.0,1.0,49.9882746915494,50.403443277083326,49.237017251059434,49.90919496097151,2587357.0
2019-08-06,50.78,51.67,49.94,51.48,1580588.0,0.0,1.0,50.19585898431637,51.0756209869954,49.365521813248506,50.88780662687291,1580588.0
2019-08-07,50.75,52.16,50.24,51.97,1620855.0,0.0,1.0,50.166204085349655,51.55998433678498,49.6620708029156,51.37216997666249,1620855.0
2019-08-08,52.23,53.635,52.23,53.04,1207248.0,0.0,1.0,51.629179101040634,53.01801686931485,51.629179101040634,52.42986137314178,1207248.0
2019-08-09,52.77,52.835,51.6,51.86,995466.0,0.0,1.0,52.16296728244141,52.22721956353594,51.00642622273975,51.26343534711789,995466.0
2019-08-12,51.6,51.6,50.82,50.86,1097077.0,0.0,1.0,51.00642622273975,51.00642622273975,50.23539884960531,50.274938714894255,1097077.0
2019-08-13,50.8,52.45,50.8,51.64,965954.0,0.0,1.0,50.21562891696083,51.84664836012984,50.21562891696083,51.04596608802869,965954.0
2019-08-14,50.92,50.92,49.47,49.85,1499393.0,0.0,1.0,50.33424851282767,50.33424851282767,48.900928396103396,49.27655711634838,1499393.0
2019-08-15,50.0,50.175,49.43,49.73,853167.0,0.0,1.0,49.42483161118192,49.59781852182106,48.86138853081445,49.15793752048154,853167.0
2019-08-16,50.1,50.61,49.82,50.52,786194.0,0.0,1.0,49.52368127440429,50.027814556838344,49.24690221738167,49.938849859938216,786194.0
2019-08-19,51.36,51.37,50.81,51.18,479306.0,0.0,1.0,50.76918703100607,50.77907199732831,50.22551388328307,50.591257637205814,479306.0
2019-08-20,51.02,51.3,50.66,50.92,640318.0,0.0,1.0,50.43309817605004,50.70987723307265,50.07723938844952,50.33424851282767,640318.0
2019-08-21,51.71,52.25,51.57,52.08,933137.0,0.0,1.0,51.11516085228435,51.64894903368511,50.976771323773036,51.48090460620709,933137.0
2019-08-22,52.3,52.63,51.34,52.23,988676.0,0.0,1.0,51.69837386529629,52.024577753930096,50.749417098361604,51.629179101040634,988676.0
2019-08-23,51.79,51.79,49.31,49.56,1072285.0,0.0,1.0,51.194240582862236,51.194240582862236,48.74276893494761,48.98989309300352,1072285.0
2019-08-26,50.03,50.325,49.48,50.23,645585.0,0.0,1.0,49.454486510148634,49.74609301665461,48.91081336242563,49.65218583659336,645585.0
2019-08-27,50.55,50.63,49.3,49.44,895796.0,0.0,1.0,49.96850475890492,50.047584489482816,48.73288396862537,48.871273497136684,895796.0
2019-08-28,49.16,49.97,49.0,49.72,1097128.0,0.0,1.0,48.59449444011406,49.39517671221521,48.436334978958286,49.14805255415931,1097128.0
2019-08-29,50.21,50.93,50.19,50.89,768671.0,0.22,1.0,49.84697930538078,50.56177367104248,49.82712390633461,50.52206287295016,768671.0
2019-08-30,51.32,51.36,50.79,51.06,687332.0,0.0,1.0,50.948953952442565,50.98866475053488,50.42278587771937,50.69083376484251,687332.0
2019-09-03,50.48,50.59,48.43,49.02,1126046.0,0.0,1.0,50.11502719250391,50.22423188725779,48.07984879027267,48.66558306213435,1126046.0
2019-09-04,49.77,50.05,49.44,49.91,763218.0,0.0,1.0,49.41016052636529,49.6881361130115,49.08254644210367,49.54914831968839,763218.0
2019-09-05,50.75,51.76,50.62,51.53,900272.0,0.0,1.0,50.383075079627055,51.385772731458054,50.25401498582702,51.15743564242723,900272.0
2019-09-06,51.78,52.41,51.52,51.57,740182.0,0.0,1.0,51.40562813050421,52.0310732004582,51.147507942904156,51.197146440519546,740182.0
2019-09-09,51.95,52.22,51.58,52.14,766383.0,0.0,1.0,51.57439902239656,51.842446909519694,51.20707414004263,51.76302531333506,766383.0
2019-09-10,52.14,53.55,51.91,53.52,770657.0,0.0,1.0,51.76302531333506,53.16283094608923,51.53468822430424,53.13304784752,770657.0
2019-09-11,53.71,54.77,53.1552,54.74,926283.0,0.0,1.0,53.321674138458505,54.3740102879049,52.770885368918066,54.34422718933566,926283.0
2019-09-12,55.0,55.05,53.74,54.25,764175.0,0.0,1.0,54.60234737693572,54.651985874551116,53.35145723702774,53.85776991270478,764175.0
2019-09-13,54.77,54.77,54.25,54.45,683851.0,0.0,1.0,54.3740102879049,54.3740102879049,53.85776991270478,54.056323903166366,683851.0
2019-09-16,54.07,54.43,53.34,53.45,1027254.0,0.0,1.0,53.679071321289356,54.03646850412021,52.95434925610457,53.06355395085844,1027254.0
2019-09-17,53.21,53.48,51.96,52.74,1191238.0,0.0,1.0,52.82528916230454,53.093337049427674,51.58432672191964,52.35868728471982,1191238.0
2019-09-18,52.55,53.05,52.22,52.86,825800.0,0.0,1.0,52.170060993781306,52.66644596993527,51.842446909519694,52.47781967899677,825800.0
2019-09-19,53.02,53.56,52.69,53.06,835084.0,0.0,1.0,52.636662871366035,53.17275864561231,52.309048787104416,52.67637366945836,835084.0
2019-09-20,53.33,53.69,52.64,52.75,1382112.0,0.0,1.0,52.94442155658149,53.30181873941234,52.259410289489026,52.368614984242896,1382112.0
2019-09-23,52.57,53.59,52.3,53.19,953103.0,0.0,1.0,52.18991639282747,53.20254174418155,51.92186850570433,52.80543376325838,953103.0
2019-09-24,53.49,53.97,53.14,53.34,1403805.0,0.0,1.0,53.103264748950764,53.57979432605856,52.75579526564299,52.95434925610457,1403805.0
2019-09-25,53.24,54.04,53.205,53.93,953919.0,0.0,1.0,52.85507226087378,53.649288222720116,52.820325312543,53.540083527966246,953919.0
2019-09-26,54.09,54.77,53.89,54.3,828718.0,0.0,1.0,53.698926720335514,54.3740102879049,53.50037272987393,53.90740841032017,828718.0
2019-09-27,54.64,54.72,53.92,54.48,696223.0,0.0,1.0,54.24495019410487,54.324371790289504,53.530155828443164,54.0861070017356,696223.0
2019-09-30,54.85,55.0158,54.57,54.7,815514.0,0.0,1.0,54.45343188408953,54.618033142182185,54.17545629744331,54.30451639124335,815514.0
2019-10-01,55.09,55.79,54.03,54.4,1363408.0,0.0,1.0,54.69169667264344,55.38663563925898,53.639360523197034,54.00668540555097,1363408.0
2019-10-02,53.85,54.61,53.24,54.44,1859245.0,0.0,1.0,53.46066193178161,54.215167095535634,52.85507226087378,54.04639620364328,1859245.0
2019-10-03,54.28,54.98,53.47,54.92,1623148.0,0.0,1.0,53.887553011274015,54.58249197788956,53.0834093499046,54.52292578075109,1623148.0
2019-10-04,55.03,56.155,54.92,56.12,1119424.0,0.0,1.0,54.63213047550496,55.74899667185137,54.52292578075109,55.71424972352059,1119424.0
2019-10-07,55.83,56.74,55.43,56.23,1540459.0,0.0,1.0,55.42634643735129,56.32976709395151,55.029238456428125,55.823454418274466,1540459.0
2019-10-08,55.42,55.95,54.99,55.24,974016.0,0.0,1.0,55.01931075690505,55.54547883162825,54.59241967741264,54.840612165489624,974016.0
2019-10-09,55.79,56.0,55.24,55.73,1215748.0,0.0,1.0,55.38663563925898,55.59511732924364,54.840612165489624,55.327069442120504,1215748.0
2019-10-10,55.56,56.19,55.36,55.68,1315696.0,0.0,1.0,55.15829855022816,55.78374362018214,54.95974455976657,55.277430944505106,1315696.0
2019-10-11,56.26,57.37,56.26,56.62,2447696.0,0.0,1.0,55.8532375168437,56.95521216390549,55.8532375168437,56.21063469967455,2447696.0
2019-10-14,56.68,56.68,55.945,56.1,2105508.0,0.0,1.0,56.27020089681303,56.27020089681303,55.54051498186671,55.69439432447444,2105508.0
2019-10-15,56.36,57.13,56.0144,57.01,1527961.0,0.0,1.0,55.952514512074494,56.716947375351594,55.60941321655688,56.59781498107464,1527961.0
2019-10-16,56.93,57.7,56.73,57.24,1642867.0,0.0,1.0,56.51839338489001,57.28282624816711,56.31983939442842,56.82615207010547,1642867.0
2019-10-17,57.64,58.47,57.39,58.45,2046440.0,0.0,1.0,57.22326005102864,58.04725911144421,56.97506756295166,58.027403712398055,2046440.0
