Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,150.27,150.27,146.04,146.72,726976.0,0.0,1.0,150.27,150.27,146.04,146.72,726976.0
2019-08-01,146.71,149.72,144.45,144.76,846591.0,0.0,1.0,146.71,149.72,144.45,144.76,846591.0
2019-08-02,142.73,143.01,138.16,139.04,836931.0,0.0,1.0,142.73,143.01,138.16,139.04,836931.0
2019-08-05,136.69,137.195,133.58,134.61,679027.0,0.0,1.0,136.69,137.195,133.58,134.61,679027.0
2019-08-06,135.94,136.27,133.15,136.12,810255.0,0.0,1.0,135.94,136.27,133.15,136.12,810255.0
2019-08-07,133.7,135.2113,131.32,134.0,703844.0,0.0,1.0,133.7,135.2113,131.32,134.0,703844.0
2019-08-08,135.69,137.91,135.17,137.41,655676.0,0.0,1.0,135.69,137.91,135.17,137.41,655676.0
2019-08-09,136.43,136.58,133.14,133.44,679148.0,0.0,1.0,136.43,136.58,133.14,133.44,679148.0
2019-08-12,133.07,133.07,130.25,130.48,591696.0,0.0,1.0,133.07,133.07,130.25,130.48,591696.0
2019-08-13,129.54,133.75,129.158,131.61,615449.0,0.0,1.0,129.54,133.75,129.158,131.61,615449.0
2019-08-14,129.69,129.69,125.35,127.63,928017.0,0.0,1.0,129.69,129.69,125.35,127.63,928017.0
2019-08-15,127.19,127.42,125.215,126.17,656200.0,0.0,1.0,127.19,127.42,125.215,126.17,656200.0
2019-08-16,126.97,129.45,126.48,128.74,625562.0,0.0,1.0,126.97,129.45,126.48,128.74,625562.0
2019-08-19,131.02,132.31,129.6,129.68,579078.0,0.0,1.0,131.02,132.31,129.6,129.68,579078.0
2019-08-20,129.41,129.41,126.65,127.12,568364.0,0.0,1.0,129.41,129.41,126.65,127.12,568364.0
2019-08-21,128.71,130.52,127.66,129.38,415560.0,0.0,1.0,128.71,130.52,127.66,129.38,415560.0
2019-08-22,129.87,130.31,128.84,129.35,448904.0,0.0,1.0,129.87,130.31,128.84,129.35,448904.0
2019-08-23,129.0,129.48,123.91,124.39,732998.0,0.0,1.0,129.0,129.48,123.91,124.39,732998.0
2019-08-26,126.12,126.12,124.25,125.14,485719.0,0.0,1.0,126.12,126.12,124.25,125.14,485719.0
2019-08-27,126.08,126.28,121.8,122.07,916504.0,0.0,1.0,126.08,126.28,121.8,122.07,916504.0
2019-08-28,122.07,124.59,121.36,124.21,693418.0,0.0,1.0,122.07,124.59,121.36,124.21,693418.0
