Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,53.71,53.7861,52.26,53.11,4185947.0,0.0,1.0,52.27547975702858,52.34954723067426,50.86420726312257,51.69150493196402,4185947.0
2019-08-01,53.33,54.615,53.32,54.01,4957322.0,0.0,1.0,51.90562903448769,53.15630845150095,51.895896120736616,52.56746716956085,4957322.0
2019-08-02,54.02,54.22,53.33,53.7,3521518.0,0.0,1.0,52.57720008331193,52.771858358333446,51.90562903448769,52.265746843277505,3521518.0
2019-08-05,53.53,53.83,52.36,52.81,3762834.0,0.0,1.0,52.10028730950921,52.392274722041485,50.96153640063333,51.39951751943175,3762834.0
2019-08-06,52.7,53.0,52.11,52.51,3499514.0,0.0,1.0,51.29245546816991,51.58444288070219,50.71821355685643,51.10753010689947,3499514.0
2019-08-07,52.38,53.145,51.62,52.92,3183198.0,0.0,1.0,50.98100222813549,51.72557013009279,50.24130078305372,51.50657957069358,3183198.0
2019-08-08,52.44,54.06,52.25,54.02,3147042.0,0.0,1.0,51.03939971064194,52.616131738316234,50.85447434937149,52.57720008331193,3147042.0
2019-08-09,53.98,54.48,53.73,53.92,2579230.0,0.0,1.0,52.538268428307624,53.024914115861414,52.29494558453072,52.479870945801174,2579230.0
2019-08-12,53.92,54.38,53.61,54.27,4217058.0,0.0,1.0,52.479870945801174,52.927584978350666,52.178150619517815,52.82052292708883,4217058.0
2019-08-13,54.39,54.725,54.08,54.38,2982526.0,0.0,1.0,52.93731789210174,53.26337050276278,52.63559756581838,52.927584978350666,2982526.0
2019-08-14,54.26,54.63,53.585,53.77,3562185.0,0.0,1.0,52.810790013337744,53.17090782212756,52.15381833514013,52.333877239535035,3562185.0
2019-08-15,53.97,54.72,53.51,54.33,3398775.0,0.0,1.0,52.528535514556545,53.258504045887236,52.08082148200705,52.87892040959528,3398775.0
2019-08-16,54.85,55.29,54.64,55.02,4339093.0,0.0,1.0,53.38503192465123,53.81328012969856,53.18064073587863,53.55049145841952,4339093.0
2019-08-19,55.08,55.43,54.655,55.2,4191768.0,0.0,1.0,53.60888894092597,53.94954092221363,53.195240106505246,53.72568390593889,4191768.0
2019-08-20,55.01,55.04,54.25,54.29,3067127.0,0.0,1.0,53.54075854466844,53.56995728592167,52.80105709958667,52.839988754590976,3067127.0
2019-08-21,54.62,54.84,54.215,54.38,2843326.0,0.0,1.0,53.16117490837648,53.37529901090016,52.766991901457914,52.927584978350666,2843326.0
2019-08-22,54.41,54.83,54.22,54.68,2022141.0,0.0,1.0,52.956783719603884,53.36556609714907,52.771858358333446,53.21957239088294,2022141.0
2019-08-23,54.79,54.83,53.365,53.63,2715906.0,0.0,1.0,53.32663444214477,53.36556609714907,51.93969423261646,52.19761644701997,2715906.0
2019-08-26,53.83,54.135,53.6536,53.98,3758164.0,0.0,1.0,52.392274722041485,52.6891285914493,52.22058612347251,52.538268428307624,3758164.0
2019-08-27,53.42,53.49,51.25,51.91,6000107.0,0.0,1.0,51.99322525824738,52.06135565450491,49.88118297426391,50.523555281834916,6000107.0
2019-08-28,52.03,53.18,51.98,53.12,3444669.0,0.0,1.0,50.64035024684783,51.759635328221556,50.591685678092446,51.7012378457151,3444669.0
2019-08-29,53.42,53.54,52.87,53.35,2194348.0,0.0,1.0,51.99322525824738,52.110020223260285,51.4579150019382,51.92509486198985,2194348.0
2019-08-30,53.73,54.38,53.5,53.8,3400626.0,0.0,1.0,52.29494558453072,52.927584978350666,52.07108856825598,52.36307598078825,3400626.0
2019-09-03,53.78,54.34,53.39,54.3,3414924.0,0.0,1.0,52.34361015328611,52.88865332334636,51.964026516994146,52.84972166834205,3414924.0
2019-09-04,54.5,54.59,53.49,54.31,3766884.0,0.0,1.0,53.04437994336357,53.131976167123256,52.06135565450491,52.85945458209313,3766884.0
2019-09-05,54.49,54.58,53.97,54.16,2622542.0,0.0,1.0,53.03464702961249,53.122243253372176,52.528535514556545,52.71346087582699,2622542.0
2019-09-06,54.2,55.21,54.07,54.96,3391784.0,0.0,1.0,52.752392530831294,53.73541681968996,52.62586465206731,53.492093975913065,3391784.0
2019-09-09,55.05,56.4,54.62,55.59,6165422.0,0.0,1.0,53.57969019967274,54.89363355606799,53.16117490837648,54.10526754223085,6165422.0
2019-09-10,55.25,55.81,54.1014,54.53,4662435.0,0.0,1.0,53.774348474694264,54.31939164475451,52.656426001245684,53.0735786846168,4662435.0
2019-09-11,54.33,54.76,53.86,54.32,4217679.0,0.0,1.0,52.87892040959528,53.29743570089154,52.42147346329472,52.86918749584421,4217679.0
2019-09-12,54.73,55.02,54.05,54.09,3246892.0,0.0,1.0,53.268236959638315,53.55049145841952,52.606398824565154,52.64533047956946,3246892.0
2019-09-13,53.8,54.58,53.74,53.97,2971217.0,0.0,1.0,52.36307598078825,53.122243253372176,52.3046784982818,52.528535514556545,2971217.0
2019-09-16,53.7,54.91,53.68,54.54,3405152.0,0.0,1.0,52.265746843277505,53.44342940715768,52.246281015775345,53.08331159836787,3405152.0
2019-09-17,54.47,55.62,54.39,55.03,4987089.0,0.0,1.0,53.01518120211034,54.134466283484066,52.93731789210174,53.560224372170595,4987089.0
2019-09-18,55.64,55.93,53.63,54.53,6708043.0,0.0,1.0,54.15393211098622,54.436186609767425,52.19761644701997,53.0735786846168,6708043.0
2019-09-19,54.38,54.74,54.12,54.39,4473205.0,0.0,1.0,52.927584978350666,53.277969873389395,52.674529220822684,52.93731789210174,4473205.0
2019-09-20,54.53,54.58,54.19,54.33,6139340.0,0.0,1.0,53.0735786846168,53.122243253372176,52.742659617080214,52.87892040959528,6139340.0
2019-09-23,54.49,54.9,53.85,53.9,2351751.0,0.0,1.0,53.03464702961249,53.43369649340661,52.41174054954364,52.460405118299015,2351751.0
2019-09-24,54.16,54.635,53.745,54.18,3324437.0,0.0,1.0,52.71346087582699,53.17577427900309,52.30954495515734,52.73292670332914,3324437.0
2019-09-25,54.3,54.55,53.98,54.17,2834849.0,0.0,1.0,52.84972166834205,53.09304451211895,52.538268428307624,52.72319378957807,2834849.0
2019-09-26,54.31,55.0,54.27,54.99,2416985.0,0.0,1.0,52.85945458209313,53.53102563091736,52.82052292708883,53.52129271716629,2416985.0
2019-09-27,55.0,55.02,54.36,54.87,2083518.0,0.0,1.0,53.53102563091736,53.55049145841952,52.908119150848506,53.404497752153375,2083518.0
2019-09-30,54.98,55.59,54.9,55.12,2617789.0,0.0,1.0,53.51155980341521,54.10526754223085,53.43369649340661,53.64782059593027,2617789.0
2019-10-01,55.13,55.43,54.265,54.39,2448444.0,0.0,1.0,53.65755350968136,53.94954092221363,52.81565647021329,52.93731789210174,2448444.0
2019-10-02,54.22,54.4,52.79,52.91,3926997.0,0.0,1.0,52.771858358333446,52.94705080585281,51.380051691929594,51.4968466569425,3926997.0
2019-10-03,53.2,53.57,52.79,53.37,2957926.0,0.0,1.0,51.77910115572371,52.13921896451351,51.380051691929594,51.94456068949199,2957926.0
2019-10-04,53.58,54.3,53.42,54.3,4390142.0,0.0,1.0,52.14895187826459,52.84972166834205,51.99322525824738,52.84972166834205,4390142.0
2019-10-07,54.07,54.65,53.81,54.5,2394469.0,0.0,1.0,52.62586465206731,53.190373649629706,52.37280889453934,53.04437994336357,2394469.0
2019-10-08,54.43,54.43,53.76,54.15,3465589.0,0.0,1.0,52.976249547106036,52.976249547106036,52.324144325783955,52.70372796207592,3465589.0
