Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,1224.87,1234.91,1208.18,1218.2,1997999.0,0.0,1.0,1224.87,1234.91,1208.18,1218.2,1997999.0
2019-08-01,1217.63,1236.3,1207.0,1211.78,1771271.0,0.0,1.0,1217.63,1236.3,1207.0,1211.78,1771271.0
2019-08-02,1203.0,1209.5,1190.0,1196.32,1745450.0,0.0,1.0,1203.0,1209.5,1190.0,1196.32,1745450.0
2019-08-05,1172.97,1176.88,1142.75,1154.75,2391972.0,0.0,1.0,1172.97,1176.88,1142.75,1154.75,2391972.0
2019-08-06,1165.52,1181.4,1161.53,1171.08,1800707.0,0.0,1.0,1165.52,1181.4,1161.53,1171.08,1800707.0
2019-08-07,1157.8,1179.87,1150.84,1175.91,1534347.0,0.0,1.0,1157.8,1179.87,1150.84,1175.91,1534347.0
2019-08-08,1186.43,1206.28,1174.0,1206.19,1505848.0,0.0,1.0,1186.43,1206.28,1174.0,1206.19,1505848.0
2019-08-09,1199.99,1204.46,1184.89,1188.9,1020945.0,0.0,1.0,1199.99,1204.46,1184.89,1188.9,1020945.0
2019-08-12,1180.0,1185.61,1168.72,1174.5,1103243.0,0.0,1.0,1180.0,1185.61,1168.72,1174.5,1103243.0
2019-08-13,1174.35,1205.43,1172.99,1196.73,1430240.0,0.0,1.0,1174.35,1205.43,1172.99,1196.73,1430240.0
2019-08-14,1176.07,1182.79,1161.07,1164.25,1771501.0,0.0,1.0,1176.07,1182.79,1161.07,1164.25,1771501.0
2019-08-15,1168.43,1176.42,1163.0,1169.32,1430715.0,0.0,1.0,1168.43,1176.42,1163.0,1169.32,1430715.0
2019-08-16,1180.79,1183.84,1173.0,1179.21,1265187.0,0.0,1.0,1180.79,1183.84,1173.0,1179.21,1265187.0
2019-08-19,1191.83,1209.39,1190.4,1200.44,1222854.0,0.0,1.0,1191.83,1209.39,1190.4,1200.44,1222854.0
2019-08-20,1195.35,1198.0,1183.05,1183.53,1010566.0,0.0,1.0,1195.35,1198.0,1183.05,1183.53,1010566.0
2019-08-21,1195.82,1200.56,1187.92,1191.58,708272.0,0.0,1.0,1195.82,1200.56,1187.92,1191.58,708272.0
2019-08-22,1193.8,1198.78,1178.91,1191.52,867915.0,0.0,1.0,1193.8,1198.78,1178.91,1191.52,867915.0
2019-08-23,1185.17,1195.67,1150.0,1153.58,1813141.0,0.0,1.0,1185.17,1195.67,1150.0,1153.58,1813141.0
2019-08-26,1159.45,1171.86,1154.85,1171.18,1058926.0,0.0,1.0,1159.45,1171.86,1154.85,1171.18,1058926.0
2019-08-27,1183.0,1185.0,1164.56,1170.82,1173489.0,0.0,1.0,1183.0,1185.0,1164.56,1170.82,1173489.0
2019-08-28,1164.87,1178.5,1160.25,1173.75,840829.0,0.0,1.0,1164.87,1178.5,1160.25,1173.75,840829.0
2019-08-29,1186.42,1199.19,1185.28,1194.24,982098.0,0.0,1.0,1186.42,1199.19,1185.28,1194.24,982098.0
2019-08-30,1200.35,1200.35,1185.72,1190.53,903375.0,0.0,1.0,1200.35,1200.35,1185.72,1190.53,903375.0
2019-09-03,1181.85,1189.08,1163.71,1169.55,1296116.0,0.0,1.0,1181.85,1189.08,1163.71,1169.55,1296116.0
2019-09-04,1179.45,1184.88,1171.53,1182.27,1065666.0,0.0,1.0,1179.45,1184.88,1171.53,1182.27,1065666.0
2019-09-05,1193.66,1214.0,1192.69,1212.19,1320656.0,0.0,1.0,1193.66,1214.0,1192.69,1212.19,1320656.0
2019-09-06,1209.14,1212.94,1203.26,1206.32,930463.0,0.0,1.0,1209.14,1212.94,1203.26,1206.32,930463.0
2019-09-09,1207.08,1220.55,1193.17,1205.27,1592958.0,0.0,1.0,1207.08,1220.55,1193.17,1205.27,1592958.0
2019-09-10,1196.09,1210.0,1196.01,1205.7,1396077.0,0.0,1.0,1196.09,1210.0,1196.01,1205.7,1396077.0
