Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,23.27,23.46,22.75,23.0,13557362.0,0.0,1.0,22.602147585491622,22.786694557612098,22.097071661793485,22.339896625109898,13557362.0
2019-08-01,22.71,22.76,21.36,21.66,16481251.0,0.0,1.0,22.05821966766286,22.106784660326145,20.746964865754233,21.03835482173393,16481251.0
2019-08-02,21.72,21.84,20.835,21.0,14128599.0,0.0,1.0,21.09663281292987,21.213188795321745,20.237032442789772,20.3972969185786,14128599.0
2019-08-05,20.46,20.535,19.96,20.31,13760496.0,0.0,1.0,19.872794997815152,19.945642486810076,19.387145071182328,19.727100019825304,13760496.0
2019-08-06,20.42,20.6,19.5,19.95,14551144.0,0.0,1.0,19.833943003684528,20.008776977272344,18.94034713868013,19.377432072649672,14551144.0
2019-08-07,19.43,19.8704,19.115,19.65,16653152.0,0.0,1.0,18.872356148951535,19.300116604329727,18.566396695172855,19.086042116669976,16653152.0
2019-08-08,19.74,20.03,19.51,19.93,17491485.0,0.0,1.0,19.173459103463884,19.455136060910924,18.950060137212787,19.35800607558436,17491485.0
2019-08-09,19.93,20.03,19.41,19.52,13613190.0,0.0,1.0,19.35800607558436,19.455136060910924,18.852930151886223,18.959773135745444,13613190.0
2019-08-12,19.42,19.56,19.1,19.41,11778766.0,0.0,1.0,18.86264315041888,18.998625129876068,18.55182719737387,18.852930151886223,11778766.0
2019-08-13,19.35,20.375,19.18,19.48,12413251.0,0.0,1.0,18.794652160690283,19.790234510287572,18.629531185635123,18.92092114161482,12413251.0
2019-08-14,18.97,19.0,18.12,18.33,18244814.0,0.0,1.0,18.425558216449335,18.454697212047307,17.59995334117354,17.80392631035932,18244814.0
2019-08-15,18.14,18.3,17.46,18.25,21154732.0,0.0,1.0,17.61937933823885,17.774787314761355,16.95889543801821,17.72622232209807,21154732.0
2019-08-16,18.35,18.93,18.2,18.87,14359190.0,0.0,1.0,17.82335230742464,18.38670622231871,17.677657329434787,18.328428231122775,14359190.0
2019-08-19,19.33,19.49,19.07,19.33,12987481.0,0.0,1.0,18.775226163624968,18.930634140147472,18.522688201775903,18.775226163624968,12987481.0
2019-08-20,19.11,19.19,18.815,19.06,8284258.0,0.0,1.0,18.561540195906527,18.63924418416778,18.275006739193163,18.512975203243244,8284258.0
2019-08-21,19.3,19.36,18.59,18.6,10964730.0,0.0,1.0,18.746087168027003,18.80436515922294,18.05646427220839,18.06617727074105,10964730.0
2019-08-22,18.85,19.2,18.66,18.67,13271607.0,0.0,1.0,18.30900223405746,18.648957182700435,18.124455261936987,18.134168260469643,13271607.0
2019-08-23,18.3,18.58,17.655,17.72,14091582.0,0.0,1.0,17.774787314761355,18.04675127367573,17.14829890940501,17.211433399867275,14091582.0
2019-08-26,18.01,18.14,17.36,17.5,13000130.0,0.0,1.0,17.49311035731432,17.61937933823885,16.861765452691643,16.997747432148834,13000130.0
2019-08-27,17.7,17.7835,17.21,17.31,10320678.0,0.0,1.0,17.192007402801963,17.273110940549646,16.716070474701798,16.813200460028362,10320678.0
2019-08-28,17.29,18.26,16.97,18.0,14779620.0,0.0,1.0,16.793774462963047,17.73593532063073,16.482958509918042,17.48339735878166,14779620.0
2019-08-29,18.19,18.79,18.18,18.53,13070383.0,0.0,1.0,17.667944330902134,18.25072424286152,17.658231332369475,17.998186281012455,13070383.0
2019-08-30,18.61,19.13,18.5105,18.84,12153203.0,0.0,1.0,18.075890269273703,18.58096619297184,17.979245933873774,18.299289235524803,12153203.0
2019-09-03,18.2,18.83,18.13,18.76,13125562.0,0.18,1.0,17.847272378437893,18.46506257615305,17.778629023136208,18.396419220851367,13125562.0
2019-09-04,19.03,19.16,18.71,18.76,12793967.0,0.0,1.0,18.66118644844358,18.78866696543242,18.347388252778735,18.396419220851367,12793967.0
2019-09-05,18.95,19.53,18.94,19.0,12560806.0,0.0,1.0,18.582736899527365,19.151496129169896,18.572930705912842,18.631767867599997,12560806.0
