Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,33.07,33.6,32.8,32.97,2816138.0,0.0,1.0,33.07,33.6,32.8,32.97,2816138.0
2019-08-01,31.25,32.81,30.45,31.21,4026277.0,0.0,1.0,31.25,32.81,30.45,31.21,4026277.0
2019-08-02,30.96,31.84,30.79,31.05,2714834.0,0.0,1.0,30.96,31.84,30.79,31.05,2714834.0
2019-08-05,30.07,30.43,29.8,30.18,4331694.0,0.0,1.0,30.07,30.43,29.8,30.18,4331694.0
2019-08-06,30.5,31.07,30.33,30.89,1378992.0,0.0,1.0,30.5,31.07,30.33,30.89,1378992.0
2019-08-07,30.36,30.85,29.955,30.69,1517518.0,0.0,1.0,30.36,30.85,29.955,30.69,1517518.0
2019-08-08,31.22,31.58,30.7,30.95,1339290.0,0.0,1.0,31.22,31.58,30.7,30.95,1339290.0
2019-08-09,30.95,31.025,30.23,30.41,942866.0,0.0,1.0,30.95,31.025,30.23,30.41,942866.0
2019-08-12,30.15,30.51,30.01,30.2,1129112.0,0.0,1.0,30.15,30.51,30.01,30.2,1129112.0
2019-08-13,29.98,30.95,29.88,30.57,1509121.0,0.0,1.0,29.98,30.95,29.88,30.57,1509121.0
2019-08-14,29.96,30.19,29.28,29.39,1727171.0,0.0,1.0,29.96,30.19,29.28,29.39,1727171.0
2019-08-15,29.49,29.68,29.22,29.44,1107242.0,0.0,1.0,29.49,29.68,29.22,29.44,1107242.0
2019-08-16,29.56,30.08,29.38,29.98,1195292.0,0.0,1.0,29.56,30.08,29.38,29.98,1195292.0
2019-08-19,30.45,30.64,29.94,30.25,1265821.0,0.0,1.0,30.45,30.64,29.94,30.25,1265821.0
2019-08-20,30.14,30.35,29.51,29.75,686817.0,0.0,1.0,30.14,30.35,29.51,29.75,686817.0
2019-08-21,30.15,30.15,29.38,29.59,867654.0,0.0,1.0,30.15,30.15,29.38,29.59,867654.0
2019-08-22,29.74,29.9,29.43,29.49,449149.0,0.0,1.0,29.74,29.9,29.43,29.49,449149.0
2019-08-23,29.21,29.33,28.09,28.23,1473201.0,0.0,1.0,29.21,29.33,28.09,28.23,1473201.0
2019-08-26,28.51,28.7,27.93,28.22,1084203.0,0.0,1.0,28.51,28.7,27.93,28.22,1084203.0
2019-08-27,28.42,28.58,27.65,27.73,857969.0,0.0,1.0,28.42,28.58,27.65,27.73,857969.0
2019-08-28,27.78,28.38,27.62,28.01,1493103.0,0.0,1.0,27.78,28.38,27.62,28.01,1493103.0
2019-08-29,28.34,28.67,28.2,28.49,721201.0,0.0,1.0,28.34,28.67,28.2,28.49,721201.0
2019-08-30,28.71,28.86,28.44,28.68,830469.0,0.0,1.0,28.71,28.86,28.44,28.68,830469.0
2019-09-03,28.29,28.48,27.44,27.46,1171067.0,0.0,1.0,28.29,28.48,27.44,27.46,1171067.0
2019-09-04,27.63,27.725,26.33,26.77,3811026.0,0.0,1.0,27.63,27.725,26.33,26.77,3811026.0
2019-09-05,27.06,28.58,27.025,28.26,2558321.0,0.0,1.0,27.06,28.58,27.025,28.26,2558321.0
2019-09-06,28.09,28.62,27.56,28.16,1343545.0,0.0,1.0,28.09,28.62,27.56,28.16,1343545.0
2019-09-09,28.42,29.01,28.235,28.77,1693233.0,0.0,1.0,28.42,29.01,28.235,28.77,1693233.0
2019-09-10,28.84,30.425,28.63,30.37,1973408.0,0.0,1.0,28.84,30.425,28.63,30.37,1973408.0
2019-09-11,30.4,30.49,29.74,30.22,1663137.0,0.0,1.0,30.4,30.49,29.74,30.22,1663137.0
2019-09-12,29.99,31.0,29.67,30.74,1434444.0,0.0,1.0,29.99,31.0,29.67,30.74,1434444.0
2019-09-13,30.94,31.48,30.94,31.23,1281803.0,0.0,1.0,30.94,31.48,30.94,31.23,1281803.0
2019-09-16,31.23,32.12,31.1,31.85,2385333.0,0.0,1.0,31.23,32.12,31.1,31.85,2385333.0
2019-09-17,31.56,31.71,30.845,31.06,1184497.0,0.0,1.0,31.56,31.71,30.845,31.06,1184497.0
2019-09-18,30.96,30.97,30.41,30.75,1015977.0,0.0,1.0,30.96,30.97,30.41,30.75,1015977.0
2019-09-19,30.73,30.76,29.99,30.03,1099236.0,0.0,1.0,30.73,30.76,29.99,30.03,1099236.0
2019-09-20,30.05,30.07,29.4361,29.5,1424534.0,0.0,1.0,30.05,30.07,29.4361,29.5,1424534.0
2019-09-23,29.27,29.5,28.88,29.3,1317210.0,0.0,1.0,29.27,29.5,28.88,29.3,1317210.0
2019-09-24,29.29,29.4,28.58,28.93,983628.0,0.0,1.0,29.29,29.4,28.58,28.93,983628.0
2019-09-25,28.79,29.37,28.36,29.31,597702.0,0.0,1.0,28.79,29.37,28.36,29.31,597702.0
2019-09-26,29.16,29.39,28.82,29.18,1192317.0,0.0,1.0,29.16,29.39,28.82,29.18,1192317.0
2019-09-27,29.28,29.54,28.58,28.68,935049.0,0.0,1.0,29.28,29.54,28.58,28.68,935049.0
2019-09-30,28.73,28.73,28.12,28.29,1756284.0,0.0,1.0,28.73,28.73,28.12,28.29,1756284.0
2019-10-01,28.43,28.58,26.72,27.06,1882836.0,0.0,1.0,28.43,28.58,26.72,27.06,1882836.0
2019-10-02,26.76,27.23,26.49,27.12,1861325.0,0.0,1.0,26.76,27.23,26.49,27.12,1861325.0
2019-10-03,26.89,28.03,26.89,27.83,1514630.0,0.0,1.0,26.89,28.03,26.89,27.83,1514630.0
2019-10-04,27.82,28.24,27.62,28.22,972770.0,0.0,1.0,27.82,28.24,27.62,28.22,972770.0
2019-10-07,28.03,28.06,27.57,27.57,1030656.0,0.0,1.0,28.03,28.06,27.57,27.57,1030656.0
2019-10-08,27.19,27.33,26.71,27.01,2736791.0,0.0,1.0,27.19,27.33,26.71,27.01,2736791.0
2019-10-09,27.29,27.46,27.03,27.33,604314.0,0.0,1.0,27.29,27.46,27.03,27.33,604314.0
2019-10-10,27.39,28.21,27.15,28.13,1477394.0,0.0,1.0,27.39,28.21,27.15,28.13,1477394.0
2019-10-11,28.44,29.94,28.425,29.57,2271849.0,0.0,1.0,28.44,29.94,28.425,29.57,2271849.0
2019-10-14,29.27,29.53,28.98,29.07,826020.0,0.0,1.0,29.27,29.53,28.98,29.07,826020.0
2019-10-15,29.08,29.75,28.92,29.39,1417408.0,0.0,1.0,29.08,29.75,28.92,29.39,1417408.0
2019-10-16,29.4,29.86,29.28,29.45,831572.0,0.0,1.0,29.4,29.86,29.28,29.45,831572.0
2019-10-17,29.68,29.9,29.07,29.66,1193189.0,0.0,1.0,29.68,29.9,29.07,29.66,1193189.0
2019-10-18,29.63,31.11,29.52,30.85,2546414.0,0.0,1.0,29.63,31.11,29.52,30.85,2546414.0
2019-10-21,31.0,31.73,30.9,31.11,2456803.0,0.0,1.0,31.0,31.73,30.9,31.11,2456803.0
2019-10-22,31.25,32.44,30.64,31.98,4137229.0,0.0,1.0,31.25,32.44,30.64,31.98,4137229.0
2019-10-23,31.88,32.73,31.165,32.56,3298992.0,0.0,1.0,31.88,32.73,31.165,32.56,3298992.0
2019-10-24,32.56,32.79,31.94,32.26,1526695.0,0.0,1.0,32.56,32.79,31.94,32.26,1526695.0
2019-10-25,32.31,32.94,32.1,32.79,3739218.0,0.0,1.0,32.31,32.94,32.1,32.79,3739218.0
2019-10-28,33.0,33.29,32.32,32.32,2550471.0,0.0,1.0,33.0,33.29,32.32,32.32,2550471.0
2019-10-29,31.89,33.31,30.85,33.02,4255143.0,0.0,1.0,31.89,33.31,30.85,33.02,4255143.0
2019-10-30,32.81,32.95,31.31,32.11,2745906.0,0.0,1.0,32.81,32.95,31.31,32.11,2745906.0
2019-10-31,31.14,31.855,31.09,31.83,1708479.0,0.0,1.0,31.14,31.855,31.09,31.83,1708479.0
2019-11-01,32.12,32.85,31.88,32.85,1331148.0,0.0,1.0,32.12,32.85,31.88,32.85,1331148.0
2019-11-04,33.2,33.665,33.06,33.44,2389511.0,0.0,1.0,33.2,33.665,33.06,33.44,2389511.0
2019-11-05,33.54,33.8,32.6,32.64,1455156.0,0.0,1.0,33.54,33.8,32.6,32.64,1455156.0
2019-11-06,32.48,32.97,32.33,32.73,692305.0,0.0,1.0,32.48,32.97,32.33,32.73,692305.0
2019-11-07,33.07,33.67,33.03,33.24,1027725.0,0.0,1.0,33.07,33.67,33.03,33.24,1027725.0
2019-11-08,33.21,33.755,32.82,33.73,893699.0,0.0,1.0,33.21,33.755,32.82,33.73,893699.0
2019-11-11,33.39,33.88,33.27,33.82,841168.0,0.0,1.0,33.39,33.88,33.27,33.82,841168.0
2019-11-12,33.78,34.01,33.58,33.63,849768.0,0.0,1.0,33.78,34.01,33.58,33.63,849768.0
2019-11-13,33.26,33.48,32.86,33.38,666255.0,0.0,1.0,33.26,33.48,32.86,33.38,666255.0
2019-11-14,33.28,33.39,32.88,33.0,876363.0,0.0,1.0,33.28,33.39,32.88,33.0,876363.0
2019-11-15,33.21,33.77,33.15,33.65,835615.0,0.0,1.0,33.21,33.77,33.15,33.65,835615.0
2019-11-18,33.65,33.79,33.19,33.74,814243.0,0.0,1.0,33.65,33.79,33.19,33.74,814243.0
2019-11-19,33.85,34.21,33.52,33.66,2363523.0,0.0,1.0,33.85,34.21,33.52,33.66,2363523.0
2019-11-20,33.56,34.08,33.34,33.58,766683.0,0.0,1.0,33.56,34.08,33.34,33.58,766683.0
2019-11-21,33.59,33.59,33.06,33.2,976743.0,0.0,1.0,33.59,33.59,33.06,33.2,976743.0
2019-11-22,33.31,33.71,33.15,33.66,613833.0,0.0,1.0,33.31,33.71,33.15,33.66,613833.0
2019-11-25,33.67,34.14,33.39,33.95,1081370.0,0.0,1.0,33.67,34.14,33.39,33.95,1081370.0
2019-11-26,33.92,34.0,33.36,33.94,963420.0,0.0,1.0,33.92,34.0,33.36,33.94,963420.0
2019-11-27,33.96,34.23,33.58,34.12,815615.0,0.0,1.0,33.96,34.23,33.58,34.12,815615.0
2019-11-29,34.08,34.3,33.85,33.87,383683.0,0.0,1.0,34.08,34.3,33.85,33.87,383683.0
2019-12-02,34.01,34.25,33.54,33.54,952036.0,0.0,1.0,34.01,34.25,33.54,33.54,952036.0
2019-12-03,33.09,33.4,32.88,33.27,642311.0,0.0,1.0,33.09,33.4,32.88,33.27,642311.0
2019-12-04,33.44,33.86,33.31,33.38,890248.0,0.0,1.0,33.44,33.86,33.31,33.38,890248.0
2019-12-05,33.51,33.85,33.33,33.52,672811.0,0.0,1.0,33.51,33.85,33.33,33.52,672811.0
2019-12-06,33.78,34.13,33.76,34.09,531836.0,0.0,1.0,33.78,34.13,33.76,34.09,531836.0
2019-12-09,33.98,34.09,33.79,33.85,618147.0,0.0,1.0,33.98,34.09,33.79,33.85,618147.0
2019-12-10,33.05,33.77,33.05,33.44,1121446.0,0.0,1.0,33.05,33.77,33.05,33.44,1121446.0
2019-12-11,33.85,34.42,33.75,34.29,697334.0,0.0,1.0,33.85,34.42,33.75,34.29,697334.0
2019-12-12,34.24,35.07,34.18,35.02,1253214.0,0.0,1.0,34.24,35.07,34.18,35.02,1253214.0
2019-12-13,34.93,35.89,34.93,35.54,2092734.0,0.0,1.0,34.93,35.89,34.93,35.54,2092734.0
2019-12-16,35.83,36.19,35.51,36.18,1340333.0,0.0,1.0,35.83,36.19,35.51,36.18,1340333.0
2019-12-17,36.22,36.37,35.73,36.08,1779493.0,0.0,1.0,36.22,36.37,35.73,36.08,1779493.0
2019-12-18,36.21,36.66,35.83,36.16,1757471.0,0.0,1.0,36.21,36.66,35.83,36.16,1757471.0
2019-12-19,36.49,36.84,36.21,36.49,816012.0,0.0,1.0,36.49,36.84,36.21,36.49,816012.0
2019-12-20,36.55,37.04,36.34,36.64,1967452.0,0.0,1.0,36.55,37.04,36.34,36.64,1967452.0
2019-12-23,36.73,37.05,36.35,36.88,749632.0,0.0,1.0,36.73,37.05,36.35,36.88,749632.0
2019-12-24,37.0,37.24,36.71,36.78,268533.0,0.0,1.0,37.0,37.24,36.71,36.78,268533.0
2019-12-26,36.88,37.16,36.71,36.95,494366.0,0.0,1.0,36.88,37.16,36.71,36.95,494366.0
2019-12-27,37.0,37.13,36.92,36.95,714344.0,0.0,1.0,37.0,37.13,36.92,36.95,714344.0
2019-12-30,36.97,36.99,36.41,36.49,1058397.0,0.0,1.0,36.97,36.99,36.41,36.49,1058397.0
2019-12-31,36.46,36.96,36.26,36.68,1035489.0,0.0,1.0,36.46,36.96,36.26,36.68,1035489.0
2020-01-02,36.88,37.03,36.41,36.88,917086.0,0.0,1.0,36.88,37.03,36.41,36.88,917086.0
