Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,531.02,531.17,515.01,519.51,593279.0,0.0,1.0,531.02,531.17,515.01,519.51,593279.0
2019-08-01,520.49,532.9,516.65,523.95,617053.0,0.0,1.0,520.49,532.9,516.65,523.95,617053.0
2019-08-02,520.29,521.88,509.4157,513.6,734933.0,0.0,1.0,520.29,521.88,509.4157,513.6,734933.0
2019-08-05,501.25,502.99,486.86,491.46,870397.0,0.0,1.0,501.25,502.99,486.86,491.46,870397.0
2019-08-06,494.37,504.48,492.76,503.77,653483.0,0.0,1.0,494.37,504.48,492.76,503.77,653483.0
2019-08-07,499.23,507.335,493.39,505.36,491712.0,0.0,1.0,499.23,507.335,493.39,505.36,491712.0
2019-08-08,509.6,519.64,507.41,519.41,461809.0,0.0,1.0,509.6,519.64,507.41,519.41,461809.0
2019-08-09,516.09,518.64,508.04,515.5,384989.0,0.0,1.0,516.09,518.64,508.04,515.5,384989.0
2019-08-12,513.0,516.76,508.01,509.88,363323.0,0.0,1.0,513.0,516.76,508.01,509.88,363323.0
2019-08-13,507.91,520.97,503.0,518.0,507927.0,0.0,1.0,507.91,520.97,503.0,518.0,507927.0
2019-08-14,510.5,513.2413,500.0,500.46,622465.0,0.0,1.0,510.5,513.2413,500.0,500.46,622465.0
2019-08-15,503.34,507.5,495.085,499.87,497048.0,0.0,1.0,503.34,507.5,495.085,499.87,497048.0
2019-08-16,504.95,505.0,493.41,495.45,970964.0,0.0,1.0,504.95,505.0,493.41,495.45,970964.0
2019-08-19,503.5,503.5,488.685,495.5,1020060.0,0.0,1.0,503.5,503.5,488.685,495.5,1020060.0
2019-08-20,497.64,500.0,492.385,497.83,695179.0,0.0,1.0,497.64,500.0,492.385,497.83,695179.0
2019-08-21,501.5,504.82,500.0,501.28,406053.0,0.0,1.0,501.5,504.82,500.0,501.28,406053.0
2019-08-22,502.0,503.814,495.6,500.27,369288.0,0.0,1.0,502.0,503.814,495.6,500.27,369288.0
2019-08-23,498.98,501.98,482.0,484.58,698418.0,0.0,1.0,498.98,501.98,482.0,484.58,698418.0
2019-08-26,489.86,491.23,482.5953,491.09,480736.0,0.0,1.0,489.86,491.23,482.5953,491.09,480736.0
2019-08-27,495.0,499.89,492.24,495.02,546084.0,0.0,1.0,495.0,499.89,492.24,495.02,546084.0
2019-08-28,492.0,502.91,492.0,501.25,601332.0,0.0,1.0,492.0,502.91,492.0,501.25,601332.0
