Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,155.82,156.81,152.2,154.23,1182345.0,0.0,1.0,152.6886614256283,153.65876651362328,149.1414084776064,151.13061386006066,1182345.0
2019-08-01,153.68,156.59,150.95,151.41,1709703.0,0.0,1.0,150.5916665889524,153.44318760517996,147.91652831599663,148.36728421546903,1709703.0
2019-08-02,151.17,152.93,149.55,151.67,1761267.0,0.0,1.0,148.13210722443995,149.85673849198653,146.5446625349937,148.62205928908384,1761267.0
2019-08-05,149.09,149.36,145.35,146.68,2016230.0,0.0,1.0,146.09390663552128,146.358480750429,142.42906519198482,143.73233768393763,2016230.0
2019-08-06,147.89,149.1099,146.15,148.98,1535969.0,0.0,1.0,144.9180216803759,146.11340672769413,143.2129884954151,145.98611718129962,1535969.0
2019-08-07,146.82,149.56,145.55,149.02,1393404.0,0.0,1.0,143.8695242620379,146.55446157628657,142.6250460178424,146.02531334647114,1393404.0
2019-08-08,150.03,151.44,149.9372,150.85,970359.0,0.0,1.0,147.01501651705183,148.39668133934765,146.9240814138539,147.81853790306783,970359.0
2019-08-09,150.38,150.58,148.06,149.53,966288.0,0.0,1.0,147.35798296230257,147.55396378816016,145.08460538235482,146.52506445240792,966288.0
2019-08-12,148.72,149.29,147.59,147.86,1264381.0,0.0,1.0,145.73134210768478,146.28988746137884,144.62405044158956,144.88862455649726,1264381.0
2019-08-13,147.47,153.41,147.245,151.88,1227589.0,0.0,1.0,144.506461946075,150.32709247404466,144.28598351698525,148.8278391562343,1227589.0
2019-08-14,149.02,150.05,146.58,146.59,1265474.0,0.0,1.0,146.02531334647114,147.0346145996376,143.63434727100886,143.64414631230173,1265474.0
2019-08-15,147.39,147.73,145.23,146.62,942603.0,0.0,1.0,144.42806961573197,144.76123701968984,142.3114766964703,143.67354343618038,942603.0
2019-08-16,147.86,150.6099,147.86,150.22,926262.0,0.0,1.0,144.88862455649726,147.58326292162585,144.88862455649726,147.20119830161653,926262.0
2019-08-19,152.31,153.21,151.7,153.03,1124836.0,0.0,1.0,149.24919793182806,150.1311116481871,148.6514564129625,149.9547289049153,1124836.0
2019-08-20,152.68,153.2857,151.18,152.16,1009139.0,0.0,1.0,149.61176245966456,150.2052903907742,148.14190626573284,149.1022123124349,1009139.0
2019-08-21,153.79,154.71,151.5575,152.13,785360.0,0.0,1.0,150.69945604317402,151.60096784211885,148.51182007453897,149.07281518855626,785360.0
2019-08-22,152.84,153.38,151.0,151.81,691045.0,0.0,1.0,149.7685471203506,150.29769535016604,147.965523522461,148.75924586718415,691045.0
2019-08-23,151.0,151.01,145.33,146.36,1449798.0,0.0,1.0,147.965523522461,147.97532256375388,142.4094671093991,143.41876836256554,1449798.0
2019-08-26,147.9,148.0847,144.49,145.3,1543941.0,0.0,1.0,144.92782072166878,145.10880901434822,141.5863476407973,142.38006998552046,1543941.0
2019-08-27,146.62,146.62,144.63,145.0,1291214.0,0.0,1.0,143.67354343618038,143.67354343618038,141.72353421889758,142.08609874673408,1291214.0
2019-08-28,144.0,145.78,143.12,145.3,1330407.0,0.0,1.0,141.10619461744628,142.8504239675786,140.243878983673,142.38006998552046,1330407.0
2019-08-29,147.29,148.3999,146.2,148.15,1253159.0,0.0,1.0,144.3300792028032,145.41767479589976,143.26198370187947,145.17279675399072,1253159.0
2019-08-30,149.69,150.63,148.78,149.86,1330396.0,0.0,1.0,146.68184911309396,147.60295899462452,145.79013635544206,146.84843281507293,1330396.0
2019-09-03,148.02,148.2265,144.5,145.06,1352347.0,0.0,1.0,145.04540921718333,145.24775941988125,141.5961466820902,142.14489299449136,1352347.0
2019-09-04,146.74,147.186,145.64,146.79,992781.0,0.0,1.0,143.7911319316949,144.2281691733573,142.71323738947828,143.8401271381593,992781.0
2019-09-05,148.74,152.35,148.41,151.48,1258038.0,0.0,1.0,145.75094019027054,149.28839409699958,145.42757182760556,148.43587750451917,1258038.0
2019-09-06,152.35,152.72,150.8,152.49,957621.0,0.0,1.0,149.28839409699958,149.65095862483608,147.76954269660348,149.4255806750999,957621.0
2019-09-09,153.06,153.9,151.99,153.71,1047518.0,0.0,1.0,149.98412602879392,150.8072454973957,148.93562861045598,150.62106371283102,1047518.0
2019-09-10,153.74,157.36,152.95,157.36,1486717.0,0.0,1.0,150.65046083670967,154.19771378473158,149.87633657457226,154.19771378473158,1486717.0
2019-09-11,157.59,159.64,156.1,159.54,1273649.0,0.0,1.0,154.42309173446776,156.43189519950778,152.9630345818289,156.333904786579,1273649.0
2019-09-12,159.82,160.93,158.17,159.85,1822192.0,0.0,1.0,156.6082779427796,157.6959715262891,154.99143612945468,156.63767506665823,1822192.0
2019-09-13,160.9,161.71,158.8105,159.77,1224618.0,0.0,1.0,157.66657440241045,158.46029674713358,155.61906472426355,156.55928273631523,1224618.0
2019-09-16,158.23,158.8,156.45,156.79,1458103.0,0.0,1.0,155.05023037721196,155.60877573090605,153.30600102707965,153.6391684310375,1458103.0
2019-09-17,156.25,157.835,153.9,157.48,919554.0,0.0,1.0,153.11002020122208,154.6631682461433,150.8072454973957,154.3153022802461,919554.0
2019-09-18,156.52,157.66,155.17,157.3,917158.0,0.0,1.0,153.37459431612982,154.4916850235179,152.05172374159122,154.1389195369743,917158.0
2019-09-19,157.34,157.75,155.63,155.87,663867.0,0.0,1.0,154.17811570214582,154.5798763951538,152.50247964106364,152.73765663209272,663867.0
2019-09-20,156.16,157.12,154.65,155.06,2054820.0,0.0,1.0,153.02182882958618,153.9625367937025,151.54217359436157,151.9439342873696,2054820.0
2019-09-23,149.17,155.1,149.0,154.3,1465992.0,0.0,1.0,146.1722989658643,151.98313045254108,146.00571526388538,151.19920714911083,1465992.0
2019-09-24,154.39,154.94,151.07,152.22,1259698.0,0.0,1.0,151.28739852074673,151.82634579185503,148.03411681151115,149.16100656019216,1259698.0
2019-09-25,152.38,155.01,152.32,154.61,895558.0,0.0,1.0,149.3177912208782,151.89493908090517,149.25899697312093,151.50297742919008,895558.0
2019-09-26,154.55,156.37,153.86,155.32,901585.0,0.0,1.0,151.4441831814328,153.22760869673664,150.7680493322242,152.1987093609844,901585.0
2019-09-27,155.21,155.58,153.41,154.94,811292.0,1.07,1.0,153.14124444723154,153.5063128090992,151.36523620030792,152.874843210193,811292.0
2019-09-30,155.64,156.89,155.0,156.49,826225.0,0.0,1.0,153.56551308399662,154.79885214436024,152.93404348509046,154.4041836450439,826225.0
2019-10-01,157.7,158.11,152.25,152.73,1144325.0,0.0,1.0,155.59805585547588,156.00259106727518,150.22069755229046,150.69429975147008,1144325.0
2019-10-02,150.76,151.37,148.3,149.14,1113081.0,0.0,1.0,148.750557392337,149.35242685379447,146.3233461215414,147.15214997010574,1113081.0
2019-10-03,148.74,149.9,146.33,149.83,948227.0,0.0,1.0,146.7574814707894,147.90202011880683,144.3796037624083,147.83295313142648,948227.0
2019-10-04,150.26,151.68,149.53,151.5,681010.0,0.0,1.0,148.25722176819156,149.65829494076465,147.5369517569392,149.48069411607227,681010.0
2019-10-07,151.09,151.95,150.09,150.2,707567.0,0.0,1.0,149.076158904273,149.92469617780318,148.0894876559821,148.19802149329408,707567.0
2019-10-08,148.31,148.64,146.05,146.4,1088042.0,0.0,1.0,146.3332128340243,146.65881434596028,144.10333581288685,144.44867074978868,1088042.0
2019-10-09,147.85,149.03,146.46,148.19,700270.0,0.0,1.0,145.87934405981048,147.04361613279374,144.50787102468612,146.21481228422937,700270.0
