Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,14.5,14.75,14.365,14.6,4729529.0,0.0,1.0,14.5,14.75,14.365,14.6,4729529.0
2019-08-01,14.71,14.77,13.54,13.59,7201092.0,0.0,1.0,14.71,14.77,13.54,13.59,7201092.0
2019-08-02,13.53,13.67,12.69,13.14,7654333.0,0.0,1.0,13.53,13.67,12.69,13.14,7654333.0
2019-08-05,12.52,12.74,12.33,12.63,6447928.0,0.0,1.0,12.52,12.74,12.33,12.63,6447928.0
2019-08-06,12.69,12.925,12.4,12.89,2809802.0,0.0,1.0,12.69,12.925,12.4,12.89,2809802.0
2019-08-07,12.58,13.28,12.58,13.12,3863753.0,0.0,1.0,12.58,13.28,12.58,13.12,3863753.0
2019-08-08,12.99,13.455,12.97,13.43,2813331.0,0.0,1.0,12.99,13.455,12.97,13.43,2813331.0
2019-08-09,11.91,12.14,11.233,11.31,15251026.0,0.0,1.0,11.91,12.14,11.233,11.31,15251026.0
2019-08-12,11.25,11.27,10.84,11.0,6237275.0,0.0,1.0,11.25,11.27,10.84,11.0,6237275.0
2019-08-13,10.89,12.45,10.8148,11.51,13541594.0,0.0,1.0,10.89,12.45,10.8148,11.51,13541594.0
2019-08-14,11.23,11.365,10.935,11.07,4356533.0,0.0,1.0,11.23,11.365,10.935,11.07,4356533.0
2019-08-15,11.18,11.18,10.63,10.74,4149466.0,0.0,1.0,11.18,11.18,10.63,10.74,4149466.0
2019-08-16,10.8,10.93,10.73,10.73,3431035.0,0.0,1.0,10.8,10.93,10.73,10.73,3431035.0
2019-08-19,10.9,10.92,10.6,10.61,2781833.0,0.0,1.0,10.9,10.92,10.6,10.61,2781833.0
2019-08-20,10.51,10.61,10.4,10.49,3263382.0,0.0,1.0,10.51,10.61,10.4,10.49,3263382.0
2019-08-21,10.34,10.65,10.34,10.62,2951474.0,0.0,1.0,10.34,10.65,10.34,10.62,2951474.0
2019-08-22,10.42,10.66,10.13,10.14,4380322.0,0.0,1.0,10.42,10.66,10.13,10.14,4380322.0
2019-08-23,9.72,9.76,9.39,9.44,8863598.0,0.0,1.0,9.72,9.76,9.39,9.44,8863598.0
2019-08-26,9.57,9.66,9.21,9.28,5051103.0,0.0,1.0,9.57,9.66,9.21,9.28,5051103.0
2019-08-27,9.36,9.4,9.16,9.2,5964168.0,0.0,1.0,9.36,9.4,9.16,9.2,5964168.0
2019-08-28,9.16,9.48,9.06,9.2,3515045.0,0.0,1.0,9.16,9.48,9.06,9.2,3515045.0
2019-08-29,9.33,9.64,9.25,9.51,5929112.0,0.0,1.0,9.33,9.64,9.25,9.51,5929112.0
2019-08-30,9.55,9.84,9.48,9.8,4075826.0,0.0,1.0,9.55,9.84,9.48,9.8,4075826.0
2019-09-03,9.72,9.79,9.2,9.35,7685681.0,0.0,1.0,9.72,9.79,9.2,9.35,7685681.0
2019-09-04,9.49,9.91,9.465,9.74,4927628.0,0.0,1.0,9.49,9.91,9.465,9.74,4927628.0
2019-09-05,9.91,10.03,9.485,9.81,5153025.0,0.0,1.0,9.91,10.03,9.485,9.81,5153025.0
2019-09-06,9.85,10.12,9.715,9.93,3996778.0,0.0,1.0,9.85,10.12,9.715,9.93,3996778.0
2019-09-09,10.0,10.135,9.88,10.09,6017122.0,0.0,1.0,10.0,10.135,9.88,10.09,6017122.0
2019-09-10,10.08,10.73,10.065,10.68,5435078.0,0.0,1.0,10.08,10.73,10.065,10.68,5435078.0
2019-09-11,10.71,10.95,10.54,10.92,5738602.0,0.0,1.0,10.71,10.95,10.54,10.92,5738602.0
2019-09-12,10.84,11.665,10.74,11.58,6672443.0,0.0,1.0,10.84,11.665,10.74,11.58,6672443.0
2019-09-13,11.61,11.75,11.3,11.32,3741497.0,0.0,1.0,11.61,11.75,11.3,11.32,3741497.0
2019-09-16,11.2,11.55,11.09,11.39,2537881.0,0.0,1.0,11.2,11.55,11.09,11.39,2537881.0
2019-09-17,11.42,11.62,11.35,11.57,2577319.0,0.0,1.0,11.42,11.62,11.35,11.57,2577319.0
2019-09-18,11.21,11.99,11.02,11.42,5993804.0,0.0,1.0,11.21,11.99,11.02,11.42,5993804.0
2019-09-19,11.48,11.66,11.35,11.51,3035966.0,0.0,1.0,11.48,11.66,11.35,11.51,3035966.0
2019-09-20,11.51,11.61,11.26,11.35,4110929.0,0.0,1.0,11.51,11.61,11.26,11.35,4110929.0
2019-09-23,11.23,11.49,11.19,11.2,2851341.0,0.0,1.0,11.23,11.49,11.19,11.2,2851341.0
2019-09-24,11.2,11.46,10.89,10.99,2354588.0,0.0,1.0,11.2,11.46,10.89,10.99,2354588.0
2019-09-25,11.04,11.265,10.98,10.99,3109142.0,0.0,1.0,11.04,11.265,10.98,10.99,3109142.0
2019-09-26,10.74,11.135,10.65,10.92,2471792.0,0.0,1.0,10.74,11.135,10.65,10.92,2471792.0
2019-09-27,11.05,11.38,11.0404,11.255,3788258.0,0.0,1.0,11.05,11.38,11.0404,11.255,3788258.0
2019-09-30,11.32,11.5,11.265,11.39,2239911.0,0.0,1.0,11.32,11.5,11.265,11.39,2239911.0
2019-10-01,11.47,11.58,11.21,11.33,2351136.0,0.0,1.0,11.47,11.58,11.21,11.33,2351136.0
2019-10-02,11.21,11.21,10.61,10.645,4358375.0,0.0,1.0,11.21,11.21,10.61,10.645,4358375.0
2019-10-03,10.64,10.94,10.37,10.85,2255655.0,0.0,1.0,10.64,10.94,10.37,10.85,2255655.0
2019-10-04,10.79,11.06,10.69,11.025,1586977.0,0.0,1.0,10.79,11.06,10.69,11.025,1586977.0
2019-10-07,11.04,11.245,10.83,11.2,1956835.0,0.0,1.0,11.04,11.245,10.83,11.2,1956835.0
2019-10-08,11.01,11.2,10.65,10.955,2107156.0,0.0,1.0,11.01,11.2,10.65,10.955,2107156.0
2019-10-09,11.04,11.05,10.37,10.65,2490657.0,0.0,1.0,11.04,11.05,10.37,10.65,2490657.0
2019-10-10,10.63,11.16,10.63,11.1,2674552.0,0.0,1.0,10.63,11.16,10.63,11.1,2674552.0
2019-10-11,11.33,11.83,11.2284,11.67,3542139.0,0.0,1.0,11.33,11.83,11.2284,11.67,3542139.0
