Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,30.43,30.48,29.64,30.02,4039083.0,0.0,1.0,29.917261661262383,29.966419173029166,29.140572975347258,29.514170064774788,4039083.0
2019-08-01,30.0,30.445,29.04,29.4,6295033.0,0.0,1.0,29.494507060068077,29.93200891479242,28.550682834145896,28.90461691886671,6295033.0
2019-08-02,28.79,29.3,28.41,28.65,5388150.0,0.0,1.0,28.304895275311996,28.806301895333156,27.93129818588447,28.16725424236501,5388150.0
2019-08-05,27.9,28.105,27.6601,27.94,7889916.0,0.0,1.0,27.429891565863308,27.63143736410711,27.1940338244063,27.469217575276737,7889916.0
2019-08-06,28.19,28.51,27.935,28.23,5053899.0,0.0,1.0,27.715005134110637,28.02961320941803,27.464301824100055,27.75433114352406,5053899.0
2019-08-07,27.71,28.32,27.6,28.27,5318570.0,0.0,1.0,27.243093021149548,27.842814664704264,27.134946495262632,27.793657152937485,5318570.0
2019-08-08,28.5,28.92,28.38,28.9,4786804.0,0.0,1.0,28.019781707064674,28.432704805905626,27.9018036788244,28.41304180119891,4786804.0
2019-08-09,28.68,29.0,28.47,28.85,3289610.0,0.0,1.0,28.19674874942508,28.511356824732474,27.9902872000046,28.363884289432136,3289610.0
2019-08-12,28.45,28.665,28.29,28.43,4973277.0,0.0,1.0,27.97062419529789,28.182001495895047,27.813320157644196,27.95096119059118,4973277.0
2019-08-13,28.46,29.63,28.42,28.86,4575368.0,0.0,1.0,27.980455697651248,29.1307414729939,27.941129688237826,28.37371579178549,4575368.0
2019-08-14,28.33,28.44,27.59,27.74,6626651.0,0.0,1.0,27.852646167057618,27.960792692944537,27.125114992909275,27.272587528209613,6626651.0
2019-08-15,28.02,28.14,27.71,27.93,3942395.0,0.0,1.0,27.54786959410358,27.665847622343854,27.243093021149548,27.45938607292338,3942395.0
2019-08-16,28.17,28.4,28.095,28.31,4222058.0,0.0,1.0,27.695342129403926,27.92146668353111,27.621605861753753,27.832983162350907,4222058.0
2019-08-19,29.15,29.17,28.6768,28.77,5527926.0,0.0,1.0,28.65882936003281,28.678492364739526,28.193602668672007,28.285232270605285,5527926.0
2019-08-20,28.62,28.93,28.4435,28.81,2320105.0,0.0,1.0,28.137759735304947,28.44253630825898,27.96423371876821,28.324558280018707,2320105.0
2019-08-21,29.2,29.25,28.48,28.51,2702473.0,0.0,1.0,28.707986871799594,28.757144383566374,28.00011870235796,28.02961320941803,2702473.0
2019-08-22,28.8,29.02,28.29,28.51,3774148.0,0.0,1.0,28.314726777665353,28.531019829439185,27.813320157644196,28.02961320941803,3774148.0
2019-08-23,28.5,28.64,27.62,27.78,4913351.0,0.0,1.0,28.019781707064674,28.157422740011658,27.154609499969343,27.311913537623038,4913351.0
2019-08-26,28.09,28.18,27.77,28.04,3111338.0,0.0,1.0,27.616690110577075,27.70517363175728,27.30208203526968,27.567532598810295,3111338.0
2019-08-27,28.45,28.51,27.83,27.89,3111980.0,0.0,1.0,27.97062419529789,28.02961320941803,27.361071049389817,27.420060063509954,3111980.0
2019-08-28,27.73,28.27,27.6177,28.14,3048609.0,0.0,1.0,27.26275602585626,27.793657152937485,27.15234825442807,27.665847622343854,3048609.0
2019-08-29,28.43,28.64,28.12,28.15,3841253.0,0.0,1.0,27.95096119059118,28.157422740011658,27.646184617637143,27.67567912469721,3841253.0
2019-08-30,28.34,28.475,28.0,28.06,4770857.0,0.0,1.0,27.862477669410975,27.995202951181284,27.52820658939687,27.587195603517007,4770857.0
2019-09-03,27.7,27.75,26.79,27.09,7849826.0,0.0,1.0,27.23326151879619,27.28241903056297,26.338594804640792,26.63353987524147,7849826.0
2019-09-04,27.48,27.79,27.1,27.48,10889135.0,0.0,1.0,27.01696846702236,27.321745039976392,26.64337137759483,27.01696846702236,10889135.0
2019-09-05,27.77,28.36,27.64,27.98,9052889.0,0.0,1.0,27.30208203526968,27.882140674117686,27.174272504676054,27.50854358469016,9052889.0
2019-09-06,28.03,28.555,28.02,28.3,5756129.0,0.0,1.0,27.55770109645694,28.07385497000813,27.54786959410358,27.823151659997553,5756129.0
2019-09-09,28.46,28.82,28.37,28.4,5991207.0,0.13,1.0,28.108535248379933,28.46408945391109,28.019646696997142,28.04927621412474,5991207.0
2019-09-10,28.29,28.815,28.03,28.8,9660929.0,0.0,1.0,27.94063465132355,28.459151201056493,27.68384550288438,28.444336442492695,9660929.0
2019-09-11,29.12,29.21,28.565,28.75,5378577.0,0.0,1.0,28.760384625187058,28.849273176569845,28.212238558326522,28.394953913946697,5378577.0
2019-09-12,28.93,29.26,28.75,29.17,8420743.0,0.0,1.0,28.57273101671228,28.898655705115843,28.394953913946697,28.809767153733052,8420743.0
2019-09-13,29.32,29.525,29.0301,29.07,4672846.0,0.0,1.0,28.957914739371034,29.160383106409608,28.67159483886136,28.711002096641064,4672846.0
