Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,57.03,57.61,55.505,56.39,5682236.0,0.0,1.0,54.427749304604525,54.98128419144778,52.9723343004046,53.81695218808783,5682236.0
2019-08-01,57.92,58.6,54.84,55.36,8253533.0,0.0,1.0,55.27713904476055,55.92611098105954,52.33767792152398,52.83395057869378,8253533.0
2019-08-02,55.1,55.4,53.34,53.62,5094702.0,0.0,1.0,52.58581425010888,52.87212539847608,50.90612217968798,51.173345918164024,5094702.0
2019-08-05,52.6,52.67,49.94,50.67,8054525.0,0.0,1.0,50.19988801371556,50.26669394833457,47.661262498193054,48.35795295921991,8054525.0
2019-08-06,51.27,51.57,49.14,49.59,7722027.0,0.0,1.0,48.93057525595431,49.21688640432151,46.897766102547195,47.327232825097994,7722027.0
2019-08-07,48.8,48.91,47.4,48.13,9237900.0,0.0,1.0,46.5732801343977,46.678260888799,45.23716144201744,45.93385190304429,9237900.0
2019-08-08,48.32,49.54,48.06,49.52,7974785.0,0.0,1.0,46.11518229701018,47.279514300370124,45.86704596842528,47.26042689047898,7974785.0
2019-08-09,49.44,49.56,48.37,48.39,4353766.0,0.0,1.0,47.18407725091439,47.29860171026127,46.16290082173805,46.1819882316292,4353766.0
2019-08-12,47.76,47.99,46.09,46.41,8736284.0,0.0,1.0,45.580734820058076,45.80024003380626,43.98693609414734,44.29233465240568,8736284.0
2019-08-13,46.23,48.04,45.64,47.15,5262525.0,0.0,1.0,44.120547963385356,45.84795855853413,43.55746937159654,44.998568818378104,5262525.0
2019-08-14,46.55,46.62,44.27,44.63,9399058.0,0.0,1.0,44.4259465216437,44.49275245626272,42.249981794053,42.59355517209364,9399058.0
2019-08-15,44.51,45.55,43.96,45.4,6292788.0,0.0,1.0,42.479030712746756,43.47157602708638,41.954126940740224,43.328420452902776,6292788.0
2019-08-16,45.85,46.38,45.54,46.22,5028414.0,0.0,1.0,43.757887175453575,44.263703537568965,43.46203232214081,44.111004258439785,5028414.0
2019-08-19,47.0,48.1938,46.91,47.81,5336523.0,0.0,1.0,44.85541324419451,45.99474074059705,44.76951989968434,45.628453344785946,5336523.0
2019-08-20,46.99,47.27,46.48,46.72,4452139.0,0.53,1.0,45.354609069552914,45.62486424170603,44.862358577416884,45.094005867833836,4452139.0
2019-08-21,47.38,47.78,46.5,47.23,3815871.0,0.0,1.0,45.731035916480465,46.11711473384206,44.88166251828496,45.586256359969866,3815871.0
2019-08-22,47.23,47.65,46.7,46.89,3311889.0,0.0,1.0,45.586256359969866,45.99163911819954,45.074701926965766,45.25808936521251,3311889.0
2019-08-23,46.45,47.61,45.56,45.76,6216306.0,0.0,1.0,44.833402666114765,45.95303123646338,43.974377297485226,44.167416706166016,6216306.0
2019-08-26,46.12,46.57,45.44,46.04,9283899.0,0.0,1.0,44.51488764179145,44.949226311323244,43.85855365227675,44.43767187831914,9283899.0
2019-08-27,46.46,46.82,45.11,45.33,3926981.0,0.0,1.0,44.84305463654881,45.19052557217424,43.540038627953436,43.75238197750231,3926981.0
2019-08-28,45.31,46.71,44.91,46.33,4258316.0,0.0,1.0,43.73307803663423,45.0843538973998,43.34699921927264,44.717579020906285,4258316.0
2019-08-29,46.76,48.88,46.73,48.56,8793772.0,0.0,1.0,45.13261374957,47.178831481586435,45.10365783826788,46.86996842769716,8793772.0
2019-08-30,48.76,49.99,48.725,49.21,5659573.0,0.0,1.0,47.06300783637795,48.25020019976485,47.02922593985882,47.497346505909746,5659573.0
2019-09-03,48.32,49.83,47.62,49.64,8002107.0,0.0,1.0,46.6383211372802,48.095768672820206,45.96268320689742,47.91238123457345,8002107.0
2019-09-04,50.2,50.82,49.26,50.66,4851979.0,0.0,1.0,48.45289157887969,49.05131374579015,47.545606358079944,48.896882218845505,4851979.0
2019-09-05,51.34,52.935,50.93,52.48,8812480.0,0.0,1.0,49.55321620836022,51.092705492589566,49.15748542056458,50.65354083784075,8812480.0
2019-09-06,52.56,52.94,51.61,52.47,5276518.0,0.0,1.0,50.73075660131307,51.09753147780658,49.81381941007929,50.64388886740671,5276518.0
2019-09-09,52.72,54.0,52.72,53.58,5134377.0,0.0,1.0,50.8851881282577,52.1206403438148,50.8851881282577,51.71525758558512,5134377.0
2019-09-10,53.67,55.07,53.21,54.48,6929018.0,0.0,1.0,51.80212531949149,53.153401180257056,51.358134679525655,52.5839349246487,6929018.0
2019-09-11,55.0,55.3499,53.605,54.11,6528188.0,0.0,1.0,53.085837387218774,53.42355983270583,51.73938751167022,52.226812018589236,6528188.0
2019-09-12,53.22,53.71,52.54,53.19,7027746.0,0.0,1.0,51.36778664995969,51.84073320122764,50.71145266044499,51.33883073865757,7027746.0
2019-09-13,53.37,54.19,52.98,53.29,7370312.0,0.0,1.0,51.51256620647029,52.30402778206155,51.13613935954274,51.43535044299797,7370312.0
2019-09-16,53.64,53.7,51.28,52.41,9626010.0,0.0,1.0,51.77316940818937,51.83108123079361,49.49530438575598,50.58597704480247,9626010.0
