Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,29.28,29.4,28.04,28.46,1458876.0,0.0,1.0,29.28,29.4,28.04,28.46,1458876.0
2019-08-01,29.77,31.26,29.3005,31.19,2669683.0,0.0,1.0,29.77,31.26,29.3005,31.19,2669683.0
2019-08-02,31.0,31.39,30.3503,31.09,2356287.0,0.0,1.0,31.0,31.39,30.3503,31.09,2356287.0
2019-08-05,30.51,30.75,28.6,28.8,2062724.0,0.0,1.0,30.51,30.75,28.6,28.8,2062724.0
2019-08-06,29.02,29.59,27.9705,28.76,1231598.0,0.0,1.0,29.02,29.59,27.9705,28.76,1231598.0
2019-08-07,28.37,29.125,27.85,28.8,2234988.0,0.0,1.0,28.37,29.125,27.85,28.8,2234988.0
2019-08-08,28.95,29.99,28.785,29.57,2371674.0,0.0,1.0,28.95,29.99,28.785,29.57,2371674.0
2019-08-09,17.98,21.04,17.5,20.92,22863854.0,0.0,1.0,17.98,21.04,17.5,20.92,22863854.0
2019-08-12,20.25,20.49,18.32,18.58,8194303.0,0.0,1.0,20.25,20.49,18.32,18.58,8194303.0
2019-08-13,18.49,19.15,18.205,18.85,4683108.0,0.0,1.0,18.49,19.15,18.205,18.85,4683108.0
2019-08-14,18.64,18.88,17.3,18.72,4428898.0,0.0,1.0,18.64,18.88,17.3,18.72,4428898.0
2019-08-15,18.68,18.89,17.9245,18.19,4194888.0,0.0,1.0,18.68,18.89,17.9245,18.19,4194888.0
2019-08-16,18.25,18.375,17.8,18.1,3000549.0,0.0,1.0,18.25,18.375,17.8,18.1,3000549.0
2019-08-19,18.31,18.33,17.56,17.87,3642368.0,0.0,1.0,18.31,18.33,17.56,17.87,3642368.0
2019-08-20,17.84,17.84,17.05,17.11,3644462.0,0.0,1.0,17.84,17.84,17.05,17.11,3644462.0
2019-08-21,17.13,17.37,16.56,17.01,3821854.0,0.0,1.0,17.13,17.37,16.56,17.01,3821854.0
2019-08-22,16.99,17.16,16.81,16.98,3026954.0,0.0,1.0,16.99,17.16,16.81,16.98,3026954.0
2019-08-23,16.92,17.275,16.58,16.99,3737858.0,0.0,1.0,16.92,17.275,16.58,16.99,3737858.0
2019-08-26,17.09,17.7,17.08,17.29,3188876.0,0.0,1.0,17.09,17.7,17.08,17.29,3188876.0
2019-08-27,17.54,18.06,16.82,16.91,3403354.0,0.0,1.0,17.54,18.06,16.82,16.91,3403354.0
2019-08-28,16.8,17.58,16.61,17.46,2103372.0,0.0,1.0,16.8,17.58,16.61,17.46,2103372.0
2019-08-29,17.65,17.77,16.85,17.36,2590716.0,0.0,1.0,17.65,17.77,16.85,17.36,2590716.0
2019-08-30,17.19,17.66,17.19,17.57,1713087.0,0.0,1.0,17.19,17.66,17.19,17.57,1713087.0
2019-09-03,17.38,17.47,16.65,16.91,4514684.0,0.0,1.0,17.38,17.47,16.65,16.91,4514684.0
2019-09-04,17.1,17.23,16.88,16.96,3338198.0,0.0,1.0,17.1,17.23,16.88,16.96,3338198.0
2019-09-05,17.01,17.53,16.925,17.37,2679446.0,0.0,1.0,17.01,17.53,16.925,17.37,2679446.0
2019-09-06,17.45,17.57,16.97,17.01,2126255.0,0.0,1.0,17.45,17.57,16.97,17.01,2126255.0
2019-09-09,17.0,17.89,16.62,17.86,2902835.0,0.0,1.0,17.0,17.89,16.62,17.86,2902835.0
2019-09-10,18.07,20.2,17.9902,19.91,4734245.0,0.0,1.0,18.07,20.2,17.9902,19.91,4734245.0
2019-09-11,19.83,20.54,19.29,20.02,3223560.0,0.0,1.0,19.83,20.54,19.29,20.02,3223560.0
2019-09-12,20.22,20.49,19.51,19.94,2250741.0,0.0,1.0,20.22,20.49,19.51,19.94,2250741.0
2019-09-13,20.02,20.38,19.62,20.11,2284682.0,0.0,1.0,20.02,20.38,19.62,20.11,2284682.0
2019-09-16,20.1,21.34,20.0,21.22,2691648.0,0.0,1.0,20.1,21.34,20.0,21.22,2691648.0
2019-09-17,21.24,21.32,20.26,20.7,3084394.0,0.0,1.0,21.24,21.32,20.26,20.7,3084394.0
2019-09-18,20.51,20.84,19.73,20.1,2040382.0,0.0,1.0,20.51,20.84,19.73,20.1,2040382.0
2019-09-19,20.13,20.4009,19.81,20.22,1763871.0,0.0,1.0,20.13,20.4009,19.81,20.22,1763871.0
2019-09-20,20.25,20.76,20.02,20.15,4841687.0,0.0,1.0,20.25,20.76,20.02,20.15,4841687.0
2019-09-23,20.16,20.17,19.79,19.925,1709141.0,0.0,1.0,20.16,20.17,19.79,19.925,1709141.0
2019-09-24,19.85,20.05,18.53,18.91,2453170.0,0.0,1.0,19.85,20.05,18.53,18.91,2453170.0
2019-09-25,18.85,19.15,18.51,18.8,2041581.0,0.0,1.0,18.85,19.15,18.51,18.8,2041581.0
2019-09-26,18.51,18.65,16.96,17.56,4084407.0,0.0,1.0,18.51,18.65,16.96,17.56,4084407.0
2019-09-27,17.63,18.48,17.52,17.9,6117273.0,0.0,1.0,17.63,18.48,17.52,17.9,6117273.0
2019-09-30,18.06,18.62,17.67,18.215,3204984.0,0.0,1.0,18.06,18.62,17.67,18.215,3204984.0
2019-10-01,18.33,19.13,18.1,18.43,2679096.0,0.0,1.0,18.33,19.13,18.1,18.43,2679096.0
2019-10-02,18.01,18.34,17.205,17.33,42693260.0,0.0,1.0,18.01,18.34,17.205,17.33,42693260.0
2019-10-03,17.23,18.215,16.85,18.2,4004070.0,0.0,1.0,17.23,18.215,16.85,18.2,4004070.0
2019-10-04,18.24,19.08,18.15,18.965,2184148.0,0.0,1.0,18.24,19.08,18.15,18.965,2184148.0
2019-10-07,18.97,19.26,18.5,18.67,2589611.0,0.0,1.0,18.97,19.26,18.5,18.67,2589611.0
2019-10-08,17.01,17.36,16.12,16.18,5498101.0,0.0,1.0,17.01,17.36,16.12,16.18,5498101.0
2019-10-09,16.28,16.765,16.1,16.71,2380329.0,0.0,1.0,16.28,16.765,16.1,16.71,2380329.0
2019-10-10,16.7,16.7,15.8365,16.13,2790465.0,0.0,1.0,16.7,16.7,15.8365,16.13,2790465.0
2019-10-11,16.38,17.32,16.28,17.09,2931331.0,0.0,1.0,16.38,17.32,16.28,17.09,2931331.0
2019-10-14,17.08,17.1,15.7,15.87,2738785.0,0.0,1.0,17.08,17.1,15.7,15.87,2738785.0
2019-10-15,15.83,17.47,15.635,17.295,3214679.0,0.0,1.0,15.83,17.47,15.635,17.295,3214679.0
2019-10-16,17.15,17.69,17.0,17.54,1927573.0,0.0,1.0,17.15,17.69,17.0,17.54,1927573.0
2019-10-17,17.66,17.88,17.42,17.77,1517835.0,0.0,1.0,17.66,17.88,17.42,17.77,1517835.0
2019-10-18,17.67,17.88,16.74,17.27,4899461.0,0.0,1.0,17.67,17.88,16.74,17.27,4899461.0
2019-10-21,17.27,17.99,17.2,17.73,2009040.0,0.0,1.0,17.27,17.99,17.2,17.73,2009040.0
2019-10-22,17.65,17.76,17.155,17.2,1565220.0,0.0,1.0,17.65,17.76,17.155,17.2,1565220.0
2019-10-23,17.1,17.68,16.725,16.77,2392542.0,0.0,1.0,17.1,17.68,16.725,16.77,2392542.0
2019-10-24,16.85,16.989,16.395,16.47,1480333.0,0.0,1.0,16.85,16.989,16.395,16.47,1480333.0
2019-10-25,16.38,16.75,16.26,16.68,2050596.0,0.0,1.0,16.38,16.75,16.26,16.68,2050596.0
2019-10-28,16.82,17.99,16.75,17.7,1701562.0,0.0,1.0,16.82,17.99,16.75,17.7,1701562.0
2019-10-29,17.62,17.87,17.38,17.62,1553697.0,0.0,1.0,17.62,17.87,17.38,17.62,1553697.0
2019-10-30,17.66,17.85,17.32,17.55,1575611.0,0.0,1.0,17.66,17.85,17.32,17.55,1575611.0
2019-10-31,17.37,17.38,16.68,17.125,1840239.0,0.0,1.0,17.37,17.38,16.68,17.125,1840239.0
2019-11-01,17.16,18.39,17.02,18.31,3335527.0,0.0,1.0,17.16,18.39,17.02,18.31,3335527.0
2019-11-04,18.41,18.73,18.27,18.47,2486146.0,0.0,1.0,18.41,18.73,18.27,18.47,2486146.0
2019-11-05,18.49,18.67,18.31,18.54,1957562.0,0.0,1.0,18.49,18.67,18.31,18.54,1957562.0
2019-11-06,18.48,18.57,17.88,18.1,2269582.0,0.0,1.0,18.48,18.57,17.88,18.1,2269582.0
2019-11-07,18.95,19.9,18.51,18.7,4995812.0,0.0,1.0,18.95,19.9,18.51,18.7,4995812.0
2019-11-08,18.63,20.095,18.25,20.04,3964652.0,0.0,1.0,18.63,20.095,18.25,20.04,3964652.0
2019-11-11,22.0,22.48,20.32,20.98,7288738.0,0.0,1.0,22.0,22.48,20.32,20.98,7288738.0
2019-11-12,21.0,21.34,20.28,20.345,3223256.0,0.0,1.0,21.0,21.34,20.28,20.345,3223256.0
2019-11-13,20.1,20.3,19.28,19.94,2374387.0,0.0,1.0,20.1,20.3,19.28,19.94,2374387.0
2019-11-14,19.8,19.98,19.3,19.43,1989993.0,0.0,1.0,19.8,19.98,19.3,19.43,1989993.0
2019-11-15,19.5,19.66,19.25,19.65,1966449.0,0.0,1.0,19.5,19.66,19.25,19.65,1966449.0
2019-11-18,19.65,19.65,17.555,18.01,4462344.0,0.0,1.0,19.65,19.65,17.555,18.01,4462344.0
2019-11-19,18.14,18.46,17.9237,18.31,1716551.0,0.0,1.0,18.14,18.46,17.9237,18.31,1716551.0
2019-11-20,18.32,19.98,18.29,19.93,3250540.0,0.0,1.0,18.32,19.98,18.29,19.93,3250540.0
2019-11-21,19.82,20.475,19.27,20.115,2534857.0,0.0,1.0,19.82,20.475,19.27,20.115,2534857.0
2019-11-22,20.23,21.22,20.15,21.07,2172526.0,0.0,1.0,20.23,21.22,20.15,21.07,2172526.0
2019-11-25,21.28,21.77,21.04,21.185,2481976.0,0.0,1.0,21.28,21.77,21.04,21.185,2481976.0
2019-11-26,21.13,21.39,20.18,20.47,9872383.0,0.0,1.0,21.13,21.39,20.18,20.47,9872383.0
2019-11-27,20.53,21.16,20.4,20.54,2347448.0,0.0,1.0,20.53,21.16,20.4,20.54,2347448.0
2019-11-29,20.41,20.71,20.145,20.29,1183984.0,0.0,1.0,20.41,20.71,20.145,20.29,1183984.0
2019-12-02,20.29,20.45,19.39,19.48,2121290.0,0.0,1.0,20.29,20.45,19.39,19.48,2121290.0
2019-12-03,19.01,19.56,18.68,19.455,2572941.0,0.0,1.0,19.01,19.56,18.68,19.455,2572941.0
2019-12-04,19.64,20.38,19.13,20.295,2452750.0,0.0,1.0,19.64,20.38,19.13,20.295,2452750.0
2019-12-05,20.23,20.4997,19.8,19.86,2113011.0,0.0,1.0,20.23,20.4997,19.8,19.86,2113011.0
2019-12-06,20.07,21.0,19.87,20.45,2285344.0,0.0,1.0,20.07,21.0,19.87,20.45,2285344.0
2019-12-09,21.05,23.28,20.8,23.115,3820933.0,0.0,1.0,21.05,23.28,20.8,23.115,3820933.0
2019-12-10,23.08,23.32,22.1,22.45,2117862.0,0.0,1.0,23.08,23.32,22.1,22.45,2117862.0
2019-12-11,22.59,22.97,21.49,21.6,1893868.0,0.0,1.0,22.59,22.97,21.49,21.6,1893868.0
2019-12-12,21.56,22.19,21.3626,21.79,1589682.0,0.0,1.0,21.56,22.19,21.3626,21.79,1589682.0
2019-12-13,21.89,22.02,21.01,21.27,1649183.0,0.0,1.0,21.89,22.02,21.01,21.27,1649183.0
2019-12-16,21.38,21.6697,20.81,20.92,1595108.0,0.0,1.0,21.38,21.6697,20.81,20.92,1595108.0
2019-12-17,20.85,21.53,20.595,21.47,1783513.0,0.0,1.0,20.85,21.53,20.595,21.47,1783513.0
