Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,99.0,99.11,97.94,98.0,1164201.0,0.0,1.0,96.5998466380636,96.70717980099478,95.56554524981766,95.62409061141649,1164201.0
2019-08-01,97.91,98.36,94.52,94.73,1007911.0,0.0,1.0,95.53627256901825,95.97536278100945,92.22845963868455,92.43336840428046,1007911.0
2019-08-02,94.41,94.63,92.34,93.76,1249475.0,0.0,1.0,92.12112647575337,92.33579280161574,90.10131150059387,91.48688505843276,1249475.0
2019-08-05,91.91,92.33,88.54,89.33,1516136.0,0.0,1.0,89.68173640913561,90.09155394032739,86.39343859933486,87.16428586038607,1516136.0
2019-08-06,90.15,90.18,88.38,90.09,900877.0,0.0,1.0,87.9644058022367,87.99367848303612,86.23731763507132,87.90586044063788,900877.0
2019-08-07,87.93,88.51,86.48,88.0,1242820.0,0.0,1.0,85.79822742308014,86.36416591853545,84.38338118444182,85.86653034494542,1242820.0
2019-08-08,89.19,90.68,88.77,90.57,794356.0,0.0,1.0,87.02768001665548,88.48155649635967,86.61786248546369,88.37422333342847,794356.0
2019-08-09,89.73,90.65,88.39,89.45,775089.0,0.0,1.0,87.55458827104492,88.45228381556026,86.24707519533779,87.28137658358372,775089.0
2019-08-12,88.18,88.48,87.35,87.99,929664.0,0.0,1.0,86.04216642974191,86.33489323773604,85.2322889276248,85.85677278467894,929664.0
2019-08-13,87.89,90.75,87.55,88.87,993577.0,0.0,1.0,85.75919718201423,88.54985941822497,85.42744013295422,86.71543808812841,993577.0
2019-08-14,86.58,87.44,85.79,85.97,1398877.0,0.0,1.0,84.48095678710652,85.32010697002303,83.71010952605532,83.88574561085179,1398877.0
2019-08-15,86.41,86.79,84.9,85.49,1370877.0,0.0,1.0,84.31507826257652,84.68586555270242,82.8416866623394,83.41738271806118,1370877.0
2019-08-16,86.02,87.32,85.52,87.0,773915.0,0.0,1.0,83.93453341218414,85.20301624682538,83.44665539886059,84.89077431829831,773915.0
2019-08-19,88.62,88.89,88.04,88.51,911587.0,0.0,1.0,86.47149908146663,86.73495320866134,85.9055605860113,86.36416591853545,911587.0
2019-08-20,87.92,88.05,86.62,86.72,1154231.0,0.0,1.0,85.78846986281366,85.91531814627777,84.51998702817241,84.61756263083713,1154231.0
2019-08-21,87.1,87.7,86.47,86.73,939320.0,0.0,1.0,84.98834992096302,85.57380353695129,84.37362362417534,84.62732019110359,939320.0
2019-08-22,87.37,88.0,86.73,87.27,981711.0,0.0,1.0,85.25180404815775,85.86653034494542,84.62732019110359,85.15422844549303,981711.0
2019-08-23,86.87,87.955,84.25,84.71,1285390.0,0.0,1.0,84.7639260348342,85.8226213237463,82.20744524501876,82.65629301727643,1285390.0
2019-08-26,85.55,85.79,84.17,84.81,1074541.0,0.0,1.0,83.47592807966001,83.71010952605532,82.129384762887,82.75386861994114,1074541.0
2019-08-27,85.37,85.67,83.95,84.49,860912.0,0.0,1.0,83.30029199486353,83.59301880285766,81.91471843702463,82.44162669141407,860912.0
2019-08-28,83.96,85.46,83.96,85.12,622475.0,0.0,1.0,81.9244759972911,83.38811003726175,81.9244759972911,83.05635298820175,622475.0
2019-08-29,86.06,87.81,85.83,87.27,531928.0,0.0,1.0,83.97356365325004,85.68113669988247,83.74913976712119,85.15422844549303,531928.0
2019-08-30,88.03,88.78,87.69,87.93,711788.0,0.0,1.0,85.89580302574484,86.62762004573017,85.56404597668481,85.79822742308014,711788.0
2019-09-03,87.03,87.36,85.96,86.66,893164.0,0.0,1.0,84.92004699909772,85.24204648789127,83.87598805058532,84.5590172692383,893164.0
2019-09-04,87.47,88.09,87.21,87.96,721348.0,0.0,1.0,85.34937965082246,85.95434838734366,85.0956830838942,85.82750010387953,721348.0
2019-09-05,89.67,91.14,89.12,90.02,773761.0,0.0,1.0,87.49604290944609,88.93040426861734,86.95937709479018,87.83755751877257,773761.0
2019-09-06,89.96,90.2,88.9,89.82,959891.0,0.0,1.0,87.77901215717374,88.01319360356905,86.74471076892782,87.64240631344315,959891.0
2019-09-09,90.45,93.45,90.0,93.15,1164508.0,0.0,1.0,88.25713261023084,91.18440069017215,87.81804239823963,90.89167388217803,1164508.0
2019-09-10,93.57,95.04,92.105,94.47,1768028.0,0.0,1.0,91.3014914133698,92.73585277254107,89.8720088343318,92.1796718373522,1768028.0
2019-09-11,94.54,97.62,93.15,97.37,1116370.0,0.0,1.0,92.2479747592175,95.25330332129059,90.89167388217803,95.00936431462881,1116370.0
2019-09-12,96.31,97.68,94.91,97.56,1094392.0,0.7,1.0,94.64934074565787,95.99571803588269,93.27348074104857,95.87778717834475,1094392.0
2019-09-13,98.4,99.87,97.3073,98.94,1151535.0,0.0,1.0,96.70330318111031,98.14795618595008,95.62944444751275,97.23399204003104,1151535.0
2019-09-16,97.94,98.78,96.8943,98.01,1105429.0,0.0,1.0,96.25123489388154,97.07675089664713,95.22356574615301,96.32002789411202,1105429.0
2019-09-17,97.58,97.58,95.14,96.19,801900.0,0.0,1.0,95.89744232126773,95.89744232126773,93.49951488466296,94.53140988811992,801900.0
2019-09-18,95.59,96.76,95.25,96.35,758238.0,0.0,1.0,93.94175560043024,95.09158146142515,93.6076181707394,94.68865103150384,758238.0
2019-09-19,95.88,97.0206,95.38,95.78,706773.0,0.0,1.0,94.22675517281358,95.3476879737117,93.73537659973883,94.12847945819864,706773.0
2019-09-20,95.77,96.26,94.2,94.27,1797030.0,0.0,1.0,94.11865188673714,94.6002028883504,92.57572316728243,92.64451616751289,1797030.0
2019-09-23,93.98,94.8,93.32,94.62,733598.0,0.0,1.0,92.35951659512955,93.16537745497213,91.71089687867087,92.98848116866523,733598.0
2019-09-24,94.43,95.2,93.64,94.11,942534.0,0.0,1.0,92.80175731089682,93.55848031343193,92.02537916543872,92.48727502412898,942534.0
2019-09-25,94.36,95.58,94.04,95.31,626422.0,0.0,1.0,92.73296431066635,93.93192802896874,92.41848202389852,93.66658359950837,626422.0
