Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,382.11,385.53,375.55,380.76,646661.0,0.0,1.0,382.11,385.53,375.55,380.76,646661.0
2019-08-01,380.86,381.71,372.28,374.8,823843.0,0.0,1.0,380.86,381.71,372.28,374.8,823843.0
2019-08-02,375.04,375.6002,368.0,369.93,678785.0,0.0,1.0,375.04,375.6002,368.0,369.93,678785.0
2019-08-05,366.41,366.99,359.855,363.62,792799.0,0.0,1.0,366.41,366.99,359.855,363.62,792799.0
2019-08-06,366.67,375.18,362.5,373.56,728035.0,0.0,1.0,366.67,375.18,362.5,373.56,728035.0
2019-08-07,369.37,376.57,368.0,375.84,695947.0,0.0,1.0,369.37,376.57,368.0,375.84,695947.0
2019-08-08,377.04,382.3,375.55,381.59,538651.0,0.0,1.0,377.04,382.3,375.55,381.59,538651.0
2019-08-09,382.1,384.74,375.43,378.31,542947.0,0.0,1.0,382.1,384.74,375.43,378.31,542947.0
2019-08-12,376.75,377.99,368.78,370.84,863910.0,0.0,1.0,376.75,377.99,368.78,370.84,863910.0
2019-08-13,367.81,381.27,364.58,373.54,842007.0,0.0,1.0,367.81,381.27,364.58,373.54,842007.0
2019-08-14,368.5,374.365,366.64,369.43,782474.0,0.0,1.0,368.5,374.365,366.64,369.43,782474.0
2019-08-15,371.77,378.9965,369.24,375.43,483700.0,0.0,1.0,371.77,378.9965,369.24,375.43,483700.0
2019-08-16,378.93,382.66,378.38,381.64,506369.0,0.0,1.0,378.93,382.66,378.38,381.64,506369.0
2019-08-19,384.63,387.57,380.8655,385.77,560007.0,0.0,1.0,384.63,387.57,380.8655,385.77,560007.0
2019-08-20,386.66,389.845,382.78,383.24,505704.0,0.0,1.0,386.66,389.845,382.78,383.24,505704.0
2019-08-21,388.02,388.735,382.385,384.0,385223.0,0.0,1.0,388.02,388.735,382.385,384.0,385223.0
2019-08-22,385.36,386.5,380.06,382.18,434190.0,0.0,1.0,385.36,386.5,380.06,382.18,434190.0
2019-08-23,379.36,383.21,375.95,377.34,486319.0,0.0,1.0,379.36,383.21,375.95,377.34,486319.0
2019-08-26,378.43,380.87,375.0201,378.65,445396.0,0.0,1.0,378.43,380.87,375.0201,378.65,445396.0
2019-08-27,380.98,382.29,376.72,376.92,613931.0,0.0,1.0,380.98,382.29,376.72,376.92,613931.0
2019-08-28,375.66,385.4,375.0,383.72,411166.0,0.0,1.0,375.66,385.4,375.0,383.72,411166.0
2019-08-29,388.0,390.01,384.865,385.44,468224.0,0.0,1.0,388.0,390.01,384.865,385.44,468224.0
2019-08-30,387.7,388.04,382.985,383.76,421079.0,0.0,1.0,387.7,388.04,382.985,383.76,421079.0
2019-09-03,380.0,385.63,380.0,383.86,354535.0,0.0,1.0,380.0,385.63,380.0,383.86,354535.0
2019-09-04,387.36,389.13,381.97,388.61,420265.0,0.0,1.0,387.36,389.13,381.97,388.61,420265.0
