Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,18.05,18.47,17.89,18.13,2690283.0,0.0,1.0,18.05,18.47,17.89,18.13,2690283.0
2019-08-01,18.02,18.56,17.95,18.05,2634870.0,0.0,1.0,18.02,18.56,17.95,18.05,2634870.0
2019-08-02,18.2,18.79,18.02,18.6,3289007.0,0.0,1.0,18.2,18.79,18.02,18.6,3289007.0
2019-08-05,18.1,18.6,17.735,17.95,3376777.0,0.0,1.0,18.1,18.6,17.735,17.95,3376777.0
2019-08-06,18.14,18.41,17.95,18.23,3839020.0,0.0,1.0,18.14,18.41,17.95,18.23,3839020.0
2019-08-07,18.12,18.25,17.79,18.16,4913685.0,0.0,1.0,18.12,18.25,17.79,18.16,4913685.0
2019-08-08,18.12,19.18,17.3,18.51,9807361.0,0.0,1.0,18.12,19.18,17.3,18.51,9807361.0
2019-08-09,18.6,18.77,17.95,18.12,5847300.0,0.0,1.0,18.6,18.77,17.95,18.12,5847300.0
2019-08-12,18.0,18.05,16.73,16.75,14202188.0,0.0,1.0,18.0,18.05,16.73,16.75,14202188.0
2019-08-13,16.63,17.48,16.46,16.95,6662679.0,0.0,1.0,16.63,17.48,16.46,16.95,6662679.0
2019-08-14,16.89,17.0,15.75,15.93,5338382.0,0.0,1.0,16.89,17.0,15.75,15.93,5338382.0
2019-08-15,16.13,16.19,14.0,14.39,12635111.0,0.0,1.0,16.13,16.19,14.0,14.39,12635111.0
2019-08-16,14.41,15.07,14.27,14.28,4997162.0,0.0,1.0,14.41,15.07,14.27,14.28,4997162.0
2019-08-19,10.45,11.56,10.05,10.67,47544402.0,0.0,1.0,10.45,11.56,10.05,10.67,47544402.0
2019-08-20,10.79,11.94,9.42,11.66,20851176.0,0.0,1.0,10.79,11.94,9.42,11.66,20851176.0
2019-08-21,11.74,12.85,11.41,12.25,12413201.0,0.0,1.0,11.74,12.85,11.41,12.25,12413201.0
2019-08-22,12.3,12.59,11.65,11.68,7325385.0,0.0,1.0,12.3,12.59,11.65,11.68,7325385.0
2019-08-23,11.51,11.73,10.96,11.04,7666379.0,0.0,1.0,11.51,11.73,10.96,11.04,7666379.0
2019-08-26,11.2,11.93,11.1,11.8,5312022.0,0.0,1.0,11.2,11.93,11.1,11.8,5312022.0
2019-08-27,11.75,11.91,11.2,11.22,4596698.0,0.0,1.0,11.75,11.91,11.2,11.22,4596698.0
2019-08-28,11.23,11.31,10.81,10.82,4387266.0,0.0,1.0,11.23,11.31,10.81,10.82,4387266.0
2019-08-29,10.92,11.055,10.38,10.43,9034258.0,0.0,1.0,10.92,11.055,10.38,10.43,9034258.0
2019-08-30,10.54,10.73,10.39,10.45,5226325.0,0.0,1.0,10.54,10.73,10.39,10.45,5226325.0
2019-09-03,10.37,10.825,10.26,10.57,6418485.0,0.0,1.0,10.37,10.825,10.26,10.57,6418485.0
2019-09-04,10.7,10.74,10.39,10.69,4175769.0,0.0,1.0,10.7,10.74,10.39,10.69,4175769.0
2019-09-05,10.7,10.93,10.54,10.56,5397197.0,0.0,1.0,10.7,10.93,10.54,10.56,5397197.0
2019-09-06,10.51,10.58,9.98,10.19,6296430.0,0.0,1.0,10.51,10.58,9.98,10.19,6296430.0
2019-09-09,9.98,11.285,9.98,11.19,12031525.0,0.0,1.0,9.98,11.285,9.98,11.19,12031525.0
2019-09-10,11.23,11.49,10.57,10.9,9929249.0,0.0,1.0,11.23,11.49,10.57,10.9,9929249.0
2019-09-11,10.9,11.1983,10.57,10.68,6630543.0,0.0,1.0,10.9,11.1983,10.57,10.68,6630543.0
2019-09-12,10.84,10.879,10.1,10.1,6849198.0,0.0,1.0,10.84,10.879,10.1,10.1,6849198.0
2019-09-13,11.01,11.21,10.31,11.18,18960052.0,0.0,1.0,11.01,11.21,10.31,11.18,18960052.0
2019-09-16,11.27,11.39,10.67,11.01,5826656.0,0.0,1.0,11.27,11.39,10.67,11.01,5826656.0
2019-09-17,10.95,11.21,10.605,11.16,6594497.0,0.0,1.0,10.95,11.21,10.605,11.16,6594497.0
2019-09-18,11.18,12.1499,11.01,11.75,9462733.0,0.0,1.0,11.18,12.1499,11.01,11.75,9462733.0
2019-09-19,11.84,12.415,11.57,12.2,9473286.0,0.0,1.0,11.84,12.415,11.57,12.2,9473286.0
2019-09-20,11.0,11.67,10.96,11.61,17644646.0,0.0,1.0,11.0,11.67,10.96,11.61,17644646.0
2019-09-23,11.6,11.97,11.1364,11.54,10059077.0,0.0,1.0,11.6,11.97,11.1364,11.54,10059077.0
2019-09-24,11.65,12.41,10.52,10.93,30085322.0,0.0,1.0,11.65,12.41,10.52,10.93,30085322.0
2019-09-25,10.95,11.1,10.63,10.77,9919911.0,0.0,1.0,10.95,11.1,10.63,10.77,9919911.0
2019-09-26,10.85,11.32,10.62,10.7,10164884.0,0.0,1.0,10.85,11.32,10.62,10.7,10164884.0
2019-09-27,10.6,10.62,10.0,10.12,9651440.0,0.0,1.0,10.6,10.62,10.0,10.12,9651440.0
2019-09-30,10.09,10.145,9.59,10.0,9353163.0,0.0,1.0,10.09,10.145,9.59,10.0,9353163.0
2019-10-01,9.86,10.09,9.6001,9.9,8683610.0,0.0,1.0,9.86,10.09,9.6001,9.9,8683610.0
2019-10-02,9.75,9.75,8.92,8.96,14690916.0,0.0,1.0,9.75,9.75,8.92,8.96,14690916.0
2019-10-03,9.09,9.57,9.01,9.55,9770559.0,0.0,1.0,9.09,9.57,9.01,9.55,9770559.0
2019-10-04,9.69,10.97,9.63,10.87,16343611.0,0.0,1.0,9.69,10.97,9.63,10.87,16343611.0
2019-10-07,11.0,12.29,10.9,11.5,15775519.0,0.0,1.0,11.0,12.29,10.9,11.5,15775519.0
2019-10-08,11.41,11.58,10.83,10.9,10732438.0,0.0,1.0,11.41,11.58,10.83,10.9,10732438.0
2019-10-09,10.9,11.205,10.67,10.98,5211741.0,0.0,1.0,10.9,11.205,10.67,10.98,5211741.0
2019-10-10,7.78,8.43,7.51,7.79,44641003.0,0.0,1.0,7.78,8.43,7.51,7.79,44641003.0
2019-10-11,8.07,8.8,7.8,8.02,39535420.0,0.0,1.0,8.07,8.8,7.8,8.02,39535420.0
2019-10-14,8.11,8.11,7.4,7.67,12776380.0,0.0,1.0,8.11,8.11,7.4,7.67,12776380.0
2019-10-15,7.6,7.93,7.56,7.71,6978426.0,0.0,1.0,7.6,7.93,7.56,7.71,6978426.0
2019-10-16,7.77,7.98,7.65,7.88,5300186.0,0.0,1.0,7.77,7.98,7.65,7.88,5300186.0
2019-10-17,7.93,8.38,7.81,7.83,7896916.0,0.0,1.0,7.93,8.38,7.81,7.83,7896916.0
2019-10-18,7.91,8.06,7.65,7.76,14025316.0,0.0,1.0,7.91,8.06,7.65,7.76,14025316.0
2019-10-21,7.76,8.11,7.65,8.04,6291265.0,0.0,1.0,7.76,8.11,7.65,8.04,6291265.0
