Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,119.66,120.68,117.07,118.04,12641806.0,0.0,1.0,117.41667404842225,118.4175515975564,114.87523007562086,115.82704499979745,12641806.0
2019-08-01,118.56,119.17,116.725,116.73,11307087.0,0.0,1.0,116.33729629935603,116.9358603238382,114.53669796341373,114.5416042259095,11307087.0
2019-08-02,116.51,117.08,115.69,116.44,12266112.0,0.0,1.0,114.32572867609625,114.88504260061238,113.52110162679233,114.25704100115566,12266112.0
2019-08-05,116.09,116.3,112.83,113.08,12974008.0,0.0,1.0,113.91360262645277,114.1196656512745,110.71471947922014,110.96003260400792,12974008.0
2019-08-06,113.65,115.0,113.18,114.28,9486730.0,0.0,1.0,111.51934652852407,112.84403740237806,111.05815785392303,112.13753560298926,9486730.0
2019-08-07,113.75,116.2387,112.68,115.52,9505957.0,0.0,1.0,111.61747177843917,114.05951487307654,110.56753160434748,113.35428870193664,9505957.0
2019-08-08,115.52,117.49,115.34,117.44,7416622.0,0.0,1.0,113.35428870193664,115.28735612526432,113.17766325208945,115.23829350030678,7416622.0
2019-08-09,117.62,118.04,115.85,116.78,6939535.0,0.0,1.0,115.41491895015398,115.82704499979745,113.6781020266565,114.59066685086704,6939535.0
2019-08-12,116.78,117.67,115.59,116.01,4368093.0,0.0,1.0,114.59066685086704,115.46398157511153,113.42297637687722,113.83510242652069,4368093.0
2019-08-13,116.51,118.065,116.34,117.25,6757659.0,0.0,1.0,114.32572867609625,115.85157631227622,114.15891575124056,115.05185552546807,6757659.0
2019-08-14,116.46,117.94,115.66,115.79,10148216.0,0.0,1.0,114.27666605113868,115.72891974988234,113.49166405181779,113.61922687670744,10148216.0
2019-08-15,116.8,118.09,116.44,117.39,7758035.0,0.0,1.0,114.61029190085006,115.87610762475501,114.25704100115566,115.18923087534922,7758035.0
2019-08-16,118.06,119.54,117.6,119.18,8302368.0,0.0,1.0,115.84667004978047,117.29892374852412,115.39529390017096,116.94567284882972,8302368.0
2019-08-19,119.97,120.45,119.11,120.24,5867114.0,0.0,1.0,117.7208623231591,118.19186352275163,116.87698517388914,117.98580049792989,5867114.0
2019-08-20,120.05,120.26,118.79,118.9,6744289.0,0.0,1.0,117.79936252309118,118.00542554791292,116.56298437416079,116.67092214906741,6744289.0
2019-08-21,119.27,119.6502,118.68,119.2,4037385.0,0.0,1.0,117.03398557375331,117.40705777393056,116.45504659925416,116.96529789881274,4037385.0
2019-08-22,119.08,119.79,118.7,119.42,4558432.0,0.0,1.0,116.8475475989146,117.5442368733119,116.47467164923718,117.18117344862598,4558432.0
2019-08-23,119.14,120.1126,116.43,117.32,7336847.0,0.0,1.0,116.90642274886368,117.86078892953805,114.24722847616415,115.12054320040863,7336847.0
2019-08-26,117.75,119.6,117.215,119.32,5661491.0,0.0,1.0,115.54248177504363,117.35779889847318,115.01751168799778,117.08304819871087,5661491.0
2019-08-27,119.99,121.05,119.78,120.55,6996550.0,0.0,1.0,117.74048737314212,118.7806150222423,117.53442434832039,118.28998877266673,6996550.0
2019-08-28,120.46,121.43,119.63,121.4,4606400.0,0.0,1.0,118.20167604774313,119.15349097191972,117.38723647344771,119.12405339694519,4606400.0
2019-08-29,121.79,122.0,120.32,121.18,5011477.0,0.0,1.0,119.50674187161412,119.71280489643586,118.06430069786198,118.90817784713195,5011477.0
2019-08-30,121.96,122.0,119.51,120.23,6007112.0,0.0,1.0,119.6735547964698,119.71280489643586,117.26948617354958,117.97598797293838,6007112.0
2019-09-03,119.79,121.54,119.6335,121.36,4959292.0,0.0,1.0,117.5442368733119,119.26142874682635,117.39067085719475,119.08480329697915,4959292.0
2019-09-04,121.85,123.28,121.46,123.21,5586613.0,0.0,1.0,119.56561702156318,120.96880809534929,119.18292854689425,120.9001204204087,5586613.0
2019-09-05,123.24,123.43,122.18,122.76,7491855.0,0.0,1.0,120.92955799538323,121.11599597022196,119.88943034628306,120.45855679579071,7491855.0
2019-09-06,123.0,123.38,122.54,122.87,5306901.0,0.0,1.0,120.69405739558697,121.06693334526439,120.24268124597747,120.56649457069733,5306901.0
2019-09-09,122.71,122.78,121.78,122.17,7643404.0,0.0,1.0,120.40949417083314,120.47818184577372,119.49692934662261,119.87961782129155,7643404.0
2019-09-10,121.03,121.1844,119.582,119.88,9581646.0,0.0,1.0,118.76098997225928,118.9124953581282,117.34013635348846,117.63254959823549,9581646.0
2019-09-11,119.86,121.34,119.36,121.27,7563792.0,0.0,1.0,117.61292454825247,119.06517824699613,117.12229829867691,118.99649057205554,7563792.0
2019-09-12,122.65,123.21,121.62,122.77,6194307.0,0.0,1.0,120.35061902088408,120.9001204204087,119.33992894675843,120.4683693207822,6194307.0
