Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,32.22,32.32,31.05,31.51,4270586.0,0.0,1.0,31.897517756232414,31.99651688024307,30.739228005307776,31.19462397575678,4270586.0
2019-08-01,31.47,32.295,31.14,31.85,4082210.0,0.0,1.0,31.155024326152517,31.97176709924041,30.828327216917362,31.531220997393003,4082210.0
2019-08-02,31.78,31.915,31.295,31.34,3011792.0,0.0,1.0,31.461921610585545,31.595570427999924,30.981775859133876,31.02632546493867,3011792.0
2019-08-05,31.21,31.51,30.77,31.11,3327400.0,0.0,1.0,30.89762660372482,31.19462397575678,30.462030458077948,30.798627479714167,3327400.0
2019-08-06,31.0,31.395,30.7616,30.93,3735634.0,0.0,1.0,30.68972844330245,31.08077498314453,30.453714531661053,30.62042905649499,3735634.0
2019-08-07,30.81,31.925,30.65,31.84,4376295.0,0.0,1.0,30.501630107682207,31.60547034040099,30.343231509265163,31.521321084991936,4376295.0
2019-08-08,31.95,32.575,31.93,32.51,3229419.0,0.0,1.0,31.630220121403653,32.248964646470235,31.61042029660152,32.18461521586331,3229419.0
2019-08-09,32.31,32.39,31.96,32.07,2177557.0,0.0,1.0,31.986616967842007,32.06581626705053,31.64012003380472,31.749019070216438,2177557.0
2019-08-12,31.85,31.96,31.35,31.46,1674829.0,0.0,1.0,31.531220997393003,31.64012003380472,31.036225377339736,31.145124413751454,1674829.0
2019-08-13,32.12,32.43,31.7,32.25,2031099.0,0.0,1.0,31.79851863222176,32.105415916654785,31.38272231137702,31.927217493435613,2031099.0
2019-08-14,31.9,32.11,31.33,31.66,2248353.0,0.0,1.0,31.580720559398326,31.788618719820697,31.0164255525376,31.34312266177276,2248353.0
2019-08-15,31.76,31.8836,31.3,31.4,2024683.0,0.0,1.0,31.442121785783414,31.564484703060582,30.98672581533441,31.08572493934506,2024683.0
2019-08-16,31.55,32.23,31.43,32.07,2466566.0,0.0,1.0,31.234223625361043,31.907417668633478,31.11542467654826,31.749019070216438,2466566.0
2019-08-19,32.47,32.75,32.28,32.51,1925390.0,0.0,1.0,32.14501556625905,32.42221311348888,31.95691723063881,32.18461521586331,1925390.0
2019-08-20,32.57,32.83,32.32,32.65,2115555.0,0.0,1.0,32.2440146902697,32.5014124126974,31.99651688024307,32.323213989478226,2115555.0
2019-08-21,32.81,32.99,32.41,32.89,2532829.0,0.0,1.0,32.48161258789527,32.65981101111445,32.08561609185266,32.560811887103796,2532829.0
2019-08-22,32.88,33.2,32.63,33.16,2848157.0,0.0,1.0,32.55091197470273,32.867709171536816,32.3034141646761,32.828109521932554,2848157.0
2019-08-23,33.25,33.73,32.63,32.7,3899357.0,0.0,1.0,32.91720873354214,33.39240452879327,32.3034141646761,32.37271355148356,3899357.0
2019-08-26,32.8,33.22,32.72,33.19,3255390.0,0.0,1.0,32.4717126754942,32.887508996338944,32.39251337628568,32.85780925913575,3255390.0
2019-08-27,33.46,33.505,33.21,33.39,3605639.0,0.0,1.0,33.125106893964514,33.16965649976931,32.877609083937884,33.055807507157056,3605639.0
2019-08-28,33.26,33.44,32.8135,33.42,1933655.0,0.0,1.0,32.92710864594321,33.10530706916238,32.48507755723564,33.08550724436026,1933655.0
2019-08-29,33.45,33.745,33.35,33.68,3418543.0,0.0,1.0,33.11520698156345,33.40725439739487,33.0162078575528,33.34290496678795,3418543.0
2019-08-30,33.77,33.93,33.48,33.8,2182890.0,0.0,1.0,33.43200417839754,33.590402776814585,33.14490671876664,33.46170391560073,2182890.0
2019-09-03,33.55,34.08,33.49,33.99,3613092.0,0.0,1.0,33.2142061055741,33.73890146283056,33.15480663116771,33.649802251220976,3613092.0
2019-09-04,34.16,34.58,33.97,34.46,2494416.0,0.0,1.0,33.81810076203908,34.23389708288383,33.63000242641884,34.11509813407105,2494416.0
2019-09-05,34.56,34.65,33.93,34.25,2448436.0,0.0,1.0,34.2140972580817,34.30319646969129,33.590402776814585,33.90719997364867,2448436.0
2019-09-06,34.4,34.795,34.4,34.57,2473869.0,0.0,1.0,34.05569865966465,34.446745199506736,34.05569865966465,34.22399717048276,2473869.0
2019-09-09,34.59,34.975,34.48,34.76,3289011.0,0.0,1.0,34.243796995284896,34.62494362272591,34.134897958873175,34.412095506103,3289011.0
2019-09-10,34.73,34.73,34.15,34.26,3768212.0,0.0,1.0,34.382395768899805,34.382395768899805,33.80820084963802,33.91709988604973,3768212.0
2019-09-11,34.68,34.8,34.395,34.77,2897821.0,0.0,1.0,34.33289620689448,34.45169515570726,34.05074870346412,34.421995418504075,2897821.0
2019-09-12,35.0,35.29,34.81,35.07,2820850.0,0.0,1.0,34.64969340372857,34.93679086335946,34.46159506810833,34.71899279053603,2820850.0
2019-09-13,35.19,35.55,34.98,35.25,5271110.0,0.0,1.0,34.83779173934881,35.19418858578716,34.629893578926435,34.89719121375521,5271110.0
2019-09-16,35.21,35.45,34.91,35.2,3760543.0,0.0,1.0,34.857591564150944,35.09518946177651,34.56059419211898,34.847691651749884,3760543.0
2019-09-17,35.1,35.62,35.1,35.41,3399249.0,0.11,1.0,34.85663819783387,35.37303283780177,34.85663819783387,35.164488848583964,3399249.0
2019-09-18,35.31,35.47,34.5,34.91,5393463.0,0.0,1.0,35.065182187051676,35.224072845503336,34.26079822864013,34.66795554092251,5393463.0
2019-09-19,35.0,35.62,35.0,35.46,3756691.0,0.0,1.0,34.75733153630158,35.37303283780177,34.75733153630158,35.21414217935011,3756691.0
2019-09-20,35.67,35.75,35.3,35.68,3793281.0,0.0,1.0,35.42268616856792,35.502131497793755,35.055251520898445,35.43261683472115,3793281.0
2019-09-23,35.6,35.84,35.56,35.66,1832526.0,0.0,1.0,35.35317150549532,35.59150749317282,35.3134488408824,35.41275550241469,1832526.0
