Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,115.94,117.02,114.81,116.34,2462278.0,0.0,1.0,113.09665825070344,114.1501720588004,111.99437065519461,113.48684854999861,2462278.0
2019-08-01,116.02,117.97,113.8637,114.05,2533295.0,0.0,1.0,113.17469631056248,115.0768740196264,111.07127795463707,111.2530090865338,2533295.0
2019-08-02,113.5,113.5,109.82,110.73,2006638.0,0.0,1.0,110.71649742500294,110.71649742500294,107.12674667148742,108.01442960238393,2006638.0
2019-08-05,108.77,109.5,106.75,107.69,1894249.0,0.0,1.0,106.10249713583762,106.8145944320513,104.13203612439705,105.04898332774067,1894249.0
2019-08-06,108.29,109.12,106.48,107.06,2026640.0,0.0,1.0,105.63426877668343,106.44391364772089,103.8686576723728,104.4344336063508,2026640.0
2019-08-07,106.68,108.3,105.76,107.37,1355797.0,0.0,1.0,104.06375282202039,105.6440235341658,103.16631513364152,104.73683108830456,1355797.0
2019-08-08,107.86,110.46,107.48,109.74,2011781.0,0.0,1.0,105.21481420494112,107.75105115035969,104.84413342061072,107.04870861162838,2011781.0
2019-08-09,109.75,110.11,108.34,109.25,904875.0,0.0,1.0,107.05846336911077,107.40963463847642,105.68304256409532,106.57072549499182,904875.0
2019-08-12,108.65,108.95,106.69,107.28,1185859.0,0.0,1.0,105.98544004604908,106.27808277052044,104.07350757950276,104.64903827096313,1185859.0
2019-08-13,105.26,109.24,104.3,109.03,2335901.0,0.0,1.0,102.67857725952256,106.56097073750944,101.74212054121415,106.35612083037948,2335901.0
2019-08-14,106.94,107.43,102.87,104.19,1910841.0,0.0,1.0,104.31737651656225,104.79535963319883,100.34719022123394,101.63481820890799,1910841.0
2019-08-15,104.79,105.315,103.55,103.87,1222928.0,0.0,1.0,102.22010365785074,102.73222842567563,101.01051373003573,101.32266596947186,1222928.0
2019-08-16,104.57,105.78,103.91,105.18,1002984.0,0.0,1.0,102.00549899323839,103.18582464860627,101.36168499940136,102.60053919966353,1002984.0
2019-08-19,106.54,108.42,106.54,107.76,1350248.0,0.0,1.0,103.92718621726709,105.76108062395436,103.92718621726709,105.11726663011734,1350248.0
2019-08-20,107.61,108.43,107.0,107.63,949020.0,0.0,1.0,104.97094526788165,105.77083538143674,104.37590506145652,104.9904547828464,949020.0
2019-08-21,108.65,108.69,107.12,107.67,778544.0,0.0,1.0,105.98544004604908,106.02445907597858,104.49296215124507,105.02947381277592,778544.0
2019-08-22,107.84,108.11,106.14,107.03,944669.0,0.0,1.0,105.19530468997637,105.4586831420006,103.53699591797192,104.40516933390366,944669.0
2019-08-23,106.69,107.04,102.14,102.53,2184090.0,0.0,1.0,104.07350757950276,104.41492409138604,99.63509292502027,100.01552846683306,2184090.0
2019-08-26,103.27,103.7,102.09,102.49,1665617.0,0.0,1.0,100.7373805205291,101.15683509227141,99.58631913760837,99.97650943690353,1665617.0
2019-08-27,103.49,103.56,101.625,101.77,1174623.0,0.0,1.0,100.95198518514144,101.02026848751811,99.13272291467774,99.27416689817224,1174623.0
2019-08-28,101.27,103.37,100.6905,103.18,1369427.0,0.0,1.0,98.78642902405328,100.83492809535291,98.22114082794941,100.6495877031877,1369427.0
2019-08-29,103.81,104.94,103.18,103.38,1191078.0,0.0,1.0,101.26413742457758,102.36642502008642,100.6495877031877,100.84468285283528,1191078.0
2019-08-30,104.22,105.5,103.95,104.28,1208961.0,0.0,1.0,101.66408248135512,102.91269143909965,101.4007040293309,101.7226110262494,1208961.0
2019-09-03,103.0,103.0,100.64,102.85,1831339.0,0.0,1.0,100.47400206850487,100.47400206850487,98.1718793026634,100.32768070626918,1831339.0
2019-09-04,103.78,105.69,103.61,104.74,1234935.0,0.0,1.0,101.23487315213045,103.09803183126485,101.06904227493,102.17132987043884,1234935.0
2019-09-05,105.4,107.42,105.38,106.94,1304199.0,0.0,1.0,102.81514386427587,104.78560487571644,102.7956343493111,104.31737651656225,1304199.0
2019-09-06,107.53,108.88,106.96,108.41,1728649.0,0.0,1.0,104.8929072080226,106.20979946814379,104.336886031527,105.75132586647197,1728649.0
2019-09-09,109.07,110.7,108.49,110.61,1401949.0,0.0,1.0,106.39513986030899,107.98516532993679,105.829363926331,107.89737251259538,1401949.0
2019-09-10,110.86,113.9199,110.55,113.75,1743863.0,0.0,1.0,108.14124144965486,111.12609969168804,107.8388439677011,110.96036636206242,1743863.0
2019-09-11,113.93,115.15,112.36,113.83,1386338.0,0.0,1.0,111.13595199674525,112.3260324095955,109.60445507201172,111.03840442192146,1386338.0
2019-09-12,114.09,114.75,111.85,113.27,1012780.0,0.0,1.0,111.29202811646331,111.93584211030033,109.10696244041038,110.49213800290822,1012780.0
2019-09-13,114.0,115.63,113.46,114.83,1085124.0,0.0,1.0,111.2042352991219,112.7942607687497,110.67747839507342,112.01388017015937,1085124.0
2019-09-16,112.09,114.19,111.55,113.93,1203350.0,0.0,1.0,109.34107661998749,111.38957569128709,108.814319715939,111.13595199674525,1203350.0
2019-09-17,113.67,114.79,113.09,114.09,725566.0,0.0,1.0,110.88232830220339,111.97486114022985,110.3165523682254,111.29202811646331,725566.0
2019-09-18,113.26,114.18,110.975,112.99,1798623.0,0.0,1.0,110.48238324542585,111.37982093380472,108.25342116070222,110.21900479340161,1798623.0
2019-09-19,112.78,114.17,112.33,112.46,1243720.0,0.78,1.0,110.77719099521076,112.14250661396713,110.33518234165653,110.46287373046108,1243720.0
2019-09-20,112.76,113.28,110.86,111.68,1444921.0,0.0,1.0,110.7575461661639,111.26831172138212,108.89128740671275,109.69672539763378,1444921.0
2019-09-23,110.96,110.96,108.76,109.55,1662318.0,0.0,1.0,108.98951155194702,108.98951155194702,106.82858035679307,107.60455110414381,1662318.0
2019-09-24,110.34,111.63,108.02,108.64,1470749.0,0.0,1.0,108.38052185149455,109.64761332501664,106.10172168205946,106.71071138251195,1470749.0
2019-09-25,108.68,109.8,107.62,109.66,1123186.0,0.0,1.0,106.75000104060565,107.85011146722948,105.70882510112239,107.7125976639015,1123186.0
2019-09-26,106.28,107.9462,105.15,106.93,2562572.0,0.0,1.0,104.39262155498315,106.02923226287658,103.2826887138359,105.03107849900591,2562572.0
2019-09-27,107.31,108.11,105.83,107.03,1768489.0,0.0,1.0,105.40433025089614,106.1901234127703,103.95061290142893,105.12930264424018,1768489.0
2019-09-30,108.0,109.27,107.62,108.33,1303698.0,0.0,1.0,106.08207685301261,107.32952349748784,105.70882510112239,106.4062165322857,1303698.0
2019-10-01,108.21,109.34,104.185,104.65,1601088.0,0.0,1.0,106.28834755800457,107.39828039915184,102.33482571232517,102.79156798766454,1601088.0
2019-10-02,103.7,104.0,102.18,103.01,1636439.0,0.0,1.0,101.85843860793896,102.15311104364177,100.36543160037805,101.1806920058225,1636439.0
2019-10-03,103.09,104.48,101.68,104.18,1261097.0,0.0,1.0,101.25927132200991,102.62458694076628,99.87431087420669,102.32991450506347,1261097.0
2019-10-04,104.54,105.29,102.76,103.31,1658316.0,0.0,1.0,102.68352142790684,103.42020251716387,100.93513164273682,101.4753644415253,1658316.0
2019-10-07,102.81,103.75,101.69,102.6,1760522.0,0.0,1.0,100.98424371535394,101.90755068055608,99.88413328873011,100.77797301036198,1760522.0
2019-10-08,101.29,102.8,100.47,101.03,1330307.0,0.0,1.0,99.49123670779304,100.97442130083051,98.685798716872,99.23585393018392,1330307.0
2019-10-09,101.81,102.36,101.28,101.88,944915.0,0.0,1.0,100.00200226301124,100.54223506179973,99.4814142932696,100.07075916467522,944915.0
2019-10-10,102.31,103.8,101.82,103.61,1216952.0,0.0,1.0,100.4931229891826,101.95666275317322,100.01182467753466,101.77003687722811,1216952.0
2019-10-11,105.0,108.475,105.0,107.57,1970653.0,0.0,1.0,103.13535249598448,106.54864154287539,103.13535249598448,105.65971302850524,1970653.0
2019-10-14,107.0,108.59,106.89,107.96,1185314.0,0.0,1.0,105.0998354006699,106.66159930989481,104.99178884091219,106.04278719491889,1185314.0
2019-10-15,108.16,110.56,107.92,109.48,1440573.0,0.0,1.0,106.23923548538744,108.59661497100994,106.0034975368252,107.53579420247982,1440573.0
2019-10-16,109.55,109.86,107.14,108.32,1038153.0,0.0,1.0,107.60455110414381,107.90904595437004,105.23734920399788,106.39639411776227,1038153.0
2019-10-17,109.01,109.64,108.24,109.15,564456.0,0.0,1.0,107.07414071987874,107.69295283485465,106.31781480157485,107.21165452320673,564456.0
2019-10-18,109.49,111.65,109.22,111.18,1744417.0,0.0,1.0,107.54561661700323,109.6672581540635,107.2804114248707,109.20560467146242,1744417.0
2019-10-21,112.0,112.95,100.0,112.07,2162917.0,0.0,1.0,110.01104266238345,110.94417204210902,98.22414523427094,110.07979956404742,2162917.0
2019-10-22,111.75,112.03,108.26,108.41,1462954.0,0.0,1.0,109.76548229929777,110.04050990595373,106.33745963062172,106.48479584847311,1462954.0
2019-10-23,108.27,109.91,107.58,109.68,1077711.0,0.0,1.0,106.34728204514514,107.95815802698718,105.66953544302866,107.73224249294836,1077711.0
2019-10-24,110.19,110.62,108.54,109.12,872610.0,0.0,1.0,108.23318563364313,108.6555494581505,106.61248723727768,107.18218727963645,872610.0
2019-10-25,108.89,111.52,108.89,111.37,944105.0,0.0,1.0,106.95627174559762,109.53956676525894,106.95627174559762,109.39223054740754,944105.0
2019-10-28,111.51,112.99,111.44,112.2,961319.0,0.0,1.0,109.52974435073553,110.98346170020272,109.46098744907152,110.20749095285198,961319.0
2019-10-29,112.9,113.9,112.25,113.27,1569167.0,0.0,1.0,110.89505996949188,111.8773014218346,110.25660302546912,111.25848930685868,1569167.0
2019-10-30,115.47,115.75,108.51,109.42,3556375.0,0.0,1.0,113.41942050201264,113.69444810866861,106.5830199937074,107.47685971533926,3556375.0
2019-10-31,109.07,109.56,107.16,108.83,2222307.0,0.0,1.0,107.1330752070193,107.61437351866724,105.25699403304473,106.89733725845706,2222307.0
2019-11-01,109.87,111.7,109.34,111.18,1311791.0,0.0,1.0,107.91886836889348,109.71637022668064,107.39828039915184,109.20560467146242,1311791.0
2019-11-04,112.21,113.47,111.08,113.28,1508204.0,0.0,1.0,110.21731336737541,111.45493759732723,109.10738052622816,111.26831172138212,1508204.0
2019-11-05,113.67,114.53,112.47,113.51,1448131.0,0.0,1.0,111.65138588779577,112.4961135368105,110.47269614498451,111.49422725542094,1448131.0
2019-11-06,113.63,113.68,111.36,112.78,1336752.0,0.0,1.0,111.61209622970206,111.6612083023192,109.38240813288411,110.77719099521076,1336752.0
2019-11-07,114.61,115.82,112.875,114.99,2592378.0,0.0,1.0,112.57469285299791,113.76320501033258,110.87050393318331,112.94794460488814,2592378.0
2019-11-08,114.55,114.9,112.92,114.53,988048.0,0.0,1.0,112.51575836585735,112.85954287417731,110.91470479853874,112.4961135368105,988048.0
2019-11-11,113.47,114.2151,112.84,113.94,908873.0,0.0,1.0,111.45493759732723,112.18680570346778,110.83612548235132,111.9165910799283,908873.0
2019-11-12,114.02,114.93,113.25,113.85,1168295.0,0.0,1.0,111.99517039611571,112.88901011774759,111.23884447781182,111.82818934921745,1168295.0
2019-11-13,113.51,115.06,112.83,114.79,1296062.0,0.0,1.0,111.49422725542094,113.01670150655214,110.8263030678279,112.75149631441961,1296062.0
2019-11-14,114.61,115.665,114.32,115.24,1565130.0,0.0,1.0,112.57469285299791,113.61095758521948,112.28984283181852,113.19350496797382,1565130.0
2019-11-15,116.0,118.22,115.995,117.89,2445459.0,0.0,1.0,113.94000847175428,116.1205844959551,113.93509726449257,115.796444816682,2445459.0
2019-11-18,118.0,118.55,117.02,118.4,1651130.0,0.0,1.0,115.9044913764397,116.44472417522819,114.94189475314384,116.29738795737678,1651130.0
2019-11-19,119.5,120.1,118.775,118.86,1614009.0,0.0,1.0,117.37785355495376,117.96719842635939,116.66572850200531,116.74921902545442,1614009.0
2019-11-20,118.13,119.06,116.37,117.0,2434932.0,0.0,1.0,116.03218276524424,116.94566731592298,114.30343780912109,114.92224992409699,2434932.0
2019-11-21,116.71,118.85,115.52,118.69,2252213.0,0.0,1.0,114.6373999029176,116.739396610931,113.46853257462978,116.58223797855617,2252213.0
2019-11-22,119.43,120.05,118.35,119.13,1642053.0,0.0,1.0,117.30909665328979,117.91808635374225,116.24827588475964,117.01442421758696,1642053.0
2019-11-25,119.8,120.125,119.21,119.42,1374974.0,0.0,1.0,117.67252599065657,117.99175446266796,117.09300353377438,117.29927423876634,1374974.0
2019-11-26,119.49,120.41,118.57,119.74,2379838.0,0.0,1.0,117.36803114043033,118.27169327658562,116.46436900427504,117.613591503516,2379838.0
2019-11-27,120.54,121.31,119.58,121.3,1218914.0,0.0,1.0,118.39938466539019,119.15571058369407,117.45643287114117,119.14588816917063,1218914.0
2019-11-29,120.64,120.86,119.75,120.02,751588.0,0.0,1.0,118.49760881062446,118.71370193013985,117.62341391803945,117.88861911017197,751588.0
2019-12-02,120.16,120.4155,118.44,119.15,1552992.0,0.0,1.0,118.02613291349995,118.2770956045735,116.33667761547049,117.03406904663382,1552992.0
2019-12-03,117.85,118.86,116.89,118.85,1880122.0,0.0,1.0,115.75715515858829,116.74921902545442,114.81420336433929,116.739396610931,1880122.0
2019-12-04,118.74,120.17,118.74,120.1,1957535.0,0.0,1.0,116.6313500511733,118.03595532802338,116.6313500511733,117.96719842635939,1957535.0
2019-12-05,120.76,121.22,120.06,121.0,1694220.0,0.0,1.0,118.61547778490558,119.06730885298322,117.92790876826568,118.85121573346782,1694220.0
2019-12-06,122.0,122.49,120.86,122.07,1740139.0,0.0,1.0,119.83345718581053,120.31475549745846,118.71370193013985,119.90221408747452,1740139.0
2019-12-09,121.35,122.1236,120.01,121.82,1957802.0,0.0,1.0,119.19500024178777,119.9548622293201,117.87879669564855,119.65665372438885,1957802.0
2019-12-10,121.62,121.865,120.3,121.59,1748635.0,0.0,1.0,119.46020543392031,119.70085458974427,118.16364671682793,119.43073819035003,1748635.0
2019-12-11,122.01,123.56,121.845,123.32,1580594.0,0.0,1.0,119.84327960033397,121.36575385146517,119.68120976069741,121.13001590290291,1580594.0
