Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,113.1,113.71,110.08,111.19,1001149.0,0.0,1.0,109.54586568872526,110.13669661772722,106.6207683025188,107.6958868782437,1001149.0
2019-08-01,111.71,114.03,111.52,111.73,893044.0,0.0,1.0,108.19954603083553,110.4466407116299,108.01551672508081,108.21891753670445,893044.0
2019-08-02,112.2,112.83,111.56,112.15,625273.0,0.0,1.0,108.67414792462401,109.28435035949488,108.05425973681866,108.62571915995171,625273.0
2019-08-05,112.17,113.08,109.405,110.37,796322.0,0.0,1.0,108.64509066582063,109.52649418285634,105.96697997944285,106.9016551376181,796322.0
2019-08-06,110.35,111.3,109.0737,110.67,892221.0,0.0,1.0,106.88228363174917,107.80243016052273,105.64609098472425,107.19222772565186,892221.0
2019-08-07,110.54,111.73,109.01,111.42,779390.0,0.0,1.0,107.0663129375039,108.21891753670445,105.58439273853175,107.91865919573624,779390.0
2019-08-08,110.66,113.62,110.56,113.54,692178.0,0.0,1.0,107.18254197271739,110.04952484131711,107.08568444337281,109.97203881784144,692178.0
2019-08-09,113.83,114.05,111.28,111.84,675545.0,0.0,1.0,110.25292565294073,110.46601221749881,107.78305865465383,108.3254608189835,675545.0
2019-08-12,111.8,113.7,111.42,113.58,879296.0,0.0,1.0,108.28671780724565,110.12701086479277,107.91865919573624,110.01078182957927,879296.0
2019-08-13,113.13,115.185,113.0,114.0,787718.0,0.0,1.0,109.57492294752863,111.56534517555986,109.44900815938068,110.41758345282652,787718.0
2019-08-14,114.0,115.14,112.93,113.36,892696.0,0.0,1.0,110.41758345282652,111.52175928735478,109.38120788883947,109.79769526502118,892696.0
2019-08-15,112.84,113.945,112.42,113.53,505694.0,0.88,1.0,110.14120207542535,111.21977375473539,109.73124722899077,110.81469932313931,505694.0
2019-08-16,114.13,114.67,113.68,114.35,583819.0,0.0,1.0,111.40034910376015,111.92743390631891,110.96111176829453,111.61508735665446,583819.0
2019-08-19,114.62,116.37,114.44,116.26,787355.0,0.0,1.0,111.87862975793384,113.58677495141127,111.70293482374758,113.47940582496413,787355.0
2019-08-20,116.12,116.2,114.44,114.58,836872.0,0.0,1.0,113.34275420948593,113.42084084690204,111.70293482374758,111.83958643922577,836872.0
2019-08-21,114.82,115.1055,112.68,113.34,742199.0,0.0,1.0,112.0738463514741,112.35251803875286,109.98502880059314,110.62924355927605,742199.0
2019-08-22,113.39,114.81,112.59,113.9,625104.0,0.0,1.0,110.67804770766112,112.0640855217971,109.8971813335,111.17585002118884,625104.0
2019-08-23,113.55,114.0,110.71,111.2,836972.0,0.0,1.0,110.83422098249333,111.27345831795897,108.06214535422137,108.54042600839507,836972.0
2019-08-26,111.67,113.265,111.67,112.93,1194921.0,0.0,1.0,108.99918500321472,110.55603733669844,108.99918500321472,110.22904954251848,1194921.0
2019-08-27,107.0,107.65,101.75,103.69,5701678.0,0.0,1.0,104.44087754404921,105.07533147305512,99.31644196361688,101.21004292095759,5701678.0
2019-08-28,102.78,105.86,102.59,104.37,1772660.0,0.0,1.0,100.32180742034933,103.32814296086961,100.13635165648606,101.87377933899454,1772660.0
2019-08-29,105.23,105.65,102.38,102.83,1358975.0,0.0,1.0,102.71321069121774,103.12316553765233,99.93137423326876,100.37061156873439,1358975.0
2019-08-30,103.98,105.95,103.78,105.16,1209011.0,0.0,1.0,101.493106981591,103.41599042796274,101.29789038805072,102.64488488347864,1209011.0
2019-09-03,104.81,107.04,103.33,106.98,1219189.0,0.0,1.0,102.30325584478315,104.47992086275727,100.85865305258508,104.42135588469519,1219189.0
2019-09-04,107.0,107.81,105.625,106.28,918383.0,0.0,1.0,104.44087754404921,105.23150474788734,103.09876346345979,103.7380978073042,918383.0
2019-09-05,106.15,106.39,104.62,104.68,1005932.0,0.0,1.0,103.61120702150303,103.84546693375135,102.11780008091989,102.17636505898199,1005932.0
2019-09-06,105.11,105.99,105.1,105.21,881451.0,0.0,1.0,102.59608073509357,103.4550337466708,102.58631990541656,102.69368903186371,881451.0
2019-09-09,104.88,105.47,103.93,105.12,754000.0,0.0,1.0,102.37158165252225,102.94747060346607,101.44430283320594,102.60584156477059,754000.0
2019-09-10,104.82,107.4,104.49,106.69,1141993.0,0.0,1.0,102.31301667446016,104.83131073112978,101.9909092951187,104.13829182406177,1141993.0
2019-09-11,106.19,108.32,105.87,108.2,909876.0,0.0,1.0,103.65025034021107,105.72930706141504,103.33790379054663,105.61217710529088,909876.0
2019-09-12,108.7,108.84,105.77,105.85,510572.0,0.0,1.0,106.10021858914158,106.23687020461978,103.24029549377649,103.31838213119259,510572.0
2019-09-13,105.21,106.9737,105.21,106.51,796942.0,0.0,1.0,102.69368903186371,104.41520656199866,102.69368903186371,103.96259688987553,796942.0
2019-09-16,106.69,108.15,106.38,107.18,572099.0,0.0,1.0,104.13829182406177,105.56337295690582,103.83570610407433,104.61657247823547,572099.0
2019-09-17,106.9,108.74,106.73,108.72,690961.0,0.0,1.0,104.34326924727907,106.13926190784963,104.17733514276983,106.1197402484956,690961.0
2019-09-18,109.16,109.81,108.13,108.83,926819.0,0.0,1.0,106.54921675428422,107.18367068329013,105.54385129755178,106.22710937494276,926819.0
2019-09-19,108.75,108.8462,107.53,107.64,695819.0,0.0,1.0,106.14902273752665,106.24292191901952,104.95820151693094,105.0655706433781,695819.0
2019-09-20,108.01,108.36,107.055,107.81,1006390.0,0.0,1.0,105.42672134142762,105.76835038012311,104.49456210727278,105.23150474788734,1006390.0
2019-09-23,108.0,108.66,106.905,107.03,482012.0,0.0,1.0,105.4169605117506,106.06117527043352,104.34814966211758,104.47016003308025,482012.0
