Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,242.55,248.705,242.05,244.95,2239594.0,0.0,1.0,240.92473854385986,247.0384955660716,240.42808890761194,243.30865679784978,2239594.0
2019-08-01,252.66,262.83,252.21,257.22,2297290.0,0.0,1.0,250.9669941887925,261.0688477900749,250.5200095161694,255.49643887137347,2297290.0
2019-08-02,256.95,258.125,252.68,253.95,1335243.0,0.0,1.0,255.22824806779957,256.3953747129822,250.98686017424245,252.24835025031211,1335243.0
2019-08-05,251.37,251.37,242.24,244.18,1736882.0,0.0,1.0,249.68563812727294,249.68563812727294,240.61681576938614,242.543816358028,1736882.0
2019-08-06,245.34,247.045,242.53,245.82,2488716.0,0.0,1.0,243.69604351412318,245.3896187737285,240.90487255840992,244.17282716492113,2488716.0
2019-08-07,244.0,250.34,241.85,248.68,1435821.0,0.0,1.0,242.36502248897878,248.66253987660224,240.22942905311277,247.01366308425918,1435821.0
2019-08-08,251.75,258.59,251.15,257.78,1746910.0,0.0,1.0,250.06309185082134,256.85725887469266,249.46711228732386,256.05268646397104,1746910.0
2019-08-09,256.84,258.02,253.16,256.19,1337204.0,0.0,1.0,255.11898514782501,256.2910782893701,251.46364382504044,254.47334062070274,1337204.0
2019-08-12,254.62,255.66,251.6,254.18,889887.0,0.0,1.0,252.91386076288433,253.94689200627997,249.91409695994696,252.47680908298616,889887.0
2019-08-13,255.12,259.09,252.49,258.37,1022933.0,0.0,1.0,253.41051039913222,257.3539085109406,250.79813331246825,256.6387330347436,1022933.0
2019-08-14,253.08,256.315,247.89,248.61,1339034.0,0.0,1.0,251.3841798832408,254.5975030297647,246.22895665898747,246.94413213518447,1339034.0
2019-08-15,250.78,254.07,248.88,253.17,919203.0,0.0,1.0,249.0995915565004,252.3675461630116,247.21232293875835,251.47357681776538,919203.0
2019-08-16,254.62,257.67,254.0,256.68,2637793.0,0.0,1.0,252.91386076288433,255.94342354399657,252.2980152139369,254.9600572642257,2637793.0
2019-08-19,259.37,261.61,258.36,260.68,1321893.0,0.0,1.0,257.63203230723946,259.8570226776301,256.62880004201867,258.93325435420894,1321893.0
2019-08-20,259.69,263.17,259.0,261.24,1013810.0,0.0,1.0,257.9498880744381,261.40656954272356,257.264511576416,259.4895019468066,1013810.0
2019-08-21,262.62,265.625,262.26,264.62,1133609.0,0.0,1.0,260.8602549428508,263.84511925670074,260.50266720475236,262.84685348784245,1133609.0
2019-08-22,265.32,266.22,260.87,263.32,1058977.0,0.0,1.0,263.54216297858954,264.4361323238358,259.12198121598317,261.5555644335979,1058977.0
