Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,347.62,354.0,344.365,349.25,521277.0,0.0,1.0,347.62,354.0,344.365,349.25,521277.0
2019-08-01,348.73,352.08,341.895,345.51,683861.0,0.0,1.0,348.73,352.08,341.895,345.51,683861.0
2019-08-02,346.24,348.57,334.16,337.02,811059.0,0.0,1.0,346.24,348.57,334.16,337.02,811059.0
2019-08-05,331.98,331.98,326.34,330.14,728400.0,0.0,1.0,331.98,331.98,326.34,330.14,728400.0
2019-08-06,330.37,340.95,329.0,340.28,688204.0,0.0,1.0,330.37,340.95,329.0,340.28,688204.0
2019-08-07,337.22,344.36,336.7,343.68,756093.0,0.0,1.0,337.22,344.36,336.7,343.68,756093.0
2019-08-08,345.18,355.36,344.76,353.04,588157.0,0.0,1.0,345.18,355.36,344.76,353.04,588157.0
2019-08-09,351.49,353.3994,345.0,346.7,522708.0,0.0,1.0,351.49,353.3994,345.0,346.7,522708.0
2019-08-12,345.91,345.91,332.68,336.51,759225.0,0.0,1.0,345.91,345.91,332.68,336.51,759225.0
2019-08-13,334.31,348.315,333.3344,341.2,576810.0,0.0,1.0,334.31,348.315,333.3344,341.2,576810.0
2019-08-14,330.06,332.2,320.165,321.0,1249274.0,0.0,1.0,330.06,332.2,320.165,321.0,1249274.0
2019-08-15,320.74,324.865,315.49,320.44,990467.0,0.0,1.0,320.74,324.865,315.49,320.44,990467.0
2019-08-16,323.52,327.89,319.26,322.03,573548.0,0.0,1.0,323.52,327.89,319.26,322.03,573548.0
2019-08-19,327.43,328.765,322.45,325.25,812589.0,0.0,1.0,327.43,328.765,322.45,325.25,812589.0
2019-08-20,325.17,328.28,320.51,323.08,475818.0,0.0,1.0,325.17,328.28,320.51,323.08,475818.0
2019-08-21,327.24,331.486,326.81,328.12,521112.0,0.0,1.0,327.24,331.486,326.81,328.12,521112.0
2019-08-22,328.54,338.5,328.54,334.87,755990.0,0.0,1.0,328.54,338.5,328.54,334.87,755990.0
2019-08-23,330.64,332.37,321.2425,322.1,1100266.0,0.0,1.0,330.64,332.37,321.2425,322.1,1100266.0
2019-08-26,327.0,331.99,324.54,330.22,1008562.0,0.0,1.0,327.0,331.99,324.54,330.22,1008562.0
2019-08-27,333.16,334.7999,323.6,323.77,1001709.0,0.0,1.0,333.16,334.7999,323.6,323.77,1001709.0
2019-08-28,323.77,331.45,321.16,330.38,754174.0,0.0,1.0,323.77,331.45,321.16,330.38,754174.0
2019-08-29,337.5,342.0,333.09,337.45,3171999.0,0.0,1.0,337.5,342.0,333.09,337.45,3171999.0
2019-08-30,252.81,254.499,235.76,237.73,16116168.0,0.0,1.0,252.81,254.499,235.76,237.73,16116168.0
2019-09-03,234.05,244.21,231.02,237.41,5435457.0,0.0,1.0,234.05,244.21,231.02,237.41,5435457.0
2019-09-04,238.0,239.86,228.2,228.76,4028313.0,0.0,1.0,238.0,239.86,228.2,228.76,4028313.0
2019-09-05,229.03,237.85,227.71,236.71,3264312.0,0.0,1.0,229.03,237.85,227.71,236.71,3264312.0
2019-09-06,237.84,239.24,233.03,233.1,1986385.0,0.0,1.0,237.84,239.24,233.03,233.1,1986385.0
2019-09-09,233.74,234.17,226.03,226.16,2181315.0,0.0,1.0,233.74,234.17,226.03,226.16,2181315.0
2019-09-10,225.5,233.17,225.28,231.42,2241474.0,0.0,1.0,225.5,233.17,225.28,231.42,2241474.0
2019-09-11,231.68,233.88,227.26,228.15,1496657.0,0.0,1.0,231.68,233.88,227.26,228.15,1496657.0
2019-09-12,229.06,229.3599,225.12,226.16,1872456.0,0.0,1.0,229.06,229.3599,225.12,226.16,1872456.0
2019-09-13,227.6,227.95,225.53,226.86,1127024.0,0.0,1.0,227.6,227.95,225.53,226.86,1127024.0
2019-09-16,226.26,230.12,224.6557,225.45,1361659.0,0.0,1.0,226.26,230.12,224.6557,225.45,1361659.0
2019-09-17,225.69,235.09,225.15,233.85,2217206.0,0.0,1.0,225.69,235.09,225.15,233.85,2217206.0
2019-09-18,233.74,233.74,227.38,229.34,1685239.0,0.0,1.0,233.74,233.74,227.38,229.34,1685239.0
2019-09-19,229.6,232.7,228.61,230.07,1105848.0,0.0,1.0,229.6,232.7,228.61,230.07,1105848.0
2019-09-20,229.79,232.26,227.65,228.75,2013240.0,0.0,1.0,229.79,232.26,227.65,228.75,2013240.0
2019-09-23,229.55,239.92,229.27,237.31,2382930.0,0.0,1.0,229.55,239.92,229.27,237.31,2382930.0
2019-09-24,237.89,241.3,235.2949,239.48,2325962.0,0.0,1.0,237.89,241.3,235.2949,239.48,2325962.0
2019-09-25,238.75,239.425,233.2786,235.54,1421394.0,0.0,1.0,238.75,239.425,233.2786,235.54,1421394.0
2019-09-26,236.4,238.53,234.75,236.31,1190741.0,0.0,1.0,236.4,238.53,234.75,236.31,1190741.0
2019-09-27,238.14,246.46,237.4,244.4,2107582.0,0.0,1.0,238.14,246.46,237.4,244.4,2107582.0
2019-09-30,245.58,251.76,245.0,250.65,2335643.0,0.0,1.0,245.58,251.76,245.0,250.65,2335643.0
2019-10-01,253.45,267.25,253.01,265.99,4329279.0,0.0,1.0,253.45,267.25,253.01,265.99,4329279.0
2019-10-02,263.31,264.0,256.89,262.79,2495100.0,0.0,1.0,263.31,264.0,256.89,262.79,2495100.0
2019-10-03,263.37,265.21,250.65,257.43,2261053.0,0.0,1.0,263.37,265.21,250.65,257.43,2261053.0
2019-10-04,257.71,258.0937,250.26,250.6,1724765.0,0.0,1.0,257.71,258.0937,250.26,250.6,1724765.0
2019-10-07,250.25,250.98,242.32,242.75,2308657.0,0.0,1.0,250.25,250.98,242.32,242.75,2308657.0
2019-10-08,240.06,240.99,235.2,237.03,3531666.0,0.0,1.0,240.06,240.99,235.2,237.03,3531666.0
2019-10-09,238.14,240.67,235.6701,238.04,1494676.0,0.0,1.0,238.14,240.67,235.6701,238.04,1494676.0
2019-10-10,237.65,242.3,237.0228,241.75,1144269.0,0.0,1.0,237.65,242.3,237.0228,241.75,1144269.0
2019-10-11,245.41,249.55,244.115,248.46,1246627.0,0.0,1.0,245.41,249.55,244.115,248.46,1246627.0
