Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,129.66,130.5,125.95,126.55,1270946.0,0.0,1.0,129.66,130.5,125.95,126.55,1270946.0
2019-08-01,125.64,126.21,119.61,120.88,1608730.0,0.0,1.0,125.64,126.21,119.61,120.88,1608730.0
2019-08-02,119.36,119.72,116.16,117.28,1611583.0,0.0,1.0,119.36,119.72,116.16,117.28,1611583.0
2019-08-05,114.19,114.435,111.78,113.35,1857443.0,0.0,1.0,114.19,114.435,111.78,113.35,1857443.0
2019-08-06,115.23,115.79,112.52,114.38,1221223.0,0.0,1.0,115.23,115.79,112.52,114.38,1221223.0
2019-08-07,111.77,113.57,110.56,113.41,1314373.0,0.0,1.0,111.77,113.57,110.56,113.41,1314373.0
2019-08-08,114.68,118.26,114.68,117.85,1330990.0,0.0,1.0,114.68,118.26,114.68,117.85,1330990.0
2019-08-09,117.08,117.24,114.5,115.57,1231372.0,0.0,1.0,117.08,117.24,114.5,115.57,1231372.0
2019-08-12,113.91,114.06,110.4,110.78,1339675.0,0.0,1.0,113.91,114.06,110.4,110.78,1339675.0
2019-08-13,110.1,116.66,109.555,112.52,1415625.0,0.0,1.0,110.1,116.66,109.555,112.52,1415625.0
2019-08-14,109.72,109.99,103.85,105.36,2138409.0,0.0,1.0,109.72,109.99,103.85,105.36,2138409.0
2019-08-15,105.47,105.95,102.76,104.57,1727994.0,0.0,1.0,105.47,105.95,102.76,104.57,1727994.0
2019-08-16,105.77,108.7979,105.29,107.99,1552993.0,0.0,1.0,105.77,108.7979,105.29,107.99,1552993.0
2019-08-19,110.34,111.38,109.27,110.64,1205644.0,0.0,1.0,110.34,111.38,109.27,110.64,1205644.0
2019-08-20,110.0,110.12,109.04,109.16,738221.0,0.0,1.0,110.0,110.12,109.04,109.16,738221.0
2019-08-21,112.11,112.44,110.6,111.26,828186.0,0.0,1.0,112.11,112.44,110.6,111.26,828186.0
2019-08-22,112.06,112.8,109.33,109.85,960690.0,0.0,1.0,112.06,112.8,109.33,109.85,960690.0
2019-08-23,108.25,109.68,104.31,104.96,1466769.0,0.0,1.0,108.25,109.68,104.31,104.96,1466769.0
2019-08-26,107.2,107.31,104.29,106.26,1186975.0,0.0,1.0,107.2,107.31,104.29,106.26,1186975.0
2019-08-27,106.95,107.75,103.0,103.8,1160692.0,0.0,1.0,106.95,107.75,103.0,103.8,1160692.0
2019-08-28,103.45,107.624,101.9,106.32,1068093.0,0.0,1.0,103.45,107.624,101.9,106.32,1068093.0
2019-08-29,108.86,112.07,108.25,111.32,1315743.0,0.0,1.0,108.86,112.07,108.25,111.32,1315743.0
2019-08-30,112.95,114.43,111.88,112.56,1221038.0,0.0,1.0,112.95,114.43,111.88,112.56,1221038.0
2019-09-03,110.5,111.73,108.05,109.67,1338903.0,0.0,1.0,110.5,111.73,108.05,109.67,1338903.0
2019-09-04,111.85,113.09,111.06,112.8,1270447.0,0.0,1.0,111.85,113.09,111.06,112.8,1270447.0
2019-09-05,115.0,118.52,114.8,116.49,1541827.0,0.0,1.0,115.0,118.52,114.8,116.49,1541827.0
2019-09-06,116.61,118.18,115.52,116.89,861298.0,0.0,1.0,116.61,118.18,115.52,116.89,861298.0
2019-09-09,118.06,120.8314,117.515,120.72,1623416.0,0.0,1.0,118.06,120.8314,117.515,120.72,1623416.0
2019-09-10,120.34,124.17,119.58,124.05,1325304.0,0.0,1.0,120.34,124.17,119.58,124.05,1325304.0
2019-09-11,126.56,127.77,123.63,127.62,1724207.0,0.0,1.0,126.56,127.77,123.63,127.62,1724207.0
2019-09-12,125.95,129.69,125.95,128.0,1503452.0,0.0,1.0,125.95,129.69,125.95,128.0,1503452.0
2019-09-13,129.8,132.23,128.61,128.87,1879423.0,0.0,1.0,129.8,132.23,128.61,128.87,1879423.0
2019-09-16,128.0,131.2091,126.875,128.35,1121487.0,0.0,1.0,128.0,131.2091,126.875,128.35,1121487.0
2019-09-17,127.04,128.0,124.63,126.9,1126595.0,0.0,1.0,127.04,128.0,124.63,126.9,1126595.0
2019-09-18,124.8,125.415,122.82,124.71,2012566.0,0.0,1.0,124.8,125.415,122.82,124.71,2012566.0
2019-09-19,125.65,126.725,124.7,125.1,1309598.0,0.0,1.0,125.65,126.725,124.7,125.1,1309598.0
2019-09-20,129.48,130.17,126.27,126.44,2232790.0,0.0,1.0,129.48,130.17,126.27,126.44,2232790.0
2019-09-23,124.99,129.55,124.05,128.4,1423033.0,0.0,1.0,124.99,129.55,124.05,128.4,1423033.0
2019-09-24,128.12,129.14,124.18,124.73,1482558.0,0.0,1.0,128.12,129.14,124.18,124.73,1482558.0
2019-09-25,124.71,128.46,124.6048,127.89,1133039.0,0.0,1.0,124.71,128.46,124.6048,127.89,1133039.0
2019-09-26,127.26,128.41,126.21,127.57,840144.0,0.0,1.0,127.26,128.41,126.21,127.57,840144.0
2019-09-27,128.25,129.21,123.775,124.79,1387886.0,0.0,1.0,128.25,129.21,123.775,124.79,1387886.0
2019-09-30,124.54,125.75,122.2,124.64,1457687.0,0.0,1.0,124.54,125.75,122.2,124.64,1457687.0
2019-10-01,125.83,127.07,119.15,119.57,1540219.0,0.0,1.0,125.83,127.07,119.15,119.57,1540219.0
2019-10-02,117.3,118.36,114.13,115.98,1756590.0,0.0,1.0,117.3,118.36,114.13,115.98,1756590.0
2019-10-03,115.18,116.48,112.13,116.39,1629204.0,0.0,1.0,115.18,116.48,112.13,116.39,1629204.0
2019-10-04,117.64,118.79,116.31,117.21,1238370.0,0.0,1.0,117.64,118.79,116.31,117.21,1238370.0
2019-10-07,116.7,117.616,115.2401,115.66,1161090.0,0.0,1.0,116.7,117.616,115.2401,115.66,1161090.0
2019-10-08,111.12,112.85,109.04,109.2,2322208.0,0.0,1.0,111.12,112.85,109.04,109.2,2322208.0
2019-10-09,110.7,112.64,109.8058,111.48,1401635.0,0.0,1.0,110.7,112.64,109.8058,111.48,1401635.0
2019-10-10,111.63,114.46,111.63,113.32,955763.0,0.0,1.0,111.63,114.46,111.63,113.32,955763.0
2019-10-11,116.77,120.55,116.17,118.4,1596459.0,0.0,1.0,116.77,120.55,116.17,118.4,1596459.0
2019-10-14,117.32,119.14,117.0,118.68,952535.0,0.0,1.0,117.32,119.14,117.0,118.68,952535.0
2019-10-15,119.05,121.49,117.66,120.68,1255844.0,0.0,1.0,119.05,121.49,117.66,120.68,1255844.0
2019-10-16,120.0,123.08,119.83,121.67,2202232.0,0.0,1.0,120.0,123.08,119.83,121.67,2202232.0
2019-10-17,123.47,132.8,122.5,127.9,6030143.0,0.0,1.0,123.47,132.8,122.5,127.9,6030143.0
2019-10-18,127.82,130.77,127.5,128.66,2138369.0,0.0,1.0,127.82,130.77,127.5,128.66,2138369.0
