Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,214.26,215.03,208.7017,211.09,643221.0,0.0,1.0,214.26,215.03,208.7017,211.09,643221.0
2019-08-01,211.59,217.01,211.11,212.8,725903.0,0.0,1.0,211.59,217.01,211.11,212.8,725903.0
2019-08-02,211.87,213.07,207.5,209.47,428732.0,0.0,1.0,211.87,213.07,207.5,209.47,428732.0
2019-08-05,205.51,205.65,198.54,200.3,748904.0,0.0,1.0,205.51,205.65,198.54,200.3,748904.0
2019-08-06,200.95,205.17,200.45,204.36,726602.0,0.0,1.0,200.95,205.17,200.45,204.36,726602.0
2019-08-07,202.04,206.52,201.33,206.14,543558.0,0.0,1.0,202.04,206.52,201.33,206.14,543558.0
2019-08-08,206.56,211.67,206.56,211.32,550877.0,0.0,1.0,206.56,211.67,206.56,211.32,550877.0
2019-08-09,210.3,211.195,207.0,207.82,689939.0,0.0,1.0,210.3,211.195,207.0,207.82,689939.0
2019-08-12,207.4,207.4,203.23,204.0,448950.0,0.0,1.0,207.4,207.4,203.23,204.0,448950.0
2019-08-13,204.24,209.5,203.46,208.96,487845.0,0.0,1.0,204.24,209.5,203.46,208.96,487845.0
2019-08-14,206.01,206.89,201.7,201.88,520006.0,0.0,1.0,206.01,206.89,201.7,201.88,520006.0
2019-08-15,202.18,204.38,201.3,203.4,340109.0,0.0,1.0,202.18,204.38,201.3,203.4,340109.0
2019-08-16,205.59,206.55,204.27,205.0,380718.0,0.0,1.0,205.59,206.55,204.27,205.0,380718.0
2019-08-19,208.12,208.76,206.3618,206.9,403732.0,0.0,1.0,208.12,208.76,206.3618,206.9,403732.0
2019-08-20,206.82,208.92,205.72,206.88,505185.0,0.0,1.0,206.82,208.92,205.72,206.88,505185.0
2019-08-21,209.18,209.8,207.16,208.07,521924.0,0.0,1.0,209.18,209.8,207.16,208.07,521924.0
2019-08-22,208.46,209.0155,203.065,205.2,406782.0,0.0,1.0,208.46,209.0155,203.065,205.2,406782.0
2019-08-23,204.37,207.14,199.55,200.52,517993.0,0.0,1.0,204.37,207.14,199.55,200.52,517993.0
2019-08-26,202.38,203.6833,201.6,202.99,378775.0,0.0,1.0,202.38,203.6833,201.6,202.99,378775.0
2019-08-27,204.69,206.0,202.09,203.79,525527.0,0.0,1.0,204.69,206.0,202.09,203.79,525527.0
2019-08-28,202.69,204.71,201.25,203.78,293679.0,0.0,1.0,202.69,204.71,201.25,203.78,293679.0
2019-08-29,206.06,207.93,205.82,205.96,318449.0,0.0,1.0,206.06,207.93,205.82,205.96,318449.0
2019-08-30,206.79,206.95,202.99,203.85,530249.0,0.0,1.0,206.79,206.95,202.99,203.85,530249.0
2019-09-03,202.55,204.52,200.26,202.15,537255.0,0.0,1.0,202.55,204.52,200.26,202.15,537255.0
2019-09-04,202.66,203.87,201.99,203.53,579624.0,0.0,1.0,202.66,203.87,201.99,203.53,579624.0
2019-09-05,205.0,206.83,204.11,206.58,655721.0,0.0,1.0,205.0,206.83,204.11,206.58,655721.0
2019-09-06,207.92,209.75,206.25,207.57,431903.0,0.0,1.0,207.92,209.75,206.25,207.57,431903.0
2019-09-09,208.02,208.12,200.46,201.88,582779.0,0.0,1.0,208.02,208.12,200.46,201.88,582779.0
2019-09-10,200.43,200.43,194.9,196.71,675165.0,0.0,1.0,200.43,200.43,194.9,196.71,675165.0
2019-09-11,196.28,196.64,190.16,190.75,1139619.0,0.0,1.0,196.28,196.64,190.16,190.75,1139619.0
2019-09-12,191.08,194.66,190.58,191.18,746589.0,0.0,1.0,191.08,194.66,190.58,191.18,746589.0
2019-09-13,190.8,191.91,188.14,188.74,1028715.0,0.0,1.0,190.8,191.91,188.14,188.74,1028715.0
2019-09-16,187.99,190.14,186.28,189.55,761349.0,0.0,1.0,187.99,190.14,186.28,189.55,761349.0
2019-09-17,189.18,191.42,188.53,191.2,744156.0,0.0,1.0,189.18,191.42,188.53,191.2,744156.0
2019-09-18,190.48,190.995,187.3,189.9,795040.0,0.0,1.0,190.48,190.995,187.3,189.9,795040.0
2019-09-19,190.7,192.75,190.47,191.09,684307.0,0.0,1.0,190.7,192.75,190.47,191.09,684307.0
2019-09-20,190.53,192.63,189.67,190.69,837380.0,0.0,1.0,190.53,192.63,189.67,190.69,837380.0
2019-09-23,189.65,190.62,188.51,189.82,439923.0,0.0,1.0,189.65,190.62,188.51,189.82,439923.0
2019-09-24,190.7,191.49,186.09,186.78,547258.0,0.0,1.0,190.7,191.49,186.09,186.78,547258.0
2019-09-25,186.12,190.93,185.39,189.93,562638.0,0.0,1.0,186.12,190.93,185.39,189.93,562638.0
2019-09-26,189.38,192.0,189.14,191.19,483704.0,0.0,1.0,189.38,192.0,189.14,191.19,483704.0
2019-09-27,192.01,193.2,185.9601,187.25,521288.0,0.0,1.0,192.01,193.2,185.9601,187.25,521288.0
2019-09-30,187.84,189.96,186.95,188.63,601821.0,0.0,1.0,187.84,189.96,186.95,188.63,601821.0
2019-10-01,187.58,189.0,183.79,183.95,744127.0,0.0,1.0,187.58,189.0,183.79,183.95,744127.0
2019-10-02,182.59,182.83,177.33,177.95,870854.0,0.0,1.0,182.59,182.83,177.33,177.95,870854.0
2019-10-03,177.87,181.79,177.03,181.41,1046314.0,0.0,1.0,177.87,181.79,177.03,181.41,1046314.0
2019-10-04,181.82,184.8,181.51,184.34,560316.0,0.0,1.0,181.82,184.8,181.51,184.34,560316.0
2019-10-07,184.35,184.89,183.11,183.44,646519.0,0.0,1.0,184.35,184.89,183.11,183.44,646519.0
2019-10-08,182.14,183.59,179.79,180.96,753513.0,0.0,1.0,182.14,183.59,179.79,180.96,753513.0
2019-10-09,182.74,184.84,182.3,184.03,480339.0,0.0,1.0,182.74,184.84,182.3,184.03,480339.0
2019-10-10,184.02,185.92,182.35,185.55,487606.0,0.0,1.0,184.02,185.92,182.35,185.55,487606.0
2019-10-11,187.41,188.75,186.0,186.49,511884.0,0.0,1.0,187.41,188.75,186.0,186.49,511884.0
2019-10-14,185.86,187.075,184.84,185.75,408590.0,0.0,1.0,185.86,187.075,184.84,185.75,408590.0
2019-10-15,185.53,187.6,181.26,186.66,362313.0,0.0,1.0,185.53,187.6,181.26,186.66,362313.0
2019-10-16,186.56,186.56,184.06,185.34,399599.0,0.0,1.0,186.56,186.56,184.06,185.34,399599.0
2019-10-17,185.57,187.1,184.87,186.55,473748.0,0.0,1.0,185.57,187.1,184.87,186.55,473748.0
