Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-07-31,118.06,118.45,115.94,117.0,1438327.0,0.0,1.0,116.47682023245578,116.86159034841934,114.3852493456795,115.43103478906764,1438327.0
2019-08-01,116.99,118.13,116.095,116.25,1716531.0,0.0,1.0,115.42116888865831,116.54588153532102,114.538170802024,114.69109225836849,1716531.0
2019-08-02,116.4,117.61,115.98,116.73,1612622.0,0.0,1.0,114.83908076450832,116.03285471403628,114.42471294731679,115.16465547801594,1612622.0
2019-08-05,115.66,116.38,112.87,113.77,2906839.0,0.0,1.0,114.10900413421848,114.81934896368966,111.35641792001765,112.24434895685663,2906839.0
2019-08-06,114.0,116.2181,113.51,116.1,1868847.0,0.0,1.0,112.47126466627103,114.65962003606276,111.98783554621426,114.54310375222865,1868847.0
2019-08-07,115.09,117.46,114.37,116.85,1523389.0,0.0,1.0,113.54664781088714,115.88486620789645,112.83630298141595,115.2830462829278,1523389.0
2019-08-08,117.08,118.67,116.57,118.47,1459074.0,0.0,1.0,115.50996199234221,117.07864015742442,115.00680107146678,116.88132214923797,1459074.0
2019-08-09,118.74,119.56,118.03,119.06,2242400.0,0.0,1.0,117.14770146028967,117.95670529385407,116.44722253122781,117.46341027338798,2242400.0
2019-08-12,119.06,119.21,117.28,117.72,1183658.0,0.0,1.0,117.46341027338798,117.6113987795278,115.70728000052866,116.14137961853882,1183658.0
2019-08-13,117.24,119.45,117.24,119.02,1997375.0,0.0,1.0,115.66781639889136,117.84818038935154,115.66781639889136,117.42394667175068,1997375.0
2019-08-14,118.53,118.81,115.96,116.0,3009274.0,0.0,1.0,116.94051755169392,117.21676276315493,114.40498114649814,114.44444474813544,3009274.0
2019-08-15,116.3,118.54,116.05,118.2,2133865.0,0.0,1.0,114.74042176041509,116.95038345210324,114.49377425018204,116.61494283818628,2133865.0
2019-08-16,118.67,119.51,118.45,119.12,1613398.0,0.0,1.0,117.07864015742442,117.90737579180747,116.86159034841934,117.5226056758439,1613398.0
2019-08-19,119.54,120.58,119.25,120.02,2770573.0,0.0,1.0,117.93697349303544,118.96302713560492,117.6508623811651,118.41053671268288,2770573.0
2019-08-20,119.68,119.99,118.04,118.11,1566290.0,0.0,1.0,118.07509609876594,118.38093901145491,116.45708843163713,116.52614973450238,1566290.0
2019-08-21,118.64,119.24,118.2826,118.71,1479802.0,0.0,1.0,117.04904245619645,117.64099648075576,116.69643517556729,117.1181037590617,1479802.0
2019-08-22,118.64,119.005,117.8,118.07,1358410.0,0.0,1.0,117.04904245619645,117.4091478211367,116.2203068218134,116.48668613286509,1358410.0
2019-08-23,117.86,118.44,115.36,115.93,1987908.0,0.0,1.0,116.27950222426934,116.85172444801,113.81302712193883,114.37538344527019,1987908.0
2019-08-26,116.4,117.09,115.81,117.05,1586715.0,0.0,1.0,114.83908076450832,115.51982789275154,114.25699264035832,115.48036429111424,1586715.0
2019-08-27,117.81,118.6,117.41,117.75,1148279.0,0.0,1.0,116.23017272222272,117.00957885455915,115.83553670584983,116.17097731976679,1148279.0
2019-08-28,117.51,118.48,116.8,118.25,1109824.0,0.0,1.0,115.93419570994307,116.8911880496473,115.2337167808812,116.66427234023288,1109824.0
2019-08-29,119.0,119.44,118.066,119.32,1132173.0,0.0,1.0,117.40421487093204,117.8383144889422,116.48273977270136,117.71992368403033,1132173.0
2019-08-30,120.09,120.49,118.96,119.35,1149613.0,0.0,1.0,118.47959801554815,118.87423403192102,117.36475126929474,117.7495213852583,1149613.0
2019-09-03,119.61,120.24,119.1,119.53,1204303.0,0.0,1.0,118.00603479590069,118.62758652168797,117.50287387502526,117.92710759262611,1204303.0
2019-09-04,120.0,120.74,119.67,120.65,1213829.0,0.0,1.0,118.39080491186425,119.12088154215407,118.06523019835662,119.03208843847018,1213829.0
2019-09-05,121.24,121.7673,118.9,119.09,1671062.0,0.5125,1.0,120.12893233966562,120.65140005677802,117.81037656867571,117.99863537059369,1671062.0
2019-09-06,119.08,119.6803,118.84,119.33,941464.0,0.0,1.0,117.988727012598,118.58352574307888,117.7509264207016,118.23643596249009,941464.0
2019-09-09,119.34,119.55,117.38,117.62,1427895.0,0.0,1.0,118.24634432048578,118.45441983839513,116.30430615333182,116.54210674522824,1427895.0
2019-09-10,116.86,117.04,112.16,113.68,3654114.0,0.0,1.0,115.7890715375563,115.9674219814786,111.13214327958508,112.63821369492898,3654114.0
2019-09-11,113.81,114.38,111.13,112.22,2829337.0,0.0,1.0,112.76702234887286,113.3317987546268,110.1115824060297,111.19159342755918,2829337.0
2019-09-12,112.69,113.88,112.51,113.07,1726555.0,0.0,1.0,111.6572862533563,112.83638085484263,111.47893580943402,112.03380385719227,1726555.0
2019-09-13,113.48,114.35,111.79,111.95,1661220.0,0.0,1.0,112.4400465350153,113.30207368063975,110.76553403374481,110.92406776167574,1661220.0
2019-09-16,111.56,112.01,111.1,111.9,2075839.0,0.0,1.0,110.53764179984408,110.98351790964985,110.08185733204265,110.87452597169732,2075839.0
2019-09-17,112.44,114.18,112.2,113.86,2550870.0,0.0,1.0,111.40957730346422,113.13363159471315,111.17177671156783,112.81656413885126,2550870.0
2019-09-18,114.03,114.38,113.09,114.33,1031391.0,0.0,1.0,112.98500622477789,113.3317987546268,112.05362057318365,113.28225696464838,1031391.0
2019-09-19,114.94,115.8,114.49,114.73,1327997.0,0.0,1.0,113.88666680238508,114.73878559001385,113.44079069257931,113.67859128447573,1327997.0
2019-09-20,115.17,115.61,114.78,115.28,1995088.0,0.0,1.0,114.1145590362858,114.55052678809587,113.72813307445415,114.22355097423831,1995088.0
2019-09-23,115.35,115.87,114.68,114.95,1111748.0,0.0,1.0,114.2929094802081,114.80814409598364,113.62904949449731,113.89657516038076,1111748.0
2019-09-24,115.07,116.16,114.5,115.12,1650411.0,0.0,1.0,114.01547545632896,115.09548647785844,113.45069905057501,114.06501724630738,1650411.0
2019-09-25,115.16,115.46,113.83,113.92,1474311.0,0.0,1.0,114.10465067829011,114.4019014181606,112.78683906486421,112.87601428682537,1474311.0
2019-09-26,114.18,115.69,113.7135,115.09,2404833.0,0.0,1.0,113.13363159471315,114.62979365206132,112.6714066942145,114.03529217232033,2404833.0
2019-09-27,115.43,115.72,112.68,113.59,1693055.0,0.0,1.0,114.37217634417357,114.65951872604838,111.64737789536063,112.54903847296782,1693055.0
